state,sex,year,name,count
AK,F,1953,,307
AK,M,1937,Michael,84
AK,M,1952,Taylor,6
AK,M,1960,Michael,116
AK,M,2002,Robert,456
AK,M,1923,Michael,27
AK,F,2000,Linda,293
AK,F,1916,Linda,6
AK,F,1936,Mary,7
AK,F,,Jennifer,373
AK,M,1997,Robert,
AK,M,1980,,193
AK,F,1956,Patricia,861
AK,M,1916,Patricia,15
AK,M,2022,,80
AK,F,1997,John,176
AK,M,1910,Jordan,6
AK,M,2003,Jordan,47
AK,M,1985,John,224
AK,F,1955,Taylor,35
AK,M,1981,Mary,85
AK,M,2016,Michael,51
AK,F,1972,jennifer,185
AK,M,1981,Jordan,424
AK,F,1970,Alex,486
AK,F,1975,Linda,36
AK,F,1994,Patricia,409
AK,F,1927,Jennifer,91
AK,F,1980,Patricia,552
AK,M,,Jordan,72
AK,M,1912,alex,91
AK,F,1912,patricia,6
AK,M,1916,Taylor,78
AK,M,1926,Robert,21
AK,M,2016,Jordan,8
AK,F,1996,John,90
AK,F,1952,Jennifer,37
AK,F,1979,Jennifer,106
AK,M,1971,Taylor,39
AK,M,1986,Jordan,208
AK,F,2009,Taylor,24
AK,M,2002,Michael,278
AK,F,1966,Casey,
AK,M,1994,Casey,200
AK,F,1916,,73
AK,F,1976,Casey,298
AK,F,1960,Jordan,331
,F,1968,Linda,
AK,M,1943,Robert,24
AK,M,1974,Casey,516
AK,M,2011,Jordan,184
AK,,1983,Taylor,761
AK,F,1938,,51
AK,F,2013,Alex,
AK,M,1955,Jordan,
AK,M,1970,Michael,367
AK,F,2011,James,41
,F,2015,Jennifer,44
AK,F,1940,Casey,
AK,M,1957,Jordan,9
AK,,1998,James,158
AK,F,2009,Mary,617
AK,F,1973,Robert,67
AK,F,2020,Alex,9
AK,,1977,Jordan,50
AK,F,1946,Taylor,161
AK,M,1941,Casey,67
AK,F,1941,Casey,310
AK,M,1980,James,
AK,F,1924,Jordan,
AK,M,,Alex,10
AK,F,1983,Patricia,379
AK,M,2001,James,114
AK,F,1928,Linda,165
AK,F,1926,Alex,6
AK,,1969,Taylor,169
,F,,Alex,28
AK,F,1993,Casey,16
AK,M,1991,Michael,81
AK,F,1995,Taylor,301
,F,2021,Michael,37
AK,M,1932,Robert,142
AK,F,2002,Mary,107
AK,M,1945,James,360
AK,M,1955,Taylor,782
AK,F,1994,Linda,210
AK,F,1971,Linda,
AK,M,,Alex,95
AK,F,1934,Jordan,38
AK,M,2022,Alex,34
AK,M,1958,,669
AK,M,1996,Taylor,1012
AK,F,1985,Casey,166
,F,1985,Alex,952
AK,M,1945,taylor,41
AK,F,1932,Jordan,203
AK,M,2010,Michael,159
AK,F,1984,Mary,357
AK,F,,Mary,
AK,M,2019,Michael,54
AK,F,1975,Taylor,312
AK,F,2020,linda,964
AK,M,1958,James,251
AK,M,1965,James,79
AK,F,1997,Alex,157
AK,F,1990,Patricia,77
AK,M,2002,taylor,97
AK,M,1946,Michael,521
AK,F,1967,Patricia,148
AK,F,1929,Alex,6
AK,F,1980,Casey,769
AK,F,2010,Taylor,7
AK,M,1972,James,800
AK,F,1935,Patricia,77
AK,M,,Jordan,19
AK,F,,taylor,1223
AK,F,1998,Taylor,557
AK,F,1923,Linda,61
AK,F,1956,Mary,726
AK,M,1989,Jordan,161
AK,M,1992,John,557
AK,M,2022,Casey,9
AK,M,1991,Taylor,230
AK,M,2021,James,10
AK,M,1993,John,
AK,F,1935,Casey,400
AK,M,1951,Alex,18
AK,F,2003,Taylor,7
AK,M,1933,Jordan,19
AK,M,1956,John,231
AK,M,1948,Michael,7
AK,M,2008,Jordan,488
