state,sex,year,name,count
AL, F ,2019.0,Taylor,22
AL,F,1987.0,Mary,91
AL,F,1937.0,Linda,240
AL,F,,Alex,45
, M ,1985.0,Michael,1197
AL,M,1982.0,Taylor,552
AL,M,1967.0,John,276
AL,F,2010.0,Mary,9
AL,M,,Alex,668
AL,F,2019.0,Jennifer,22
AL,F,1982.0,Casey,819
AL,F,1936.0,Jennifer,52
AL, M ,1965.0,Jordan,148
AL,M,1934.0,James,42
AL, M ,1937.0,Michael,96
 AL ,M,1942.0,Michael,401
AL,,1955.0,Patricia,593
AL,M,1932.0,Taylor,
AL,M,1984.0,Jordan,83
AL,F,1967.0,Linda,156
AL,M,1985.0,Alex,211
AL,M,1970.0,James,252
AL,F,2000.0,Taylor,432
AL,M,1952.0,Alex,471
AL,M,2015.0,John,15
AL,M,1921.0,Michael,57
AL,M,2013.0,,183
AL,M,2021.0,Casey,123
 AL ,,1975.0,John,237
AL,M,1967.0,Casey,808
,M,1973.0,Robert,
AL,M,2020.0,Michael,51
AL,M,2011.0,Alex,248
 AL ,,1939.0,Jennifer,173
AL,F,1985.0,Casey,268
AL,,1990.0,Mary,695
AL,M,1952.0,Robert,376
AL,M,1962.0,Robert,522
AL,F,1970.0,alex,384
AL,M,2013.0,Linda,461
AL,F,1957.0,taylor,104
AL,F,1982.0, Jordan ,144
,F,1998.0,John,1316
AL,F,1979.0,Linda,132
AL,M,2008.0,Taylor,76
 AL ,F,1951.0,Alex,1113
AL,M,1974.0,Michael,489
AL,M,2015.0,Casey,311
AL,M,1949.0,John,286
AL,F,1999.0,Jordan,37
AL,F,2010.0,Linda,283
AL,,2017.0,Jennifer,32
AL,F,1940.0, Jordan ,24
AL,M,1974.0,Jordan,577
AL,M,,Taylor,21
AL,M,1983.0,alex,51
AL,M,2011.0,Jennifer,33
AL,F,1939.0,Alex,228
 AL ,M,1931.0,Alex,7
AL,F,2006.0,patricia,103
AL, M ,1966.0,taylor,31
AL,M,1990.0,Taylor,264
AL,M,1941.0,Alex,10
AL,F,1975.0,Jordan,55
AL,F,1936.0,Jordan,
AL,M,2006.0,Robert,516
 AL ,M,1917.0,Casey,28
AL,M,1940.0,,16
AL,F,2004.0,Jennifer,32
AL,M,1980.0,James,84
AL,F,2001.0,Alex,266
AL, M ,1971.0,Patricia,674
AL,M,1925.0,Robert,
AL,F,1963.0,Casey,128
AL,M,1973.0,John,201
AL,F,1998.0,Casey,25
AL,M,1918.0,John,15
AL,M,1935.0,Michael,
AL, F ,1939.0,Patricia,137
AL,,1974.0,Michael,978
AL,M,2016.0,James,45
AL,M,,Casey,20
AL,M,1966.0,Jordan,63
 AL ,F,1993.0,Jennifer,310
AL,F,2004.0,Jordan,5
 AL ,,1982.0,Jennifer,188
AL, F ,1935.0,Jennifer,464
AL,M,1965.0,Robert,481
AL,M,2022.0,Jordan,83
AL,M,1923.0,Michael,225
AL,F,1930.0,Linda,26
AL,M,1943.0,James,33
AL,M,1954.0,Casey,100
AL,F,1978.0,Linda,142
AL,M,1919.0,Linda,155
AL,F,,Alex,307
AL,,1929.0,Alex,10
AL,M,1925.0,Robert,
AL, M ,1947.0, Michael ,27
AL,F,2000.0,Linda,169
AL,M,1949.0,James,68
AL, F ,1956.0,Linda,16
AL,F,1931.0,Alex,198
AL,M,2014.0,James,48
AL,M,1996.0,Robert,651
AL,M,1961.0,Casey,93
AL,M,1990.0,jordan,175
 AL ,,1958.0,Casey,1008
AL,M,1985.0,Robert,176
AL,M,2001.0,jordan,152
AL,F,1984.0,Michael,
AL,M,2018.0,,65
AL,M,1995.0,Alex,37
AL,F,1965.0,Mary,74
AL,M,1942.0,casey,219
AL,F,2005.0,casey,18
AL,M,1923.0,James,17
,F,2020.0,Casey,368
AL,M,,John,276
AL,,1989.0,Mary,391
AL,M,1918.0,Jordan,41
 AL ,F,1976.0,Casey,292
AL,M,1943.0,,37
AL,F,1999.0,Mary,286
AL,M,1949.0,Robert,230
AL,M,1969.0,Jordan,926
AL,F,1991.0,Alex,73
AL,M,2002.0,Taylor,322
AL,M,1919.0,,47
AL,F,1982.0,taylor,94
AL,F,1931.0,Jennifer,15
AL, M ,1975.0,Taylor,564
 AL , F ,,Linda,353
AL,M,1961.0,Jordan,29
AL,M,2022.0,James,7
AL,F,1925.0,Alex,22
,F,1959.0,Patricia,723
AL,F,1948.0,Jennifer,5
AL,M,1941.0,Alex,10
