state,sex,year,name,count
,,1960,Alex,43
AR,M,1930,Michael,20
AR,F,1953,Mary,
AR,F,1920,Jennifer,39
AR,M,1995,Robert,456
AR,F,1938,Alex,28
AR,,,Casey,193
AR,M,1975,John,191
AR,M,1983,Taylor,704
AR,F,1933,Jennifer,393
AR,F,1967,Jordan,84
AR,F,2007,Mary,10
AR,M,1954,,372
AR,M,1933,John,149
AR,F,2021,Alex,240
AR,F,2014,Alex,254
AR,F,2022,Taylor,13
AR,F,1911,Patricia,
AR,M,1930,Taylor,10
AR,M,1959,James,416
,F,1938,Jennifer,96
AR,M,2012,Jordan,38
AR,F,,Linda,38
AR,M,2000,Casey,253
AR,M,1969,Taylor,531
,F,1940,Jordan,61
AR,F,2020,Linda,19
AR,F,1976,Mary,109
AR,M,1947,Jordan,117
AR,F,1978,Patricia,22
AR,F,2004,Mary,31
AR,F,1957,Linda,234
AR,F,1994,Linda,175
AR,F,1993,,28
AR,F,1990,Taylor,172
AR,F,1954,Mary,25
AR,M,1933,Alex,44
AR,M,1970,Robert,189
AR,M,1971,Taylor,254
,M,2022,John,324
AR,F,1978,Jennifer,619
AR,F,1992,Alex,173
AR,M,1995,James,442
AR,M,1949,James,528
AR,F,1985,Patricia,544
AR,M,1950,Michael,183
,M,,Michael,214
AR,F,2003,Jennifer,934
AR,F,1942,Alex,201
AR,F,1987,Taylor,341
AR,F,1961,Taylor,557
AR,,1966,Patricia,188
AR,M,2016,Jordan,304
AR,F,,Jennifer,55
AR,F,,Alex,611
AR,M,1999,Taylor,123
AR,F,1938,James,10
AR,F,1987,Jennifer,281
AR,M,1978,,1328
AR,F,1950,Alex,32
AR,M,1921,Michael,14
AR,M,1919,John,20
AR,M,1991,John,60
AR,F,1938,,168
AR,F,1994,Patricia,1036
AR,F,1998,Jordan,368
AR,F,1957,Mary,457
,F,1998,Patricia,510
AR,F,1949,Alex,17
AR,M,1958,Jordan,533
AR,M,1986,Taylor,117
AR,F,1940,Taylor,591
AR,M,,Taylor,210
AR,M,1942,Taylor,8
AR,F,1980,Patricia,544
AR,M,1979,Taylor,77
AR,M,1971,Robert,43
,M,1912,Michael,17
AR,F,2013,,90
AR,M,1937,Taylor,67
AR,M,1980,,166
AR,F,1950,Linda,609
AR,F,2008,taylor,692
AR,F,1942,Jordan,458
AR,F,1973,Jennifer,70
AR,M,2007,Robert,142
AR,F,1939,Linda,11
AR,F,1990,Jordan,298
AR,M,1977,Alex,257
AR,M,2009,Robert,157
AR,M,1975,Casey,131
AR,M,2018,Alex,17
AR,F,1991,John,229
AR,F,1960,Jennifer,6
AR,F,1914,Casey,6
,,1961,Robert,1111
AR,F,1930,Taylor,83
AR,F,1991,Mary,217
AR,M,2006,John,20
AR,,1977,Jennifer,253
AR,F,1936,Mary,40
,M,1969,Jordan,9
AR,M,1957,James,795
AR,M,2004,Patricia,35
AR,M,1989,Casey,507
AR,F,1993,Mary,
AR,M,2013,Casey,13
AR,M,1973,,304
AR,M,1922,Casey,21
AR,F,1917,Mary,83
AR,F,,Casey,59
AR,M,1980,,964
AR,F,1990,Casey,640
,M,1973,Jordan,866
AR,F,2004,Linda,469
AR,M,1991,Robert,576
AR,F,1963,Michael,268
AR,F,1914,Mary,42
AR,M,2016,Alex,5
AR,M,1960,John,288
AR,M,2017,Linda,254
AR,,2003,Robert,28
AR,M,1967,Alex,662
AR,M,,John,74
AR,F,2022,Linda,50
AR,F,1925,Alex,73
AR,M,2017,Michael,609
AR,M,1931,Jordan,12
AR,F,1952,Patricia,
AR,M,1973,Taylor,233
AR,F,1951,Jordan,31
AR,M,1975,jordan,129
AR,F,1957,Jordan,135
AR,M,1961,John,41
AR,M,,Jordan,1139
AR,M,1924,John,284
AR,F,1962,Mary,20
AR,M,1940,Casey,9
AR,F,1918,Taylor,
AR,F,1981,Mary,312
AR,F,1944,Patricia,200
AR,M,1927,James,88
AR,M,1955,Casey,267
AR,M,1942,John,10
AR,F,1950,Casey,296
AR,F,1966,Jennifer,499
AR,F,1983,Alex,765
AR,F,2006,Patricia,247
AR,M,1961,Jordan,
AR,F,1944,Taylor,365
AR,M,1959,James,416
AR,,1981,Jordan,257
,M,2015,Jordan,346
AR,M,2003,John,696
AR,M,1954,Robert,534
AR,M,1943,Taylor,6
AR,M,1995,michael,21
AR,F,1955,Taylor,113
AR,M,1993,John,768
AR,F,2001,Linda,24
AR,M,,John,10
AR,M,1999,Alex,111
AR,,1965,,332
AR,F,1944,Casey,26
AR,F,1964,Patricia,407
AR,F,1936,Casey,
AR,M,1910,Taylor,134
AR,F,1996,Taylor,208
AR,M,1969,Robert,70
AR,F,1970,Taylor,163
AR,F,1951,Patricia,607
AR,F,1929,Patricia,162
AR,,1986,Patricia,158
AR,F,1987,Linda,960
AR,F,1967,Mary,263
,F,1942,Casey,172
AR,F,,Jennifer,5
AR,M,1950,Robert,301
AR,F,1953,Linda,198
AR,F,1976,Patricia,500
AR,F,2021,,57
AR,F,1919,Jordan,10
AR,M,2014,James,25
AR,F,2021,,554
AR,F,2010,Jennifer,454
AR,M,1948,Alex,631
AR,M,1929,Taylor,163
AR,F,2000,Mary,148
AR,F,1952,Alex,773
AR,M,1990,Jordan,868
AR,M,1972,Robert,215
AR,F,1968,Alex,641
AR,M,1975,Taylor,295
AR,F,2010,Patricia,743
AR,M,2003,James,
AR,M,1996,Robert,101
,M,1935,Alex,63
AR,M,2002,Jordan,59
AR,F,1916,Taylor,162
AR,M,2013,Taylor,7
AR,F,1955,Alex,453
AR,F,1949,Casey,167
AR,F,,Jordan,640
AR,F,,Jordan,380
AR,F,1944,Mary,72
AR,M,1970,Michael,302
AR,M,1993,Taylor,593
AR,F,1945,Patricia,310
AR,M,1913,John,11
AR,F,1989,Jennifer,655
AR,M,2008,Michael,332
AR,F,1996,Patricia,343
AR,M,1988,Michael,637
AR,M,1980,John,367
AR,F,1916,Taylor,162
AR,F,1982,Mary,
AR,M,1961,James,22
AR,F,1985,jennifer,165
AR,F,2012,Linda,120
AR,M,1976,John,610
AR,M,1930,Robert,17
AR,F,1951,Jennifer,125
AR,F,1965,Linda,245
AR,F,1964,Linda,78
AR,F,1978,Jordan,805
AR,F,1995,Jennifer,12
AR,M,1962,John,77
AR,M,1913,Jordan,32
AR,M,1930,Jennifer,241
,M,1916,Michael,5
AR,M,1926,Casey,36
AR,F,1936,,24
AR,F,2004,Patricia,
AR,M,1982,John,577
AR,M,1972,,112
AR,M,1955,Jordan,5
AR,F,1924,john,
AR,M,1994,Robert,658
AR,M,2016,John,206
AR,F,1930,Casey,185
AR,M,1984,Alex,476
AR,M,1968,Jordan,13
,F,2005,Jennifer,464
AR,F,1988,Casey,515
,F,1978,Linda,8
,F,1934,Casey,41
AR,,1986,Mary,326
AR,,1970,Mary,426
AR,M,1963,Alex,531
AR,M,2004,Alex,
AR,F,2009,Jordan,18
AR,F,1911,Taylor,14
,F,2005,Patricia,199
AR,M,1948,Jordan,12
AR,F,1976,Taylor,249
AR,F,1948,Jennifer,180
AR,M,1969,Alex,102
AR,M,,Jordan,13
AR,F,2016,Jordan,54
AR,M,2016,Michael,471
AR,F,1987,Patricia,55
,F,1982,Jennifer,937
AR,F,2006,Linda,144
AR,F,1959,Jennifer,245
AR,M,1952,Michael,220
AR,M,1992,Jordan,275
AR,M,1949,alex,58
AR,F,2002,Taylor,14
AR,F,1994,Taylor,30
AR,M,1953,Alex,1012
AR,F,2016,Mary,168
AR,F,1997,Alex,956
AR,M,1996,John,121
AR,M,1944,Jordan,13
AR,F,1984,Taylor,808
AR,M,2021,,22
AR,,1979,jennifer,404
AR,M,2008,Alex,10
AR,M,1938,james,94
AR,,1948,Taylor,209
AR,F,1942,Jennifer,13
,M,1959,John,157
AR,F,1951,Taylor,84
AR,F,1936,Linda,14
AR,F,2005,Taylor,199
AR,M,1950,Taylor,407
AR,M,1994,Casey,281
AR,M,1960,Robert,755
AR,M,1917,John,12
AR,F,1975,Mary,283
AR,F,1991,Alex,479
,M,1966,James,
AR,F,1925,linda,17
AR,M,1958,James,390
AR,M,1953,John,57
AR,F,1986,Taylor,18
AR,M,2004,Robert,21
AR,M,1990,Taylor,37
AR,F,1935,Casey,7
AR,F,1992,Patricia,24
AR,M,1934,casey,471
,F,2020,Alex,114
AR,F,2008,Patricia,108
AR,,1978,Casey,9
AR,M,1938,Michael,11
AR,M,2017,jordan,89
AR,M,1928,Jennifer,
AR,F,1940,,9
AR,M,1936,James,16
AR,F,1976,Casey,474
AR,F,1983,Mary,104
AR,M,1984,Michael,280
AR,M,1998,Alex,60
AR,,1995,John,976
AR,M,1927,Michael,18
AR,M,1979,james,
AR,F,,Jordan,244
AR,M,1989,James,1098
AR,M,1985,Michael,771
AR,F,1963,Jennifer,1270
AR,M,1914,Robert,7
AR,F,1931,Patricia,210
AR,F,,Linda,8
AR,F,1945,,1026
AR,F,2002,Jennifer,628
AR,M,1980,Alex,292
AR,F,2017,Taylor,747
AR,F,2015,Mary,21
AR,F,1991,Linda,728
AR,,1992,,783
AR,M,2016,Taylor,852
AR,M,2019,Taylor,129
AR,F,2014,Mary,160
AR,M,2017,Patricia,503
AR,F,1974,Jennifer,731
AR,M,1966,Michael,85
AR,M,2019,Alex,10
AR,M,2016,Robert,11
AR,,1974,Taylor,1026
AR,F,1983,Taylor,396
AR,M,2001,James,67
AR,M,1954,Alex,368
AR,F,1910,Patricia,33
,F,2016,Patricia,20
AR,F,1955,Taylor,113
AR,F,,Alex,196
AR,F,1965,Mary,803
AR,M,1977,James,583
AR,M,2008,Taylor,80
AR,F,2008,Linda,160
AR,F,2016,John,25
AR,M,2001,,480
AR,M,,Jordan,
AR,F,1950,,130
AR,F,2010,linda,615
AR,F,2018,Jordan,400
AR,F,1931,Jennifer,8
AR,F,1947,Alex,12
AR,M,1962,Jordan,23
AR,M,1928,Michael,14
AR,F,1959,Jordan,35
AR,M,1959,Robert,13
AR,F,1921,Jordan,6
AR,F,1938,Linda,27
AR,F,2012,Taylor,24
AR,M,1944,John,97
AR,M,1927,John,11
AR,M,1910,Jordan,7
AR,F,1990,Jennifer,51
AR,M,1963,,731
AR,F,1946,Jennifer,656
AR,F,2006,Alex,788
AR,M,1928,Michael,14
AR,M,1996,James,379
AR,M,2016,John,206
AR,M,1938,Robert,37
AR,F,1968,Jordan,302
AR,F,1980,Jordan,1370
AR,F,1932,,17
AR,F,1988,Robert,514
AR,M,1977,Jordan,863
AR,M,1986,James,22
AR,M,2005,Robert,8
AR,F,1967,Alex,44
AR,F,2012,Mary,726
AR,M,1972,Michael,478
AR,F,1971,Mary,141
AR,F,1995,Alex,374
AR,F,1915,Casey,35
AR,F,2015,Alex,33
AR,F,1920,Taylor,44
AR,M,1994,Alex,167
AR,F,1975,Taylor,135
AR,,1985,Linda,10
AR,M,1951,Michael,984
AR,F,1937,Jennifer,320
AR,F,2001,James,19
AR,F,1910,Taylor,13
AR,F,1943,Alex,77
AR,M,1981,John,273
AR,,1972,Jordan,
,M,1932,Robert,39
AR,F,2009,Casey,13
,F,1918,Casey,51
AR,F,1961,casey,135
AR,M,1965,Michael,78
AR,M,2001,John,65
AR,F,1977,Mary,
AR,M,1968,John,502
AR,M,,James,9
AR,M,1965,Taylor,156
,M,1963,Casey,59
AR,F,1999,Mary,954
AR,M,1916,Jordan,210
AR,M,1991,Casey,172
,F,1943,Mary,41
AR,M,2002,Robert,107
AR,M,1910,Mary,33
AR,F,1967,Linda,1018
AR,M,1999,Casey,121
AR,M,1958,John,986
AR,M,1994,Taylor,18
AR,M,1924,Alex,58
AR,F,1925,Casey,6
AR,F,1925,Jennifer,21
AR,M,1962,Michael,
AR,F,1942,Jordan,458
AR,F,1962,Linda,163
AR,F,1989,Mary,83
,F,1991,Casey,521
AR,M,1980,Jordan,488
AR,F,1988,Mary,338
AR,M,1939,Casey,20
AR,F,1920,Linda,9
AR,M,2012,Taylor,171
AR,M,2001,jordan,130
AR,M,1966,Jordan,
AR,F,2002,,294
AR,M,1974,Jordan,120
AR,F,1979,Alex,226
,M,1987,John,281
AR,M,1931,Casey,31
AR,F,1982,Linda,470
AR,,1983,Jordan,691
AR,F,2002,Mary,749
AR,M,1957,John,149
AR,F,1989,Linda,452
AR,F,1938,mary,297
AR,M,1942,James,86
AR,F,2010,Casey,39
AR,F,1974,Mary,
AR,,1964,,96
AR,F,1926,Jennifer,279
AR,F,1962,Jennifer,27
AR,F,1961,Jordan,533
AR,M,1924,James,126
AR,F,1918,Patricia,95
AR,F,1965,Taylor,578
AR,F,2019,Jordan,270
AR,M,1927,Jordan,138
AR,F,2003,Patricia,47
AR,F,1995,Mary,
AR,M,2012,James,5
,F,2009,Patricia,
AR,M,2015,John,664
AR,F,,Jennifer,153
AR,M,1987,Patricia,906
AR,F,1997,Jennifer,785
AR,F,1992,Linda,69
AR,F,1963,Mary,65
AR,F,1975,Jennifer,859
AR,M,1946,Michael,185
AR,F,1999,jordan,691
AR,F,1939,Patricia,227
AR,M,1924,Alex,58
AR,M,1967,Casey,658
AR,F,1989,Taylor,36
AR,F,1941,Robert,109
AR,M,1983,Robert,293
AR,F,,Casey,50
AR,M,1924,Jordan,12
AR,M,1987,Michael,655
AR,F,1936,Alex,140
AR,M,1933,James,52
,F,1954,John,21
AR,M,1918,Casey,97
AR,,1998,Jennifer,25
AR,F,1939,Casey,74
AR,M,1981,Taylor,197
AR,F,1983,Jennifer,240
AR,M,1958,Michael,59
AR,M,1961,Michael,593
AR,M,1990,Casey,38
AR,F,2001,Casey,57
AR,M,1918,james,62
AR,F,1945,Alex,
AR,F,1994,Casey,141
AR,F,,,55
AR,M,1974,Patricia,108
AR,F,1981,Jennifer,94
AR,F,2013,Taylor,180
AR,F,2021,Mary,401
AR,,2017,Mary,605
AR,F,1980,Taylor,268
AR,M,2012,Alex,30
,M,1957,Robert,572
AR,F,2015,Taylor,175
,M,2016,James,249
AR,M,1920,Michael,39
AR,M,1940,Jordan,22
AR,,1939,Alex,93
AR,M,1939,Taylor,97
AR,F,1994,Mary,20
AR,M,1945,,9
AR,F,1989,Jordan,204
AR,M,2014,John,173
AR,M,2007,jordan,875
AR,,1977,John,426
AR,M,1948,Robert,
AR,F,1937,Alex,53
,M,1922,Michael,21
AR,M,1931,Robert,23
AR,F,1971,Linda,930
AR,M,2017,John,312
AR,M,1980,Mary,
AR,M,1982,,761
AR,M,1975,Jennifer,326
AR,M,,Taylor,7
AR,M,2000,michael,107
AR,,1968,linda,21
AR,F,1942,Linda,17
AR,M,,John,62
AR,M,2004,John,633
AR,M,1995,,359
,F,1960,Casey,901
AR,M,1973,John,136
AR,F,1995,Linda,114
AR,F,2007,Taylor,35
AR,F,1947,jordan,524
AR,M,1930,Casey,235
AR,M,2012,John,23
AR,M,,Casey,9
AR,M,1978,Taylor,157
AR,M,1945,James,39
AR,F,2022,Jordan,90
AR,F,1979,Jordan,
,F,1997,Taylor,427
AR,F,1943,Casey,430
AR,M,1974,casey,772
AR,F,1917,Alex,7
AR,F,1991,Jordan,155
AR,M,1924,Michael,186
AR,M,1978,,678
AR,F,1974,Jordan,
AR,F,1973,Casey,945
AR,F,1999,Taylor,256
AR,M,1991,jordan,400
AR,F,2000,Alex,45
AR,M,1986,Alex,1073
AR,M,1960,Mary,
AR,F,1922,Mary,163
AR,F,1972,Jennifer,133
AR,F,1927,Linda,18
AR,M,1992,Michael,443
AR,M,1962,Robert,501
AR,M,1969,Taylor,531
AR,F,1984,Patricia,475
AR,M,1944,Robert,721
AR,F,,Jordan,553
,F,1973,Patricia,78
AR,F,1956,Linda,1170
AR,F,1933,Linda,112
AR,F,2000,Jennifer,572
AR,M,2004,Taylor,618
AR,F,1962,Taylor,243
AR,M,1969,Casey,185
,F,2013,,11
AR,F,1927,Jennifer,15
AR,M,1958,,583
AR,M,1961,Taylor,106
,F,2018,Mary,29
AR,F,1995,Taylor,28
AR,F,1978,John,716
AR,M,1933,Taylor,20
AR,M,2008,James,34
AR,M,1941,Jordan,18
AR,F,1947,Taylor,21
AR,M,1996,Alex,1091
AR,M,1914,Jordan,9
AR,M,1960,Taylor,124
AR,M,1943,Michael,62
AR,M,,Alex,661
,M,2016,Jennifer,418
AR,F,1949,James,141
AR,M,1940,Taylor,337
AR,M,1987,Casey,963
AR,F,1927,Alex,36
AR,M,1912,John,12
AR,M,2010,Taylor,207
AR,,1950,Casey,197
AR,F,2013,Mary,189
AR,F,1995,Jordan,245
AR,F,2001,Taylor,881
,M,,Alex,70
AR,F,1968,Casey,342
AR,F,1956,Taylor,30
AR,F,1913,Alex,94
AR,M,1942,Casey,10
AR,M,2002,John,22
AR,M,1970,James,258
AR,M,1963,Robert,558
AR,F,1977,Taylor,87
AR,M,1947,Michael,11
AR,F,1935,Jordan,24
AR,M,1961,Casey,59
AR,F,1916,Jennifer,8
AR,F,1961,Robert,254
AR,F,1946,Jordan,105
AR,F,1966,Casey,280
AR,F,1965,Casey,15
AR,M,,Alex,483
AR,F,1969,patricia,60
AR,M,2021,,22
AR,F,1975,Alex,295
AR,M,1949,Michael,117
AR,F,2017,Alex,60
AR,F,1941,jordan,38
AR,M,1999,Robert,233
AR,M,,Taylor,11
AR,F,2003,Jordan,66
AR,M,2008,John,
,M,1943,James,
AR,M,,Jordan,47
AR,M,1999,Michael,250
AR,F,1953,Casey,401
AR,M,2019,patricia,36
AR,M,1952,James,535
AR,F,2001,mary,317
AR,F,1935,Alex,32
AR,F,2011,Linda,23
,F,2021,Jennifer,282
AR,M,1974,James,821
AR,F,1913,Casey,46
AR,F,1968,,1323
AR,M,1994,Jordan,51
AR,F,1955,mary,392
,M,1978,Michael,190
AR,F,1988,Jennifer,112
AR,F,1952,Taylor,18
AR,F,1976,Linda,476
,F,1962,Casey,228
AR,M,1976,Alex,310
AR,M,1920,Jordan,13
AR,M,1991,Alex,739
AR,M,1989,Taylor,322
AR,F,1989,Alex,310
AR,M,1968,Taylor,446
AR,M,1965,James,69
AR,M,2014,Robert,133
AR,F,1991,Jennifer,588
AR,F,1964,Taylor,270
AR,M,1971,michael,37
AR,M,2008,Robert,34
AR,M,1973,Alex,178
AR,F,1950,Patricia,17
AR,F,1988,Alex,178
AR,F,1979,Casey,898
AR,F,2015,Patricia,192
AR,F,1939,Alex,56
AR,M,1926,James,135
AR,M,1993,Casey,99
AR,F,,,96
,M,1947,Casey,38
AR,M,1964,Taylor,182
AR,M,2005,jordan,994
AR,F,2017,Jordan,86
AR,F,1990,Patricia,
AR,M,2008,Jordan,388
AR,F,1992,Mary,51
AR,F,1966,Linda,273
AR,F,1916,Linda,5
AR,F,1953,Patricia,511
AR,M,2006,Casey,55
AR,M,1982,Michael,187
AR,F,2000,Casey,336
AR,M,1943,Michael,62
AR,M,2009,Taylor,411
AR,M,1992,taylor,69
AR,F,1962,Robert,356
AR,M,2000,Alex,433
AR,F,2013,Linda,55
AR,M,1960,Michael,83
AR,M,1960,Jordan,245
AR,F,1967,Taylor,422
AR,M,2022,Jordan,147
AR,M,2000,Robert,92
AR,F,2012,Jennifer,37
AR,M,1979,Alex,254
AR,F,1986,Jordan,732
AR,F,1997,,84
AR,F,1953,Taylor,248
AR,M,1998,Robert,43
AR,M,1976,Taylor,41
AR,F,1979,Patricia,474
AR,M,1996,Casey,651
,M,1932,Alex,21
AR,F,1967,Jennifer,65
AR,F,1932,Robert,
AR,M,1981,Linda,335
AR,F,1984,,104
AR,M,1988,Robert,90
AR,F,1966,Jordan,673
AR,M,1936,John,8
AR,M,1952,John,147
AR,F,2008,Robert,12
,M,1979,Jordan,434
AR,M,1969,John,
AR,F,1982,Taylor,15
AR,F,1933,Alex,151
AR,M,1975,alex,830
AR,M,1977,,421
,F,1921,Mary,126
AR,M,1978,Jordan,682
AR,M,1991,James,524
AR,F,1931,Mary,28
AR,F,1939,Mary,116
AR,M,1954,Taylor,730
AR,F,1979,Linda,938
AR,F,1999,Linda,466
AR,F,1913,Mary,169
AR,M,,Jordan,39
AR,F,2012,Jordan,384
