state,sex,year,name,count
AZ,M,1977,John,177
,F,1970,Mary,631
AZ,M,2020,Taylor,209
AZ,M,1941,Alex,65
AZ,F,1952,Jennifer,11
AZ,F,1980,Mary,395
AZ,M,1979,Alex,123
AZ,M,1944,robert,687
AZ,F,1918,Jordan,49
AZ,,1929,Jordan,11
AZ,M,2015,Michael,9
AZ,M,1977,Casey,361
AZ,F,1973,Casey,151
AZ,M,2001,Taylor,55
AZ,M,1911,Jordan,30
AZ,M,1910,Robert,35
AZ,M,1972,John,189
AZ,F,1947,Mary,34
AZ,F,1944,Patricia,41
AZ,F,2022,alex,67
AZ,M,1931,John,178
AZ,F,,Jordan,383
AZ,M,1922,Jordan,
AZ,F,2010,John,28
AZ,F,1969,Alex,63
AZ,M,,John,691
AZ,M,2013,Mary,8
AZ,M,1978,Jordan,129
AZ,M,1971,Michael,
AZ,F,1983,Jennifer,20
AZ,M,2006,John,508
AZ,F,2017,Taylor,149
AZ,F,1980,Jennifer,57
AZ,M,1999,Jordan,602
AZ,M,1983,Casey,343
AZ,F,1936,Alex,5
AZ,F,1971,Mary,112
AZ,,1922,John,219
AZ,F,1954,Jordan,86
AZ,F,1991,Linda,125
AZ,F,2009,Mary,153
AZ,M,1982,Michael,446
AZ,M,1966,Michael,63
AZ,F,1971,Jennifer,336
,F,2020,Alex,74
AZ,F,,Jordan,88
AZ,M,,Casey,324
AZ,M,1911,Taylor,48
AZ,F,1962,Mary,689
AZ,M,1991,James,871
AZ,M,1985,James,766
AZ,F,,Patricia,20
AZ,F,1989,Jordan,822
AZ,F,2011,Alex,108
AZ,F,1942,Alex,497
AZ,M,,Michael,220
,F,1937,Patricia,89
AZ,F,1951,Patricia,1012
AZ,M,2009,John,35
AZ,M,2011,Michael,72
AZ,F,1970,Patricia,1482
AZ,M,2002,Patricia,467
AZ,M,1928,Taylor,42
AZ,M,2014,Casey,
AZ,F,1936,Jordan,136
AZ,M,2011,Alex,270
AZ,M,1974,Robert,33
AZ,M,1966,Casey,613
AZ,M,1972,Alex,
AZ,,1928,Michael,45
AZ,M,2021,Casey,571
AZ,M,1933,John,38
AZ,F,1997,Casey,16
AZ,M,1992,Jordan,48
AZ,F,1999,Jennifer,265
AZ,M,2022,Patricia,
