state,sex,year,name,count
CA,F,1996,Patricia,426
CA,M,1996,Robert,55
CA,F,1985,alex,249
CA,F,1961,Linda,88
CA,F,1977,Mary,1002
CA,F,1916,Linda,152
CA,F,1925,Casey,131
CA,F,2021,Patricia,
,F,2011,Mary,274
CA,M,1957,James,55
CA,M,2000,Jordan,83
CA,F,1960,Taylor,63
CA,F,2018,Jordan,17
CA,F,1990,Mary,78
CA,M,1956,James,27
CA,M,2014,Taylor,466
CA,M,1983,Casey,448
CA,M,1923,James,150
CA,M,,Michael,5
CA,F,1938,Taylor,109
CA,M,1936,Casey,6
CA,F,2001,Alex,
CA,F,2020,Linda,17
CA,M,2007,,871
CA,F,1967,Taylor,267
CA,M,1998,James,157
CA,,1938,Linda,90
CA,M,1964,John,235
CA,F,1921,Jennifer,303
CA,M,1991,Michael,201
CA,F,2019,Taylor,27
CA,M,1926,Jordan,539
CA,M,2004,Alex,
CA,F,1950,Casey,24
CA,F,1942,Mary,9
CA,F,1950,Michael,227
CA,M,1995,alex,201
CA,M,1972,Casey,547
CA,F,1952,Alex,128
CA,M,1997,Alex,195
CA,F,1982,Alex,595
CA,F,1911,Jordan,7
CA,F,1933,Taylor,
CA,F,1959,Patricia,21
CA,F,2022,Taylor,124
CA,M,2004,Robert,429
CA,M,2005,,
CA,M,2006,Casey,38
CA,F,1976,Mary,323
CA,M,2011,Michael,356
CA,M,2021,john,64
CA,M,1931,Casey,39
CA,M,1937,taylor,8
CA,M,2020,Alex,256
CA,F,2002,mary,13
CA,F,1980,Jennifer,366
CA,M,1919,James,35
CA,M,1983,Michael,359
CA,M,1969,,101
CA,M,1993,Robert,81
CA,F,2021,Jennifer,358
CA,F,1980,Casey,293
CA,F,1919,Casey,113
CA,F,1944,Mary,372
CA,M,1992,Alex,433
CA,F,1928,Mary,68
CA,F,2003,,843
CA,M,1941,John,256
CA,M,1945,James,5
CA,M,2008,Michael,6
CA,M,1962,James,191
CA,M,1946,Robert,50
CA,M,1977,John,125
CA,M,1988,James,
,F,1985,Casey,781
CA,,2008,Mary,62
CA,F,1945,Patricia,432
CA,M,1982,James,277
CA,F,1933,James,204
CA,F,1919,Alex,26
CA,F,1966,Jennifer,579
CA,M,1950,Robert,37
CA,F,2009,Jordan,318
CA,M,2009,Michael,506
CA,M,1988,Casey,440
CA,F,1949,Casey,239
,M,2017,Michael,7
,M,1942,James,339
CA,F,1951,Jordan,977
CA,F,1996,Jordan,759
CA,M,1949,Michael,457
CA,F,1966,Jordan,517
CA,,,Jordan,247
CA,F,,Linda,210
CA,F,1999,Linda,372
CA,,2019,Michael,408
CA,M,1952,,300
CA,F,1933,Alex,9
CA,F,2002,Casey,422
CA,M,1948,michael,9
CA,F,1993,Taylor,330
CA,F,1968,Patricia,76
CA,,,Linda,1221
CA,M,1920,James,169
CA,M,2010,Jordan,64
CA,F,1974,michael,479
CA,F,1986,Jennifer,523
CA,M,1995,John,1278
CA,F,1990,Jordan,907
CA,M,1939,James,235
CA,F,1940,Michael,111
CA,F,1978,Jordan,7
CA,M,1971,James,343
CA,M,1988,Alex,402
CA,M,1980,Robert,333
CA,,2019,jennifer,170
CA,F,1938,Jennifer,21
CA,M,,,110
CA,M,2015,Robert,
CA,M,1959,Casey,100
CA,F,2014,Robert,581
CA,M,1983,Taylor,324
CA,M,1998,Casey,141
CA,F,,Patricia,487
,F,1992,Alex,672
,,2015,Robert,6
CA,M,1966,James,121
CA,M,1936,Alex,108
CA,M,2000,Alex,713
CA,,1945,Alex,6
CA,F,2014,Mary,8
CA,F,1983,Mary,182
CA,F,1981,Mary,472
CA,M,1952,John,10
CA,,1995,Michael,535
CA,F,1985,Patricia,70
CA,M,1932,John,62
CA,F,1979,Jordan,323
CA,M,1918,Michael,19
CA,,1958,Patricia,182
CA,F,1972,Jennifer,377
CA,F,2004,Alex,247
CA,F,1942,Patricia,73
CA,M,1995,James,245
CA,F,1920,taylor,327
CA,M,2010,Casey,466
CA,F,1973,,1118
CA,,1943,Jordan,400
CA,F,1963,Mary,75
CA,F,1992,Mary,61
CA,M,1961,,635
CA,F,2017,Jordan,463
CA,M,1965,Jordan,348
CA,M,2013,Michael,10
CA,F,1916,Mary,79
CA,F,1930,Robert,10
,F,2005,,61
CA,M,1948,Robert,1087
CA,M,2001,,290
CA,,2014,Alex,414
CA,M,1982,Taylor,530
CA,F,1995,Mary,19
CA,F,1980,Patricia,107
CA,M,1940,James,10
CA,M,2006,Alex,75
CA,F,1993,Jennifer,169
CA,M,,,269
CA,F,1989,Patricia,65
CA,F,1976,Patricia,
CA,F,2009,Mary,167
CA,F,1947,Casey,7
CA,M,1937,James,49
CA,M,1980,Casey,148
CA,F,1953,Jordan,438
,,2020,Casey,344
CA,F,1946,Jordan,1244
CA,F,1931,Mary,70
CA,M,1962,Alex,1267
CA,F,1940,Casey,30
CA,F,1956,Jennifer,59
CA,F,1926,Mary,10
CA,F,1970,Linda,165
CA,F,1984,Casey,323
CA,F,1959,Alex,37
CA,F,2006,,417
CA,M,1987,James,671
CA,,1958,Jordan,
CA,M,2008,Robert,73
CA,M,1968,,297
CA,M,,Patricia,206
CA,M,,,222
CA,M,1984,James,349
CA,F,1976,James,505
CA,M,1951,Michael,244
CA,F,2020,Jordan,
CA,F,2006,mary,20
CA,M,1944,Taylor,5
CA,,1938,Alex,6
CA,M,1915,Robert,84
CA,F,1949,Patricia,74
CA,M,1942,Casey,442
,M,1935,Robert,485
CA,M,1950,Alex,134
CA,M,1999,Alex,367
CA,F,1959,Casey,639
CA,F,1939,Mary,131
CA,F,,,
CA,F,1996,Alex,39
CA,M,1926,,6
CA,F,1948,Linda,
CA,F,1984,Patricia,12
CA,F,1936,Patricia,90
CA,M,1928,James,14
CA,F,2004,Jordan,179
CA,F,2015,Mary,269
CA,F,,,136
CA,M,1960,James,62
CA,F,1932,Patricia,199
CA,F,1963,Jordan,44
CA,F,1910,Jordan,10
CA,F,2016,Taylor,67
CA,M,1912,Taylor,12
CA,F,1995,Alex,255
CA,F,1952,Linda,45
CA,M,2018,Casey,24
CA,F,1979,Alex,43
CA,F,1928,Casey,352
CA,F,1918,Mary,11
CA,F,2013,Casey,38
CA,M,1962,John,152
CA,M,1955,John,1151
CA,M,1988,Taylor,
CA,F,2004,Taylor,57
,M,,John,293
CA,M,1969,taylor,357
CA,M,2021,James,179
CA,F,1935,Linda,96
,M,1961,,142
CA,M,1918,John,14
CA,M,1961,Jordan,842
CA,F,1987,Linda,90
CA,F,1952,Jennifer,228
CA,F,1984,Linda,272
CA,M,1981,Jordan,180
CA,F,1940,Mary,806
CA,M,2017,Jordan,11
CA,F,1975,Jordan,199
CA,F,1969,Alex,90
CA,M,2021,Alex,118
CA,M,2009,,851
CA,M,1945,Casey,25
CA,M,1965,James,463
CA,M,1964,Robert,364
CA,F,1928,Jennifer,121
CA,,1974,Mary,649
CA,M,2007,Alex,35
CA,M,1976,Robert,33
CA,F,1994,,508
CA,F,1983,Linda,73
CA,F,1975,Jordan,199
CA,F,1973,jennifer,
CA,,1912,Jennifer,122
CA,,1984,Michael,302
CA,M,1973,,478
CA,M,1930,John,10
CA,F,1951,,185
CA,M,1959,Taylor,821
,,1989,Taylor,39
CA,M,1973,John,675
CA,M,2004,Jordan,658
CA,M,1982,Michael,580
CA,F,,Jennifer,248
CA,,1980,John,101
,F,1936,Jennifer,235
CA,F,1949,Patricia,74
CA,M,1993,Michael,444
CA,M,1985,John,524
CA,F,1953,,28
CA,F,2009,Patricia,557
CA,F,1996,Casey,
CA,F,1973,Jordan,151
CA,M,2015,Jordan,62
CA,F,2015,Alex,469
CA,M,1971,Casey,759
CA,M,,Jordan,21
CA,M,1962,Taylor,266
CA,,1958,Jordan,
CA,M,1917,,168
CA,F,2000,Taylor,635
CA,M,1953,Casey,793
CA,F,1970,Robert,297
CA,M,1996,Jordan,733
CA,M,2000,John,243
CA,F,1962,Jordan,
CA,F,2012,Taylor,325
CA,M,,Jordan,187
CA,M,1934,John,57
CA,F,,Patricia,282
CA,F,2002,Jennifer,44
,F,1992,Jordan,53
CA,M,1920,Casey,70
CA,F,1925,Taylor,26
CA,M,1992,James,40
CA,M,1978,Robert,120
CA,M,1939,James,235
CA,M,1925,John,9
CA,M,1989,Robert,821
CA,M,1974,Jordan,
CA,M,2016,Patricia,66
CA,M,1953,Robert,5
CA,M,1990,,168
CA,M,1931,Michael,29
CA,F,1923,mary,12
CA,F,2002,mary,13
CA,M,1953,James,38
CA,F,2017,Casey,6
CA,F,1975,Alex,172
CA,F,1982,Casey,63
CA,,1981,Alex,133
CA,F,2016,Patricia,17
CA,M,1940,,
CA,F,1993,Jordan,295
CA,F,1997,Jennifer,59
CA,F,2007,Alex,1139
CA,F,1974,Jordan,316
CA,F,1943,Casey,78
CA,F,1988,Casey,321
CA,F,1933,John,95
CA,M,2017,John,75
CA,F,,John,5
CA,M,1952,Michael,223
CA,F,1990,James,273
CA,M,2008,Linda,21
CA,F,1977,Linda,52
CA,F,1990,Taylor,471
CA,M,,James,73
CA,F,1923,Jennifer,24
CA,F,2012,Alex,154
CA,F,1964,Alex,825
CA,F,1933,Linda,255
CA,F,1939,Jennifer,415
CA,F,2010,Jordan,57
CA,F,2016,Mary,486
CA,M,1945,Taylor,177
CA,M,1948,John,176
CA,F,,Mary,234
,,2020,Casey,344
CA,F,1988,Alex,87
CA,F,1957,Mary,
CA,M,,Casey,54
CA,F,,Patricia,144
CA,M,1974,Michael,124
CA,M,1999,Jordan,247
CA,F,1959,Linda,25
CA,M,1961,James,1410
CA,M,1949,John,36
CA,M,1958,James,39
CA,F,1998,Casey,221
CA,M,1989,Michael,23
CA,F,1956,Alex,859
CA,M,1946,taylor,354
CA,F,1994,Jennifer,194
CA,F,1997,Mary,
CA,F,1965,Jennifer,702
