state,sex,year,name,count
CO,F,1935,Jennifer,191
CO,F,2018,Casey,41
CO,M,1949,Taylor,978
,M,1943,Casey,
CO,F,1999,Taylor,514
CO,F,2015,,91
,,1961,michael,
CO,F,2007,Mary,439
CO,F,1962,Patricia,448
CO,F,1939,Casey,5
CO,F,2003,Jordan,64
CO,F,2008,Jennifer,300
CO,F,,taylor,108
CO,M,2011,Alex,29
CO,F,1972,Mary,188
CO,M,1960,James,479
CO,F,,Jordan,106
CO,M,1962,Michael,745
CO,M,1991,James,119
CO,M,1934,James,58
CO,M,,Alex,628
CO,M,1965,Taylor,549
,F,1967,Patricia,536
CO,M,1921,Alex,34
CO,F,1985,Jennifer,173
CO,F,1964,Linda,229
CO,F,2006,Alex,306
CO,F,1957,Robert,21
CO,F,1995,Alex,473
CO,F,1923,Casey,7
CO,M,1948,Taylor,820
CO,M,1990,Robert,84
CO,F,1918,Linda,
CO,M,1967,John,694
CO,F,2017,Patricia,404
CO,F,1951,Jordan,11
CO,F,1998,Casey,173
CO,M,1944,Alex,20
CO,F,1953,,206
CO,F,1981,Patricia,380
CO,M,,john,128
,M,1941,James,33
CO,M,1951,Jordan,511
CO,M,1976,Casey,92
CO,F,1940,Mary,6
CO,F,1916,Michael,33
CO,M,1967,Alex,86
CO,F,1930,Jennifer,20
CO,,1999,Patricia,345
CO,F,1932,Casey,
CO,M,1979,Michael,369
CO,M,2000,Michael,1041
CO,F,2016,Jennifer,271
CO,F,1994,Alex,413
CO,,1989,Michael,421
CO,F,1942,Casey,82
CO,M,1946,Michael,168
CO,F,,Patricia,125
CO,F,1962,Alex,299
,F,1977,Jennifer,303
CO,F,1989,Linda,257
CO,M,1943,Robert,515
CO,M,,Casey,513
CO,F,1996,Casey,185
CO,M,2002,John,298
CO,,1990,James,264
CO,F,1969,,
CO,M,1993,James,100
CO,M,1977,Taylor,1076
CO,F,2001,Taylor,208
CO,M,2002,Jordan,105
,M,1945,Jordan,153
CO,F,2002,Jordan,11
CO,M,1951,Alex,265
CO,M,1959,Michael,10
CO,F,1931,Mary,555
CO,M,1949,Casey,29
CO,F,1990,James,183
CO,M,1943,John,292
CO,M,1980,John,106
,F,1991,Taylor,610
CO,M,1935,John,31
CO,M,1973,Alex,554
CO,F,1973,Jennifer,83
CO,M,2010,Taylor,495
CO,F,1918,Patricia,14
CO,M,1937,,9
CO,M,1999,Casey,111
CO,M,2003,Casey,
CO,F,1979,Jordan,287
CO,M,2003,John,
CO,F,1947,Casey,29
CO,M,1963,Michael,93
CO,M,1931,Michael,7
CO,F,1979,Alex,203
CO,F,1974,Taylor,246
,M,2006,Mary,114
CO,M,1925,Michael,19
CO,M,1985,,601
CO,F,1952,Taylor,
CO,F,1983,Casey,578
CO,M,1974,Michael,323
CO,F,1983,mary,940
CO,M,1918,Taylor,13
CO,M,1942,Casey,134
CO,F,1994,Michael,1007
CO,,2006,Taylor,124
CO,F,1993,Taylor,441
CO,F,,,58
CO,F,1992,Casey,172
CO,,,Robert,76
CO,M,2015,Robert,407
CO,M,1968,Robert,271
CO,M,1997,James,466
CO,M,2001,John,318
,M,,Michael,139
CO,,1921,Casey,197
CO,F,2013,Alex,378
CO,M,1986,Casey,1037
CO,M,1955,Robert,296
CO,M,1977,John,
CO,M,1976,Alex,352
CO,F,1931,Taylor,17
CO,F,1937,Casey,23
CO,M,1988,James,684
CO,M,1999,Jordan,404
,F,1942,Taylor,291
CO,F,1970,,605
CO,M,1960,Robert,214
CO,F,1989,Mary,597
CO,M,2014,Jordan,67
CO,M,2003,Linda,34
CO,M,1918,Jordan,29
CO,,1995,Linda,73
CO,M,1911,Patricia,43
CO,M,2016,Michael,443
CO,F,1987,Mary,475
CO,F,1934,Jordan,66
CO,M,1953,Casey,59
CO,F,1915,Alex,117
CO,M,1978,Taylor,145
CO,M,1978,James,637
CO,F,1961,Linda,212
CO,F,1910,Mary,72
CO,,2013,Linda,5
CO,F,,Linda,62
CO,M,2007,Michael,545
CO,M,2021,Taylor,69
CO,M,1979,Casey,228
CO,M,1915,,74
CO,F,1956,Taylor,1040
CO,F,1940,Jennifer,223
CO,,1970,James,726
CO,F,1943,Mary,10
CO,F,2012,Jennifer,15
CO,F,1925,Taylor,25
CO,M,1972,,888
CO,F,1983,Robert,639
CO,F,,Robert,150
CO,M,1976,Robert,
CO,M,1931,James,
CO,F,2022,casey,482
CO,M,1937,Robert,68
CO,M,1931,Taylor,15
CO,F,1984,Casey,517
CO,F,2015,Alex,6
CO,M,1969,Jordan,330
CO,F,1960,Jennifer,613
,M,,Robert,173
CO,F,1952,Jordan,445
CO,F,1968,Alex,269
CO,M,1952,John,19
CO,M,1971,James,297
CO,,1947,Jordan,104
CO,F,2010,Casey,164
CO,F,1966,Linda,171
CO,F,1944,Linda,472
CO,F,2013,Taylor,33
CO,M,2022,Alex,12
CO,F,2003,Mary,178
CO,M,1959,Casey,302
CO,M,2014,,76
CO,M,1934,Jordan,10
CO,M,1999,Alex,1054
CO,F,1978,Jordan,193
CO,M,1938,Casey,40
CO,M,1967,Casey,698
CO,F,1957,,34
CO,F,1950,Linda,122
CO,F,2008,linda,318
CO,M,1987,Jordan,196
CO,M,2020,Patricia,16
CO,F,1981,Linda,561
CO,F,1972,Patricia,77
CO,M,1918,John,90
CO,M,1986,James,236
CO,F,2001,Alex,71
CO,M,1945,Michael,9
CO,F,1987,Alex,747
CO,M,1963,Jordan,835
CO,,2017,Casey,130
CO,F,1999,Mary,266
CO,F,1942,Jennifer,
CO,F,1928,Alex,55
CO,F,1988,Patricia,547
CO,F,,Patricia,8
CO,M,1983,Robert,509
CO,F,2003,Alex,225
CO,F,1915,Patricia,32
CO,M,1965,Jordan,41
CO,M,2010,,721
CO,M,1990,Michael,264
CO,M,2016,Alex,775
CO,F,1942,mary,45
CO,M,1957,Casey,67
CO,F,1952,Patricia,172
CO,F,1927,Linda,296
CO,,1916,Jordan,24
CO,M,1928,James,7
CO,F,2007,Patricia,18
CO,F,1950,Jennifer,644
CO,M,1966,Taylor,26
CO,M,2003,Robert,25
CO,M,1982,Robert,18
CO,F,1921,Linda,82
CO,F,,patricia,676
CO,F,1951,Casey,24
CO,M,1928,Michael,137
CO,M,1914,James,23
CO,F,1953,Jordan,6
CO,M,1956,James,141
CO,F,1992,taylor,160
CO,M,2007,James,111
CO,,1948,Casey,191
CO,F,2001,Linda,387
CO,F,1983,Alex,43
CO,M,2010,Jordan,758
CO,M,1929,Casey,43
CO,M,2011,Taylor,88
CO,F,1923,Taylor,44
CO,M,2012,mary,88
,F,1993,Patricia,510
CO,M,1934,Alex,91
CO,F,1958,Jordan,481
,,1972,Robert,654
CO,F,1969,Casey,552
CO,F,1910,Linda,46
CO,M,2007,Linda,143
CO,F,1932,Alex,7
CO,F,1920,Patricia,15
CO,F,2018,Alex,364
