state,sex,year,name,count
CT,M,1999,Jordan,542
,F,2019,Taylor,444
CT,M,1920,Jordan,6
CT,M,1989,Patricia,389
CT,F,1971,Linda,80
CT,M,1952,Taylor,99
CT,M,,Robert,38
CT,F,1962,Taylor,227
CT,F,1967,Linda,279
CT,M,2012,alex,637
CT,M,1921,Jordan,11
,F,1982,Casey,13
CT,M,1984,Jennifer,432
CT,M,2010,Robert,491
CT,M,1937,John,70
CT,F,1929,jordan,60
CT,M,1957,James,111
CT,F,2001,Casey,416
CT,M,2022,Casey,214
CT,M,1990,James,111
CT,F,1986,Jordan,57
CT,M,1964,linda,34
CT,F,1974,jordan,156
CT,F,1979,Jordan,146
CT,M,,John,123
CT,F,1923,Patricia,327
CT,M,2004,James,130
CT,M,1992,Michael,624
CT,F,1957,Robert,314
CT,F,1991,Casey,238
CT,M,2015,Robert,578
CT,F,1946,Patricia,28
CT,,2009,Robert,5
,M,1998,John,25
CT,F,1970,Jordan,119
CT,F,1995,Alex,146
CT,M,1962,Casey,737
,F,1991,Jordan,243
CT,F,1966,Jordan,
CT,M,1953,James,30
CT,M,1943,Casey,69
CT,M,,Jennifer,56
CT,M,1925,taylor,14
CT,F,1967,Mary,220
CT,M,1954,John,33
CT,F,1967,Jordan,416
CT,F,1983,Alex,599
CT,M,1958,Michael,178
,M,1972,James,74
CT,M,1971,Alex,1060
CT,M,1914,Michael,23
CT,,1952,James,282
CT,,2005,John,104
CT,F,1957,Alex,847
CT,F,,Jordan,221
CT,F,1979,Jennifer,368
CT,M,1913,James,12
CT,F,2021,Jennifer,142
CT,M,2021,Jordan,122
CT,F,2010,,205
CT,F,1917,Jennifer,66
CT,F,1995,Jordan,385
CT,M,1991,Taylor,
CT,M,1929,James,14
CT,M,1976,James,311
CT,M,2002,Alex,1204
CT,M,1937,Jordan,26
CT,F,1994,Jordan,501
CT,M,1949,Robert,179
CT,F,,Mary,
CT,M,2004,Robert,176
CT,F,1998,Taylor,246
CT,M,2017,Taylor,6
CT,F,1994,Jennifer,53
CT,F,2017,Mary,82
CT,F,2013,Alex,85
CT,F,1915,Alex,79
CT,M,,john,37
CT,M,2011,James,40
CT,M,1927,Mary,7
CT,F,1945,Mary,8
CT,M,1978,Alex,67
CT,M,1934,Jordan,11
CT,F,,Jordan,
CT,F,1940,Linda,270
CT,F,1964,Patricia,424
CT,F,1989,Jennifer,233
CT,F,2018,Casey,41
CT,F,1979,Casey,203
CT,F,1967,Alex,135
CT,M,1995,Alex,351
CT,F,1919,Michael,8
CT,M,1941,Robert,645
CT,M,1949,John,70
CT,M,2013,Taylor,26
CT,F,2006,Patricia,5
CT,M,2017,Casey,489
CT,M,1976,Casey,446
CT,M,1947,Alex,771
CT,F,2014,Jennifer,149
CT,M,2019,patricia,10
,F,1926,linda,101
CT,F,1975,Patricia,157
CT,M,1914,Robert,
CT,F,1957,Mary,448
CT,F,2005,Jennifer,633
CT,M,1949,taylor,497
CT,F,1988,Alex,368
CT,M,1950,alex,33
CT,M,1959,Robert,
,M,1954,Michael,144
CT,M,1985,Casey,219
,M,2019,John,365
CT,F,1981,Taylor,284
CT,M,2001,James,768
CT,F,2012,Casey,26
CT,M,1976,John,156
CT,M,,Taylor,616
CT,F,1961,Casey,530
CT,M,2016,Mary,864
,,1958,Alex,661
CT,M,1994,Alex,426
CT,F,1937,Jordan,15
CT,M,1991,Casey,523
CT,F,1936,Jordan,45
CT,F,1949,Alex,800
,,1931,Alex,29
CT,F,2001,jordan,561
CT,F,1996,Linda,434
CT,M,1915,Robert,150
CT,F,2017,Linda,48
CT,F,1953,Jordan,967
CT,M,1973,Robert,99
CT,F,1927,Jennifer,91
CT,M,1955,Robert,51
CT,F,1988,Mary,101
CT,F,1972,Mary,10
CT,F,2010,james,321
CT,F,1949,Patricia,
CT,M,2014,Robert,
CT,M,1964,Casey,746
CT,F,1938,Jennifer,454
CT,M,1915,Casey,102
CT,M,2006,,173
CT,F,1947,Jennifer,553
CT,F,2016,John,266
CT,F,1996,Patricia,980
CT,F,1963,Jordan,
CT,F,1967,Taylor,142
CT,F,1976,Jennifer,173
CT,F,,Jennifer,410
CT,M,1962,Jordan,34
CT,F,1966,Patricia,56
CT,M,1970,Casey,256
CT,M,1956,,32
CT,F,1988,Jennifer,91
CT,M,1992,Taylor,68
CT,,1980,Casey,205
CT,F,1944,Linda,223
CT,F,,Linda,22
CT,F,1913,Patricia,31
CT,,1975,Taylor,36
CT,M,2000,James,543
CT,M,1982,Robert,220
CT,F,1941,Linda,148
CT,M,1949,casey,1009
CT,,1948,,71
CT,M,1956,Michael,
CT,F,1941,patricia,725
CT,M,2000,Jordan,69
,F,1981,Jennifer,149
,F,1997,Jordan,317
CT,M,1912,,8
CT,M,1927,Robert,30
CT,F,1997,Jennifer,833
CT,M,1998,alex,195
CT,M,2013,Jordan,274
CT,M,1980,Jordan,192
CT,M,1991,Mary,446
CT,M,1940,James,9
,M,1996,Taylor,760
CT,F,1974,Mary,60
,M,1947,Jennifer,306
CT,F,,Mary,
CT,F,1925,Casey,
,M,1993,Casey,17
CT,F,1963,Casey,927
CT,M,1982,Patricia,413
CT,M,1956,Alex,317
CT,M,2008,James,250
CT,M,1984,Alex,326
CT,F,,James,328
CT,F,1948,Casey,12
CT,M,1948,Michael,10
CT,F,1942,Alex,424
CT,M,1963,,14
CT,M,1925,James,54
CT,M,1940,Robert,
CT,M,1994,Michael,100
CT,F,2022,Mary,137
CT,F,1952,Patricia,139
CT,F,1930,Taylor,81
CT,M,1960,Michael,510
CT,M,,Casey,181
CT,F,1954,Mary,18
CT,M,1998,Casey,374
CT,F,1943,Jennifer,
CT,M,2018,Casey,56
CT,M,1919,Michael,8
CT,M,2005,Robert,126
CT,M,2012,Robert,819
CT,F,1992,James,45
CT,M,1938,John,118
CT,F,1969,Patricia,667
CT,F,1963,Alex,674
CT,F,2018,Jennifer,345
,M,1979,,604
CT,F,1917,Jordan,8
CT,M,1936,Michael,231
CT,F,2014,Jordan,419
CT,M,1934,John,82
CT,M,1967,Linda,175
CT,F,2020,Taylor,279
CT,M,1977,robert,64
CT,M,1959,Alex,122
CT,M,,Jordan,18
CT,F,1948,Linda,61
CT,M,1977,Taylor,254
CT,F,1973,Jennifer,310
CT,M,1993,James,40
CT,F,1952,Jennifer,199
CT,M,2022,John,344
CT,M,2000,Alex,433
,M,1957,Robert,503
CT,F,1919,Michael,8
CT,F,1987,Mary,66
,F,1994,Mary,166
CT,M,1949,James,349
CT,M,2004,Jordan,17
CT,F,2020,Casey,186
CT,M,2010,Alex,291
CT,M,1981,Robert,700
CT,M,1955,Taylor,624
CT,F,2015,Taylor,411
CT,F,1977,Linda,277
CT,F,1943,Jordan,7
CT,M,1958,Robert,440
CT,F,1986,Patricia,689
CT,F,1981,Linda,33
CT,M,2005,Jordan,32
CT,F,,Alex,884
,F,1932,Alex,25
CT,M,1961,John,39
CT,F,2002,Patricia,289
CT,M,1975,Robert,492
CT,F,1987,Taylor,193
CT,F,1955,Linda,113
CT,F,1998,Mary,12
CT,M,1964,Robert,115
CT,M,1968,John,562
CT,M,2013,Mary,423
CT,F,2018,Mary,538
CT,,1998,Robert,214
CT,F,2012,patricia,105
CT,F,1913,Linda,7
CT,F,1963,Jennifer,132
CT,M,1973,Alex,13
CT,F,2002,Mary,24
CT,F,1976,Mary,285
CT,M,1917,Alex,11
,F,1965,Mary,541
CT,F,,Jennifer,221
CT,M,1945,Alex,335
CT,M,1996,James,712
CT,M,,Michael,183
CT,F,1975,Michael,478
CT,,1936,Casey,5
CT,M,1975,Taylor,93
CT,M,1997,Casey,802
CT,M,,alex,14
CT,M,1941,James,22
CT,M,1966,Alex,168
CT,,2011,Patricia,38
,F,1959,Jordan,145
CT,F,1933,Jennifer,94
CT,M,1933,Taylor,8
CT,M,1925,John,7
CT,F,1955,Mary,639
CT,F,1927,Taylor,106
CT,M,1955,Alex,425
CT,F,1987,Jennifer,
CT,M,1975,James,155
CT,M,1977,Michael,320
CT,M,1959,James,111
CT,F,1919,Robert,186
CT,M,2009,Casey,132
CT,F,,Patricia,793
CT,M,1942,Jordan,16
CT,F,1980,Patricia,272
CT,,1959,Linda,283
CT,M,1943,Michael,73
,,1990,Jordan,455
CT,M,1930,Robert,382
,F,1994,John,545
CT,,1932,Taylor,723
CT,M,1971,John,238
CT,F,2006,Jordan,9
CT,M,2021,Robert,51
CT,F,1961,Jordan,88
CT,F,2011,Jordan,109
CT,F,1971,Alex,192
CT,F,1999,Taylor,
CT,F,1936,Alex,32
CT,F,1963,Mary,248
CT,F,1944,Alex,74
CT,F,2001,Patricia,289
,F,,Patricia,162
CT,M,1946,,9
CT,M,1932,Alex,120
CT,M,1976,Michael,170
CT,,1977,Alex,979
CT,F,,Taylor,188
CT,,1956,Casey,53
CT,M,1956,Jordan,280
CT,M,1960,John,18
CT,M,1981,Michael,635
CT,F,1998,Jennifer,518
CT,F,1989,Jordan,555
CT,M,2020,jordan,201
CT,M,1943,Linda,30
CT,F,1964,Alex,54
CT,F,1949,John,6
CT,M,1967,Casey,31
CT,M,2001,Jennifer,
CT,M,1994,,693
CT,M,2008,John,830
CT,M,1978,,713
CT,M,1981,John,1213
CT,M,2008,Casey,87
CT,M,1989,Michael,190
CT,F,1945,Patricia,52
CT,M,,James,976
CT,F,1968,Taylor,69
CT,,1943,,98
CT,F,1991,Linda,63
,M,2014,,26
CT,M,1962,John,298
CT,M,2016,Taylor,359
CT,F,1975,Jordan,339
CT,F,1922,Mary,75
,M,2005,Alex,432
CT,F,1953,taylor,20
CT,M,1915,Casey,102
CT,M,1982,Alex,342
CT,F,1970,Casey,116
CT,M,1974,robert,808
CT,M,1942,,34
CT,M,1919,,62
