state,sex,year,name,count
DC,M,1937,John,157
DC,F,1960,Robert,163
DC,F,2008,Linda,314
,F,1939,Taylor,176
DC,M,2008,James,55
DC,F,1919,Mary,5
DC,F,2003,Mary,155
DC,F,1953,Linda,173
DC,M,1933,Casey,27
DC,F,2018,Linda,12
DC,F,1999,Jennifer,837
DC,M,1933,John,116
DC,F,1929,Jordan,15
DC,M,1990,Jordan,12
,M,2004,Jordan,28
DC,F,1950,Mary,26
DC,F,1995,Taylor,774
DC,F,2015,Mary,365
DC,,1990,Alex,653
DC,M,1938,Robert,109
DC,F,1991,Alex,15
DC,F,1994,Patricia,149
,F,1940,Jordan,23
DC,M,2021,Alex,435
DC,,1984,Jordan,194
DC,M,1986,Jordan,147
DC,F,1922,Patricia,87
DC,M,2012,Robert,31
DC,M,1964,James,261
DC,M,1961,Casey,161
,F,2018,Jordan,14
DC,F,1998,Michael,715
DC,,,John,1021
DC,M,,,111
DC,F,1959,taylor,151
DC,M,1924,Taylor,48
DC,M,1924,John,22
DC,F,1938,Alex,89
DC,M,1999,Taylor,114
DC,F,1969,Mary,152
DC,F,2011,,534
DC,F,2007,Casey,346
DC,F,2009,Mary,21
DC,M,1952,Robert,11
DC,M,2001,Casey,542
DC,M,2003,Casey,63
DC,M,1975,James,101
DC,F,1970,Jordan,
DC,M,1969,,285
DC,F,2018,Mary,144
DC,F,1939,Mary,
DC,F,1947,Alex,38
DC,M,1969,John,73
DC,F,1996,Alex,89
DC,M,1959,Casey,496
DC,F,1944,Linda,1039
DC,M,1966,John,96
,M,2011,Jordan,17
DC,F,1934,Jennifer,10
DC,F,1963,Alex,79
DC,F,1984,Mary,393
DC,M,2006,Jordan,13
DC,M,,Robert,30
DC,F,1953,Alex,199
DC,M,1943,James,36
DC,M,1959,Michael,255
DC,F,1946,linda,845
,F,1974,Patricia,427
DC,F,2015,Linda,554
DC,M,2000,Michael,235
DC,M,1951,James,13
DC,M,2004,Casey,26
DC,F,1959,Jennifer,113
DC,F,1936,Taylor,15
DC,M,2007,Casey,477
DC,F,1986,Taylor,146
DC,M,1958,Robert,595
DC,M,2000,Alex,36
DC,M,1930,Casey,5
DC,M,1970,Michael,406
DC,F,1952,Mary,259
DC,,1955,Jordan,85
DC,M,1918,Jordan,60
DC,F,1942,Jordan,17
DC,M,1993,Jordan,153
DC,M,2010,Jordan,538
DC,M,1950,John,22
DC,M,2019,Casey,468
DC,M,1910,Robert,36
DC,M,1918,john,
DC,M,1961,Robert,671
DC,M,1945,Michael,1158
DC,F,1921,Patricia,10
DC,F,1913,Linda,19
DC,M,1934,Casey,59
DC,M,1943,Robert,124
DC,M,2011,John,26
DC,M,1982,John,
DC,M,2014,Jordan,142
DC,M,1993,Casey,191
DC,F,1984,Taylor,608
DC,M,2022,James,648
DC,M,1916,Robert,58
DC,M,2009,Michael,462
DC,F,1991,Jordan,
DC,F,1980,Jennifer,
DC,M,1971,James,1144
DC,F,2000,Jordan,294
DC,M,1997,Taylor,
DC,M,2007,Jennifer,15
DC,M,1944,Taylor,28
DC,M,1920,Taylor,43
DC,M,1940,Jordan,25
DC,M,1916,Jordan,14
DC,M,1983,James,362
DC,M,1923,Taylor,141
DC,M,1982,james,142
,F,2019,jordan,66
DC,F,1950,Linda,250
DC,F,2019,Mary,21
DC,F,1928,Linda,10
DC,M,1980,John,648
DC,F,2004,Taylor,32
DC,M,1924,Casey,171
DC,F,1965,Alex,68
DC,,1969,Jordan,157
DC,M,1957,James,641
DC,F,1967,Linda,94
DC,F,1921,Mary,78
DC,M,1911,Michael,17
DC,M,1959,Taylor,638
DC,M,1988,Michael,41
DC,F,2000,Linda,114
DC,F,1980,jordan,1039
DC,M,1964,Jordan,404
DC,F,,Jordan,104
DC,M,1953,Robert,185
DC,M,1992,,308
DC,M,1947,Robert,315
DC,,1933,Taylor,7
DC,F,1924,jennifer,88
,F,,Jordan,
DC,F,2014,Jordan,488
DC,M,1919,Jordan,12
DC,F,1962,Mary,110
DC,F,1924,Jordan,8
DC,M,2012,Alex,109
DC,F,2000,Casey,354
DC,M,1950,Michael,526
DC,F,1995,Jennifer,86
DC,F,1975,Mary,603
DC,M,1987,John,71
DC,F,1985,Linda,459
DC,F,2019,Mary,21
DC,M,1927,Robert,69
DC,M,1983,,345
DC,F,2017,Taylor,658
,M,1964,Taylor,116
DC,M,1930,,6
DC,,1962,Michael,87
DC,F,2001,Jennifer,343
DC,F,1957,Alex,
DC,F,1987,Linda,799
,F,2017,Casey,419
DC,M,1941,Taylor,19
DC,M,1929,Casey,84
DC,M,1997,Michael,50
DC,M,1964,John,762
DC,F,1930,Taylor,22
DC,M,2000,Jordan,11
DC,F,1999,Mary,845
DC,F,,John,194
DC,M,1941,Casey,258
DC,F,1939,,11
DC,F,1994,mary,49
,F,1947,Jordan,
DC,F,2016,Mary,191
,F,1949,Mary,22
DC,F,1984,patricia,624
DC,M,1957,,116
DC,F,1929,Patricia,12
DC,M,2021,James,316
DC,F,1995,Casey,243
DC,F,1971,Patricia,
DC,F,1945,Taylor,38
DC,F,,mary,
DC,,2009,Jordan,129
DC,F,1988,Jordan,414
DC,F,1985,Mary,
DC,M,1966,Michael,510
DC,F,1919,Linda,277
DC,F,1951,Jennifer,576
DC,F,2022,Jennifer,75
DC,M,,Taylor,105
DC,M,1944,Robert,5
DC,M,1944,Michael,448
DC,F,1948,Robert,159
DC,M,1935,James,61
DC,F,1951,Jordan,590
DC,F,1980,Taylor,843
DC,M,1939,Casey,25
DC,F,1955,Mary,8
DC,F,1967,Patricia,93
DC,M,2007,Robert,114
DC,M,2012,Michael,321
DC,M,1937,Jennifer,271
DC,F,1943,alex,7
DC,M,2006,Michael,430
DC,M,2006,Alex,50
DC,M,1947,Casey,33
DC,M,1978,Michael,300
DC,M,1947,John,167
DC,F,1952,Linda,53
DC,M,2020,Taylor,260
,F,,alex,9
DC,F,1959,,316
DC,F,1951,Mary,241
DC,F,2021,Alex,120
DC,M,1989,Robert,96
DC,M,1976,Taylor,104
DC,F,1988,Taylor,5
DC,M,2013,Alex,21
,F,1949,Mary,22
DC,M,1956,,75
DC,F,1981,Mary,512
DC,F,,Casey,322
DC,M,2014,robert,6
DC,F,1923,Linda,55
DC,F,2003,Jennifer,18
DC,F,1954,Alex,373
DC,F,1957,James,41
DC,M,1955,Taylor,39
DC,M,1971,John,211
DC,M,1952,Taylor,14
DC,F,1956,Casey,41
DC,F,1946,Casey,308
,F,2001,Mary,502
DC,M,1974,James,132
,M,1938,Alex,658
DC,M,1949,Mary,17
DC,F,1959,alex,450
DC,F,1984,Casey,79
DC,F,1981,Casey,883
DC,M,1967,Robert,267
DC,F,1985,Taylor,22
DC,F,2012,Jordan,12
DC,F,1978,Jordan,55
,F,1992,Casey,232
DC,F,1964,Mary,78
DC,M,1965,Jordan,109
DC,M,2010,Alex,
DC,M,1978,Jordan,1331
DC,M,2013,michael,19
DC,M,1954,James,170
DC,F,1923,Jennifer,134
DC,F,1945,Linda,730
DC,F,1934,Jordan,349
DC,F,2001,,375
DC,F,1918,,31
DC,F,1921,Jordan,
DC,,2005,John,1010
DC,M,2007,James,95
DC,F,1965,Patricia,258
DC,M,2001,Casey,542
DC,M,1996,Robert,17
DC,,1997,Linda,805
DC,M,1968,Jordan,295
DC,F,1945,Mary,745
DC,F,1974,,350
DC,M,2015,Taylor,70
DC,M,1923,Casey,11
DC,M,1995,Jordan,374
DC,F,1946,Jordan,42
DC,M,1956,Casey,289
DC,M,,Alex,69
DC,F,1953,Patricia,468
DC,F,1934,Alex,370
,F,,Taylor,31
DC,M,1994,John,272
DC,F,1973,Alex,785
DC,M,1926,Robert,92
DC,M,1985,Casey,334
DC,M,1999,james,52
DC,M,1949,John,11
DC,M,1974,,495
DC,M,,Alex,19
DC,F,2013,Casey,34
DC,F,,Casey,114
DC,F,1992,Alex,295
DC,M,2005,James,59
DC,M,1993,Robert,727
DC,F,2002,Taylor,306
,F,1970,Patricia,353
DC,F,2016,Casey,177
DC,M,2020,John,58
DC,F,1983,Linda,381
DC,F,1996,Taylor,268
DC,M,2006,Taylor,33
DC,M,1940,Alex,219
DC,F,1915,Mary,141
DC,M,1941,Jennifer,113
DC,F,2017,Linda,291
DC,F,2003,James,98
DC,F,1970,Mary,620
DC,F,,Linda,169
DC,F,1993,Jordan,259
DC,M,1967,Michael,346
DC,,2022,Jordan,56
DC,M,1995,Casey,71
DC,F,1995,,39
DC,M,,Alex,548
DC,F,1967,Alex,203
DC,F,2010,Jennifer,46
DC,M,1961,Alex,338
DC,M,1985,Jordan,578
DC,M,1948,James,107
DC,M,2008,Robert,43
DC,M,,Casey,8
DC,F,2000,Linda,114
DC,,1983,Jennifer,215
DC,F,1980,Mary,105
DC,M,1938,James,68
DC,,2006,Alex,708
DC,M,1967,Casey,437
DC,F,1991,Casey,72
DC,F,,Taylor,763
DC,F,1980,Alex,419
DC,F,,Jordan,80
DC,M,2004,John,50
DC,,1982,jennifer,251
DC,F,1981,Taylor,700
DC,F,1939,Jennifer,12
DC,F,1973,Casey,174
DC,M,2018,Jordan,12
DC,F,1942,Casey,66
DC,F,,Patricia,131
DC,M,1963,James,152
,,1952,,51
DC,M,1991,Casey,
DC,F,1977,Jennifer,22
DC,M,1965,james,266
DC,F,1991,Patricia,750
DC,M,2008,Michael,13
DC,F,1916,Taylor,42
DC,M,1979,James,243
DC,,1951,Taylor,18
DC,F,2005,Linda,577
DC,,,John,
DC,M,1962,Robert,334
DC,M,,Taylor,
DC,M,2019,Jordan,20
DC,F,2018,Alex,5
DC,F,1964,Casey,120
DC,M,1980,Alex,96
DC,M,1933,Alex,18
DC,M,1999,alex,338
DC,M,1964,Michael,513
DC,M,1994,Michael,246
DC,F,1947,Patricia,181
DC,F,2020,James,326
DC,M,2006,Robert,14
DC,F,1978,Taylor,434
DC,F,1998,Patricia,
