state,sex,year,name,count
,M,,Michael,5
,F,1937,Jordan,6
,F,1973,Mary,116
,,1965,Taylor,
,F,1939,Jennifer,130
,M,1914,Alex,54
,M,1973,Michael,
,F,2013,Mary,203
,M,1923,Jordan,
,F,1991,Alex,175
,M,1965,Casey,
,M,1976,Alex,1301
,F,,Linda,457
,M,1957,,11
,M,1989,Casey,89
,M,1976,john,387
,F,1968,mary,82
,F,1945,Mary,48
,M,1960,John,124
,,,jennifer,632
,F,1997,Taylor,27
,F,1963,Jordan,8
,M,1955,Jordan,98
,,2019,Linda,145
,F,1913,alex,40
,F,1955,Mary,1024
,M,1971,Robert,
,M,1985,John,95
,F,2006,Patricia,361
,F,1961,Mary,173
,M,1983,Taylor,265
,M,1951,John,324
,F,1922,Linda,7
,M,1968,Alex,99
,F,1954,Linda,154
,M,2013,Alex,247
,M,1910,Robert,8
,F,1960,Mary,
,F,1954,Alex,23
,F,2007,Patricia,245
,F,1959,Taylor,78
,F,1924,Jennifer,18
,M,1995,Robert,425
,F,1989,Patricia,318
,F,1990,Jennifer,68
,F,1994,Casey,17
,M,2017,Casey,10
,F,2000,Patricia,191
,F,1950,Alex,53
,F,1926,Linda,8
,F,1928,Jennifer,143
,M,1970,Alex,
,F,1960,Jennifer,473
,F,1969,,128
,M,1984,Robert,598
,M,1968,robert,589
,F,1995,Casey,519
,F,,Jennifer,141
,M,2008,Robert,319
,F,1990,Patricia,763
,F,1958,alex,398
,M,2016,jennifer,116
,F,1932,Casey,8
,M,1987,Michael,494
,F,,Jennifer,26
,M,1986,John,185
,M,2007,taylor,556
,M,1972,John,69
,M,,Patricia,142
,M,1923,Casey,111
,F,1980,Mary,338
,,1944,Alex,166
,M,1953,Alex,66
,F,1935,Taylor,36
,F,2000,Jordan,50
,F,2019,Casey,69
,F,2005,Patricia,685
,F,2010,Alex,153
,F,2001,Patricia,681
,F,1949,alex,7
,F,1946,Jordan,36
,M,2000,Michael,1102
,F,1941,,352
,M,1992,Jordan,273
,M,1966,Casey,34
,F,1926,Casey,11
,F,1994,Taylor,78
,M,1921,James,35
,F,1950,,23
,F,2007,Alex,155
,F,1922,Mary,17
,F,1968,Linda,113
,M,2004,Taylor,96
,M,1985,Taylor,799
,M,2011,Taylor,29
,F,1915,Jordan,31
,F,1988,Patricia,537
,F,2019,Jennifer,145
,F,1934,Mary,328
,F,1932,,48
,F,1964,Jennifer,29
,F,1992,Alex,303
,F,1978,James,401
,F,1974,Jordan,714
,F,1968,mary,82
,F,1990,Taylor,143
,M,2016,Robert,12
,M,1996,Robert,16
,F,1944,Linda,496
,M,1953,Taylor,110
,M,2012,Robert,16
,F,1939,Linda,716
,M,1945,Jennifer,220
,F,1971,Alex,143
,M,2005,James,82
,M,1982,Alex,96
,M,1987,Taylor,181
,F,1920,patricia,83
,F,1992,Taylor,593
,F,1985,Jordan,1016
,F,1982,Jennifer,139
,M,1974,Jordan,40
,F,1952,Linda,148
,M,2006,Casey,34
,M,1919,Michael,116
,M,1978,John,254
,F,1939,Taylor,95
,M,1997,John,1296
,F,1933,Mary,357
,F,2005,Casey,333
,F,1948,Taylor,560
,F,1995,Taylor,346
,M,1918,Casey,167
,M,1967,James,305
,M,1962,Jordan,126
,F,1977,Casey,343
,M,1921,Casey,
,M,1945,Casey,123
,F,1986,Mary,207
,F,1967,Taylor,257
,F,1985,Mary,369
,M,1913,Taylor,112
,F,2004,Linda,78
,F,1987,Taylor,145
,,2000,James,423
,M,1967,Taylor,738
,F,1958,Casey,299
,M,1943,John,24
,M,1967,John,289
,M,1972,Casey,83
,F,1973,Alex,40
,M,1930,Robert,144
,F,1981,Jordan,1107
,M,1927,Michael,36
,F,1920,Alex,32
,F,1971,Alex,143
,M,1988,Robert,477
,M,1924,Robert,247
,F,1935,,
,F,1943,Patricia,10
,M,1923,Alex,77
,F,2015,Casey,161
,,2012,Casey,288
,F,1956,Linda,39
,M,1949,Jordan,
,F,2002,Linda,341
,M,2012,Jordan,92
,,1985,casey,966
,F,2011,Mary,8
,M,2018,Patricia,261
,F,1950,Linda,611
,M,1973,Alex,368
,F,,Casey,848
,M,1946,Taylor,26
,M,1990,Jennifer,660
,F,1940,Patricia,192
,F,1967,Jennifer,46
,F,2019,Jordan,
,F,1963,Jennifer,154
,M,1958,linda,81
,M,2013,James,184
,F,1955,Linda,113
,M,1946,Robert,508
,F,1982,Taylor,415
,F,1975,James,312
,M,1986,robert,756
,F,2008,Alex,484
,M,1978,Alex,905
,M,1961,Alex,40
,M,1913,Robert,91
,,1982,Casey,278
,M,2016,Alex,142
,F,2016,Alex,209
,M,1939,Casey,30
,M,1922,Alex,7
,F,1964,Patricia,75
,F,1927,jordan,5
,F,2001,Jordan,63
,M,1948,john,172
,M,2005,Robert,178
,F,2000,Taylor,198
,M,1962,Robert,172
,M,2016,Casey,573
,M,1947,Casey,21
,M,1918,Jordan,21
,F,1919,Jennifer,32
,M,1978,Jordan,726
,F,2011,Taylor,65
,M,1999,Robert,74
,M,1945,Jordan,691
,F,1931,Mary,209
,M,1916,Casey,59
,F,1994,Mary,310
,M,1942,John,388
,F,1966,Casey,73
,M,1916,john,37
,M,1999,James,455
,F,1953,Linda,354
,M,2015,Michael,71
,F,1980,Taylor,905
,M,2021,Casey,33
,,1991,Mary,30
,,1938,Alex,256
,F,1979,Alex,347
,F,1943,Casey,133
,F,1981,Alex,64
,F,2013,Linda,103
,M,1955,Alex,35
,F,1947,Mary,374
,M,1969,Jordan,62
,M,1950,Michael,144
,F,1987,Jordan,286
,F,2016,Patricia,84
,M,1972,Alex,338
,F,1978,Alex,537
,M,1978,Robert,126
,M,1948,Jennifer,
,F,1948,Alex,19
,F,1936,Jordan,103
,M,1964,Alex,24
,F,1940,Mary,6
,M,1954,Casey,149
,F,1988,Alex,134
,M,2011,Robert,466
,F,1924,Alex,327
,M,1942,Jordan,38
,F,1983,Mary,1230
,F,1977,Alex,459
,F,1949,Mary,578
,F,1970,Patricia,162
,F,2015,Jordan,312
,M,1995,Michael,183
,M,1962,Taylor,156
,M,1924,James,9
,M,1999,Alex,121
,F,1966,Alex,900
,F,1968,Alex,155
,,1972,Jordan,314
,F,1981,Jennifer,203
,M,1948,robert,6
,F,1995,Jennifer,25
,M,1935,james,8
,F,1938,Taylor,1205
,,1940,Casey,8
,F,2008,Jordan,290
,M,,Robert,383
,F,1965,Jennifer,472
,F,1998,Patricia,
,F,1929,Linda,5
,F,1973,Casey,252
,M,1951,Michael,139
,F,2006,Casey,636
,F,1971,Jordan,336
,F,1981,Taylor,304
,M,2000,john,704
,F,2012,Jordan,13
,M,1989,Alex,72
,M,1961,John,371
,M,1990,Alex,254
,M,1993,Jordan,1053
,M,2014,John,315
,F,2013,Patricia,217
,F,1993,taylor,111
,F,1979,Linda,99
,M,1996,Mary,514
,M,1933,John,47
,F,1969,Jennifer,185
,M,1931,Taylor,119
,F,2005,taylor,592
,M,1990,Robert,232
,F,1985,Alex,208
,M,1975,Jordan,332
,M,1944,Michael,191
,F,1945,Alex,93
,M,1962,Casey,72
,F,1971,Jennifer,128
,F,1991,Taylor,336
,F,,Alex,38
,F,1941,Alex,24
,F,1977,Mary,5
,,2003,,71
,M,1944,Robert,165
,F,1959,Jordan,560
,F,2010,Casey,16
,M,1997,,681
,F,,Taylor,71
,F,1979,Mary,401
,M,1951,Taylor,270
,M,1941,Casey,15
,F,1967,Patricia,162
,F,2002,Mary,323
,M,2022,Alex,28
,M,2012,Michael,16
,M,1960,Robert,10
,M,1987,Alex,193
,F,2022,Taylor,5
,F,2002,jordan,103
,F,1993,Patricia,242
,F,1975,taylor,170
,M,1970,Casey,395
,M,1970,Robert,1349
,F,1949,James,57
,F,1938,Linda,69
,F,1966,Jennifer,580
,M,1979,Linda,1235
,M,,Taylor,170
,M,1912,Casey,9
,,1950,Jennifer,14
,F,1972,Mary,116
,M,1982,Taylor,916
,,1999,,289
,M,1937,,423
,F,1954,Taylor,135
,F,1998,Alex,502
,F,1957,Linda,530
,M,1955,Robert,73
,M,,Robert,26
,M,1956,taylor,95
,,1941,Linda,160
,M,,Michael,484
,F,1918,Jordan,107
