state,sex,year,name,count
 FL ,F,2017.0, Jordan ,588
FL,F,1998.0,Casey,978
FL,M,1967.0,,485
FL,M,2016.0,Michael,31
FL,F,1992.0,Mary,
FL,F,1955.0,Alex,603
FL,F,2019.0, Linda ,157
FL,F,1934.0,Alex,35
FL,F,1995.0,Jordan,165
FL,F,1945.0,Casey,761
FL,M,1975.0,John,9
FL, M ,1959.0,Casey,116
,M,1990.0,Taylor,845
FL,F,2005.0,Alex,70
FL,,1978.0,,1012
FL,M,2018.0,,58
 FL ,M,1959.0,Robert,53
FL,M,1962.0,John,338
FL,F,2002.0,Jennifer,510
FL,M,1913.0,patricia,14
FL,F,2011.0,,56
FL,M,1970.0,,877
FL, F ,,Mary,198
FL,F,1943.0,Jennifer,296
 FL ,M,1979.0,Michael,50
FL,F,,Jennifer,136
FL,F,1987.0,Casey,407
,F,1935.0,Alex,241
FL,M,1977.0,James,749
FL,F,1979.0, Linda ,319
FL,M,1943.0,Alex,588
FL,F,1954.0,Patricia,32
FL,F,1949.0,Linda,708
FL,M,1986.0,Michael,562
 FL ,F,1990.0,Casey,842
 FL ,M,1953.0,,11
FL,,1985.0,Jennifer,
FL,M,2003.0,,515
FL,M,1958.0,James,536
FL,M,1938.0,John,47
,F,2010.0,Alex,681
FL,F,1935.0, Taylor ,640
FL,F,1964.0,Alex,600
FL,F,1910.0,Jordan,5
FL,,1921.0,Linda,5
FL,F,2010.0,Patricia,49
FL,M,1952.0,Michael,79
FL,M,1994.0,Jordan,207
FL, M ,1984.0,Jordan,797
FL,,1982.0,Linda,
FL, F ,1919.0,,21
FL,M,1910.0,John,18
FL, M ,1963.0,,595
FL,M,1966.0, Michael ,89
 FL ,M,2011.0,casey,93
FL,F,1961.0,Linda,225
FL,M,2000.0,james,31
FL,F,1951.0,Jordan,119
FL,M,1987.0,Michael,14
FL,M,1994.0,Michael,75
FL,F,1973.0,Casey,716
FL,M,2000.0,Robert,231
 FL ,F,1937.0,,130
FL,F,2015.0,Linda,46
FL,M,1996.0,Robert,146
,M,1941.0,Casey,
FL,F,1947.0,Casey,753
FL,M,1968.0,Robert,120
FL,F,1998.0,Linda,68
FL,F,1977.0,Taylor,210
 FL ,F,1963.0,Patricia,266
FL,M,1957.0,,
FL,M,1986.0,Linda,942
FL,,1974.0, Jennifer ,379
FL,M,1953.0,Taylor,
FL, M ,1965.0,James,106
FL, F ,1931.0,Mary,34
FL, F ,1915.0,Patricia,21
FL,M,1937.0,John,171
FL,M,1984.0,,927
 FL ,M,2005.0,Taylor,106
FL,M,2019.0,John,19
FL,M,2012.0,John,17
FL,F,2001.0,Casey,766
FL,F,1990.0,Alex,391
FL,M,1959.0,Jordan,15
FL,F,1959.0,Jordan,545
FL,M,1946.0,Alex,72
,F,2010.0,taylor,148
FL,M,1974.0,Jordan,34
FL,F,1956.0,,633
FL,F,1990.0,,120
FL,F,1955.0,Patricia,130
FL,F,1968.0,Casey,141
 FL , F ,2009.0,Patricia,6
FL,M,1990.0,Michael,503
FL,F,1994.0,Casey,148
FL,F,1966.0,Jennifer,599
FL, F ,1983.0,Patricia,654
FL,F,1950.0,Jennifer,55
FL,M,1967.0,John,254
FL,M,1926.0,Michael,84
FL,M,1958.0,John,41
FL,M,1984.0,James,134
 FL ,F,1930.0,Casey,
FL,F,1947.0,,244
FL, F ,1944.0,James,19
FL,F,1987.0,Mary,46
 FL ,M,1982.0,Robert,96
FL,F,1944.0,Casey,14
FL,F,1951.0,Jordan,119
FL,M,2022.0,John,388
FL,F,1950.0,Alex,159
 FL ,M,1980.0,taylor,242
FL,M,,James,105
 FL ,F,1962.0,Mary,49
FL,M,1938.0,Alex,
FL,F,2005.0,Mary,7
FL, F ,2015.0,Jennifer,9
FL,F,1998.0, Jordan ,7
FL,F,1930.0,Linda,26
FL,F,,Taylor,52
FL,M,1944.0,Casey,118
