state,sex,year,name,count
GA,M,1913,Patricia,111
GA,M,1972,casey,383
GA,M,2018,Alex,234
GA,M,1954,Taylor,794
GA,M,2003,James,386
,M,2002,John,84
GA,M,1930,Robert,114
GA,M,1972,Taylor,618
GA,M,2021,John,24
GA,M,1966,Alex,294
GA,F,1960,Jennifer,253
GA,F,1963,Linda,741
GA,F,1961,Mary,160
GA,M,2008,Jordan,36
GA,F,1932,Casey,37
GA,M,1953,Casey,14
GA,F,2014,Mary,7
GA,F,1978,Patricia,335
GA,F,1965,Alex,87
GA,,2019,jordan,39
GA,F,1982,Taylor,1131
GA,F,1967,james,306
,M,1955,Alex,26
GA,F,1941,Taylor,11
GA,M,1943,Robert,1003
GA,M,2006,taylor,
GA,M,1967,James,433
GA,F,1927,Linda,5
GA,M,1983,Robert,52
GA,M,1993,Michael,279
GA,M,2013,Robert,
,M,1978,Michael,24
GA,F,,Taylor,232
GA,M,2010,Jordan,296
GA,F,,Mary,267
GA,F,1998,Casey,885
GA,F,1940,Jennifer,47
GA,M,2014,Robert,49
GA,F,,casey,17
GA,F,1926,Taylor,266
GA,M,1923,James,21
GA,,1952,Jordan,155
GA,M,1971,Robert,294
GA,,1992,Linda,14
GA,M,1939,Taylor,98
GA,M,1978,James,501
GA,M,1953,Taylor,54
GA,M,1991,John,384
GA,M,,Alex,76
GA,F,1991,Taylor,284
GA,M,1980,Taylor,388
GA,F,1985,,678
GA,M,1992,Michael,947
GA,M,1987,John,71
GA,,1988,Michael,818
GA,M,1976,Casey,485
GA,F,1941,Mary,178
GA,F,1984,Mary,718
GA,M,1999,James,332
GA,F,1969,Linda,
GA,M,1985,John,476
GA,M,1999,Casey,167
GA,M,1927,,13
,M,1938,Alex,250
GA,F,2007,Robert,478
GA,F,1939,Jordan,61
GA,F,2007,Patricia,30
GA,F,2013,Mary,
GA,,1918,Taylor,53
GA,F,1967,Mary,493
GA,M,2001,taylor,6
GA,F,1934,Robert,11
GA,F,1931,Jennifer,19
GA,M,1946,Taylor,297
GA,M,1945,jordan,59
,F,1936,linda,5
GA,M,1974,Mary,369
GA,M,2011,,5
GA,M,1978,Taylor,24
GA,F,1989,Taylor,543
GA,F,1928,Jordan,175
GA,F,1919,Jordan,141
GA,M,2009,Jordan,175
GA,F,1944,Alex,76
GA,F,1942,Mary,54
GA,M,1943,James,30
GA,M,1977,,225
GA,F,1952,Taylor,575
GA,,1981,Jennifer,
GA,F,1939,Mary,70
GA,F,1944,Patricia,39
GA,F,1966,John,641
,F,1930,Patricia,77
GA,F,1998,Mary,229
GA,M,1960,Casey,426
GA,F,1996,Jennifer,601
GA,M,,Jordan,250
GA,F,1926,Jordan,165
GA,F,,Patricia,517
,F,1956,Alex,352
GA,M,1979,Michael,189
GA,F,1992,,950
GA,,1956,Robert,
GA,F,1969,Alex,275
GA,F,1958,Taylor,8
GA,F,1913,Patricia,25
GA,F,2013,Patricia,14
GA,M,1970,Michael,400
GA,M,2017,James,175
GA,,1982,Taylor,1025
GA,F,2004,Jennifer,81
GA,M,1978,Jordan,745
GA,F,,Linda,1063
GA,M,1915,robert,13
GA,F,1998,Taylor,15
GA,F,1948,Casey,27
GA,M,1951,Jordan,58
GA,M,1953,,27
GA,M,2012,,66
GA,F,1935,casey,225
GA,F,1920,Patricia,77
,F,1921,Mary,85
GA,M,,Alex,32
GA,M,1977,Michael,56
GA,F,2010,Jennifer,229
GA,F,1957,Linda,102
GA,M,1960,John,824
GA,M,2018,John,6
GA,M,1943,Jordan,380
GA,M,,Patricia,112
GA,M,2000,Taylor,523
GA,F,,,120
GA,F,1949,Linda,204
GA,M,1951,Alex,235
GA,M,1964,Michael,185
GA,M,2012,Michael,69
GA,M,2018,Taylor,329
GA,M,1992,Alex,102
GA,F,1970,Mary,706
GA,F,1954,Jennifer,18
GA,M,2001,John,55
GA,M,1955,Casey,75
GA,F,1990,Linda,101
GA,F,1970,Casey,368
GA,F,2006,Casey,816
GA,M,1996,Taylor,423
,,1943,Patricia,6
GA,F,2003,Jordan,43
GA,M,1944,Casey,7
GA,M,1991,Alex,499
GA,F,2012,Patricia,5
GA,M,1925,Robert,122
GA,F,2002,John,
GA,F,1965,Casey,173
GA,M,1916,Casey,120
GA,M,1942,Michael,7
GA,F,1982,Linda,145
GA,M,1929,Michael,11
GA,M,1924,Jordan,129
GA,F,1988,Patricia,1155
GA,F,2011,Casey,73
GA,M,2003,Jennifer,268
GA,M,1929,Casey,6
GA,M,1957,Taylor,178
GA,M,1987,Robert,472
GA,F,2022,Mary,43
GA,M,1979,Alex,85
GA,M,1950,Alex,408
GA,F,2010,Alex,12
GA,F,1934,Alex,110
GA,M,1962,Jordan,32
GA,M,1999,Alex,102
GA,F,1996,Jordan,50
GA,F,1910,Jennifer,91
GA,F,1986,Jordan,242
GA,M,1986,Jordan,602
GA,F,1967,Casey,265
GA,F,1985,Patricia,749
GA,M,1965,john,258
GA,F,1970,Patricia,709
GA,,,alex,19
GA,F,1995,Mary,1015
GA,M,2017,Casey,91
GA,M,1982,James,581
GA,F,1994,Patricia,104
GA,M,1952,John,129
GA,M,1952,Alex,41
GA,F,1946,Alex,18
GA,M,2017,John,112
GA,F,2008,Mary,306
GA,M,1972,Alex,171
GA,M,2021,Patricia,283
GA,M,2006,jordan,615
GA,M,2004,Taylor,5
GA,M,1933,Alex,70
GA,M,1922,Robert,13
GA,M,1948,Taylor,24
GA,M,1932,James,239
GA,M,1939,Robert,237
GA,M,1987,Jordan,231
GA,M,1955,Michael,8
GA,M,1965,Taylor,25
GA,F,1954,linda,24
GA,M,1943,John,73
GA,F,2007,Jordan,11
GA,M,1939,Alex,34
,M,1997,Jordan,41
GA,F,1949,Jordan,16
GA,M,1977,Casey,324
GA,M,1971,,276
GA,F,2020,Taylor,632
GA,F,,Alex,193
GA,F,1960,Taylor,85
GA,F,,Alex,
GA,M,1922,Michael,6
GA,F,1990,,509
,F,1932,Alex,16
GA,F,,Taylor,46
GA,,1963,John,463
GA,F,1920,Jordan,26
GA,F,1979,Taylor,401
GA,F,1942,Jordan,101
GA,M,1970,Alex,246
GA,F,2017,Mary,22
GA,F,1999,Casey,734
GA,M,2016,Michael,175
GA,M,1986,Mary,201
GA,F,2013,Alex,7
GA,F,1955,Jordan,20
GA,M,1995,Jordan,407
GA,M,1947,Casey,33
,M,1956,Michael,33
GA,F,1983,Taylor,42
GA,M,1962,Michael,480
,F,1954,Patricia,36
GA,M,1957,James,731
GA,M,2013,John,20
GA,M,1986,James,365
GA,F,1968,Linda,259
,M,1998,James,351
GA,M,1921,Michael,187
GA,F,1977,Linda,803
GA,M,1949,Jordan,189
GA,M,1936,James,
GA,M,1991,Jordan,68
GA,F,1964,Patricia,381
GA,M,1914,Alex,5
GA,F,1993,Alex,1206
GA,F,1959,Jordan,123
GA,M,1968,Mary,28
GA,F,1987,Robert,45
GA,F,1997,Jennifer,71
GA,F,1955,Patricia,146
GA,M,1965,Michael,163
,M,1996,John,101
GA,M,,John,280
GA,M,2020,James,84
GA,M,1979,Jordan,451
GA,F,,Alex,
GA,F,1988,Mary,1130
