state,sex,year,name,count
HI,F,1967,Mary,274
HI,,1995,Alex,154
HI,F,1986,Linda,124
HI,,1976,,340
HI,F,,Mary,
HI,F,1956,Linda,466
HI,M,1911,Alex,7
HI,M,1973,Robert,358
HI,M,1936,Michael,873
HI,M,1937,taylor,30
HI,M,1957,John,992
HI,M,1950,alex,222
HI,M,1980,Jordan,181
HI,F,1950,Patricia,13
HI,M,2018,Michael,226
HI,F,1942,casey,6
HI,F,1997,Taylor,163
HI,M,2020,Taylor,30
HI,F,1983,Taylor,427
HI,F,2017,mary,320
,F,1973,Jordan,620
,F,1978,Casey,560
HI,F,1966,Patricia,75
HI,M,1911,John,12
HI,F,1982,Linda,72
HI,F,1934,Robert,11
HI,,1980,Casey,257
HI,F,1938,Patricia,20
HI,M,1970,John,154
HI,F,1990,Casey,631
HI,M,1972,Casey,181
HI,M,2007,John,9
HI,M,1991,John,308
HI,F,1966,,999
HI,F,1948,Patricia,5
HI,M,1955,Casey,732
HI,F,1974,Alex,390
HI,F,1923,Linda,35
HI,M,1978,James,323
HI,M,2021,Taylor,315
HI,M,1985,Jordan,430
HI,M,1936,Casey,68
HI,M,1970,Robert,105
HI,F,1993,Patricia,168
HI,F,1939,Linda,182
HI,F,1963,Casey,54
HI,M,2010,Jordan,12
HI,,2009,,6
HI,M,1983,Taylor,145
HI,F,2013,Taylor,460
HI,M,1910,Jordan,49
HI,M,,John,44
HI,F,1971,,297
HI,M,1989,Alex,
HI,M,1930,Alex,53
HI,M,2001,John,386
HI,M,1966,Robert,260
HI,M,2004,robert,22
HI,F,,Jordan,32
HI,F,1989,Taylor,67
HI,M,2001,,30
HI,M,1926,Robert,55
HI,F,1944,Alex,127
HI,F,1963,Patricia,409
HI,F,1929,Patricia,14
HI,F,1929,Jennifer,195
HI,F,1991,Mary,395
HI,F,1950,Jordan,28
HI,M,1956,Robert,30
HI,M,1961,Casey,210
HI,M,2010,Robert,577
HI,F,2010,Mary,37
HI,F,1997,Linda,390
HI,M,1969,Robert,47
,M,1986,Taylor,627
HI,M,1963,Casey,30
HI,F,1992,,155
HI,M,1963,Jordan,14
HI,M,1953,James,423
HI,F,2004,Mary,25
HI,M,2014,Casey,8
HI,M,1976,James,8
HI,M,1960,casey,121
HI,M,2010,Taylor,270
HI,F,1940,,153
HI,F,1946,John,31
HI,F,1917,Patricia,15
HI,F,1916,casey,9
HI,F,1949,Jennifer,232
HI,F,2006,Casey,41
HI,M,1971,Linda,205
HI,M,1971,Alex,622
HI,F,1984,Jordan,6
HI,F,1998,Mary,752
HI,M,1992,Michael,184
HI,F,1998,Patricia,10
HI,F,1982,Patricia,257
HI,F,1971,Jordan,95
HI,F,2013,Jordan,11
HI,F,1967,Alex,383
HI,F,1944,linda,6
HI,F,1941,Taylor,401
HI,F,1927,alex,5
HI,F,2010,jennifer,5
HI,M,2020,Michael,25
HI,M,1956,James,94
HI,M,1947,Michael,32
HI,F,1939,Mary,19
HI,F,2019,Casey,317
HI,F,1935,taylor,21
HI,M,1942,Jordan,53
HI,M,1927,Alex,144
HI,M,1997,Michael,27
HI,,1942,Jordan,144
,M,1911,Michael,16
,M,1988,John,705
HI,F,,Linda,124
HI,M,1973,Taylor,47
HI,M,2017,James,238
HI,M,1981,John,420
HI,F,1938,Taylor,266
HI,F,1921,Mary,17
HI,M,1960,James,63
HI,M,1969,Casey,
HI,F,2010,Alex,114
HI,M,2022,Casey,22
HI,F,1967,Linda,102
HI,F,1977,Jennifer,181
HI,M,1964,John,195
HI,M,1939,,6
HI,M,1961,Alex,82
HI,M,1973,Michael,
HI,F,2003,Alex,182
HI,M,1978,,810
HI,F,2003,Casey,154
HI,F,1956,Patricia,217
HI,F,1941,Jennifer,6
,F,1983,Alex,490
HI,,1957,Jennifer,21
HI,F,2018,Casey,11
HI,F,1987,,
HI,M,1990,Jordan,141
HI,M,1991,Michael,15
HI,F,1975,Linda,26
HI,F,1971,Alex,488
HI,F,1972,Jennifer,501
HI,F,1931,Casey,
,F,1925,Taylor,133
HI,F,1953,Jennifer,347
HI,M,1983,Alex,72
HI,M,2010,John,61
HI,M,1948,Taylor,21
HI,,1938,Taylor,
HI,F,1968,Jordan,81
HI,M,1945,James,9
HI,M,,Casey,241
HI,F,1995,Casey,13
HI,M,1964,Alex,279
,F,2002,Jordan,244
HI,M,1985,Casey,284
HI,M,1936,John,38
HI,,,,44
HI,F,2000,Patricia,1092
HI,M,1981,Jennifer,
HI,F,1966,Mary,741
HI,M,2008,,11
HI,F,2017,Taylor,19
HI,F,1964,Taylor,118
HI,M,1989,casey,435
HI,M,1926,Jordan,170
HI,F,1991,Taylor,64
HI,F,1922,linda,10
HI,F,1985,Mary,162
HI,F,1999,Jennifer,110
HI,F,1937,Alex,7
HI,,,Robert,54
HI,M,1996,Alex,749
HI,F,1954,Linda,806
HI,M,1943,patricia,457
HI,F,1945,Alex,5
HI,F,1934,Patricia,72
HI,F,1955,Jordan,180
HI,F,,Taylor,854
HI,,1991,Patricia,483
HI,F,1923,Taylor,78
HI,F,1979,linda,492
HI,M,1969,Alex,272
HI,F,,Jordan,303
HI,F,1961,Jordan,
HI,M,2003,Robert,13
HI,F,1936,Alex,48
HI,M,1944,Taylor,585
HI,F,1925,Patricia,189
HI,F,,Casey,292
HI,F,1999,Patricia,760
,F,1989,James,174
HI,F,2011,Patricia,7
HI,F,2020,Patricia,73
HI,M,1958,Casey,9
HI,M,1974,Alex,98
HI,F,1972,Alex,
HI,M,1981,Taylor,117
HI,M,1988,Jordan,156
HI,,2021,Michael,461
,M,1980,Michael,449
HI,F,2007,James,65
HI,F,1985,Taylor,32
,F,1945,patricia,35
HI,M,2006,Michael,
HI,F,2017,Alex,16
HI,M,1948,james,69
HI,M,1962,jordan,104
HI,M,2012,Casey,299
HI,,1956,Michael,15
HI,M,1982,John,33
HI,F,2008,Patricia,51
HI,F,,Casey,151
HI,F,2004,Alex,88
HI,F,2005,Patricia,78
,F,1989,Mary,
HI,,1946,James,871
HI,F,1941,Mary,31
HI,F,1970,Linda,180
HI,M,1967,Jordan,287
HI,F,1926,Alex,6
HI,,1959,Patricia,6
HI,M,1962,Casey,55
HI,F,1914,Taylor,93
HI,F,1976,,
HI,,2013,Casey,538
HI,M,2007,Robert,389
HI,M,2009,Alex,121
,F,1963,Taylor,425
HI,F,1953,linda,143
,,1995,Michael,
HI,M,1935,Jordan,16
HI,F,1981,Alex,499
HI,F,1976,Jordan,201
HI,M,2013,Taylor,106
HI,F,,Taylor,388
HI,M,1947,Casey,130
HI,F,2002,Linda,30
HI,M,1961,Taylor,402
,F,2005,,490
HI,F,2002,Alex,994
HI,M,2016,Jordan,388
HI,F,1936,Taylor,253
HI,M,1935,John,505
HI,,1938,Casey,238
HI,M,1943,John,168
HI,,1917,jordan,70
,M,1960,michael,215
HI,M,,Casey,53
HI,M,2011,John,57
HI,M,1939,Casey,167
HI,F,1921,Jennifer,45
,F,1954,jennifer,226
HI,F,1924,,94
HI,M,,Jennifer,9
HI,M,1967,Michael,19
HI,M,1968,taylor,841
,M,1968,John,297
HI,F,2010,Taylor,114
HI,M,1993,John,791
HI,F,1941,Alex,51
HI,M,1962,Alex,226
HI,F,1944,Jennifer,172
HI,M,1968,Robert,100
HI,M,1965,Robert,397
HI,F,1980,Linda,167
HI,M,,Robert,50
HI,M,2013,James,522
HI,M,2006,John,639
HI,M,2020,James,
HI,F,2018,Taylor,25
HI,F,1940,Taylor,650
,F,1992,Taylor,63
HI,M,2022,Taylor,9
HI,M,2019,Michael,129
HI,M,1938,Robert,30
HI,M,1998,Mary,35
HI,M,2002,John,127
HI,M,2001,Casey,116
HI,M,1952,James,104
,M,1941,John,200
HI,F,1979,Mary,609
HI,F,1991,linda,936
HI,M,2003,,777
HI,F,1916,Jennifer,13
