state,sex,year,name,count
IA,M,1932,,61
IA,M,1967,John,345
IA,F,1951,Taylor,217
IA,M,1993,,234
IA,M,1956,Jordan,233
IA,F,2002,Jennifer,153
IA,M,1986,casey,370
IA,F,1935,Jordan,61
IA,M,,James,76
IA,M,1980,Taylor,126
IA,F,2015,Taylor,605
IA,M,1979,Alex,124
IA,M,2008,James,182
IA,M,1920,Taylor,12
IA,M,1913,James,36
IA,M,1996,Patricia,872
IA,F,1970,Jennifer,268
IA,M,,james,485
IA,M,2022,Casey,19
IA,M,1964,John,85
IA,M,2016,Jordan,31
IA,M,1953,Michael,212
IA,F,2001,Alex,23
IA,F,2002,Mary,1231
IA,F,1962,Patricia,53
IA,M,1986,Taylor,97
IA,M,1955,Patricia,439
IA,F,,Robert,93
IA,M,1961,Taylor,102
IA,F,2019,Alex,426
IA,F,1952,Linda,23
IA,F,1910,Alex,42
IA,M,1980,michael,432
,M,2000,Taylor,382
IA,M,1943,James,297
IA,M,1945,Jordan,26
IA,M,1915,Jordan,39
IA,M,1925,Robert,9
IA,F,1995,Jordan,236
IA,F,1981,Jennifer,
IA,F,1930,Casey,25
IA,M,2004,John,97
IA,F,1926,Jordan,
IA,M,1952,John,47
IA,F,1960,Linda,298
IA,F,1965,Casey,96
IA,F,1941,James,
IA,M,1936,Jennifer,36
IA,M,1986,,837
IA,F,1941,Patricia,107
IA,M,1918,Michael,26
IA,M,1923,Casey,69
IA,F,2006,Jordan,
IA,,1934,Michael,52
IA,F,1990,Patricia,178
IA,F,1999,Jordan,509
IA,F,1980,Jennifer,
IA,F,1998,linda,635
IA,M,1935,James,12
IA,F,1974,Taylor,695
IA,F,,Jennifer,202
IA,M,1987,Robert,408
IA,M,1957,Patricia,210
IA,M,2001,Alex,110
,M,2012,Linda,11
IA,M,1932,Robert,122
IA,,1986,James,318
IA,F,1978,Mary,289
IA,M,1979,Taylor,86
IA,F,1936,Alex,682
IA,F,1951,,11
IA,M,1956,John,45
IA,M,1911,Casey,8
IA,F,1947,Taylor,150
IA,F,1995,Taylor,146
IA,M,1959,Michael,78
IA,,1938,Alex,7
IA,F,1918,Jennifer,168
IA,M,2006,Michael,625
IA,M,1932,james,62
IA,M,1960,Michael,269
IA,F,1925,Taylor,11
IA,F,1983,Mary,176
,F,1926,Michael,208
IA,F,2013,Casey,152
IA,F,1998,,19
IA,,1964,james,834
IA,M,1950,Casey,48
IA,F,1963,,550
IA,M,1963,Robert,587
IA,M,1953,robert,151
,,2013,Taylor,19
IA,M,2017,Casey,
IA,M,1919,Casey,24
IA,M,2019,Alex,17
IA,M,1973,Taylor,99
IA,F,1986,Mary,169
IA,M,1921,Casey,187
IA,M,1974,James,687
IA,M,1997,Michael,299
IA,M,1966,John,519
IA,F,1996,patricia,
,M,1938,,106
IA,,,Taylor,33
IA,F,,Mary,14
IA,F,1952,Jordan,55
IA,F,1930,Jordan,131
IA,F,1965,Jennifer,902
,M,1988,Alex,649
IA,F,1972,Taylor,916
IA,M,1960,Casey,
IA,M,1939,Michael,24
IA,F,1981,Alex,330
IA,F,1919,Linda,31
IA,F,1954,Jennifer,749
IA,F,1946,jennifer,852
IA,,1979,Alex,236
,M,2007,Jordan,24
IA,F,1931,,19
IA,F,1978,Casey,182
IA,M,1977,Mary,723
IA,M,2002,Taylor,1245
IA,F,1948,mary,890
IA,M,1918,John,22
IA,F,1951,Jennifer,83
IA,F,2021,James,63
IA,M,1969,Robert,715
IA,M,1952,John,47
IA,M,1992,John,288
IA,M,1958,john,33
IA,M,1981,James,436
IA,F,,Casey,29
IA,F,,Jennifer,64
IA,F,1966,Casey,
IA,F,1993,patricia,389
IA,M,1976,Jordan,495
IA,M,1970,James,91
IA,M,,Jennifer,117
IA,F,1984,,216
IA,M,1999,John,71
IA,M,1932,Taylor,86
IA,M,2004,,135
IA,F,,Linda,215
IA,M,1952,Casey,359
,F,,jennifer,43
IA,M,1920,Alex,20
IA,,1972,Patricia,156
IA,F,1956,Patricia,643
IA,,2018,Alex,191
IA,F,2018,Patricia,23
IA,F,1986,Linda,515
IA,M,1985,Robert,124
IA,F,1919,Jordan,8
IA,M,1994,Taylor,413
IA,M,2019,Robert,90
IA,F,1961,,29
IA,F,2007,Jordan,65
IA,F,1927,Patricia,10
IA,F,1954,Casey,108
IA,F,1989,Jordan,323
IA,F,1944,Jennifer,518
IA,,1997,Casey,751
IA,M,1968,Robert,272
IA,M,2022,taylor,12
IA,F,2014,Taylor,47
IA,F,1977,Casey,867
IA,F,1946,Patricia,355
IA,M,1968,Alex,159
IA,M,2010,Taylor,103
IA,M,1932,Michael,55
IA,F,1944,Jordan,291
IA,M,1931,Alex,6
IA,M,1989,Robert,239
IA,M,1947,Robert,11
IA,M,1915,James,28
IA,F,2013,Mary,45
IA,F,2010,Taylor,190
IA,F,1913,Casey,19
IA,F,2014,mary,397
IA,M,1926,Taylor,15
IA,M,1995,Alex,130
IA,M,1947,taylor,54
,M,1972,James,51
IA,F,1969,Alex,146
IA,F,1990,Casey,223
IA,M,2010,Casey,209
IA,F,1948,Linda,804
IA,M,1998,Taylor,531
IA,M,2020,Jordan,
IA,F,1955,mary,9
IA,M,1930,John,575
IA,M,1992,Alex,158
IA,M,,Robert,15
IA,F,1987,Jennifer,762
IA,M,1925,Taylor,19
IA,M,1985,james,498
IA,M,1995,John,355
,F,2013,James,18
IA,M,,Taylor,22
IA,M,1924,Linda,446
IA,M,1979,John,468
IA,M,1978,James,383
IA,,1975,Taylor,425
,M,1951,Alex,17
IA,F,1934,,65
IA,F,1981,Mary,769
IA,F,1945,,183
,M,1915,Taylor,8
IA,M,,James,449
IA,M,1981,Jordan,905
IA,M,1979,Casey,197
IA,M,1997,Alex,
IA,F,2022,Alex,157
IA,F,2003,Patricia,12
IA,F,1991,Jennifer,794
IA,F,2011,,15
IA,F,2010,John,31
IA,F,1960,Jennifer,630
IA,M,1991,James,494
IA,F,1969,mary,161
IA,M,2008,Casey,190
IA,F,1990,Taylor,630
IA,M,2011,Jordan,262
IA,M,1969,Michael,149
IA,M,1970,John,84
IA,F,1983,Alex,
IA,F,1951,Mary,629
IA,M,2011,Michael,159
IA,M,2010,Michael,201
IA,F,1938,Taylor,6
IA,M,1973,Mary,123
IA,M,1971,James,430
IA,F,1964,Casey,525
IA,M,1963,Taylor,44
IA,F,1944,Taylor,17
IA,F,2001,Mary,834
IA,F,2008,Jordan,
IA,M,2013,Jordan,
IA,M,1948,jordan,152
IA,F,1996,Linda,377
,F,1938,Patricia,218
IA,F,1921,Jennifer,5
IA,M,1914,taylor,121
IA,F,1996,Mary,386
IA,F,1945,Jennifer,1326
IA,M,1992,Taylor,166
IA,M,1967,Jordan,450
IA,F,,,7
,F,2006,Linda,
IA,F,1945,Patricia,16
IA,F,1996,Taylor,446
IA,F,1994,Patricia,149
IA,F,1981,jordan,475
IA,F,1939,Mary,5
IA,M,1927,Robert,123
,M,,Jordan,232
IA,F,1946,Jordan,334
IA,M,1933,Michael,76
IA,F,1992,Mary,112
IA,F,,Jennifer,202
IA,M,1980,John,332
IA,F,1954,Jordan,172
IA,F,2006,Robert,14
IA,F,1963,Jordan,7
IA,F,1926,Casey,9
IA,M,1977,Robert,312
IA,F,1958,Casey,417
IA,M,1959,Alex,17
IA,M,1996,Jordan,402
IA,F,1953,Linda,1580
IA,F,1999,Linda,525
IA,M,2012,Casey,566
IA,M,1919,John,13
IA,F,1939,Alex,61
IA,M,1940,Jordan,20
IA,F,,Jennifer,567
IA,F,2011,Jennifer,378
IA,F,,Jordan,240
IA,M,1949,,11
IA,F,2002,Jordan,233
IA,M,2013,Alex,298
IA,M,1921,Jordan,30
IA,M,1968,Jordan,292
IA,M,1954,Robert,18
IA,F,1969,patricia,189
IA,F,1992,Taylor,400
IA,F,1954,John,687
IA,M,1913,John,9
IA,F,1925,Casey,28
IA,M,2016,,894
IA,M,1984,Casey,974
IA,F,1967,Patricia,14
,F,2005,Taylor,99
,F,2013,James,18
IA,M,2002,Alex,7
,F,2018,Taylor,137
IA,F,1969,Jennifer,281
IA,F,1988,Jordan,397
,M,1966,James,100
IA,F,1982,Jordan,715
IA,F,1939,Patricia,5
IA,M,1984,Jordan,283
IA,M,2010,Casey,209
IA,M,2020,Linda,351
IA,M,1955,Taylor,5
IA,F,2016,Jennifer,233
IA,M,1947,Alex,103
IA,M,1929,Taylor,283
IA,,2022,Robert,9
IA,M,,John,36
IA,F,1956,Taylor,242
IA,F,1935,Linda,
IA,F,2002,Casey,386
IA,M,1914,John,12
IA,M,1988,James,779
IA,M,1957,Robert,513
IA,M,1956,James,97
,F,1972,Jordan,633
IA,M,1999,Taylor,64
,M,1974,Jordan,139
IA,F,1973,Linda,91
IA,F,,Patricia,21
IA,F,1996,Jennifer,55
IA,F,1967,Linda,218
IA,F,2004,Casey,439
IA,F,1952,Casey,330
IA,M,2018,Robert,7
IA,F,1928,Taylor,
IA,F,1999,Alex,275
IA,M,1984,Taylor,108
IA,M,1953,Taylor,233
,M,1989,Alex,400
IA,F,1946,Mary,92
IA,F,1976,patricia,212
IA,M,1966,Casey,49
IA,M,1935,Michael,52
IA,F,1982,Alex,491
IA,F,2006,Patricia,883
IA,F,2004,Alex,99
IA,F,1967,John,59
IA,F,1990,Linda,282
IA,,1932,Casey,153
IA,F,2005,Linda,350
IA,M,2017,Alex,339
IA,F,1964,Taylor,
IA,M,,John,113
IA,M,1992,Robert,37
IA,M,1964,Casey,183
IA,F,1948,Taylor,112
IA,M,1993,Michael,420
IA,F,2009,Mary,199
IA,F,1925,Patricia,
IA,F,1960,Taylor,152
IA,F,1943,jordan,5
IA,F,1970,Linda,17
IA,M,1934,John,6
IA,M,1937,James,13
IA,F,2007,Patricia,384
IA,M,1956,Alex,312
IA,F,1961,Linda,38
IA,F,2001,Robert,617
IA,M,1919,Robert,79
IA,M,1985,Jordan,86
IA,M,1991,John,827
IA,F,1937,Alex,40
IA,M,1951,Mary,39
IA,F,1924,Casey,64
IA,,1950,Robert,44
IA,M,2021,Michael,486
IA,M,1968,Michael,121
IA,M,1938,Alex,26
IA,F,1978,Alex,180
,M,1997,James,818
IA,M,1976,,261
IA,M,1967,Patricia,199
,F,2011,Jordan,377
IA,F,1958,Alex,81
IA,F,,Linda,373
IA,F,1924,Linda,27
IA,F,2013,Jennifer,35
IA,F,1975,Taylor,154
IA,F,1932,Jordan,107
IA,F,1947,Robert,64
IA,M,,Jordan,130
IA,F,,Taylor,34
IA,M,1987,Taylor,244
IA,M,1926,Jordan,61
IA,F,1926,Patricia,49
IA,M,1973,Alex,44
IA,M,2005,Jordan,
IA,F,1973,Linda,91
IA,F,1917,Taylor,54
IA,M,,Alex,7
IA,,,Michael,76
IA,M,,Alex,11
IA,F,1946,Casey,418
IA,M,1914,Michael,
IA,F,1985,Patricia,981
IA,F,1931,Jennifer,7
IA,F,1942,Alex,103
IA,M,1949,Taylor,112
IA,M,1963,John,763
,F,1993,jordan,595
IA,F,1934,Linda,82
IA,M,,John,33
IA,M,1982,Jennifer,480
IA,M,1972,Jordan,116
,M,1934,Michael,32
IA,M,1946,James,547
IA,M,1990,Jordan,732
IA,F,1964,Alex,959
IA,F,1995,Alex,443
IA,,2002,Casey,241
IA,F,1924,Jennifer,53
IA,M,1944,Robert,29
IA,M,2015,taylor,152
IA,F,1994,Jennifer,1081
IA,M,1987,Michael,224
IA,F,1957,Alex,258
IA,,1975,Mary,85
IA,F,1927,Casey,44
IA,F,1922,Taylor,17
IA,M,1951,Robert,58
,F,1944,Casey,26
IA,M,2015,James,84
IA,M,1946,Casey,609
IA,F,1964,,75
IA,M,2003,,40
IA,,1988,Michael,304
IA,F,1953,Alex,71
IA,M,1971,Taylor,52
IA,F,1955,Linda,696
IA,F,1993,Linda,99
IA,M,1984,Alex,750
IA,,1978,Robert,555
IA,F,1967,Mary,564
IA,F,1987,Casey,683
IA,F,2010,Alex,97
IA,F,1988,Patricia,111
IA,M,2020,Taylor,14
IA,F,1974,Casey,814
IA,F,,Alex,8
IA,,2004,Jordan,348
IA,F,2005,patricia,482
IA,M,1912,James,10
IA,F,1955,Taylor,399
IA,F,1929,alex,74
IA,F,2003,Casey,
IA,M,1967,Robert,367
IA,F,1978,Patricia,540
IA,M,1974,Taylor,375
IA,F,1936,Casey,43
IA,F,1978,Jordan,249
IA,M,1934,Jordan,11
IA,M,1976,Alex,
IA,F,1945,Alex,136
IA,M,1977,Alex,424
IA,M,2012,Casey,566
IA,M,1986,John,415
IA,M,1946,robert,108
IA,F,1989,Linda,83
IA,F,2008,Robert,35
IA,M,1940,Robert,153
IA,F,2002,taylor,997
IA,M,1948,Mary,314
IA,F,1985,mary,6
IA,,1951,,6
IA,F,2010,Jordan,627
IA,M,1938,James,440
IA,F,1982,Taylor,775
IA,M,2013,James,55
IA,M,1981,Alex,486
IA,F,1947,Patricia,6
IA,M,1957,Taylor,216
IA,F,1934,Jennifer,15
IA,M,1967,Taylor,239
IA,M,1957,Michael,14
IA,,1998,Mary,70
IA,M,1957,Michael,14
IA,M,1953,Alex,206
,F,2012,Linda,1142
IA,M,1927,Casey,80
IA,F,1935,Taylor,44
IA,,1976,Casey,93
IA,F,1928,Mary,8
IA,M,1998,James,515
IA,F,1930,Patricia,21
IA,F,1972,Patricia,13
IA,,2015,Alex,51
IA,M,1989,Casey,370
IA,F,1957,Mary,239
IA,F,1960,,134
IA,F,1977,Jordan,562
IA,M,2014,,374
IA,M,2006,Alex,
IA,F,,alex,71
IA,M,1953,Alex,206
IA,F,1954,Linda,
IA,F,1980,,165
IA,M,1940,Michael,
IA,F,1940,Mary,37
IA,M,1970,Michael,16
IA,F,1945,Jordan,517
IA,M,1987,Casey,269
IA,M,2018,Michael,214
IA,M,1987,John,769
IA,M,1978,Jordan,30
IA,M,1942,Alex,26
IA,M,1960,John,166
IA,M,1985,John,383
IA,F,1955,Patricia,5
IA,M,2001,Taylor,
IA,F,2004,Alex,99
IA,M,1972,,312
IA,F,1963,Linda,875
IA,M,1928,Robert,134
IA,M,1993,Alex,762
IA,M,1921,alex,14
IA,F,1919,Taylor,
IA,M,1918,James,36
IA,F,2019,Casey,113
IA,M,1951,Michael,1346
IA,F,1988,,61
IA,F,1956,linda,69
IA,F,2020,Linda,529
,M,1990,Taylor,431
IA,M,2010,Jordan,135
,F,1937,Jennifer,48
IA,F,1975,Alex,342
IA,F,1945,Casey,114
IA,F,1973,Casey,774
IA,M,1994,Casey,743
IA,M,1972,Jennifer,39
IA,M,,John,811
IA,F,1983,Casey,330
IA,M,2007,Michael,
IA,M,1975,Alex,228
IA,F,1950,Linda,627
IA,F,1988,Linda,185
IA,M,1995,Robert,291
IA,F,1982,Mary,123
IA,M,1996,Taylor,293
IA,F,2021,,29
IA,M,1993,Robert,427
IA,M,2022,Michael,40
,F,1993,jordan,595
,M,1965,Michael,696
IA,F,1964,Jordan,17
IA,M,1989,James,64
IA,M,1910,Robert,5
IA,M,1989,Jordan,
IA,F,1957,Casey,247
IA,,1916,Linda,38
,M,1927,Taylor,36
IA,M,1999,Jordan,208
IA,F,1922,Jennifer,79
IA,M,1984,Robert,433
IA,M,1939,Casey,721
IA,M,2007,Alex,1000
IA,F,1989,Casey,224
IA,F,1994,Alex,
IA,F,1957,Jennifer,202
IA,F,,Alex,390
IA,M,1931,robert,6
IA,F,1915,Alex,109
IA,F,1957,Taylor,345
IA,M,2005,Alex,
IA,M,1953,Jennifer,71
IA,M,2019,,8
IA,F,,Linda,44
IA,F,1941,Mary,743
IA,F,1959,Taylor,107
IA,F,1953,Casey,343
IA,F,1942,Jennifer,803
IA,F,2001,Linda,88
IA,M,2009,James,65
IA,M,2015,Robert,47
IA,F,1996,Jordan,284
IA,F,1984,Linda,292
IA,F,1983,Patricia,
IA,M,1966,Alex,185
IA,M,,Robert,30
IA,F,1916,Jordan,16
IA,F,1917,Jordan,55
IA,,1935,Alex,11
IA,,1926,Jennifer,93
IA,F,1913,Taylor,5
IA,M,1991,Michael,519
IA,F,2015,Linda,210
IA,M,1941,James,40
IA,F,,Alex,932
IA,M,1936,Alex,5
IA,F,2000,Alex,905
IA,M,1921,Taylor,27
IA,M,1938,Jordan,188
IA,F,1977,Mary,186
IA,F,2008,Taylor,124
IA,F,1992,linda,463
IA,F,1938,Casey,8
IA,F,1985,,297
IA,M,1962,Robert,58
IA,F,1937,Linda,15
IA,F,1939,Taylor,166
IA,F,1929,Jennifer,156
IA,F,1977,Jennifer,202
IA,F,1958,Linda,193
IA,F,1992,Jennifer,109
IA,M,1978,Casey,918
IA,F,1988,Mary,1143
IA,F,1986,Jordan,102
IA,F,1966,John,305
IA,,,Alex,369
IA,M,1982,alex,160
IA,M,1932,Casey,188
IA,F,1958,Jennifer,791
IA,M,1976,Casey,40
IA,F,1935,Mary,30
IA,F,1989,Alex,984
IA,F,2003,Jennifer,24
IA,F,1971,Casey,699
IA,F,1999,,583
IA,M,1953,James,148
,M,2021,John,11
IA,M,1956,Taylor,174
IA,F,1974,Jennifer,
IA,,1935,Casey,13
IA,M,1968,Taylor,102
IA,M,,Robert,55
IA,M,2021,Casey,302
IA,M,1974,Alex,333
IA,F,1940,Jennifer,21
IA,F,1941,,6
IA,F,1973,Jordan,343
IA,M,1953,Jordan,351
IA,F,2006,Jennifer,266
IA,M,1978,Alex,903
IA,M,2001,casey,
IA,F,1990,Mary,10
IA,F,2003,Casey,
IA,M,1922,Jordan,8
IA,M,1975,Casey,146
,F,1999,Mary,47
IA,F,1932,Patricia,37
IA,F,1999,Taylor,139
IA,F,1967,,35
IA,M,1961,,157
IA,,1970,Taylor,21
IA,M,1954,Casey,
IA,F,1966,Taylor,356
IA,M,1982,Michael,
,M,1960,Jordan,87
IA,F,,Jordan,255
IA,M,1963,Jordan,
IA,M,2007,Taylor,43
IA,M,2017,Taylor,11
IA,F,1959,Mary,
IA,M,1933,John,14
IA,M,2015,Alex,327
,M,1950,Michael,19
IA,M,1931,Jordan,5
IA,M,1950,Taylor,252
IA,F,2000,Linda,932
IA,F,2001,Taylor,44
,M,1943,,83
IA,M,2009,Casey,229
IA,,1997,Alex,807
IA,M,,Alex,487
IA,M,1980,James,734
IA,F,1940,Casey,200
IA,M,1946,John,54
