state,sex,year,name,count
ID,M,1959,John,
ID,M,1928,Michael,61
ID,F,1995,Linda,124
ID,F,,Casey,7
ID,M,1963,Alex,346
ID,F,1983,Jennifer,67
ID,M,1934,James,5
ID,F,2008,Michael,660
ID,M,1991,Michael,746
ID,M,1960,Casey,499
ID,M,1943,,439
ID,M,2003,Alex,
,M,2013,Alex,93
ID,F,1922,Alex,11
ID,M,1951,John,105
ID,F,1999,Linda,183
ID,,1980,john,676
ID,F,2005,Alex,317
ID,M,1968,Linda,
ID,M,1999,Casey,281
ID,M,2015,Jordan,413
ID,F,2006,Jordan,5
ID,F,1993,Patricia,195
ID,M,1966,Casey,434
ID,M,1967,Jordan,499
ID,M,1975,James,99
ID,M,2020,Jordan,162
ID,M,1959,Jordan,
ID,F,1936,Linda,55
ID,F,1989,Linda,314
ID,F,1984,Casey,957
ID,M,1955,Michael,40
ID,F,1972,Alex,259
ID,F,1931,Casey,470
ID,M,2021,john,14
ID,M,1948,Michael,604
ID,F,1999,Patricia,111
ID,M,1956,Michael,393
ID,,1933,Alex,18
ID,M,1939,Michael,157
ID,M,1960,Alex,974
ID,M,2022,Robert,19
ID,M,1994,Casey,274
ID,F,,Jennifer,114
ID,M,1951,Alex,969
ID,F,1987,Casey,559
ID,M,1969,John,174
ID,M,1932,Michael,13
ID,F,1980,Jordan,1061
ID,,2008,Linda,686
ID,F,1980,Patricia,470
ID,M,1958,John,583
ID,F,1968,Alex,190
ID,F,1927,Linda,107
ID,,2015,linda,265
ID,M,1972,Jennifer,497
ID,F,1996,Taylor,291
ID,F,2019,Michael,302
ID,F,2017,Mary,491
ID,F,1978,Linda,
ID,F,2018,Alex,470
ID,M,1970,Alex,284
ID,M,2015,James,
ID,F,1969,Taylor,178
,F,2004,Jordan,
ID,F,1993,Casey,1016
ID,M,1993,Taylor,161
ID,M,,Alex,336
ID,F,1965,Jordan,173
ID,M,2013,James,120
ID,M,1973,Casey,367
ID,M,1955,Robert,99
ID,M,1984,Casey,500
ID,M,2018,Michael,286
ID,M,2018,Robert,36
ID,M,2015,Robert,58
ID,F,2012,Linda,435
ID,F,1996,Casey,30
ID,M,1946,Casey,136
ID,M,1982,James,564
ID,M,1956,Alex,
ID,M,1990,John,32
ID,M,,Michael,384
ID,M,1959,casey,796
ID,F,1979,Alex,248
ID,M,1998,Casey,338
ID,F,1942,Jennifer,304
ID,M,2012,John,13
,F,1944,Linda,11
ID,M,1958,Taylor,856
ID,M,1969,Jordan,394
ID,F,2017,,
ID,M,1975,John,587
ID,F,2001,Michael,80
,M,1961,Michael,117
ID,M,1984,Michael,188
ID,M,,John,270
ID,F,2001,Alex,68
ID,F,2005,Casey,342
ID,M,1978,Casey,179
ID,F,1982,Linda,529
ID,F,1967,Casey,27
ID,M,1929,John,207
,,1930,Patricia,13
,M,1953,Michael,12
ID,M,1983,John,625
ID,M,1981,Taylor,348
ID,F,,Casey,42
ID,F,1965,Mary,707
ID,F,1973,Linda,
,M,2005,taylor,192
ID,,1993,Alex,460
ID,M,2000,Jordan,51
ID,F,,Linda,606
ID,M,1972,Robert,504
ID,M,1994,Robert,59
ID,M,1991,James,822
ID,F,1911,Jordan,16
,F,,mary,469
ID,F,1945,Alex,296
ID,F,2016,Mary,95
ID,F,1975,Casey,511
ID,M,2011,,54
ID,F,2013,John,99
ID,F,1949,Patricia,70
ID,M,1961,,713
ID,M,1974,,56
ID,F,1962,Linda,147
ID,F,1938,Alex,90
ID,F,1999,Alex,32
ID,M,2007,John,832
ID,F,1953,Patricia,1254
