state,sex,year,name,count
IL,F,2015,Alex,
IL,M,1931,Casey,
IL,M,1954,James,
IL,F,1962,Jennifer,
IL,,2012,Casey,
IL,F,1947,Taylor,
IL,M,1953,Robert,
IL,M,2012,James,
IL,M,1947,Alex,
IL,F,1978,Casey,
IL,M,1954,Michael,
IL,F,1960,Patricia,
IL,F,1970,Patricia,
IL,F,2006,Mary,
IL,M,1981,Casey,
IL,F,1947,Jennifer,
IL,,2018,John,
IL,F,,Alex,
IL,M,,Alex,
IL,F,1982,Taylor,
IL,F,2022,Jordan,
IL,F,1999,Mary,
IL,F,1961,Casey,
IL,M,1966,Casey,
IL,F,1910,Casey,
IL,M,1965,John,
IL,F,1956,Jennifer,
IL,F,1948,Alex,
IL,,2022,Mary,
IL,M,1924,taylor,
IL,M,1962,Casey,
IL,F,1991,Casey,
IL,M,1938,James,
IL,M,1981,Michael,
IL,M,1995,Casey,
IL,F,1972,Taylor,
,M,1972,James,
IL,F,1985,Linda,
,M,1929,Linda,
IL,M,1930,Michael,
IL,F,1939,Patricia,
IL,F,2010,Linda,
IL,M,1939,Jordan,
IL,M,1946,John,
IL,M,2021,John,
,M,2006,taylor,
IL,F,1943,Casey,
IL,F,1955,Patricia,
IL,,1918,Michael,
IL,M,2008,Michael,
IL,M,2008,Alex,
IL,M,1947,James,
IL,M,1967,,
IL,M,1963,Alex,
IL,F,2011,Jennifer,
IL,M,1986,,
IL,M,2020,Casey,
IL,F,2020,Jennifer,
IL,M,1956,Michael,
IL,M,2007,James,
IL,F,1999,Jordan,
IL,F,1953,Mary,
IL,M,1957,casey,
IL,M,1991,Taylor,
IL,F,2019,Jennifer,
IL,,1952,Mary,
IL,F,1934,Taylor,
IL,M,1943,Taylor,
IL,F,1946,Alex,
IL,F,1953,Alex,
IL,,1993,Patricia,
IL,F,1987,taylor,
IL,M,2010,Robert,
IL,,1928,Alex,
IL,F,1963,Jennifer,
IL,F,1947,Alex,
IL,,2000,Jordan,
IL,F,2012,Mary,
IL,F,1946,Casey,
IL,M,1911,John,
IL,F,1954,jennifer,
IL,M,1961,Alex,
IL,M,1919,John,
IL,F,1915,Casey,
IL,F,1917,Casey,
IL,M,1939,Alex,
IL,F,2003,alex,
IL,M,,Jordan,
IL,F,1946,Jordan,
IL,F,1993,Mary,
IL,F,1955,Mary,
IL,F,1966,Alex,
IL,F,1922,jennifer,
IL,M,1966,John,
IL,M,2013,Alex,
IL,M,1936,James,
IL,F,1962,,
IL,M,2017,Robert,
IL,M,1937,James,
IL,F,2000,,
IL,M,1999,Jordan,
IL,F,1992,Casey,
IL,F,1978,Jennifer,
,F,2005,Casey,
IL,M,1999,Taylor,
IL,F,1971,Casey,
IL,M,,Jordan,
IL,F,2012,Jordan,
IL,M,2010,Alex,
IL,F,1926,Jennifer,
IL,F,1941,Casey,
IL,M,2001,Robert,
,F,1994,Casey,
IL,M,1934,Jordan,
IL,F,2017,Patricia,
IL,F,1932,Linda,
IL,F,1960,Jennifer,
IL,F,1921,Taylor,
IL,F,1912,Jordan,
IL,M,1969,Jennifer,
IL,M,1978,Casey,
IL,F,1975,Mary,
IL,M,1947,Michael,
IL,M,,Casey,
IL,M,1951,Michael,
IL,M,2005,Michael,
IL,F,1914,Patricia,
IL,F,2021,Mary,
IL,F,1967,Taylor,
IL,F,1955,Alex,
IL,M,1970,John,
IL,F,1992,Robert,
IL,M,1989,James,
IL,F,1972,Patricia,
IL,F,2020,Mary,
IL,F,1930,Jennifer,
IL,F,1997,,
IL,F,2006,Linda,
IL,,1998,Jordan,
IL,F,1980,Linda,
IL,F,1972,Casey,
IL,M,1933,Jordan,
IL,M,1932,Robert,
IL,F,2016,Jordan,
IL,F,1940,,
IL,F,1981,Casey,
IL,F,1997,Linda,
IL,F,1974,Jennifer,
IL,M,2004,John,
IL,F,2012,Taylor,
IL,M,1977,James,
IL,F,,Jennifer,
IL,M,1957,Michael,
IL,,1910,Jordan,
IL,M,1962,Robert,
IL,M,1994,Casey,
IL,F,1961,Patricia,
IL,M,1998,Jordan,
IL,F,1942,Jordan,
IL,M,1949,Casey,
IL,F,1990,Jennifer,
,M,1920,Jordan,
IL,M,2022,Michael,
IL,M,2010,Mary,
IL,M,1973,John,
IL,,1996,Michael,
IL,M,1972,Jordan,
IL,F,2012,Patricia,
IL,M,1974,Jordan,
IL,M,1997,James,
IL,F,1921,Casey,
IL,M,1944,Casey,
IL,M,1990,Michael,
IL,F,1986,Jennifer,
IL,M,1973,Casey,
IL,F,1990,Linda,
IL,M,1991,Michael,
IL,F,1998,Linda,
IL,F,1933,Casey,
IL,M,1933,Michael,
IL,F,1943,Linda,
IL,F,1922,Taylor,
IL,M,1918,,
IL,F,1978,Alex,
IL,M,1962,Jennifer,
IL,M,1954,Alex,
IL,M,1936,,
,M,1948,John,
IL,M,1936,Taylor,
IL,M,2000,Taylor,
IL,M,2014,John,
IL,F,1983,Jordan,
IL,F,,,
IL,M,1944,James,
IL,F,1981,Jordan,
IL,F,2013,Patricia,
IL,M,1960,Jordan,
IL,M,2002,Jennifer,
IL,M,1927,Michael,
IL,F,1924,Jennifer,
IL,F,2020,jordan,
IL,M,1930,Taylor,
IL,F,1966,Casey,
IL,M,1977,,
IL,F,1956,patricia,
IL,M,2011,John,
,M,1929,John,
IL,F,2000,,
IL,M,1983,Alex,
IL,F,2004,Taylor,
IL,M,1965,Taylor,
IL,F,1999,Patricia,
IL,M,2002,Jordan,
IL,F,1929,jennifer,
IL,M,2015,Michael,
IL,M,1975,Michael,
IL,F,1989,Linda,
IL,F,1970,Linda,
IL,M,1949,Alex,
IL,F,1923,Linda,
IL,F,1937,Robert,
IL,F,2010,,
IL,F,2009,,
IL,M,1997,Jordan,
IL,,1928,Jennifer,
IL,F,1941,Jennifer,
IL,F,2011,Linda,
IL,F,2012,John,
IL,,1988,Alex,
IL,M,,casey,
IL,F,2002,Jennifer,
IL,,1942,Alex,
IL,F,1986,Alex,
IL,F,1982,Linda,
IL,F,2001,Linda,
IL,M,2017,Jordan,
IL,M,2008,Casey,
IL,F,1967,Jennifer,
IL,F,1995,Mary,
IL,F,1977,,
IL,M,2005,Robert,
IL,M,1949,Taylor,
IL,F,1942,Linda,
IL,M,1991,James,
IL,M,1977,john,
IL,F,2000,Mary,
IL,M,1977,Taylor,
IL,M,1992,Jordan,
,F,1951,Mary,
IL,F,1988,Mary,
IL,M,,Alex,
IL,F,1924,James,
IL,,2021,Alex,
IL,F,1964,Jennifer,
IL,M,1965,Casey,
IL,M,1993,Alex,
IL,M,1956,John,
IL,,1940,Michael,
IL,,,Robert,
IL,F,,Linda,
IL,,1933,Taylor,
IL,M,2002,Jordan,
IL,F,2006,Alex,
IL,F,1970,Casey,
IL,F,1964,Patricia,
,M,1986,Patricia,
IL,M,1983,James,
IL,M,1938,John,
IL,F,2008,Linda,
IL,M,1952,James,
IL,,1989,alex,
IL,M,,Jennifer,
IL,F,2019,Patricia,
IL,,2001,Mary,
IL,M,1975,jordan,
IL,M,,John,
IL,F,2018,,
IL,M,1956,Alex,
IL,M,2006,Alex,
IL,F,1910,Linda,
IL,F,,Casey,
IL,F,1956,Mary,
IL,M,2009,John,
IL,F,1929,Mary,
IL,,1991,Jordan,
IL,M,1940,James,
IL,M,1985,John,
IL,M,1964,Jordan,
IL,M,1959,Taylor,
IL,F,1913,Alex,
IL,M,1976,James,
IL,M,,Alex,
IL,M,2003,Taylor,
IL,M,2022,James,
IL,F,1953,Casey,
IL,M,1973,Jordan,
IL,M,1956,Jordan,
IL,F,1930,Jordan,
IL,F,1992,Mary,
IL,M,1996,Alex,
IL,F,1935,Alex,
IL,F,2015,Jordan,
IL,F,1924,Casey,
IL,M,1915,Michael,
IL,M,1947,Jordan,
IL,F,1989,Jennifer,
IL,,1958,Taylor,
IL,M,1959,Robert,
,F,1979,Casey,
IL,M,1996,Robert,
IL,F,1952,Patricia,
IL,M,1958,Jordan,
IL,F,1944,Alex,
IL,F,1918,Alex,
IL,M,1978,Michael,
IL,M,1975,Casey,
IL,M,1982,James,
IL,F,1932,Jordan,
IL,M,2015,Alex,
IL,M,1964,Casey,
IL,M,1993,James,
IL,M,1935,Jordan,
IL,M,2002,Alex,
IL,M,1993,Taylor,
IL,M,1983,John,
IL,F,2015,linda,
IL,F,1972,Jordan,
IL,M,1916,James,
IL,M,1945,James,
IL,F,1973,Jennifer,
IL,F,1951,Casey,
IL,F,1982,mary,
IL,F,1952,John,
IL,F,1910,Jordan,
IL,M,1978,Taylor,
IL,F,1963,Mary,
IL,F,1940,Mary,
IL,M,2010,Casey,
IL,M,2000,Robert,
IL,M,2019,James,
IL,M,1998,Jordan,
,M,2013,John,
IL,M,1945,Casey,
IL,F,2019,Casey,
IL,,1998,Jennifer,
IL,M,1920,Michael,
IL,F,1951,Alex,
IL,M,1911,Casey,
IL,M,1936,Casey,
IL,M,1966,Michael,
IL,M,,Casey,
IL,F,1974,Taylor,
IL,M,1987,Alex,
IL,M,1992,Casey,
IL,M,1959,Mary,
IL,M,1954,Robert,
IL,M,1951,Taylor,
IL,F,1979,Michael,
IL,M,1923,Jennifer,
IL,M,1974,Mary,
IL,M,1938,Michael,
IL,M,1925,Casey,
IL,F,1973,Jennifer,
IL,M,1948,Alex,
IL,M,1972,John,
,F,1921,Linda,
,M,1960,Taylor,
,F,1991,Linda,
IL,F,1942,Linda,
IL,,2000,James,
IL,F,2007,Jennifer,
,F,2003,Linda,
IL,M,,Michael,
IL,F,1940,Patricia,
IL,F,1930,Linda,
IL,,1980,Patricia,
IL,F,2005,Jordan,
IL,F,1995,Casey,
IL,F,1925,Taylor,
,M,1969,Casey,
IL,F,1958,Casey,
IL,F,1988,Casey,
IL,F,2018,Casey,
,F,1952,Linda,
IL,F,1931,patricia,
IL,F,1959,Jordan,
IL,F,1945,Patricia,
IL,F,1921,Jordan,
IL,M,1965,,
IL,M,1991,Casey,
IL,M,1989,Linda,
IL,F,2005,Alex,
IL,F,2012,Jennifer,
IL,M,2001,james,
,F,1982,Alex,
IL,M,1981,Taylor,
IL,M,,casey,
IL,M,,James,
IL,F,2010,Patricia,
IL,F,2016,Patricia,
IL,F,1977,Jennifer,
IL,F,1960,Taylor,
IL,F,1961,Jordan,
IL,M,1961,James,
IL,M,1988,Michael,
IL,M,1980,Alex,
IL,F,2000,Alex,
IL,F,2008,Jennifer,
IL,M,1937,John,
IL,,1959,taylor,
IL,F,1938,Jordan,
IL,M,1968,jordan,
,F,1921,Linda,
IL,F,1974,Alex,
IL,M,2004,James,
IL,M,2020,Taylor,
IL,M,,Casey,
IL,F,1934,Alex,
IL,F,1920,Alex,
IL,F,2008,Alex,
IL,F,1914,Casey,
,F,1946,Taylor,
IL,M,2010,Michael,
IL,M,2022,,
IL,,,Mary,
,M,1923,Taylor,
IL,M,2001,Casey,
IL,M,1991,Patricia,
IL,F,,Alex,
IL,F,1967,Patricia,
IL,F,2004,Patricia,
IL,M,2012,John,
IL,M,1985,James,
IL,F,,Jordan,
IL,M,1958,Robert,
IL,M,2021,taylor,
IL,F,1973,Linda,
IL,M,1920,James,
IL,F,1981,Mary,
,F,1939,Linda,
IL,,1990,Casey,
IL,M,,John,
IL,F,2009,Taylor,
IL,M,1925,Alex,
IL,M,1945,John,
IL,M,1979,Jordan,
IL,M,1969,Taylor,
IL,F,1964,Alex,
IL,,1951,Jennifer,
IL,F,1996,Mary,
IL,F,2010,Alex,
IL,M,1944,John,
IL,,1966,Robert,
IL,F,1981,Alex,
IL,M,2022,John,
IL,M,1991,Alex,
IL,F,1944,Casey,
IL,M,1958,Jordan,
IL,M,2003,John,
IL,F,1976,Alex,
,M,1988,Jordan,
IL,M,1917,Robert,
IL,M,1993,John,
IL,F,1978,Jordan,
IL,M,2022,Alex,
IL,F,2022,Alex,
IL,F,1948,James,
IL,M,2010,Jordan,
,F,1930,Taylor,
IL,M,2016,Robert,
IL,M,1953,Alex,
,M,1979,Alex,
IL,,1956,Linda,
IL,F,2001,Alex,
IL,M,1994,John,
IL,,1997,Casey,
IL,F,1929,Taylor,
IL,F,,Linda,
IL,M,1980,Jordan,
IL,F,1985,Jennifer,
IL,,1929,Patricia,
IL,F,1949,Patricia,
IL,F,1943,Mary,
IL,,1985,Michael,
IL,M,1950,Robert,
IL,M,2013,Robert,
IL,M,1960,Michael,
IL,M,,Robert,
IL,F,1999,Alex,
IL,F,1984,Patricia,
IL,F,1950,casey,
IL,F,1980,Taylor,
IL,M,2000,Mary,
IL,M,2006,michael,
IL,F,1970,Taylor,
IL,M,1995,John,
IL,M,1913,John,
IL,F,1990,Mary,
IL,F,2001,Casey,
IL,F,2011,Alex,
IL,M,1974,Michael,
,M,2014,,
IL,M,2011,,
IL,F,1961,Taylor,
IL,M,1965,James,
IL,F,1939,Alex,
IL,F,1970,Mary,
IL,M,1968,James,
IL,F,1959,,
IL,F,1929,Alex,
IL,,2011,Robert,
IL,M,1961,Jordan,
IL,F,1969,Taylor,
IL,M,2016,John,
IL,M,1970,,
IL,F,1930,Casey,
IL,F,1988,Taylor,
IL,M,2002,Robert,
IL,M,2012,robert,
IL,M,1970,Jordan,
IL,M,1974,Casey,
IL,F,1969,Jordan,
IL,F,2010,Jordan,
IL,F,1998,,
IL,F,1934,Casey,
,F,1944,Patricia,
IL,M,1935,Michael,
IL,F,1954,Taylor,
IL,F,,Mary,
IL,M,1995,James,
IL,M,2001,Michael,
IL,M,1991,Jennifer,
IL,M,1911,,
IL,M,2014,Mary,
IL,M,2012,Casey,
IL,F,1967,jordan,
IL,F,1975,Alex,
IL,M,1965,Robert,
IL,F,1995,Alex,
IL,M,1945,Taylor,
IL,M,1932,james,
IL,F,2002,Alex,
IL,F,2019,Jordan,
IL,F,1967,James,
IL,F,1958,Taylor,
IL,M,1986,Jordan,
IL,M,1990,Michael,
IL,M,1927,James,
IL,M,1986,James,
IL,F,1940,Alex,
IL,M,1987,John,
IL,M,1990,Taylor,
IL,F,2021,Jennifer,
IL,M,1968,Robert,
IL,F,2001,Taylor,
IL,F,1975,,
IL,M,2006,John,
IL,F,1982,jennifer,
IL,M,1990,Jordan,
IL,M,1919,taylor,
IL,M,1964,John,
IL,F,1940,Michael,
IL,M,1982,Alex,
IL,M,1938,Taylor,
IL,M,1935,Taylor,
