state,sex,year,name,count
IN,F,2004,Taylor,440
IN,,1938,,337
IN,F,1970,Linda,41
IN,F,1948,John,99
IN,M,2011,Robert,15
IN,M,2003,Alex,119
IN,M,1956,Casey,356
IN,M,2003,Jordan,
IN,F,1910,Jennifer,10
IN,F,1995,Taylor,59
IN,F,1960,Alex,271
IN,F,1985,Linda,370
IN,M,2016,Taylor,532
IN,F,2001,taylor,194
IN,M,1946,,31
IN,M,,,777
IN,M,1958,,242
IN,F,1989,Alex,1113
IN,M,1991,Alex,816
IN,F,2003,Patricia,77
,F,2002,Patricia,696
IN,M,1996,James,144
IN,F,1996,Taylor,552
IN,F,1994,Jennifer,1005
IN,M,1994,James,33
IN,F,1969,Patricia,116
IN,M,1955,Jordan,289
IN,F,1935,Casey,22
IN,F,,Linda,40
IN,M,2016,Jordan,190
IN,,1999,Jordan,127
IN,F,1975,Patricia,317
IN,F,2017,Jordan,223
IN,M,1952,Michael,54
IN,F,1944,Michael,32
IN,F,2012,Jordan,113
IN,F,2012,Jennifer,63
IN,M,1952,Casey,33
IN,F,2006,Patricia,106
IN,F,1968,Linda,122
IN,F,1984,Jordan,62
IN,F,1913,Alex,42
IN,M,1986,,525
IN,M,1925,Alex,5
IN,,1998,Alex,307
IN,F,1917,Taylor,30
IN,F,2011,Patricia,149
IN,F,1910,Linda,6
IN,M,1923,Taylor,7
IN,M,1994,Casey,68
IN,F,,Jordan,177
IN,M,,Michael,504
IN,F,1927,Jordan,
IN,F,1976,Jennifer,564
IN,M,1970,Casey,29
IN,M,1987,Michael,262
IN,F,1963,Taylor,352
IN,,2014,Robert,91
IN,,1935,Jordan,15
IN,F,1954,Jordan,12
IN,F,2005,Jennifer,408
IN,M,1946,alex,13
IN,F,,jennifer,26
IN,M,1962,Alex,541
IN,F,1915,Mary,
IN,,2015,Alex,104
IN,F,1978,Linda,155
IN,M,1967,,86
IN,M,1964,Alex,329
IN,M,2014,Jordan,178
IN,F,1998,Casey,62
IN,F,2008,Casey,516
IN,F,1971,Patricia,327
IN,M,1919,Taylor,34
IN,F,2001,Alex,34
IN,M,1953,Robert,32
IN,F,1944,Alex,97
IN,M,1955,,267
IN,M,1998,Taylor,
IN,M,1998,Jordan,23
IN,M,1951,Taylor,28
IN,M,1953,Jordan,477
IN,F,1978,Taylor,447
IN,M,2011,,41
IN,M,1981,,112
IN,F,1999,Alex,563
IN,F,2011,Jennifer,12
,F,1993,Jennifer,1201
IN,M,1959,Robert,277
IN,M,1919,Casey,100
IN,F,1990,Linda,36
IN,F,1950,Alex,61
IN,F,1919,Jordan,8
,,1993,Linda,367
IN,F,1958,Alex,368
,F,1918,Alex,11
IN,M,2005,Casey,102
IN,F,1996,Linda,488
IN,F,1953,Jennifer,
IN,M,1957,Robert,183
IN,,2003,Michael,
IN,F,1984,Linda,338
,F,1911,Jordan,
IN,M,2017,Taylor,140
IN,M,1938,Taylor,493
IN,F,1955,Casey,792
IN,M,1933,Casey,174
IN,M,1958,Robert,8
IN,M,2004,robert,93
IN,M,1957,Taylor,11
IN,M,1983,Alex,529
IN,M,1915,Jordan,41
IN,F,,Alex,48
IN,M,1988,Jordan,156
IN,F,2009,Mary,70
IN,F,1976,Alex,362
IN,M,1990,Robert,348
IN,,1984,Casey,53
IN,M,,John,50
IN,M,1985,John,547
IN,M,2016,James,604
IN,M,1989,Taylor,664
IN,M,2000,Michael,116
IN,M,1951,Jordan,13
IN,M,1980,Jordan,395
IN,F,1991,Taylor,332
IN,F,1967,Alex,299
IN,M,1980,Linda,587
IN,M,1965,John,263
IN,F,1942,Mary,190
IN,M,1944,Casey,40
IN,,1959,Alex,55
IN,F,1925,,42
IN,F,,Jordan,588
IN,F,2018,Taylor,218
IN,M,1981,Jordan,814
IN,F,2009,Jordan,134
,M,1936,Linda,104
IN,,2007,Jennifer,498
IN,F,1968,Patricia,35
IN,,1989,Patricia,72
IN,F,1921,jordan,95
IN,F,1936,Casey,189
IN,F,2009,Taylor,179
IN,F,1930,Patricia,15
IN,M,1973,Casey,90
IN,M,2003,Taylor,44
IN,M,1995,Michael,417
IN,F,2008,Jordan,126
IN,F,2003,Jordan,45
IN,F,1977,Jennifer,180
IN,F,1991,Mary,492
,F,1961,Taylor,761
IN,,2014,Jordan,29
IN,M,1971,Taylor,95
IN,F,2021,Casey,30
IN,F,1999,Mary,144
IN,F,2019,Alex,408
IN,F,1935,Linda,73
IN,,1951,Jordan,119
IN,F,1927,Linda,95
IN,M,2005,Jordan,504
IN,,1992,Jordan,374
IN,F,1937,Casey,138
IN,M,2012,Michael,110
IN,F,1950,Jordan,138
IN,F,1922,,350
IN,M,1978,Michael,823
IN,F,1954,Patricia,55
IN,F,2019,James,253
IN,M,1966,John,269
IN,M,1948,Casey,53
IN,F,2022,Linda,150
IN,M,1950,Jordan,223
IN,F,2015,Casey,17
IN,M,1995,Alex,263
IN,,2005,Jordan,6
IN,M,1986,Taylor,23
IN,F,1970,Jordan,
IN,M,2018,Alex,862
IN,F,1956,Mary,192
IN,F,1916,linda,48
IN,F,,Mary,10
IN,F,1997,Taylor,254
IN,F,1945,Alex,321
,,1986,Jordan,340
IN,,1929,Robert,193
IN,M,1957,Michael,
IN,M,1983,Casey,381
IN,M,2021,Alex,63
IN,M,1951,Alex,21
IN,M,1968,Taylor,527
IN,F,2007,Jordan,208
IN,F,1987,Jordan,247
IN,F,1932,Jennifer,216
IN,F,1928,Patricia,372
IN,F,1999,Casey,204
IN,M,1976,James,682
IN,F,1946,Linda,30
IN,M,2021,Michael,117
IN,F,1952,Alex,328
IN,M,1931,John,9
IN,,1976,,133
IN,M,1991,James,283
IN,F,2011,Taylor,160
IN,F,1981,Linda,248
IN,F,2011,Linda,13
,M,1915,Robert,5
IN,F,1992,Jennifer,554
IN,F,,Jennifer,62
,M,,Casey,517
IN,M,2021,John,7
IN,M,1932,alex,14
IN,,1935,Taylor,250
IN,M,1973,Jordan,163
IN,F,1984,Taylor,304
IN,M,1991,Michael,68
IN,M,2000,Robert,712
IN,M,1937,Robert,5
IN,M,,Casey,15
IN,M,1978,James,480
IN,M,2014,James,
IN,M,1998,Alex,95
IN,F,1968,Alex,353
IN,F,2020,Patricia,27
