state,sex,year,name,count
KS,F,1990,Alex,
KS,F,1910,Alex,9
KS,F,1982,Casey,862
KS,M,2002,Jennifer,894
KS,F,1942,Linda,100
KS,F,2021,Linda,6
KS,M,1971,Michael,
KS,M,1934,John,19
KS,M,1966,Robert,683
KS,M,1973,John,177
KS,F,1950,Taylor,145
KS,F,2011,Taylor,271
KS,F,1953,Jennifer,20
KS,F,1916,Mary,9
KS,F,1989,Jordan,385
KS,F,,Casey,46
KS,F,1963,Jordan,359
KS,F,2012,Patricia,509
KS,M,1960,Jordan,588
KS,F,2005,Taylor,236
KS,M,1935,Robert,16
KS,F,1913,Jordan,28
KS,F,2020,Linda,52
KS,F,1977,,394
,M,1940,Robert,188
KS,M,1951,Michael,64
KS,M,2006,Jordan,217
KS,F,1961,Mary,938
KS,M,1925,Robert,23
KS,F,2017,Casey,172
KS,F,1949,Taylor,9
KS,M,2010,Casey,738
KS,F,1965,Robert,41
KS,F,1984,Linda,504
KS,M,1975,Robert,402
KS,F,2001,Jordan,35
KS,M,1944,Jordan,393
KS,F,1990,Patricia,280
KS,M,2001,Alex,24
,M,1921,Taylor,29
KS,F,1917,Linda,44
KS,F,2000,Jordan,
KS,F,2017,Alex,287
KS,F,1938,Robert,267
KS,F,1999,Jennifer,113
KS,F,1990,Casey,613
KS,M,1961,Jennifer,145
KS,F,1936,Casey,
KS,,1989,Mary,918
KS,F,1999,Casey,413
KS,F,1910,Jordan,8
KS,M,1960,Robert,424
KS,M,1985,Robert,16
KS,M,1978,Jordan,78
KS,M,2002,Jordan,538
KS,M,1947,Robert,538
,M,1921,John,465
KS,F,1992,Linda,36
KS,F,2015,Jordan,22
KS,F,2004,Casey,877
KS,M,1993,John,443
KS,F,1917,Jennifer,15
,F,1996,Jordan,10
KS,M,2008,James,27
KS,M,1996,Jennifer,234
KS,F,1931,Mary,5
KS,M,1996,Taylor,896
KS,F,1954,Taylor,231
,M,,Taylor,131
KS,M,,alex,105
KS,M,1941,Casey,25
KS,M,1961,John,
KS,F,1949,Jennifer,39
KS,F,1918,Jennifer,191
KS,M,1983,John,923
KS,F,2017,Jordan,58
KS,M,1919,Taylor,19
KS,M,1918,Robert,46
KS,M,1947,Michael,251
KS,F,1994,Alex,186
KS,M,1954,John,325
KS,F,1940,Patricia,465
KS,F,1988,Taylor,33
KS,F,2006,Linda,32
KS,M,1956,James,240
KS,M,,Michael,406
KS,F,1993,Linda,390
KS,,1979,Jordan,443
KS,M,1969,Alex,400
KS,M,2022,Jordan,96
KS,F,1995,Casey,76
KS,M,2016,Taylor,59
KS,F,1967,Jordan,101
KS,M,1947,John,85
KS,F,1911,taylor,46
KS,F,1917,Patricia,40
KS,F,1980,Alex,920
KS,F,1974,Linda,250
KS,F,1983,Jordan,242
KS,F,1934,Linda,53
KS,F,2012,John,89
KS,,2003,Jordan,1164
KS,F,1989,Alex,828
KS,M,1986,Michael,
KS,F,1999,Taylor,409
KS,F,2019,mary,21
KS,F,1978,Linda,370
KS,F,1981,Michael,460
KS,F,,Jordan,65
KS,F,1984,Patricia,317
KS,M,2004,Casey,93
KS,M,1945,Taylor,22
KS,F,2010,Jordan,309
KS,F,1949,Jordan,42
KS,,1977,Alex,418
KS,M,2007,John,241
KS,M,1946,Casey,357
KS,M,1963,Robert,235
KS,F,1951,Taylor,13
,F,,Casey,47
KS,F,1974,Casey,645
KS,F,1929,Mary,6
KS,F,1996,robert,655
KS,F,1959,Casey,38
KS,F,1927,Linda,35
KS,M,1957,Robert,1153
KS,F,1953,Linda,55
KS,M,1967,Casey,5
KS,F,1973,Jordan,89
KS,F,1979,Taylor,196
KS,F,1924,Jordan,46
KS,F,2011,Patricia,262
KS,M,1923,Casey,20
KS,M,,Michael,275
KS,M,1955,Casey,100
KS,M,1985,James,122
KS,M,2010,Linda,180
KS,M,1990,Casey,171
KS,F,1967,Mary,252
KS,M,1936,Michael,25
KS,M,1992,Casey,73
KS,M,1998,Alex,807
KS,F,1966,Patricia,695
KS,,1976,Patricia,22
KS,F,1949,Patricia,52
KS,F,1984,Jennifer,247
KS,F,1970,Casey,
KS,M,1970,Jordan,669
KS,,1961,Casey,87
KS,M,1935,james,8
KS,M,1987,Jordan,178
KS,M,1970,Robert,91
