state,sex,year,name,count
 KY ,,2002.0,Patricia,421
,F,1938.0,Mary,344
KY,F,1941.0,Jordan,66
KY,M,2009.0,Taylor,267
KY,F,2017.0,Alex,5
KY,M,1934.0,,30
KY,F,1971.0,Mary,213
,F,2021.0,Jordan,542
KY,M,2011.0,Casey,253
KY,F,1983.0,Robert,412
KY,F,1948.0, Taylor ,73
KY,M,2018.0,Michael,130
KY,M,1929.0,john,8
 KY ,M,1962.0,,5
KY,M,1925.0,Alex,98
 KY ,F,2009.0,Casey,220
KY,F,1999.0,Jordan,779
KY,F,1957.0,Casey,242
KY,M,1998.0,Jordan,352
KY,M,1968.0,Michael,1033
 KY ,M,1959.0,Taylor,32
KY,M,1988.0,James,565
,M,1968.0,Jordan,1163
KY,F,2004.0,,912
KY,M,2015.0,James,496
 KY ,F,2021.0,Linda,375
KY,F,1929.0,Jordan,27
KY,M,1950.0,James,870
,F,1941.0,John,242
KY,F,1966.0,Jordan,553
 KY ,F,1991.0,Alex,87
KY,F,2016.0,Alex,21
KY,M,1977.0, Robert ,
KY,M,2013.0,John,10
KY,M,2020.0,Jordan,169
KY,M,1975.0,Taylor,351
KY, F ,1985.0,Linda,197
KY, F ,2004.0,Taylor,6
,M,2002.0,Michael,288
KY,F,, Linda ,334
KY,M,1973.0,Robert,372
KY, M ,2011.0,Jordan,29
KY,F,,Mary,331
KY,F,1976.0,,264
KY,M,1938.0,Alex,33
KY, M ,2022.0,Alex,12
KY,M,1953.0,Taylor,214
KY,M,1916.0,,10
KY,M,1983.0,Robert,383
,,1948.0,Casey,58
,M,1969.0,Jordan,483
KY,F,1953.0,Jordan,33
KY,M,1980.0,robert,
 KY ,M,1963.0,James,230
KY,M,1990.0,James,150
KY,F,1936.0,taylor,13
KY,F,2004.0,Casey,378
KY,F,1952.0,Mary,342
KY,M,2004.0,Linda,508
KY,M,1964.0,Taylor,21
KY,,2010.0,Casey,36
KY,F,2013.0,Casey,344
 KY ,M,1943.0,Jordan,13
KY,F,1922.0,Linda,63
KY,F,2004.0,mary,482
KY,M,1978.0,Michael,596
KY,M,1963.0,Jordan,594
 KY ,M,1970.0,Casey,768
KY,,1983.0,John,351
KY,M,1968.0,Taylor,257
 KY ,M,1917.0,Michael,13
KY,F,1990.0,Patricia,508
KY,F,2001.0,Alex,442
 KY ,F,2009.0,Mary,247
 KY ,F,2009.0,Linda,17
KY,,2000.0,Jennifer,337
KY,F,1950.0,Mary,155
KY,M,2013.0,James,92
,F,2022.0,Mary,52
KY,F,1951.0,Patricia,788
KY,F,1975.0, Patricia ,191
KY,F,1986.0,Taylor,677
KY, F ,1957.0, Linda ,15
KY,M,2010.0,John,35
KY,,1946.0,Jennifer,276
KY,M,1996.0,Jordan,390
KY,M,1978.0,Taylor,543
KY,M,1988.0,Jordan,218
KY, M ,2006.0,,
KY,F,1919.0,Casey,68
KY,M,1992.0,Michael,285
KY,F,1974.0,alex,831
KY,M,1927.0,James,7
KY,F,1941.0,Linda,30
KY,F,,Taylor,174
KY,F,,Jennifer,155
KY,M,1921.0,Robert,66
KY,M,2008.0,Alex,
KY,M,1916.0,Casey,33
KY, F ,2013.0,Jordan,24
 KY , M ,1990.0,Alex,51
KY,M,1952.0,,70
KY,F,1912.0,Alex,33
KY,M,1921.0,Michael,99
KY,M,2013.0,Taylor,49
KY,F,1953.0,Alex,300
KY,M,1915.0,Michael,34
KY,F,2015.0,Linda,17
KY,M,1970.0,Alex,366
KY, F ,1918.0,Michael,5
KY,M,1967.0,Jordan,375
KY,M,1915.0,Jordan,8
KY,M,1985.0,Alex,277
KY,F,1963.0,Alex,583
KY,F,1983.0,Patricia,161
KY,,1970.0,Mary,25
,F,2017.0,michael,13
KY,F,1925.0,Jennifer,6
KY,F,1931.0,Patricia,7
KY,F,2012.0,Taylor,821
KY,M,1955.0, Michael ,84
KY,F,1929.0,Jordan,27
 KY ,,1949.0,John,142
KY,M,1991.0,James,833
KY,M,1977.0,Michael,400
KY,M,2018.0,Alex,34
,M,1989.0,Michael,393
KY,M,1948.0,Michael,65
KY, F ,1956.0,Alex,80
,,1980.0,Jordan,437
,F,1950.0,Taylor,542
KY, M ,1919.0,Michael,11
KY,F,1996.0,Jordan,848
KY,M,1961.0,Patricia,103
KY,M,1923.0,James,54
 KY ,M,1991.0,Jordan,163
 KY ,M,1926.0, John ,142
KY,M,1993.0,James,430
 KY ,M,1951.0,John,526
KY,F,1955.0,,602
KY,M,1971.0,Taylor,373
KY,M,2006.0,Patricia,6
KY,F,1937.0,Linda,285
KY, M ,1995.0, Michael ,298
KY,M,1948.0,,50
KY,F,1918.0,Mary,49
KY,M,1993.0,Alex,347
 KY ,M,1976.0,Alex,531
KY,F,2001.0, Patricia ,271
KY,M,1986.0,Jordan,
KY,F,1990.0,Alex,69
KY,F,1992.0,,122
 KY , F ,1973.0,Taylor,912
 KY ,F,1914.0,,14
KY,F,1969.0,,106
KY, F ,1993.0,Casey,51
KY,F,1980.0,Linda,290
, M ,1968.0,Robert,334
KY,M,2005.0,John,286
,F,2010.0,Alex,135
KY,M,1996.0,Michael,
KY,M,2020.0,Robert,98
KY,F,1939.0,Linda,73
KY,M,1949.0,Jordan,7
KY,F,1997.0,Alex,188
KY,M,2017.0,Casey,5
KY,F,1998.0,Linda,369
KY,F,1943.0,Taylor,220
 KY ,M,2022.0,John,18
KY, M ,2006.0,John,241
KY,M,1984.0, Taylor ,163
KY,M,1956.0,Casey,845
KY,M,1947.0,John,17
KY, M ,1976.0,Jordan,15
 KY ,F,1997.0,Jordan,78
KY,M,1975.0,Jordan,335
KY, F ,1928.0,Patricia,31
KY,F,1960.0,Patricia,36
 KY ,F,1912.0,Taylor,62
,M,,Robert,11
KY,F,1973.0,Jordan,370
KY,M,2021.0,John,879
KY,F,1959.0,Taylor,351
KY,M,2014.0, Casey ,416
KY,F,1985.0,Jennifer,372
KY,F,2013.0,Mary,14
KY,M,1936.0,Jordan,456
KY,M,,,94
KY,,1977.0, Mary ,476
 KY ,M,2016.0,Jordan,387
 KY ,M,2017.0,John,65
KY,M,1985.0,taylor,150
KY,M,1985.0,John,536
KY,F,1964.0,Taylor,217
,M,1929.0,Jordan,8
KY,M,1990.0,Taylor,168
KY, M ,1947.0,Robert,6
KY,F,2017.0,Jennifer,206
KY, F ,1948.0,Jennifer,22
KY,M,1971.0,Jordan,32
KY,F,2000.0,Casey,18
KY,M,,Linda,8
KY,M,1975.0,John,233
KY,M,1988.0,Robert,349
KY, F ,1920.0,Jordan,18
KY,F,,Casey,463
KY,M,1975.0,Michael,275
KY,F,1961.0, Linda ,433
KY, F ,1920.0,Mary,32
KY,M,1913.0,John,51
KY,F,1956.0,Patricia,101
 KY ,F,1950.0,Patricia,463
KY,F,1935.0,Patricia,18
KY,F,1999.0,Linda,79
 KY ,M,1997.0,Alex,328
KY,F,1966.0,Casey,537
KY,M,1992.0,,230
KY,M,1911.0,Robert,77
KY, F ,, James ,9
,,1927.0,Mary,115
KY,M,2012.0,Taylor,141
KY,F,1926.0,Alex,79
KY,M,2009.0,Robert,37
KY,F,1989.0, John ,89
KY,M,1982.0, John ,900
KY,F,1972.0,Jordan,139
KY,,1937.0,Casey,194
KY,F,1995.0,Patricia,173
KY,F,1962.0,Jordan,274
KY,F,1917.0,Jennifer,16
,F,2002.0,John,5
KY,M,1989.0,Alex,606
KY,M,1958.0,taylor,69
KY,M,1923.0,Casey,19
KY,F,1927.0,Jennifer,32
KY,M,1957.0,Jordan,33
KY,F,1962.0,,44
KY,F,1943.0,james,553
 KY ,F,1932.0,Linda,22
KY,F,1979.0,Alex,572
KY,F,1978.0,Jennifer,267
KY, M ,2003.0,Robert,9
KY,F,1933.0,Linda,67
KY,F,1980.0,Taylor,467
KY, M ,1972.0,Robert,243
KY,F,1964.0,Patricia,78
KY,F,1916.0,Jordan,5
KY,F,1977.0,Casey,375
KY,F,1988.0,Jennifer,162
 KY ,,1989.0,Mary,112
KY,M,1990.0,Jordan,487
 KY ,M,1989.0,Jordan,353
KY,F,1975.0,Jordan,177
KY,F,1979.0,Jordan,263
 KY ,F,1977.0,John,520
KY,F,1925.0,Casey,10
KY,M,1990.0,Michael,285
 KY , M ,1952.0,,641
KY,M,1982.0,Taylor,
,M,1931.0,Jordan,296
KY,F,1947.0,Casey,265
 KY ,M,1975.0,Robert,156
KY,F,1938.0,Casey,401
KY,M,2013.0,Robert,652
KY,,1978.0,Robert,545
KY,M,1997.0,Casey,165
KY,M,1958.0,Michael,
KY, M ,1992.0,Taylor,227
KY, M ,2013.0,Casey,131
KY,M,1938.0,John,408
KY, F ,1948.0,Jennifer,22
KY,M,1955.0,Jordan,151
KY,M,1958.0,Casey,69
KY,M,1937.0,Jordan,53
KY,M,1970.0,James,1063
KY,M,1991.0,Taylor,472
KY,M,1982.0, James ,334
KY,F,1967.0, Casey ,158
 KY ,F,1972.0,Casey,264
 KY ,F,1959.0,Mary,20
KY,M,1921.0,Casey,29
KY,M,1944.0,Taylor,109
KY,F,1965.0,Jordan,62
KY,F,1977.0, Jordan ,313
KY,M,1991.0,Jennifer,308
KY,F,1960.0,Jennifer,6
KY,F,2002.0,Jordan,227
KY,F,,Jennifer,229
KY,F,,Jennifer,74
KY,M,2011.0,Patricia,7
KY, M ,,john,1075
 KY ,M,1928.0,John,427
KY,M,1986.0,Taylor,254
KY,F,2009.0,Patricia,21
KY,F,1923.0, Jordan ,14
KY,F,1951.0,Linda,47
KY,M,1952.0,Robert,155
 KY ,F,1981.0,jennifer,49
 KY ,M,1995.0, Alex ,440
KY,M,1927.0,Casey,40
KY,M,1970.0,Jordan,268
KY,M,,James,37
KY,M,1943.0,John,6
KY,F,1932.0,,8
KY,F,,Jordan,60
KY,M,1947.0,Jordan,47
KY,,1910.0,Michael,9
KY,M,2020.0,Patricia,1145
KY,M,,John,45
KY,M,,Jennifer,8
KY,M,2009.0,Michael,246
KY,F,1987.0,Linda,
KY,F,,Patricia,514
KY,F,1994.0,Jordan,315
KY, M ,1995.0,Taylor,1003
KY,M,1964.0,Robert,81
KY,F,1911.0,Jordan,41
KY,M,1996.0,Robert,759
 KY ,F,1988.0,Patricia,428
KY,F,1957.0,Jennifer,117
KY,M,1920.0,James,152
KY,F,,Linda,7
,F,1978.0,Patricia,330
,F,1981.0,Casey,1039
KY,M,1987.0,Alex,691
KY,M,2018.0, Casey ,27
KY, F ,1930.0,Jennifer,311
KY, M ,1989.0,James,320
KY,F,2007.0,Patricia,16
KY,F,1920.0,Alex,137
KY,F,1946.0,Taylor,11
KY,F,1981.0,Alex,483
KY,F,2012.0, Alex ,52
KY, F ,2014.0,patricia,9
KY,M,2009.0,Patricia,75
