state,sex,year,name,count
LA,M,1970,,254
,M,2010,,17
,,2013,Patricia,24
LA,M,,Jordan,36
LA,F,1996,Jordan,167
LA,M,,Jordan,416
LA,F,2012,John,16
LA,M,1990,Robert,199
LA,F,1970,jordan,388
LA,F,,Patricia,312
LA,F,1931,,74
LA,F,1997,Patricia,165
LA,F,1998,Taylor,15
LA,F,1988,Linda,107
LA,F,1957,Jordan,39
,F,1942,Jordan,314
LA,M,1955,Jordan,106
,F,2015,Jordan,665
LA,M,1994,Alex,123
LA,M,1949,John,71
LA,,2006,,178
LA,F,1950,Patricia,10
LA,M,1987,Mary,303
LA,M,2006,Jordan,11
LA,F,1958,Jordan,86
LA,M,1945,Michael,143
LA,M,1956,Alex,5
LA,M,1946,Michael,204
LA,M,1999,Casey,440
LA,M,1981,James,626
LA,M,2019,Taylor,38
LA,F,1996,Mary,43
LA,M,1962,Alex,40
LA,,2012,Robert,695
LA,,2001,Taylor,191
LA,F,1919,linda,6
,F,1923,Mary,
LA,F,1959,patricia,292
LA,,1943,Jordan,30
LA,M,,Casey,957
LA,M,1937,linda,157
LA,M,1926,Michael,19
LA,M,1947,Michael,245
LA,F,2018,Jennifer,338
LA,F,1988,Jennifer,302
LA,F,2005,Taylor,281
LA,F,1934,Casey,24
LA,M,2008,Linda,47
LA,F,1924,Jordan,66
LA,F,2016,Jennifer,52
LA,F,1952,Patricia,246
LA,M,1940,Taylor,143
LA,M,,John,39
LA,M,1927,Alex,83
LA,F,1993,Alex,635
LA,M,,Casey,660
LA,F,1963,Alex,61
LA,M,1948,Casey,63
,M,1971,Michael,334
LA,F,2001,Mary,592
LA,F,1985,Jordan,183
,M,1923,Michael,25
LA,M,,Jordan,365
LA,M,1956,john,212
,F,1943,,21
LA,M,1927,Casey,97
LA,,2004,Taylor,520
LA,,1997,Patricia,29
LA,M,,Taylor,327
LA,M,1965,Michael,164
LA,F,1969,Linda,
LA,M,2015,Taylor,74
LA,F,1937,Jordan,104
LA,,1917,Casey,27
LA,F,1951,Jordan,28
LA,F,2017,Patricia,128
,F,1970,Alex,687
LA,F,1920,Patricia,216
LA,M,1947,Jordan,69
LA,F,1925,Michael,66
LA,F,2013,Taylor,14
LA,,1947,Taylor,53
,M,1962,James,26
LA,M,2006,James,263
LA,F,2006,Patricia,90
LA,M,1994,John,684
LA,M,1985,Casey,80
LA,F,1985,Linda,379
LA,F,2014,Casey,263
LA,F,1941,Mary,146
LA,F,1923,Alex,33
LA,F,2014,Jennifer,10
LA,F,2016,Patricia,320
LA,F,1952,,294
LA,F,1935,Patricia,139
LA,M,1953,Robert,33
,F,1955,James,215
LA,M,1983,taylor,1017
LA,M,1970,Robert,77
LA,F,1999,Mary,867
LA,F,1977,Patricia,438
LA,F,1990,Linda,303
,F,1944,Mary,14
LA,M,2016,,858
LA,M,,Alex,98
LA,M,2005,Jordan,14
LA,M,1978,Michael,77
,M,2017,James,69
LA,F,1984,Jordan,58
LA,F,1982,Alex,12
LA,F,2002,Alex,342
,F,1925,Linda,61
LA,M,1951,robert,8
LA,F,1983,Casey,43
LA,M,1957,Jordan,383
LA,M,1959,Michael,85
LA,F,2015,Taylor,5
LA,M,1990,Linda,368
LA,M,1947,James,158
LA,M,1999,jordan,236
LA,M,2013,Casey,55
LA,F,1932,Jordan,428
LA,M,2005,Michael,140
LA,F,1993,Jennifer,267
LA,M,1999,James,663
LA,F,2017,Casey,41
LA,M,,Michael,12
LA,F,2010,Casey,197
,F,1968,Linda,88
LA,M,2012,Jordan,218
LA,,1961,Jennifer,234
LA,,1962,Patricia,572
LA,F,2011,Jordan,429
LA,F,1973,Taylor,250
LA,M,2007,Michael,842
LA,F,1981,Linda,425
,M,1935,Jordan,101
LA,M,1961,Taylor,351
LA,M,1924,John,9
LA,F,1956,Casey,22
LA,M,1984,James,119
LA,F,1961,Alex,77
LA,M,1969,Casey,179
LA,F,1932,Taylor,100
