state,sex,year,name,count
MA,F,1996,Linda,
MA,M,1932,Casey,63
MA,M,1917,Michael,6
,F,1964,Linda,245
MA,M,1939,Taylor,43
MA,M,1910,John,184
MA,F,2011,Taylor,163
MA,F,1948,Casey,5
MA,M,2019,Jordan,454
MA,M,1949,John,178
MA,M,1970,James,76
MA,F,1985,Mary,348
MA,M,1966,Robert,486
,M,1996,Michael,593
MA,F,1952,Linda,683
MA,M,2001,Robert,717
MA,F,1943,Casey,525
MA,M,2018,John,7
MA,M,1958,Michael,171
MA,M,1962,michael,431
MA,M,1999,michael,207
MA,M,1968,jordan,80
MA,F,1972,Mary,346
MA,M,1991,John,375
MA,F,1972,Jordan,49
MA,F,1960,Jennifer,274
MA,M,,John,559
MA,M,2010,Jordan,7
MA,M,1965,John,869
MA,F,1995,,363
MA,M,2011,Casey,
MA,M,1974,Casey,359
MA,M,1921,Alex,120
MA,,,Patricia,54
MA,F,1991,Patricia,187
MA,M,1962,Casey,792
MA,F,2001,Michael,418
MA,F,1923,Mary,107
MA,F,1940,Mary,359
,F,1959,Jordan,381
MA,F,1981,Alex,20
MA,F,1939,Linda,451
MA,F,2003,Taylor,70
MA,,2004,Jordan,30
MA,M,,James,314
MA,M,1995,Michael,155
MA,F,1981,Linda,84
MA,F,1989,Taylor,321
MA,F,1961,Jennifer,585
MA,M,1959,Robert,859
MA,M,1991,Jordan,592
MA,,,Robert,
MA,,1960,John,823
MA,M,1976,James,178
MA,,1939,Jennifer,203
MA,M,1954,Michael,
MA,M,1987,Michael,125
MA,F,1967,Alex,462
MA,M,1956,Casey,572
MA,M,1933,James,12
MA,M,1937,,90
MA,,2017,John,125
MA,,2017,Casey,7
MA,F,1929,Linda,246
MA,M,1987,Alex,95
MA,F,1984,Taylor,466
MA,F,1992,Casey,766
MA,F,1985,Alex,35
MA,M,1981,Michael,589
MA,M,1986,,243
MA,F,2003,Patricia,185
MA,F,2017,Linda,10
MA,,1925,James,10
MA,M,1944,Robert,62
MA,F,1973,Patricia,719
MA,F,,,5
MA,M,1995,Robert,148
MA,,2007,James,845
MA,F,1928,Casey,38
MA,M,1982,Taylor,
MA,M,2004,John,174
,M,,James,411
MA,F,1977,mary,138
MA,M,2012,,
MA,,,Casey,135
MA,F,1978,Taylor,69
MA,F,1960,Jordan,432
MA,F,1959,Linda,61
MA,F,1952,Alex,394
MA,F,2000,alex,72
,M,2012,John,6
MA,F,1979,Alex,526
MA,F,1996,Patricia,350
MA,F,2021,Taylor,18
MA,M,1978,Alex,224
MA,M,1998,Casey,720
MA,M,1949,John,178
MA,M,1967,Jordan,113
MA,M,2012,Alex,84
MA,M,1936,Michael,264
MA,F,1996,mary,58
MA,M,1951,Alex,706
MA,M,1926,robert,25
MA,M,1952,Alex,1383
MA,F,1964,Casey,175
MA,F,1998,Taylor,81
MA,M,1945,Casey,266
MA,M,1980,Casey,409
MA,M,1973,Casey,137
MA,M,1989,Alex,94
MA,F,1999,Patricia,483
MA,,2019,John,306
MA,M,,Casey,635
MA,F,2004,Patricia,505
MA,F,1957,Patricia,100
MA,M,1931,Alex,45
MA,F,1962,Mary,377
MA,M,,James,192
MA,M,1972,Michael,363
MA,M,2016,Casey,143
MA,M,1956,Taylor,905
MA,F,1968,Patricia,686
MA,M,1964,Michael,222
MA,F,1963,Jennifer,
MA,M,1997,Alex,86
MA,M,1950,Jordan,136
MA,M,1923,Jordan,62
MA,F,1966,Patricia,26
MA,F,1938,Patricia,20
MA,M,,Jennifer,372
MA,F,1940,Jennifer,10
MA,M,1920,Taylor,14
MA,F,1914,Linda,22
MA,F,1951,Mary,487
MA,F,1990,,225
MA,F,1992,Alex,655
MA,M,1995,Alex,988
MA,F,1995,Jordan,1279
MA,F,1989,Patricia,57
MA,F,1943,Jennifer,254
MA,F,1938,Jordan,43
MA,F,2005,Linda,109
MA,F,1920,Taylor,45
MA,M,1968,Michael,1098
MA,M,1965,James,813
MA,M,2006,Robert,471
MA,F,1988,Patricia,327
MA,M,,Jordan,134
MA,M,1939,James,48
MA,M,1989,Michael,242
MA,F,2002,Jennifer,55
MA,M,1998,Alex,193
MA,M,1972,Taylor,403
MA,F,1988,Alex,1058
MA,M,1958,Jordan,640
MA,M,1947,,188
MA,F,1933,Casey,9
MA,M,1912,Taylor,35
MA,M,1930,John,6
MA,M,1917,Robert,10
MA,M,2018,,146
MA,M,1958,Casey,242
MA,F,1933,Patricia,17
MA,F,1953,Alex,68
MA,F,1932,Alex,13
MA,F,2002,Mary,478
MA,F,1991,Jennifer,164
MA,M,2007,Casey,135
MA,M,1969,James,15
MA,M,1918,Alex,12
MA,M,2001,Linda,92
MA,F,1936,Linda,136
,F,2017,Alex,8
MA,F,1996,mary,58
MA,M,1979,John,489
MA,M,2014,Michael,16
MA,M,1948,James,30
MA,,1989,Casey,439
MA,F,1975,Jordan,846
MA,F,2006,Mary,332
MA,F,2022,Jordan,167
MA,M,2017,James,42
MA,M,2007,Robert,72
MA,M,2003,Michael,104
MA,M,1988,John,521
MA,M,1934,Taylor,60
MA,M,2006,james,560
MA,F,1931,patricia,5
MA,M,1982,Robert,728
MA,M,1960,Michael,976
MA,F,2014,Casey,
,M,1981,John,153
MA,M,1941,John,9
MA,M,1956,James,553
MA,F,1970,Casey,412
MA,F,1968,Alex,378
MA,M,1985,Alex,642
,F,,Patricia,125
MA,M,,Alex,284
MA,M,1945,John,177
MA,M,2007,Linda,352
MA,F,2021,Casey,11
MA,,1981,Linda,55
MA,F,1977,Taylor,61
MA,F,1960,,54
MA,F,1915,Alex,
MA,M,1995,John,528
MA,M,1986,John,313
MA,F,1955,Alex,87
MA,,1993,Alex,303
,F,2011,John,70
MA,M,1934,John,15
MA,M,2005,John,926
MA,M,1941,Jennifer,1096
MA,F,1988,Linda,577
MA,M,1972,Alex,1114
MA,F,1989,Alex,519
MA,M,1920,Robert,20
MA,,1917,Casey,6
MA,F,1958,Alex,
MA,M,1949,James,275
MA,F,,Casey,
MA,F,1935,Jennifer,13
MA,F,2015,Mary,10
MA,F,1934,Jennifer,146
MA,F,1930,Jordan,172
MA,F,1996,casey,687
MA,M,1953,James,186
MA,F,2001,Alex,40
MA,F,1972,James,527
MA,M,2000,Michael,326
MA,M,1969,Casey,
MA,M,1938,Michael,362
,,1982,Taylor,399
MA,M,1931,Casey,32
MA,F,1982,jordan,726
MA,M,1984,Taylor,1065
MA,M,1996,Casey,86
MA,M,1919,Casey,23
,F,1943,Alex,14
MA,M,1942,James,7
MA,,1922,Jennifer,65
MA,M,1999,Alex,265
MA,F,1961,Jordan,1052
MA,M,1966,Michael,266
,F,1986,Linda,411
MA,F,,Jordan,28
MA,M,1948,Jordan,34
MA,F,1990,,203
MA,F,1942,Mary,5
MA,F,2002,Patricia,101
MA,M,1975,Taylor,443
MA,F,1919,Mary,55
MA,M,1944,Taylor,1134
MA,M,,Taylor,310
MA,M,1961,Michael,222
MA,M,1952,Alex,1383
MA,F,1995,Patricia,
MA,M,1974,Michael,1236
MA,M,1959,James,363
MA,F,1963,Jordan,1090
MA,F,2003,Mary,11
MA,F,1937,Mary,95
MA,F,1926,Linda,63
MA,M,2001,Casey,921
MA,M,1928,Michael,87
MA,F,1955,Mary,112
MA,M,1981,Robert,249
MA,F,1932,Taylor,19
MA,F,1977,Jennifer,219
MA,M,2002,Mary,72
MA,F,2009,Taylor,25
MA,F,1944,Alex,322
MA,M,1938,James,613
MA,M,,Jordan,41
MA,F,1948,Jordan,15
MA,,1965,Michael,63
MA,M,1936,James,326
MA,M,1957,Jordan,9
MA,F,1962,Casey,
MA,M,1962,,67
MA,F,1996,Linda,
MA,M,1924,Alex,115
MA,F,1948,Patricia,327
MA,M,1974,Jennifer,597
MA,M,,James,37
MA,M,2000,Jordan,192
MA,M,1993,Robert,478
MA,F,1970,Linda,26
MA,,2001,Linda,899
MA,M,1974,,776
MA,M,2020,John,404
MA,F,2006,Linda,303
MA,F,,Linda,198
MA,F,1989,Linda,201
MA,F,1969,Casey,71
MA,F,2010,Alex,12
MA,F,1982,Alex,14
MA,F,1941,Alex,539
MA,M,2015,Casey,851
MA,F,1932,Jordan,14
MA,F,1973,Jordan,137
MA,F,1944,Mary,492
MA,M,1942,Jordan,80
MA,M,1966,James,
,M,2000,Alex,13
MA,M,1969,Alex,16
MA,,1960,Patricia,431
MA,F,2012,,47
MA,F,1965,Linda,902
MA,F,1931,Jennifer,20
