state,sex,year,name,count
MD,M,2005,Alex,85
MD,F,2021,Jordan,10
MD,F,1980,Casey,114
MD,M,1984,Alex,
MD,F,1951,Jordan,6
MD,,1955,Mary,10
MD,M,1949,,61
,M,1986,robert,525
MD,M,,Jordan,223
MD,M,,Alex,568
MD,F,1976,,376
,M,1925,Jordan,169
MD,,2002,Jordan,50
MD,F,1919,Taylor,17
MD,F,1955,,36
MD,M,1955,Michael,243
MD,M,1927,john,65
MD,M,1925,John,12
MD,F,2014,Mary,785
MD,M,2005,John,201
MD,F,1988,James,100
MD,M,1988,John,188
MD,F,1996,Mary,518
MD,M,2008,John,543
MD,M,1961,John,13
MD,,1980,Patricia,229
MD,M,1997,Robert,5
MD,M,1963,Casey,225
MD,F,2015,Patricia,275
MD,M,1947,Alex,81
MD,M,1969,,616
,F,2000,Michael,162
MD,F,2005,Mary,51
MD,M,1965,Taylor,120
MD,M,1914,James,7
MD,M,1979,Casey,
,,2006,Casey,596
MD,F,1976,Taylor,20
MD,F,1998,,1180
MD,F,1974,Patricia,387
MD,M,2001,,799
MD,F,1967,Jennifer,268
,F,2004,Linda,253
MD,M,1924,Taylor,31
MD,F,1947,Alex,177
MD,M,1974,Taylor,283
MD,F,1989,Linda,1136
MD,F,1956,Patricia,364
MD,F,2022,Casey,494
MD,M,2007,Michael,27
MD,F,1949,Mary,30
MD,F,1988,Casey,608
MD,F,1954,Linda,161
,M,1996,Robert,56
MD,F,1947,Casey,486
MD,M,1997,Alex,205
MD,M,1965,Robert,118
MD,F,1921,Patricia,77
MD,M,2000,Alex,502
MD,F,1943,Alex,34
MD,,1975,Jordan,757
MD,F,1935,Jordan,6
MD,M,2011,Casey,117
MD,F,,Jennifer,6
MD,M,1981,Alex,125
MD,F,1941,Patricia,73
MD,F,,Taylor,210
MD,F,2005,Patricia,43
MD,M,2020,Jordan,115
MD,,1969,,232
MD,M,1999,Robert,9
MD,F,1934,Alex,80
MD,M,1982,Alex,599
MD,F,2013,Taylor,
MD,M,1978,James,291
MD,F,2004,,158
MD,F,2004,Alex,343
MD,M,1955,Patricia,375
MD,F,2022,Patricia,221
MD,M,1985,michael,
MD,F,1994,Patricia,887
MD,F,1912,Taylor,5
MD,,1950,Taylor,218
MD,M,1951,Alex,11
MD,F,1956,jordan,73
MD,F,2021,Alex,6
MD,F,1958,Mary,316
,M,1948,Michael,148
MD,M,2019,James,9
MD,M,1989,,393
MD,M,2022,robert,
MD,M,2003,James,21
MD,M,2000,Casey,667
MD,F,1952,Patricia,1272
MD,F,2001,Taylor,532
MD,M,2021,Casey,131
,M,2015,Alex,109
MD,F,1952,Alex,23
MD,F,1990,Jordan,80
MD,F,1987,Mary,342
MD,M,2016,,35
MD,M,1915,,5
MD,F,1988,Mary,1045
MD,M,1931,jordan,43
MD,M,2006,James,35
MD,F,1985,Mary,746
MD,F,1944,Taylor,582
MD,M,1958,Michael,579
MD,F,1965,Jennifer,22
MD,F,1961,Robert,166
,F,1962,Mary,197
MD,,1974,Jennifer,478
MD,M,1997,Mary,483
MD,M,1984,Jordan,
MD,F,1996,Linda,309
MD,F,1939,Robert,30
MD,F,1983,Jordan,539
MD,M,2011,Jordan,112
MD,M,1981,Robert,266
MD,F,1969,Taylor,163
MD,F,1964,Mary,
MD,M,,James,283
,F,1970,Mary,118
MD,M,1987,Alex,174
MD,M,1934,Michael,7
MD,M,2004,Casey,489
MD,M,2006,Robert,74
MD,M,,James,21
MD,M,1929,Michael,394
MD,M,1958,Taylor,317
MD,M,1965,Alex,1458
MD,F,1975,Taylor,518
MD,M,1966,Robert,72
MD,M,1951,Taylor,30
MD,,1976,Jordan,434
MD,F,1997,Jennifer,237
MD,F,1951,James,544
MD,F,1964,Jordan,1349
MD,M,1914,Alex,13
MD,M,,Jordan,267
MD,M,1989,michael,1442
MD,F,1999,Linda,428
MD,F,1985,Jordan,1023
MD,F,1998,jordan,92
MD,F,1951,Linda,258
MD,F,1987,Linda,293
MD,,1984,Jennifer,785
MD,F,1966,Mary,18
MD,F,1913,James,82
MD,F,1944,Alex,27
MD,F,1989,Taylor,860
MD,F,1968,Alex,108
MD,,2014,Robert,342
MD,M,1946,Taylor,6
MD,M,2014,Alex,18
MD,M,1996,Taylor,521
,M,1987,Robert,380
MD,M,1991,,308
MD,F,2011,Jordan,37
MD,F,2020,Mary,35
MD,F,,Mary,11
,,1987,Jordan,698
MD,F,1925,Jordan,123
MD,M,2020,robert,5
,F,1954,Jennifer,318
MD,F,1969,Jennifer,260
MD,F,2020,Patricia,191
MD,F,1996,,309
MD,F,1952,Taylor,
MD,F,1974,Casey,472
MD,M,2019,Jordan,555
MD,M,1915,Jordan,
MD,M,2008,Jordan,37
MD,F,1950,Casey,28
MD,F,1967,Taylor,150
MD,F,2012,Jordan,123
MD,M,2001,Casey,127
MD,M,1992,Jordan,145
MD,F,1971,Jordan,647
MD,F,1974,Jennifer,512
MD,F,1944,jennifer,157
MD,M,1959,,420
MD,F,1944,Michael,166
MD,,1925,Patricia,83
MD,M,1997,John,518
MD,F,1960,mary,109
MD,F,2004,Jennifer,919
MD,F,1965,Linda,646
MD,F,1926,Patricia,5
MD,F,1942,Mary,6
MD,M,2008,Michael,258
MD,F,1948,Jordan,158
MD,M,1994,Taylor,51
MD,,1960,Alex,62
MD,F,1999,Jennifer,1212
MD,,1965,Alex,911
MD,,1974,John,261
MD,F,1949,Patricia,38
MD,M,2001,,
MD,M,2013,Michael,19
MD,F,1968,Jennifer,8
MD,F,1961,Taylor,149
,M,1946,Alex,36
MD,M,,Michael,78
MD,F,1999,Jordan,364
MD,F,2004,Taylor,21
MD,F,1960,Casey,
MD,M,1986,James,133
MD,M,1951,Robert,
MD,M,1993,Alex,391
MD,F,1981,Jennifer,599
MD,F,1946,Casey,25
MD,F,,Taylor,64
MD,M,1990,John,131
MD,F,1934,Linda,146
MD,F,2001,Jennifer,245
MD,M,1988,Casey,268
MD,F,1983,Mary,633
MD,F,1968,Mary,81
MD,F,2018,Jennifer,505
MD,F,1943,,14
MD,M,1948,James,434
MD,F,1994,Casey,251
MD,M,1933,Alex,16
MD,M,1945,Jordan,580
MD,F,1992,Jordan,919
MD,M,2001,Michael,361
MD,M,1968,Robert,500
MD,M,1958,Casey,672
MD,M,1929,Taylor,99
MD,M,1982,John,36
MD,F,2001,Jordan,558
MD,F,1940,Linda,
MD,F,2021,Patricia,339
MD,M,1937,Robert,30
MD,F,1925,Jordan,123
MD,M,2019,John,5
MD,M,1929,Jordan,43
MD,F,1929,Linda,25
MD,M,1950,Alex,93
MD,M,1985,Casey,330
MD,F,1995,Jordan,62
MD,F,1976,Alex,99
MD,F,2019,Jennifer,57
MD,F,1977,Linda,52
MD,F,1951,Alex,166
MD,M,,John,221
MD,M,1956,Robert,831
MD,F,1952,Linda,52
MD,M,2006,Michael,170
MD,F,2018,Linda,54
MD,F,2007,Mary,96
MD,F,1949,Linda,917
MD,F,1989,Jennifer,248
MD,M,2007,Casey,245
MD,F,1937,Jennifer,286
MD,F,1979,Mary,258
MD,M,1981,john,433
MD,F,1954,Alex,198
MD,,1963,Jennifer,131
MD,M,2014,robert,127
MD,F,1992,casey,
MD,M,1933,Michael,124
MD,M,2010,John,213
MD,M,1949,James,465
MD,,1944,Jordan,39
MD,F,2014,Taylor,90
MD,M,1956,John,92
MD,F,2008,Alex,1111
MD,F,2005,Casey,47
MD,F,2003,Mary,176
MD,M,1963,Robert,664
MD,M,1941,Taylor,38
MD,M,2013,Alex,14
MD,F,,Linda,394
MD,M,2003,James,21
MD,M,1963,Alex,743
MD,M,,Jordan,64
MD,M,1917,James,10
MD,M,2016,James,30
MD,F,1932,Patricia,9
MD,M,2011,taylor,5
MD,F,1972,Taylor,878
MD,M,2010,James,112
MD,F,1979,Taylor,649
MD,M,1956,Taylor,
MD,M,1930,Jordan,495
MD,M,1979,Robert,126
MD,M,1966,Jordan,127
MD,M,1942,Robert,12
MD,F,1948,Alex,380
MD,F,1927,Linda,
MD,F,1972,Casey,8
MD,F,1992,Linda,7
MD,M,2013,Casey,608
MD,F,1930,Linda,18
MD,M,1938,Jordan,418
MD,F,1999,James,86
MD,M,1947,James,130
MD,M,1972,Taylor,169
MD,M,1952,Michael,1442
MD,M,2016,Casey,34
MD,F,1977,Jordan,503
MD,F,2009,Casey,34
MD,M,1915,Michael,8
MD,M,2003,Jordan,253
MD,M,2008,Casey,59
MD,M,1922,John,21
MD,M,2022,linda,40
MD,F,1928,Taylor,76
MD,F,1958,Jennifer,
MD,M,1959,Alex,546
MD,F,1960,Jordan,48
MD,M,1928,Casey,282
MD,F,2017,Alex,438
MD,F,1944,Linda,598
MD,F,1947,Mary,180
MD,M,1975,Robert,147
MD,F,1960,Taylor,173
MD,F,1946,Mary,5
MD,F,1990,Taylor,176
MD,,2000,,86
MD,M,1961,Jordan,42
MD,F,1974,Patricia,387
MD,M,1966,Casey,123
MD,F,1954,Casey,15
MD,M,1964,Jordan,66
MD,F,1991,Jordan,103
MD,M,,Michael,188
MD,F,1978,Jordan,
MD,M,1966,James,214
MD,F,1934,Michael,231
MD,,2004,,50
MD,F,1935,Linda,11
MD,F,1950,Jennifer,25
MD,M,1979,Jordan,7
MD,F,1932,alex,127
MD,M,2018,jordan,149
MD,M,1951,Robert,
MD,M,2012,casey,64
MD,M,1941,Robert,347
MD,F,1934,Casey,9
MD,M,2018,,136
MD,M,1936,John,13
MD,F,1979,Linda,1355
MD,F,1985,Linda,340
MD,M,1969,John,374
MD,F,1997,Patricia,364
MD,F,1974,Linda,429
MD,F,1971,Jennifer,179
MD,M,,Robert,332
MD,F,2013,Michael,11
MD,M,2009,Jordan,23
MD,F,1932,Robert,5
MD,M,2015,Taylor,511
MD,F,1911,Jordan,34
MD,M,1940,Linda,5
MD,M,2005,Jordan,217
MD,M,2018,Taylor,97
MD,F,,Taylor,572
MD,M,1976,Michael,222
MD,F,1983,Alex,409
MD,M,1974,Alex,543
MD,F,1996,Alex,55
MD,M,1955,,96
MD,F,1973,Alex,17
MD,F,1948,Taylor,11
MD,F,2020,Patricia,191
MD,,1969,mary,235
MD,M,2017,Taylor,22
MD,F,2010,Linda,923
MD,M,1998,James,138
MD,F,2014,Casey,11
MD,M,1980,Michael,
MD,F,2000,Alex,80
MD,F,1947,Mary,180
MD,,2007,Taylor,8
MD,M,1932,Michael,27
,F,1985,Jennifer,535
MD,F,2004,Jordan,
MD,M,1929,John,15
MD,M,1972,Alex,16
MD,F,1953,Alex,660
,F,1926,Casey,49
MD,F,1916,Alex,8
MD,F,1915,Patricia,46
MD,M,,James,226
MD,F,1977,Taylor,535
MD,F,2013,Alex,579
MD,M,2020,Taylor,15
MD,F,1961,Jennifer,
MD,F,1956,Jennifer,212
MD,M,1930,Alex,28
MD,F,2016,Jennifer,257
MD,F,1953,Linda,274
MD,M,,Alex,80
MD,F,1921,James,20
