state,sex,year,name,count
ME,M,1981,Casey,124
ME,F,1948,Jordan,35
ME,F,2021,Mary,257
ME,F,2006,Jordan,88
ME,M,1974,Robert,276
ME,,1980,Alex,308
ME,M,1920,John,193
ME,F,1960,Taylor,477
ME,,1953,Alex,1147
ME,F,1958,Patricia,84
ME,F,1939,Patricia,82
ME,F,1934,Jennifer,38
ME,,1980,James,75
ME,F,1972,Alex,1068
ME,F,1973,John,11
ME,F,1961,Taylor,
ME,M,1988,Alex,678
ME,F,2007,Linda,58
ME,M,1981,Jordan,111
ME,M,1930,James,
ME,M,2000,Alex,240
ME,F,2011,Linda,8
ME,M,1943,Robert,150
ME,M,1969,Casey,122
ME,M,1961,James,8
ME,M,1931,Jordan,212
ME,M,,Robert,423
ME,M,1946,John,589
ME,F,,Patricia,344
ME,,1969,Jennifer,36
ME,F,1992,Mary,466
,M,1962,Taylor,25
ME,M,1972,Taylor,259
ME,M,1949,Michael,18
ME,M,1979,Robert,340
ME,M,1948,Taylor,94
ME,M,2021,Alex,182
ME,M,1983,Jordan,94
ME,M,1993,Michael,1112
ME,F,1989,Casey,41
ME,F,1988,Casey,435
ME,M,1921,Casey,8
ME,F,2002,Jordan,578
ME,M,1942,Taylor,
,M,1935,Michael,93
,M,1952,Taylor,59
ME,M,1922,Mary,77
ME,M,1929,Casey,5
ME,F,1965,Alex,244
ME,F,2003,Casey,230
ME,F,,Mary,
ME,F,1924,Taylor,121
ME,M,2014,james,50
ME,F,1938,,
ME,M,1978,Casey,906
ME,M,1950,John,303
ME,F,1994,Mary,84
ME,F,1996,Mary,235
,F,1973,Jennifer,333
ME,M,1986,John,94
ME,F,1960,casey,
ME,M,2003,Jordan,124
ME,M,1966,Jordan,242
ME,F,1980,Jordan,482
ME,M,1992,Michael,
,M,1944,Jordan,153
ME,M,1914,Casey,9
ME,F,1978,Patricia,881
ME,F,2009,Mary,
ME,M,1957,Casey,74
ME,M,2001,Robert,364
ME,F,1955,Patricia,33
ME,F,2005,Linda,1041
ME,F,1987,Linda,116
ME,F,1982,Patricia,509
ME,M,2004,Casey,15
ME,F,1958,John,51
ME,F,1917,Taylor,23
ME,M,1971,,429
