state,sex,year,name,count
MI,F,2010.0,Casey,24
MI,F,1950.0,Casey,25
MI,M,1976.0,Taylor,525
MI,M,1938.0,alex,10
MI,M,2000.0,Taylor,34
MI,F,1939.0,Patricia,93
MI,F,1928.0,Jordan,12
MI,M,1960.0,Casey,1033
MI,M,1952.0,Jordan,12
MI,M,1943.0,Michael,103
MI,M,1997.0, Jordan ,479
MI, M ,1980.0,Robert,349
MI,M,1930.0,John,64
MI,F,1990.0,casey,273
MI,F,1954.0,Casey,275
MI, F ,1989.0,Jennifer,156
MI,F,1967.0,Linda,16
MI,F,1962.0,Patricia,301
MI,M,1933.0,,7
MI,M,2005.0,Robert,1023
MI,F,1921.0,Taylor,6
MI, M ,1971.0,Michael,512
MI,F,1947.0,Jennifer,163
MI,M,1960.0,Michael,7
MI,F,1970.0,Alex,338
 MI , F ,2009.0,Patricia,531
MI,F,1974.0,Linda,456
MI,M,1964.0,Casey,5
MI,F,1947.0,Mary,722
MI,F,1969.0,Jordan,137
MI,M,1928.0,michael,20
MI, M ,1942.0,Jordan,
 MI ,,1959.0,Jordan,646
MI,M,1938.0,James,524
MI,F,1986.0,Casey,388
,F,1942.0,Alex,34
MI,F,,Mary,72
MI, M ,1992.0,Robert,180
MI,M,1970.0, James ,149
MI,M,1979.0,James,295
MI,F,1966.0,Mary,494
MI,F,1960.0,Jennifer,425
 MI ,M,1954.0,,13
MI,F,1981.0,Mary,622
MI,M,1953.0,Jordan,799
MI,M,2005.0,Jordan,18
MI,M,1967.0,alex,
,M,2009.0,Casey,66
MI,M,1940.0,Jordan,26
MI,F,1977.0,Patricia,746
,F,1992.0,Patricia,240
MI,F,,alex,697
MI,F,1979.0, Jennifer ,143
MI,M,1980.0,James,647
MI,M,1997.0,Robert,383
MI, F ,1973.0,,194
,,1920.0,patricia,185
MI,,1978.0,Michael,737
MI,M,1916.0,Jordan,11
MI,M,1927.0,James,65
MI,M,1938.0,Casey,16
MI,F,1952.0,Taylor,579
 MI ,F,1984.0,Mary,1114
MI, F ,,Mary,189
MI,M,1944.0,Alex,14
MI,,1968.0,Jordan,45
MI,F,1921.0, Patricia ,60
MI,F,1953.0,Casey,326
MI,F,1984.0,Linda,133
MI,F,1954.0,Jennifer,108
MI,M,1969.0,John,237
MI,M,1918.0,Jordan,74
MI,F,1948.0,Jennifer,359
,M,1974.0,Alex,513
MI,M,1981.0,John,1165
MI, F ,1997.0,Casey,15
,F,1964.0, Casey ,277
MI,M,1996.0,Michael,57
MI,F,1999.0,Casey,133
MI,F,1949.0,Casey,25
MI,F,1959.0,Casey,811
MI,M,1989.0,Jordan,654
MI,M,1983.0,Robert,104
 MI ,F,1963.0,Patricia,322
 MI ,F,1969.0, Taylor ,827
,F,1975.0,Linda,171
MI,M,1981.0,Robert,541
MI,,1994.0,Michael,340
MI,M,2019.0,Michael,66
MI, M ,2019.0,Alex,41
MI,F,2002.0, Taylor ,28
MI,F,1936.0,Jennifer,69
MI,F,1919.0,Jordan,77
MI,,2003.0,Jordan,222
MI,M,,Alex,72
MI,F,1964.0,Alex,463
MI,F,,Patricia,10
MI,M,1957.0,Alex,25
MI,,2007.0,Mary,857
,F,1987.0,Jennifer,933
MI,F,1915.0,Jennifer,62
MI,F,1970.0,Jordan,287
MI,M,1922.0,Casey,48
MI,M,1994.0,Robert,182
MI,M,2000.0,Robert,759
MI, F ,1996.0,Alex,6
MI,M,2020.0,John,6
MI,,1974.0,Patricia,369
MI,,1932.0,Jordan,31
MI,M,1978.0,Alex,314
MI,M,1916.0,Robert,6
MI,F,1968.0,Casey,68
MI,F,1946.0,Patricia,114
MI,F,1988.0,Jennifer,515
MI,M,1985.0,John,555
MI,F,1967.0,Mary,76
MI,M,1914.0, Michael ,15
MI,M,1998.0,John,525
MI,M,1922.0,James,138
, F ,1963.0,Mary,400
MI,M,1972.0,Jennifer,162
MI,F,1975.0,Alex,58
MI,M,1962.0,John,73
MI,F,1965.0,Patricia,737
MI,F,1990.0,Linda,93
MI,F,2017.0,Jennifer,356
MI,M,1939.0,James,321
MI,M,2012.0,James,20
MI,F,1993.0,Mary,28
MI,M,2008.0,Casey,530
MI,M,2009.0,Jordan,83
MI,M,2011.0,James,424
 MI ,F,1975.0, Mary ,
MI,M,1995.0,james,853
MI,M,1975.0,Casey,15
MI,M,1926.0,James,82
MI,M,1925.0,,42
 MI ,F,1953.0,Jennifer,541
MI,M,1960.0,Taylor,49
MI,F,2004.0,Alex,91
MI,M,2008.0,,117
MI,M,2012.0,Alex,50
MI,M,2016.0,,65
 MI ,F,, Casey ,40
MI,F,1937.0,Alex,7
MI,F,1916.0,Alex,16
MI,F,1997.0,Alex,729
MI,F,2019.0,Casey,519
 MI ,F,2004.0,Casey,
MI,F,1983.0,Michael,58
 MI ,F,1923.0,Taylor,29
MI,,1952.0,,206
 MI ,F,1924.0,Alex,25
MI,F,1928.0,Jennifer,12
MI,F,1983.0,Taylor,38
MI,F,1960.0,Linda,162
MI,F,1971.0,Jordan,157
MI,M,1941.0,Robert,5
,F,1971.0,Linda,197
MI,F,1972.0,Jordan,254
 MI ,M,2019.0,Robert,370
MI,F,1967.0,Patricia,383
MI,M,1957.0,Robert,349
MI,M,2014.0,Taylor,26
MI,F,1996.0,Jordan,
MI,M,2022.0,Robert,37
 MI ,M,2010.0,Taylor,14
MI,F,1929.0,Alex,5
MI,F,1970.0,Linda,
MI,M,1915.0,James,170
MI,F,1973.0,casey,687
MI, M ,1991.0,John,
MI,M,1919.0,,27
MI,F,1958.0,,30
MI,M,1991.0,Michael,717
 MI ,M,1924.0,Jordan,5
MI, M ,1958.0,michael,164
MI,M,1977.0,Robert,481
MI,M,1996.0,robert,193
MI,F,1929.0,Casey,404
MI, F ,1995.0,Taylor,535
MI,M,1962.0,Michael,291
MI,F,1947.0,Alex,150
 MI ,F,2009.0,Taylor,887
MI, M ,1958.0,michael,164
MI,M,1914.0,Jordan,7
MI,,1914.0, Taylor ,6
MI,M,1985.0,Jennifer,819
MI,F,1991.0,Patricia,547
MI,M,1971.0,Jordan,947
MI,F,1967.0,Casey,1006
MI,M,1966.0,Jennifer,63
MI,F,1970.0,john,172
MI,M,1995.0,Alex,7
MI, M ,1985.0,Alex,
,M,1953.0,Taylor,139
MI,M,1972.0,John,82
MI,M,1918.0, Taylor ,70
MI,M,2006.0,Michael,93
MI,M,1936.0,Robert,20
MI,F,2005.0,Taylor,166
MI,F,1971.0,Taylor,457
MI,F,1998.0,Taylor,259
MI,M,1983.0,Michael,829
MI,F,2013.0,Taylor,5
MI, F ,2022.0,Jennifer,147
MI,M,1953.0,Casey,29
MI,M,1929.0,Taylor,205
,M,1941.0,Alex,552
MI,F,2006.0,Taylor,619
MI, F ,1923.0,Jennifer,33
MI,F,1979.0,Patricia,402
MI,F,1941.0,Patricia,76
MI, F ,1967.0,Jennifer,
MI,M,1948.0,Alex,283
MI, M ,1978.0,Jordan,365
MI,M,1958.0, James ,49
MI,M,1962.0,casey,266
MI,M,1966.0, Casey ,119
MI,M,1987.0,John,662
MI,,1991.0,Jordan,105
 MI ,F,1998.0,John,472
MI,F,1976.0,Alex,132
MI,F,,Patricia,232
MI,M,1947.0,,377
MI,,2012.0,Jennifer,204
MI,F,,Patricia,10
MI, F ,1961.0,Mary,537
MI,M,1946.0,Alex,214
MI,F,1971.0,Alex,289
MI,M,1963.0,Taylor,12
 MI , F ,2022.0,Casey,5
MI,M,2015.0,,15
 MI ,M,1975.0,Michael,579
MI,M,2001.0,Robert,139
MI,M,1921.0,Jennifer,143
 MI ,F,1986.0,jordan,247
,M,2014.0,James,150
 MI ,F,2002.0,Jordan,244
MI,F,2002.0,casey,611
MI,F,1960.0,Patricia,402
MI,M,1946.0,Michael,27
,F,1915.0,Linda,6
MI,M,1951.0,Robert,183
MI,M,2008.0,John,156
MI,M,1988.0,Alex,58
 MI ,F,2005.0,Linda,12
MI,F,2011.0,Alex,710
MI,M,1979.0,Alex,542
MI, M ,1948.0,Michael,469
MI,M,1958.0, Alex ,183
MI,M,1993.0,Alex,100
MI,M,2000.0,Jordan,377
MI,F,1914.0, Casey ,36
MI,F,1980.0,jordan,81
MI,F,1979.0,Taylor,199
MI, M ,1980.0,Jordan,406
MI,F,1990.0,Jennifer,324
MI,F,1916.0,Jennifer,33
MI,F,2011.0,Patricia,158
MI,F,1998.0,Patricia,1463
MI,M,1960.0,Jordan,157
MI,M,1932.0,James,188
MI,F,1965.0,Linda,729
MI,M,1939.0,Jordan,196
MI, M ,1931.0,,331
MI,M,2004.0,Casey,622
MI,F,1945.0,,245
MI,M,1949.0,John,341
MI,M,1944.0,Taylor,108
 MI ,,1987.0,Patricia,486
MI,M,1998.0,Robert,68
,M,1980.0,Alex,187
MI,F,2005.0,James,18
MI,F,1951.0,Patricia,261
MI,,1982.0,Jordan,135
MI,M,1982.0,Michael,671
 MI ,M,1944.0,James,929
MI,F,1964.0,Jennifer,87
MI,M,1920.0,James,10
 MI ,F,1956.0,,473
 MI ,M,2016.0,Taylor,16
MI,F,2015.0,Robert,492
MI,M,2019.0,Taylor,143
MI,F,1955.0,Mary,304
MI,M,1971.0,John,216
MI,F,1969.0,Patricia,49
MI,F,2017.0,Jordan,5
MI,F,1951.0,Linda,75
MI,M,1969.0,Casey,374
MI,F,1947.0,Linda,6
MI,F,1969.0,Linda,388
MI,M,1950.0,,415
MI,M,1990.0,robert,90
MI,F,1955.0,Alex,105
MI,F,1932.0,Mary,258
MI,,2018.0,Michael,564
MI,F,1941.0,Jennifer,252
MI,F,1982.0,Linda,248
 MI ,M,1979.0,,119
MI,F,1966.0,John,94
MI,F,1962.0,Linda,124
MI,M,1965.0,Michael,258
MI,M,1991.0, Taylor ,375
MI,M,1963.0,Jordan,36
MI,F,2009.0,Linda,300
MI,M,2000.0,Michael,754
MI,M,1942.0,Michael,86
,F,2011.0,Casey,235
MI,F,,Mary,732
MI, M ,,Alex,16
MI,M,,Casey,437
MI,M,1991.0,Jordan,502
MI,F,2015.0,Jordan,6
MI,M,1937.0,,480
MI,F,1972.0,Alex,246
MI,F,1984.0,Robert,28
MI,M,1991.0,Alex,934
MI,F,1955.0,Jennifer,78
MI,F,1996.0,Linda,
MI,F,2015.0,John,249
MI, M ,1975.0,Taylor,88
 MI ,F,,Jennifer,8
MI,M,1966.0,Michael,236
MI,,1987.0,Jordan,150
MI,M,2014.0,John,143
 MI ,,1994.0,Alex,116
MI,F,2017.0,Mary,156
MI,M,1948.0,Taylor,292
,F,1987.0,Casey,333
 MI ,F,2014.0,Mary,6
MI,M,,Taylor,
MI, F ,1953.0,Jordan,287
MI,F,2010.0,Mary,19
 MI ,M,1947.0,,319
MI,F,1951.0,Mary,43
MI,F,1966.0,Taylor,261
MI,F,1982.0,Jordan,194
MI,M,1988.0,casey,459
 MI ,M,1995.0,John,606
MI,F,1947.0,Jordan,24
MI,M,2001.0,Alex,1510
MI,M,1935.0,Taylor,443
MI,M,1958.0,Robert,88
MI,M,2010.0,Robert,610
MI,M,1974.0, James ,171
MI, F ,1966.0,Casey,603
MI,F,1964.0,Jordan,20
MI,F,1945.0,Mary,19
MI,,1964.0,Alex,434
MI,F,2001.0,Jennifer,167
MI,M,2022.0,James,69
MI,M,1936.0,Alex,353
MI,M,1923.0,casey,16
MI,F,2022.0,Taylor,73
MI,M,1967.0,,1092
MI,M,1932.0,Jennifer,8
MI,F,1937.0,Patricia,5
MI, M ,2007.0,Robert,308
,F,1981.0,Linda,
,F,1997.0,Linda,586
MI,F,1994.0,Jennifer,24
MI,,1949.0, James ,10
MI,M,1944.0,John,280
 MI ,M,1931.0,Michael,170
MI,F,1957.0,Mary,335
MI,F,2011.0,Linda,257
MI, F ,1979.0, Casey ,762
MI,M,1981.0,Alex,84
MI,M,1955.0,James,921
MI,F,1940.0,Alex,52
MI,F,1936.0,Linda,38
MI,M,1945.0,Jordan,493
 MI ,F,1994.0,Jordan,317
MI,M,2017.0,Michael,622
 MI ,M,1912.0,Robert,13
MI, F ,1983.0,Casey,269
MI,M,1993.0,John,139
MI,M,1984.0,,696
MI,F,1966.0,Jennifer,558
MI,F,1961.0,Linda,113
MI,,,Patricia,593
MI,F,1949.0,Mary,188
 MI ,M,1947.0,Casey,366
MI,M,2019.0,Jordan,148
MI,M,1915.0,Robert,116
MI,F,1979.0,,232
MI,F,1954.0,Jordan,90
MI,M,1984.0,Casey,214
 MI , F ,2010.0,Taylor,725
MI,F,2013.0,John,37
 MI ,F,2014.0,Alex,15
MI, F ,1969.0,Jennifer,46
MI,M,2014.0,Casey,619
MI,F,1986.0,Linda,421
MI,M,1989.0,Alex,110
MI,,1950.0, Taylor ,35
,M,1953.0,Taylor,139
MI,F,1922.0,Patricia,7
MI,F,1984.0,Jennifer,64
MI,F,1994.0,Taylor,97
MI,M,1993.0,Michael,759
MI,M,1968.0,John,41
MI,M,1958.0,Casey,593
,M,2009.0,Jennifer,
MI, M ,1992.0,James,9
MI,,1944.0,Jordan,
MI,M,1938.0,John,25
MI,F,1977.0,Taylor,194
MI,F,2010.0,Alex,58
 MI ,M,2012.0,Michael,281
MI,,1911.0,Linda,52
MI, F ,1936.0,Mary,11
MI,M,1955.0,Taylor,1036
MI,M,1950.0,John,345
MI,M,2007.0,Linda,22
MI,F,1946.0,jennifer,541
MI,M,1949.0,Robert,63
,F,1964.0,Patricia,285
MI,F,1916.0,Mary,6
MI,M,1985.0,michael,256
,M,2016.0,Michael,127
 MI ,M,1986.0,Casey,443
MI,F,2017.0,Casey,659
MI,M,1928.0,Casey,146
MI,F,1944.0,Alex,175
MI, F ,1936.0,Casey,18
MI,M,1953.0,James,193
MI,M,1976.0,Casey,366
MI,M,1985.0,robert,120
MI, M ,1919.0,Jordan,6
MI,F,1977.0,Alex,45
MI, F ,1970.0,Jennifer,473
MI,M,1940.0,taylor,21
MI,M,1979.0,Taylor,10
,F,2007.0,Linda,487
MI,M,1932.0,taylor,467
MI,F,2007.0,Taylor,205
