state,sex,year,name,count
MN,M,1977,Taylor,641
MN,M,1951,James,52
MN,F,1932,Linda,15
MN,M,1919,Jordan,30
MN,F,1987,Casey,268
MN,M,1946,John,44
MN,M,1965,linda,204
MN,F,2007,Linda,38
MN,F,1974,Jennifer,74
MN,,1947,Alex,301
MN,F,2020,Taylor,183
MN,F,1921,Jennifer,348
MN,M,2003,casey,352
MN,,2001,Alex,69
MN,F,2002,Casey,472
,M,1986,Jordan,238
MN,M,1963,,167
MN,F,1942,Patricia,
MN,F,1996,Linda,903
MN,M,2021,Taylor,46
MN,M,1977,Casey,201
MN,M,2022,James,86
MN,F,1933,Linda,11
MN,M,1956,Jennifer,116
MN,F,1914,Jennifer,27
MN,M,2008,Taylor,117
MN,F,,jennifer,239
MN,M,2017,James,60
MN,M,2009,Michael,84
MN,F,1959,Jennifer,415
MN,M,2013,Taylor,34
MN,F,1994,,175
MN,M,1963,Casey,12
MN,M,1995,Jordan,1053
MN,F,1970,Mary,384
MN,M,2005,James,375
MN,F,1940,Jennifer,13
MN,M,1993,Taylor,36
MN,F,1933,Alex,173
MN,F,1965,John,447
MN,M,1959,Robert,318
MN,M,2014,Michael,60
MN,F,1990,Patricia,459
MN,M,1968,Taylor,485
MN,,1939,Alex,82
MN,,,Casey,5
MN,M,1973,James,249
MN,F,1991,Patricia,764
MN,M,2007,,14
MN,M,1938,Robert,32
MN,F,1993,Taylor,94
MN,M,1961,Taylor,115
MN,,2005,Alex,18
MN,F,1933,Mary,96
MN,,2001,Taylor,623
MN,M,1991,Casey,147
MN,F,1930,Linda,5
MN,F,1993,Linda,180
MN,F,1994,Jordan,357
MN,F,2018,Linda,98
MN,F,1918,Casey,29
MN,F,1921,Patricia,181
MN,F,1932,taylor,16
MN,M,1928,Jordan,34
MN,F,2007,Casey,118
MN,M,1987,Jordan,770
MN,,1947,Patricia,468
MN,F,,Mary,1400
MN,F,1986,Casey,
MN,M,1914,casey,11
MN,M,2003,Jordan,568
MN,F,2013,Patricia,107
MN,F,1970,Jordan,229
MN,F,1964,Casey,56
MN,F,1945,Alex,7
MN,F,1985,Jennifer,59
MN,M,1983,Casey,435
MN,M,2006,Linda,6
MN,F,1969,Mary,626
,M,1938,Alex,5
MN,,2017,Mary,111
MN,M,2012,Alex,101
MN,,2005,Taylor,
MN,F,2006,Taylor,307
MN,M,2000,James,191
MN,,2017,Linda,30
MN,M,2004,Jennifer,431
MN,M,1947,Robert,348
MN,M,1991,,78
MN,M,1937,Taylor,144
MN,F,1989,Linda,526
,F,1972,jennifer,73
MN,F,2017,alex,325
MN,F,2017,Patricia,6
MN,M,1948,robert,310
MN,F,1920,Taylor,13
MN,F,1978,taylor,277
MN,M,1956,Casey,274
MN,,1999,Taylor,207
MN,M,2014,Patricia,8
MN,M,2018,Michael,8
MN,F,1971,Alex,121
MN,,1944,Patricia,13
MN,M,1990,Taylor,1391
,M,1989,Michael,
MN,F,1992,Casey,362
,M,1951,Jordan,116
MN,F,2013,Jennifer,309
MN,M,1968,James,29
MN,F,1954,Alex,565
MN,F,1969,Jordan,333
MN,F,2003,Linda,38
MN,F,1992,John,347
MN,M,1945,,34
MN,F,1988,Jennifer,221
MN,F,1953,James,174
MN,M,1962,Robert,360
MN,M,2020,John,5
MN,M,1989,,719
MN,F,1940,Alex,
MN,F,1959,Taylor,282
MN,M,1985,Taylor,970
MN,M,1978,John,298
MN,M,2014,Taylor,58
MN,F,1950,Patricia,12
MN,M,1993,Alex,227
MN,F,2010,Linda,141
MN,F,1943,Taylor,154
MN,F,1959,Linda,126
