state,sex,year,name,count
MO,M,1926,Robert,10
MO,M,1951,Jordan,59
MO,F,1980,Patricia,222
MO,F,1969,Jennifer,746
MO,F,1931,Casey,79
MO,M,1934,Michael,102
MO,M,2011,Michael,187
MO,F,2004,Alex,43
MO,M,1964,,63
MO,F,1984,Alex,562
MO,F,2014,Jennifer,128
MO,F,,Alex,22
MO,M,1977,Robert,308
MO,F,1977,Taylor,242
MO,M,1952,Casey,139
MO,F,1962,Patricia,169
MO,F,2015,Jennifer,110
MO,F,1992,Patricia,250
MO,F,2005,Jordan,28
MO,M,1979,Taylor,543
MO,F,1958,,
MO,F,1954,Jordan,112
MO,M,2004,Robert,431
MO,M,1944,Casey,86
MO,M,1961,Taylor,78
MO,F,2009,Patricia,9
,M,1977,Michael,903
MO,M,1960,Casey,42
MO,M,1952,Michael,91
MO,F,2020,,232
MO,F,1925,Jordan,265
MO,M,2000,Jordan,
MO,,1993,Alex,688
MO,M,2006,Taylor,176
MO,F,1914,Linda,25
MO,F,1948,Alex,115
MO,M,2000,Casey,519
MO,M,1980,John,181
MO,F,1952,Taylor,17
MO,F,2015,alex,47
MO,F,1943,,23
,F,2018,Jennifer,332
MO,F,2018,Alex,10
MO,F,1950,Mary,172
MO,F,,Jennifer,396
MO,F,1943,Linda,109
MO,F,2020,Taylor,41
MO,F,1916,Alex,5
MO,F,1919,Linda,33
MO,M,2001,Robert,184
MO,F,1934,Taylor,120
MO,M,1932,Robert,117
MO,F,1955,Jordan,85
MO,F,1913,Linda,44
MO,F,,Linda,43
MO,,1968,Robert,689
MO,,1953,Linda,1261
MO,M,2010,Michael,43
MO,F,1940,Alex,5
MO,M,1942,Casey,9
,M,1991,jordan,244
MO,M,1964,Taylor,202
MO,F,2017,Jordan,518
MO,F,1990,Mary,234
MO,F,2000,patricia,271
MO,M,,Alex,78
,M,1921,Alex,54
MO,M,1978,Taylor,125
MO,M,1924,Casey,120
MO,F,1987,taylor,136
MO,M,1934,alex,36
MO,M,1954,,168
MO,,2006,Jordan,274
MO,F,2003,Jordan,407
MO,F,,Alex,22
,,2002,Taylor,790
MO,F,1980,Casey,284
MO,,2009,Mary,257
MO,M,1932,James,49
MO,F,1947,Jordan,30
MO,F,1980,Jennifer,627
MO,M,1988,Michael,451
MO,F,1965,Patricia,505
,M,1951,Michael,530
MO,F,1961,Casey,123
MO,F,1965,Jennifer,589
MO,,1955,Alex,18
MO,M,,Jennifer,15
MO,M,2006,John,101
MO,M,1922,,39
MO,M,1959,Alex,492
MO,M,1982,Casey,236
MO,M,1969,John,347
MO,M,1978,Patricia,383
MO,F,1999,Patricia,486
MO,F,2000,Alex,191
MO,F,2003,Jennifer,177
MO,M,1973,taylor,220
MO,F,1960,Mary,374
MO,F,1916,Casey,6
MO,F,1941,Casey,9
MO,F,1943,Jennifer,333
MO,F,1936,Robert,134
MO,M,1977,Casey,44
MO,F,1956,Linda,420
MO,F,1969,Patricia,83
MO,F,2010,Patricia,182
MO,M,1976,Alex,45
MO,F,1999,,13
MO,M,1968,John,561
MO,M,1985,John,520
MO,F,1957,Linda,24
MO,M,1933,Casey,69
MO,M,1950,Alex,674
,M,1958,Casey,34
MO,M,1928,Jordan,48
MO,F,1972,Jennifer,
MO,F,1963,jennifer,748
MO,F,1990,Taylor,613
MO,F,1917,Patricia,15
MO,M,2001,Casey,65
MO,F,1988,Linda,248
MO,F,1962,Jordan,590
MO,M,2001,Alex,248
MO,M,1995,James,62
MO,M,1930,Jordan,58
MO,F,1929,Linda,104
MO,M,,Casey,43
,F,2005,Taylor,12
MO,M,1944,linda,196
MO,F,1922,Patricia,35
MO,M,1957,Alex,204
MO,M,2018,Taylor,50
MO,M,1941,John,15
MO,M,2021,John,72
MO,F,1930,Patricia,398
MO,M,1983,Michael,64
MO,F,2005,Mary,275
MO,M,1967,Alex,341
MO,M,1986,jordan,334
MO,F,1987,Jordan,614
MO,M,1994,John,213
MO,,1953,Jennifer,62
MO,M,2015,Robert,298
MO,,1981,alex,395
MO,F,1937,Alex,321
MO,M,1949,Jordan,205
MO,M,1969,Alex,625
MO,F,,Jordan,340
MO,M,,John,147
MO,M,1941,Michael,7
MO,F,2005,John,196
MO,M,1949,Robert,696
MO,M,1962,,13
MO,M,2004,Michael,199
MO,F,1950,Taylor,474
MO,M,2014,Casey,204
MO,M,,Michael,19
MO,,1983,Alex,
MO,F,1961,Jennifer,856
MO,M,2000,Robert,204
MO,M,1983,Alex,431
MO,F,2014,,102
MO,F,1942,Mary,82
MO,,1947,Alex,532
MO,M,1997,Casey,399
MO,F,1933,Jordan,106
MO,F,2021,Jennifer,127
MO,M,1999,James,16
MO,F,2008,Taylor,
MO,M,1997,James,756
MO,F,1953,Mary,484
MO,F,1924,Jennifer,25
MO,F,1978,Casey,440
MO,M,1941,,77
MO,F,1928,Robert,391
MO,F,1984,Casey,432
MO,M,1950,Jordan,32
MO,F,1995,Alex,461
MO,F,1998,Alex,155
MO,F,1975,Taylor,800
MO,F,1966,Linda,259
MO,M,,Taylor,59
