state,sex,year,name,count
MS,F,1985,Alex,160
MS,M,1950,Robert,729
MS,M,1975,Alex,78
MS,M,2014,michael,35
MS,M,2007,Jordan,119
MS,M,1971,Alex,1292
MS,M,2016,Taylor,9
MS,M,1980,Michael,921
MS,F,2013,Casey,25
MS,M,1933,Robert,11
MS,F,,Jennifer,243
MS,M,1981,Mary,111
MS,M,1953,James,558
MS,F,1968,Taylor,1020
MS,F,2011,Alex,48
MS,F,1994,Linda,180
MS,M,2002,,344
MS,M,1999,James,328
MS,F,1980,Mary,894
MS,F,1951,Casey,132
MS,F,1945,Taylor,15
MS,M,2014,Casey,22
MS,F,1979,Taylor,310
MS,F,1970,Patricia,617
MS,F,2016,Casey,126
MS,F,1944,Mary,639
MS,M,1959,Michael,319
MS,F,1954,Alex,161
MS,M,1996,James,698
MS,F,1949,Mary,512
MS,F,1986,Alex,97
MS,F,1954,Alex,161
MS,M,1960,Jennifer,119
MS,F,2013,Taylor,158
MS,F,1959,Taylor,
MS,M,2004,Casey,64
MS,M,1919,Patricia,6
MS,,2021,James,46
MS,M,2005,Casey,148
MS,F,1960,Alex,650
MS,M,1948,John,25
MS,F,1956,Jordan,420
MS,M,2002,James,1029
MS,M,1987,Taylor,353
MS,M,1977,Taylor,495
MS,M,2017,Alex,825
MS,F,1978,jennifer,326
MS,,1983,,128
MS,F,2011,Jennifer,357
MS,M,2003,Jordan,17
MS,,1987,Jordan,157
MS,F,2019,Casey,431
MS,F,1977,Linda,183
MS,M,1973,Alex,362
MS,M,1996,Robert,575
MS,,1957,robert,1105
MS,M,1988,Taylor,667
MS,F,1944,Linda,591
MS,M,2016,James,78
MS,F,1990,Linda,37
MS,M,1949,Robert,645
,M,1946,Jordan,38
MS,M,2005,John,57
MS,F,1955,Jordan,406
MS,M,1948,Michael,6
MS,F,1996,Patricia,1318
MS,F,2013,Jennifer,720
MS,M,1984,Jordan,237
MS,M,1989,Jordan,45
MS,,1954,Jordan,14
,F,1950,Patricia,747
MS,F,1956,Michael,110
MS,M,1990,Taylor,510
MS,,1918,Taylor,127
MS,F,1950,Jordan,550
MS,F,1991,Jennifer,260
MS,F,1932,Mary,
MS,M,2011,Mary,297
MS,M,1985,James,196
MS,M,1930,Casey,7
MS,F,1939,Linda,115
MS,M,2006,Alex,430
MS,M,,Michael,444
MS,M,1939,James,5
MS,M,1953,Taylor,10
MS,M,2015,Taylor,83
MS,M,1967,,102
MS,F,1957,Alex,420
MS,F,1978,Taylor,275
MS,F,,Alex,332
MS,M,1952,Michael,63
MS,,2014,Taylor,25
MS,M,2010,Jordan,12
MS,M,1992,John,1059
MS,M,1948,Robert,
MS,M,1991,James,411
MS,F,1968,Casey,
MS,F,1947,,122
MS,M,2019,Alex,177
MS,M,2010,James,39
MS,,2004,John,47
MS,M,1966,Robert,874
MS,M,1963,taylor,82
MS,F,1979,patricia,217
MS,F,1985,Linda,686
MS,M,1972,Alex,244
MS,M,1942,Casey,144
,F,2012,John,272
MS,F,1940,Patricia,
MS,F,2017,casey,501
MS,,1954,,276
MS,M,2007,Casey,24
MS,F,1910,Mary,27
MS,F,1936,taylor,45
MS,M,1993,James,326
MS,F,1950,Casey,8
MS,M,1917,James,19
MS,M,1970,Casey,379
MS,F,1986,Jennifer,370
MS,M,1957,taylor,958
MS,F,1955,Jennifer,92
MS,M,1940,John,484
MS,F,2008,Taylor,11
MS,M,1931,John,9
MS,F,,Mary,918
MS,F,1976,taylor,169
,,2012,Taylor,6
MS,F,1942,Casey,319
MS,F,1963,Alex,24
MS,M,2012,Jordan,40
MS,M,1982,Taylor,637
MS,F,1918,Taylor,10
MS,,1977,John,285
MS,F,2008,Linda,24
MS,M,1948,Casey,27
MS,M,1956,Michael,176
MS,F,1941,jordan,36
MS,,2009,Jordan,267
MS,,2009,Jennifer,65
MS,F,1964,Jennifer,477
MS,M,1964,John,839
MS,F,1986,Jordan,243
MS,F,2010,Alex,592
MS,F,1920,Casey,23
,M,2022,Taylor,524
MS,,1997,Patricia,75
MS,M,1951,Robert,
MS,F,1961,Alex,333
MS,F,1974,Taylor,164
MS,F,1970,Casey,532
MS,M,,James,81
MS,F,1991,Taylor,585
MS,,1975,Taylor,477
MS,F,1958,Alex,522
MS,M,2017,Robert,33
MS,M,1968,Casey,235
MS,M,1995,James,35
MS,F,1967,Linda,170
MS,M,1929,Taylor,40
MS,M,1954,Alex,62
MS,F,1991,Linda,172
MS,F,1973,Casey,18
MS,M,2007,james,754
MS,M,,Casey,123
MS,M,1983,John,103
MS,F,1967,Jennifer,484
MS,M,1978,,465
MS,F,1914,Taylor,82
MS,M,1974,Taylor,50
MS,F,1921,Jordan,23
MS,M,,Alex,603
MS,M,1991,Jordan,68
MS,M,2001,Taylor,185
MS,F,1952,linda,644
MS,F,1916,Linda,57
MS,M,2010,Robert,457
MS,F,2008,Alex,674
MS,M,1958,Taylor,258
MS,M,2013,Michael,287
MS,F,,Alex,39
MS,,1930,Alex,126
MS,M,1965,Taylor,371
MS,F,1988,Jennifer,454
MS,F,1922,Alex,9
MS,F,1995,Jordan,70
MS,F,1957,Mary,607
MS,M,1958,Michael,424
MS,F,1933,Casey,316
MS,M,1991,John,542
MS,M,1952,Casey,175
MS,M,1938,James,72
MS,F,2018,Taylor,13
MS,F,1934,Alex,8
MS,M,1952,Alex,236
MS,M,1971,taylor,992
MS,F,1940,Linda,7
MS,M,1919,Jordan,80
MS,F,2012,Patricia,16
MS,F,2001,Linda,153
,F,1985,Taylor,614
MS,M,2004,Taylor,565
MS,M,1951,Casey,7
MS,M,1988,Casey,122
MS,M,1949,Michael,1139
MS,M,2004,,80
MS,M,2011,John,282
MS,M,1970,Michael,9
MS,F,1976,Jennifer,100
MS,M,2014,,302
MS,M,,Alex,603
MS,F,1915,Linda,16
MS,M,1972,Casey,348
MS,M,1964,Taylor,173
MS,M,1972,Mary,499
MS,F,1940,Mary,149
MS,,1921,John,58
MS,F,2018,Jordan,
MS,M,1981,James,314
MS,F,1953,Patricia,320
MS,M,1925,John,6
MS,M,1950,Taylor,185
MS,F,1969,Jordan,128
MS,M,1955,Jordan,286
MS,M,2005,Linda,217
MS,F,1961,Taylor,127
MS,M,,Jennifer,331
,F,1938,jordan,142
MS,F,2014,Jordan,21
MS,F,1938,Linda,8
