state,sex,year,name,count
MT,M,1993,Casey,21
MT,M,1927,Casey,223
MT,F,1980,Jordan,
MT,M,1976,Taylor,187
MT,F,1938,Jennifer,85
MT,M,1940,Jordan,552
MT,M,2012,Casey,
MT,M,1996,Alex,
MT,,1948,Patricia,50
MT,M,1965,Jordan,231
MT,F,1983,Mary,277
MT,F,1934,Jennifer,372
MT,F,2000,Jordan,750
,F,1920,Linda,47
MT,M,1938,Michael,54
MT,F,1976,Mary,70
MT,M,1933,Casey,
MT,M,1981,Taylor,231
MT,M,2008,Jordan,5
MT,F,1961,Jordan,325
MT,F,1975,Jennifer,321
MT,,1995,Linda,656
,F,1932,Linda,43
MT,M,1950,Alex,31
MT,M,1967,Jordan,
MT,F,1981,Patricia,383
MT,F,1923,Linda,24
MT,M,1924,James,186
MT,M,1955,Taylor,270
MT,M,2005,Taylor,119
MT,M,1982,Taylor,223
MT,M,1930,Michael,14
MT,M,2000,Patricia,278
MT,M,2001,michael,1122
MT,,1913,James,72
MT,M,1957,John,43
MT,M,2010,James,254
MT,,2007,Michael,694
MT,M,,Taylor,53
MT,F,2013,Casey,30
MT,M,1992,Michael,183
MT,F,1998,Jennifer,867
MT,F,1972,Taylor,22
MT,F,1965,Jordan,265
,F,1941,Jennifer,376
MT,M,2019,Michael,7
MT,M,2007,Alex,78
MT,M,1967,Michael,99
MT,F,1978,Linda,651
MT,M,1962,casey,811
MT,,,Alex,540
MT,F,2022,Linda,550
MT,F,1932,Mary,21
MT,M,1949,Alex,35
MT,F,1922,Patricia,195
MT,F,1984,Patricia,64
MT,M,1947,Casey,178
MT,M,2001,James,333
MT,F,2022,Casey,19
MT,F,1973,Linda,
MT,M,1912,Michael,27
MT,F,1910,Alex,11
MT,F,,patricia,8
MT,M,,,8
MT,F,1986,Linda,303
MT,M,1979,John,218
MT,M,1997,Jordan,337
MT,M,1963,Alex,297
MT,F,1968,Jennifer,54
MT,M,1952,Alex,
MT,F,1946,Patricia,43
MT,M,2002,James,114
MT,M,2006,Robert,63
MT,F,1950,Mary,534
MT,F,1960,Jordan,254
MT,M,1966,,122
MT,M,2009,Jordan,467
MT,M,1992,Robert,1672
MT,F,1941,Taylor,25
MT,F,1930,Patricia,145
MT,M,2013,Casey,47
MT,F,1985,Taylor,28
MT,M,1938,James,121
MT,M,1971,Taylor,564
MT,F,1958,Patricia,36
MT,M,1963,Robert,30
MT,F,1988,Taylor,135
MT,M,1980,Taylor,167
MT,F,1950,Jennifer,166
MT,M,1917,Jordan,13
MT,M,1984,Casey,
MT,F,1954,Jennifer,15
MT,F,1932,jordan,6
MT,,1963,Patricia,808
MT,F,1935,Patricia,208
MT,,1982,Jordan,604
MT,,1965,Linda,57
,M,2021,John,35
MT,F,1929,Michael,36
MT,F,1987,Jennifer,211
MT,M,1920,Casey,48
MT,M,1996,Robert,415
MT,F,1959,Casey,178
MT,F,1928,Casey,24
MT,F,1936,Jordan,5
MT,F,1995,Jordan,629
MT,F,1929,Taylor,80
MT,F,1963,Taylor,22
MT,M,1945,Taylor,22
MT,M,2015,Taylor,408
MT,F,1938,Mary,10
MT,F,1955,Linda,236
MT,M,1955,Michael,6
MT,F,1974,Jennifer,564
MT,F,1966,Jennifer,26
MT,M,1970,Michael,179
MT,M,1997,Michael,161
MT,F,1969,Jennifer,45
MT,F,2000,Linda,15
MT,M,1981,John,969
MT,F,2013,Patricia,597
MT,F,1961,Mary,278
MT,F,1996,Jordan,29
MT,M,2000,Alex,119
MT,M,1917,Taylor,60
MT,F,2022,Taylor,5
MT,M,1963,James,78
MT,F,1979,Mary,208
MT,M,1943,John,35
MT,F,1965,Patricia,653
MT,F,1967,Alex,30
MT,F,2010,Jennifer,
MT,M,1975,Michael,474
MT,M,1919,Casey,121
MT,M,2005,Michael,19
MT,M,2013,Jordan,323
MT,F,1926,Linda,102
MT,F,1967,Mary,61
MT,M,2003,John,1288
MT,,1977,Alex,895
MT,F,1989,,407
MT,M,2020,Taylor,152
MT,M,1963,Jennifer,862
MT,,1962,Casey,1011
MT,M,1992,Taylor,
MT,M,1920,Robert,5
MT,F,1970,Patricia,507
MT,M,2015,Jordan,11
MT,M,,Alex,448
MT,M,1990,John,361
MT,M,1938,alex,54
MT,F,1991,Jennifer,533
MT,M,1992,Taylor,
MT,M,1972,,113
MT,M,1946,Michael,667
MT,M,1991,Alex,157
MT,M,2009,Mary,52
MT,F,2000,Alex,224
MT,F,1956,Taylor,67
MT,M,1994,John,354
MT,F,1994,Taylor,747
MT,M,1938,John,425
MT,M,1919,Robert,5
MT,,1962,Jordan,198
MT,,2008,Taylor,65
MT,M,1998,John,154
MT,M,1949,Jordan,7
MT,M,2008,Michael,998
MT,M,1958,James,86
MT,M,1969,Taylor,1040
MT,,1994,Jordan,268
MT,M,2010,Casey,10
MT,M,1975,Robert,414
MT,F,2022,Patricia,5
MT,M,,Robert,94
MT,F,1933,Jennifer,195
MT,F,1977,robert,29
MT,M,1978,Jennifer,388
MT,M,1949,Casey,77
MT,M,1997,Alex,75
MT,F,2012,Casey,77
MT,M,1989,Taylor,636
MT,F,1932,Alex,30
MT,M,1964,Linda,32
MT,M,1951,Jordan,497
MT,F,1995,Jennifer,296
MT,M,2008,Linda,126
MT,F,2012,Taylor,148
MT,M,1953,Casey,41
MT,F,1918,Mary,12
MT,F,2000,Patricia,58
MT,F,2016,Alex,17
MT,F,1962,,211
MT,F,1973,Taylor,474
MT,,1977,James,394
MT,M,1936,Alex,21
MT,F,1915,Jordan,76
MT,F,1966,,400
MT,F,1976,Alex,21
MT,M,2006,Jordan,229
MT,M,,Taylor,118
MT,F,2001,Casey,297
MT,F,2015,Linda,698
MT,M,1939,Michael,199
,F,1989,Taylor,215
,M,2009,John,145
