state,sex,year,name,count
NC,F,,Casey,6
NC,M,2012,Taylor,122
NC,F,2008,Casey,709
NC,M,,James,625
NC,,2004,Taylor,238
NC,M,1963,John,568
NC,F,1998,Alex,18
NC,F,2009,Mary,16
NC,F,2003,Casey,237
NC,F,1968,Taylor,
NC,F,1923,Jennifer,16
NC,F,1942,jennifer,58
NC,M,2004,Patricia,847
NC,,1964,Linda,39
NC,,1944,Taylor,
NC,,1959,John,924
NC,M,1989,Robert,257
NC,F,1942,James,366
NC,F,1930,jordan,
NC,F,1956,Mary,288
NC,M,1956,Alex,862
,F,2012,Jordan,232
NC,M,1959,Taylor,71
NC,F,1991,Taylor,325
NC,F,2016,Mary,645
NC,M,1982,James,
NC,F,1950,Jennifer,17
NC,M,2022,robert,103
NC,M,2019,Robert,8
NC,F,2001,Alex,44
NC,M,2013,Michael,10
NC,F,1961,Alex,142
NC,F,1974,Jennifer,558
NC,F,1976,Taylor,117
NC,M,1959,Michael,288
NC,M,2016,jordan,
NC,F,2020,Linda,61
NC,F,1951,Taylor,156
NC,F,2006,Alex,21
NC,M,2000,John,16
NC,M,1980,casey,615
NC,M,1912,Michael,26
NC,F,1942,Jordan,44
NC,M,1929,james,7
,M,1984,,471
NC,M,1938,Jennifer,67
NC,M,1981,Jennifer,818
NC,M,1962,James,327
NC,M,1947,Jordan,
NC,M,1978,Casey,744
NC,F,1971,Mary,
NC,M,1933,Robert,115
NC,F,1975,Alex,97
NC,F,2014,Taylor,24
,F,2008,Patricia,160
NC,M,1971,Jordan,562
NC,,1996,John,369
NC,,1951,Taylor,41
NC,F,1954,alex,14
NC,M,1942,Alex,176
NC,M,1962,Casey,965
NC,M,2005,Casey,15
NC,M,1914,,53
NC,M,1999,Casey,33
NC,M,2010,Robert,7
NC,M,1952,Jordan,166
NC,M,1955,Robert,
NC,,2007,Casey,
,F,1921,linda,24
NC,M,1970,Robert,226
NC,M,1940,John,49
NC,F,1972,,496
NC,F,1927,Jennifer,38
NC,F,1942,Alex,8
NC,M,1998,Alex,453
NC,M,1919,Alex,21
NC,M,1972,Taylor,175
NC,F,1983,Jordan,
NC,M,1974,Taylor,197
NC,M,,Michael,157
NC,M,1980,John,180
NC,M,1935,Taylor,143
NC,F,2010,Mary,68
NC,F,1929,Patricia,16
NC,F,1984,Linda,271
NC,F,1995,Taylor,23
NC,F,1946,Mary,19
NC,F,1986,Linda,205
NC,M,1989,Taylor,313
NC,M,1953,James,326
NC,M,1965,James,916
NC,M,1976,John,14
NC,M,1985,John,131
,M,,James,23
NC,M,1992,James,598
,F,2005,Mary,314
NC,,2007,Alex,329
NC,M,1950,Michael,233
NC,F,1926,Jennifer,237
,F,1963,Mary,
NC,F,1982,,759
NC,M,1975,casey,149
NC,F,1978,Linda,618
NC,F,1959,Patricia,20
NC,F,1915,Patricia,66
NC,M,2010,alex,552
NC,F,1998,Linda,71
NC,M,1992,Michael,502
NC,F,2009,Casey,58
NC,F,1969,Alex,67
NC,M,1997,Taylor,220
NC,M,,John,10
NC,F,1966,Jordan,180
NC,F,1938,Jordan,13
NC,M,2016,Casey,80
NC,M,1966,Mary,679
NC,F,1949,Patricia,444
NC,F,1944,,156
NC,M,1984,Taylor,894
NC,F,1981,Casey,433
NC,F,1997,John,922
NC,F,1989,Jennifer,400
NC,M,1915,John,23
NC,M,1970,Taylor,93
NC,F,1950,Mary,28
