state,sex,year,name,count
,,1914,Alex,5
ND,F,1937,Jordan,147
ND,M,1992,John,954
ND,M,1925,Taylor,35
ND,F,2018,Jennifer,142
ND,F,2011,Taylor,411
ND,F,1981,Linda,1003
ND,F,2003,Jordan,14
ND,F,1953,jennifer,254
ND,F,1967,Casey,490
ND,M,1966,James,55
ND,F,1997,John,199
ND,F,1973,patricia,487
ND,,1955,Casey,414
ND,F,1986,Taylor,396
ND,M,1927,John,279
ND,M,1927,James,
ND,M,1993,taylor,404
ND,F,1961,Linda,21
ND,F,1982,Jennifer,386
ND,F,2008,Linda,34
ND,M,1938,Taylor,161
ND,F,1947,Linda,16
ND,M,1950,Robert,
ND,F,1941,,303
ND,F,2006,Mary,616
ND,F,1932,Patricia,154
ND,M,1997,Jordan,268
ND,M,1936,Taylor,17
ND,F,1940,Alex,315
ND,,1990,Jordan,148
ND,M,1933,Michael,217
ND,F,1960,Alex,43
ND,M,1955,Jordan,490
ND,M,1949,Taylor,57
ND,F,2004,Casey,473
ND,M,1962,Michael,734
ND,F,1920,Linda,25
ND,M,1914,Michael,13
ND,M,1921,John,31
ND,F,2014,Casey,639
ND,F,1931,,32
ND,F,1951,Casey,146
ND,F,1989,Casey,319
ND,M,1996,Taylor,802
ND,F,1963,Casey,291
ND,,1938,Jordan,376
ND,F,2022,Alex,104
ND,F,1990,Casey,784
ND,,1979,Alex,930
ND,M,1928,Linda,144
ND,F,1973,Taylor,506
ND,F,1986,Patricia,448
ND,M,1942,Casey,11
ND,F,2004,Patricia,230
ND,M,1967,,38
ND,M,1958,Jordan,10
ND,F,1928,Taylor,74
ND,M,1923,Taylor,13
ND,F,1981,casey,763
ND,F,2011,Jennifer,687
ND,M,1955,Taylor,179
ND,M,1950,James,40
ND,F,2013,Linda,11
ND,F,1948,Jordan,5
ND,M,2020,James,236
ND,F,2011,Casey,165
ND,F,1980,Casey,188
ND,M,1990,Jordan,336
ND,M,1943,Jordan,302
ND,M,1940,Casey,327
,F,1977,Robert,57
ND,M,1965,Casey,196
ND,F,,Taylor,829
ND,,1934,Mary,482
ND,M,1981,Alex,282
ND,M,1963,Alex,29
ND,F,1990,Patricia,277
ND,M,1975,James,94
ND,M,1977,Jennifer,133
ND,M,1971,,265
ND,M,2020,Alex,525
ND,M,1977,James,58
ND,M,2007,Michael,508
ND,M,1965,Jordan,50
ND,M,1976,Alex,622
ND,M,1969,Alex,79
ND,F,1948,Casey,613
ND,F,1931,,157
ND,F,1992,Taylor,114
ND,F,1954,James,71
,F,1941,Taylor,6
ND,F,1936,Patricia,27
ND,F,1965,Linda,269
ND,M,1962,James,107
ND,F,1978,Jennifer,127
ND,F,,jordan,292
ND,M,1991,James,552
ND,M,2009,James,14
,F,2000,Jordan,580
ND,F,1937,Patricia,19
ND,F,1941,Jennifer,16
ND,F,2009,linda,272
ND,M,1955,Robert,255
ND,F,1995,Patricia,12
ND,M,1997,Casey,566
ND,F,1956,Alex,725
ND,F,1963,Taylor,91
ND,F,2012,Casey,6
ND,M,1990,John,863
ND,F,1956,Linda,1141
ND,M,1964,John,551
ND,F,1977,Taylor,456
ND,F,1955,Jordan,14
ND,F,1940,Jennifer,16
ND,M,1959,Taylor,397
ND,M,1962,Jordan,399
ND,F,,Taylor,89
ND,M,1998,John,222
ND,M,1999,Taylor,191
ND,M,2000,Michael,453
ND,M,1960,Robert,41
ND,F,1939,Taylor,75
ND,M,1991,Michael,817
ND,M,1953,Jordan,441
ND,M,1981,Jordan,12
ND,M,1981,Robert,318
ND,F,1983,Casey,590
ND,M,1953,Alex,489
ND,M,1964,Jordan,207
ND,F,2010,,8
ND,F,2008,Alex,451
ND,F,1946,Casey,
ND,M,1987,John,184
ND,M,1954,Casey,557
ND,F,2001,Jennifer,891
ND,M,1916,Michael,9
ND,M,1978,Taylor,284
ND,F,2018,Linda,7
ND,M,,Taylor,6
ND,M,1931,Robert,118
