state,sex,year,name,count
NE,M,1960,Robert,48
NE,M,,Taylor,55
NE,F,2003,Alex,95
NE,M,1929,Alex,128
NE,F,1929,Patricia,5
NE,M,1910,John,26
,F,1935,Patricia,62
NE,F,1954,Jennifer,348
NE,M,1972,Casey,454
NE,M,1993,Taylor,668
NE,F,1981,Linda,910
NE,F,1945,John,129
NE,M,1947,,590
NE,M,1958,Taylor,984
NE,F,2007,,9
NE,F,2013,Casey,21
NE,F,1972,Mary,40
NE,F,1982,Taylor,
NE,F,2019,linda,66
NE,M,2005,Robert,723
NE,F,1969,Linda,9
,F,1993,Linda,98
NE,F,1969,Patricia,749
NE,M,1932,Alex,
NE,M,1971,Jennifer,194
NE,F,1985,Jordan,76
NE,F,1994,Jordan,266
,M,,Jordan,30
NE,F,1965,Jordan,219
NE,F,1911,Mary,94
NE,F,1949,Patricia,102
NE,F,,Patricia,127
NE,M,1972,John,212
NE,F,1985,Taylor,223
NE,F,2008,Alex,129
NE,M,1997,John,527
NE,,1975,Taylor,1029
NE,M,,Taylor,48
NE,M,2010,,40
NE,F,1982,Jordan,401
NE,M,1992,John,81
NE,M,1991,Alex,205
NE,F,2003,Jennifer,80
NE,F,2009,Jordan,282
NE,F,1987,,125
NE,F,1970,Taylor,491
NE,M,1996,Robert,672
NE,F,1962,Jennifer,156
NE,M,1977,Taylor,750
NE,M,1962,Alex,376
,M,1945,Jordan,322
NE,F,2010,Jennifer,13
NE,F,1956,Linda,986
NE,F,1940,Jordan,146
NE,F,1969,Taylor,905
NE,,1999,linda,12
NE,F,1988,Mary,431
NE,M,1979,Jordan,143
NE,M,1940,Alex,40
NE,F,1984,Taylor,289
NE,,1992,Taylor,132
NE,F,1912,Linda,
NE,M,1978,Casey,474
NE,M,1998,Robert,291
NE,M,1943,Michael,10
NE,F,,John,67
NE,M,,Alex,174
NE,F,1953,Taylor,24
,M,1980,James,325
NE,M,1960,James,391
NE,M,1916,Taylor,87
NE,M,1999,Michael,434
,M,1937,Robert,
NE,M,1995,Jordan,344
NE,F,1978,Jordan,369
NE,F,1955,James,25
NE,M,2012,John,55
NE,M,2015,james,127
NE,F,1989,Linda,279
NE,M,1937,James,467
NE,F,1952,alex,310
NE,F,1920,Jennifer,108
NE,F,1991,Jennifer,511
NE,F,1982,Alex,19
NE,F,2015,Patricia,200
NE,M,1945,Michael,31
NE,F,1993,mary,20
NE,M,1930,Alex,13
NE,F,1969,Alex,17
NE,M,1917,Robert,21
NE,M,1936,Alex,70
NE,F,2013,Jennifer,455
NE,M,2003,,1094
NE,M,1974,Alex,753
NE,M,1929,John,75
NE,F,,Mary,525
NE,F,2005,Linda,45
NE,F,1994,Jennifer,53
NE,F,1927,Casey,8
NE,M,1948,Taylor,659
NE,F,1953,Mary,664
,M,1982,James,190
NE,F,1971,Jordan,197
NE,M,1970,Patricia,149
NE,,2009,Mary,11
NE,M,1990,Alex,138
NE,M,1928,John,
NE,F,1952,Casey,307
NE,M,2022,Jordan,39
NE,F,1983,Jordan,967
NE,F,2001,Patricia,
NE,,1983,Alex,126
NE,M,1935,Jordan,60
NE,M,1925,Taylor,30
NE,M,2016,,42
NE,M,1973,Jordan,830
NE,M,2016,James,251
NE,M,2010,Jordan,105
,M,1957,Alex,92
,M,1945,Taylor,465
NE,M,2022,Taylor,20
NE,M,1939,Taylor,158
NE,M,2022,John,15
NE,M,1944,Casey,199
NE,M,2001,Taylor,173
,M,1978,Taylor,519
NE,F,2005,Patricia,619
NE,F,1999,Alex,360
NE,F,1947,Jordan,53
,M,1916,Robert,185
NE,M,1969,Michael,615
,F,1926,Taylor,44
NE,M,1916,casey,8
NE,F,1981,Alex,477
NE,F,1957,Patricia,613
NE,F,1931,Jordan,156
NE,F,1995,Alex,626
NE,F,1910,Patricia,22
NE,M,1977,Casey,558
NE,F,1972,Jordan,86
NE,F,1910,Mary,20
,F,1968,Taylor,32
NE,F,2012,Alex,140
NE,F,2018,Mary,146
NE,F,1968,Jennifer,519
NE,M,1981,Jordan,877
NE,M,2001,John,33
NE,,,Taylor,202
NE,M,1949,Robert,179
NE,F,1938,,139
NE,F,1931,Patricia,168
NE,F,,Mary,64
NE,F,1995,Patricia,708
NE,F,1977,Mary,339
