state,sex,year,name,count
NH,M,1964.0,James,621
,,1959.0,Jordan,40
NH, F ,1972.0,Jordan,884
NH,M,1926.0,John,22
 NH ,F,1948.0,Alex,492
 NH ,,1983.0,Patricia,38
NH,M,1979.0, Linda ,80
NH,F,1974.0,jennifer,207
NH,M,1927.0,James,174
NH,,1981.0,Linda,246
NH,M,1943.0,Patricia,37
,F,1985.0, Robert ,601
NH,F,1917.0,Alex,
NH,M,1979.0, Jordan ,
NH,M,2019.0,Michael,503
 NH ,M,2001.0,Casey,21
NH,M,1952.0,Alex,38
NH,M,1947.0,Casey,74
NH,M,1976.0,Jordan,460
NH,F,1965.0,Patricia,196
NH,F,2010.0,Taylor,398
NH,,,Jordan,28
NH,,1963.0,Jennifer,110
NH,M,2010.0,Taylor,354
 NH ,M,1966.0,Casey,17
NH,,1949.0, Robert ,
NH,F,1939.0,Jennifer,9
NH,M,2012.0,Robert,5
NH,F,1965.0,Mary,432
NH, F ,, Taylor ,276
NH, M ,1958.0,Jennifer,209
NH,,1926.0,Jennifer,6
NH,F,1962.0,Linda,41
NH,F,2001.0,Jennifer,
NH,M,2018.0,Taylor,277
NH,M,1991.0,Taylor,155
NH,F,1927.0,Casey,67
 NH ,M,2008.0,,713
NH,F,1956.0,Patricia,43
NH,M,2019.0, Alex ,625
NH,F,1920.0, Jennifer ,80
NH,,2004.0, Jennifer ,88
NH,F,1915.0, Jennifer ,47
NH,F,1997.0,Casey,462
NH,F,1997.0,Taylor,21
NH,M,1969.0,Mary,362
NH,F,1968.0,Jennifer,96
, M ,,Michael,848
,M,1992.0,Taylor,400
NH,M,1929.0,,6
NH, M ,1987.0,John,297
NH, F ,1988.0,Jordan,198
NH,M,1973.0,James,152
NH,F,1958.0,Taylor,291
NH,,2004.0, Jennifer ,88
NH,F,1946.0,Mary,860
NH,F,2002.0,Jennifer,359
NH,M,1954.0,Jordan,298
NH,M,1971.0,,458
NH,F,1961.0,Jennifer,325
 NH ,F,1980.0,Jennifer,84
NH,F,1946.0,James,268
NH,,1945.0,Taylor,9
NH,F,1956.0,Casey,36
NH,M,,taylor,27
NH,M,1959.0,James,105
NH,F,2007.0,Patricia,106
NH,F,1967.0,Mary,704
NH,F,1944.0,Jordan,348
NH,M,1984.0,Jordan,373
NH,M,1953.0,Robert,90
,F,1951.0,Taylor,51
NH,F,1975.0,Taylor,336
NH,F,1953.0,Patricia,141
 NH ,F,1994.0,Alex,181
NH,M,1978.0,Jordan,144
NH,F,1948.0,Casey,22
NH,M,1953.0,Robert,90
 NH , M ,1951.0,Michael,92
NH,M,2015.0,Taylor,1141
NH,M,1953.0,Michael,273
NH,F,1958.0,Casey,426
NH,M,1984.0,Jordan,373
NH,F,1947.0,Jennifer,8
NH,M,1939.0,Robert,
NH,F,,Patricia,17
NH,,1945.0,Michael,55
NH,M,1965.0,Taylor,534
NH,F,1938.0,,7
NH,M,1945.0,Jordan,29
NH,F,1952.0,Alex,9
NH,,1993.0,Jennifer,
NH,F,2021.0,Casey,5
NH,M,1969.0, Casey ,196
NH,M,1974.0,James,52
 NH ,M,1939.0,Michael,287
 NH ,M,1930.0,Taylor,18
NH,M,1998.0,Michael,867
NH,M,1998.0,Robert,136
NH,M,2010.0,Alex,7
NH,M,1939.0,Casey,10
NH,M,1988.0,Alex,556
NH,F,1921.0,Patricia,45
NH,M,2009.0,Alex,54
NH,M,1991.0,Casey,24
NH,F,2005.0,jennifer,117
NH,M,1968.0,Casey,243
NH, F ,2009.0,Casey,107
NH,M,1998.0,Taylor,593
 NH ,F,1965.0, Linda ,121
NH,F,1947.0,Patricia,112
NH,F,1922.0,Mary,66
NH,M,1956.0,James,356
NH,F,1928.0,Taylor,111
