state,sex,year,name,count
NJ,M,1999,Casey,281
NJ,M,1930,Casey,35
NJ,F,2001,Casey,7
NJ,F,2011,Alex,39
NJ,M,1937,James,53
NJ,M,1955,Michael,286
NJ,M,1913,Robert,9
NJ,M,2017,Robert,228
NJ,M,2002,Alex,
NJ,F,1955,Taylor,115
NJ,,1973,Jordan,114
NJ,M,1987,Taylor,372
NJ,F,2003,Patricia,282
NJ,M,2014,Jordan,12
NJ,M,,Robert,643
NJ,M,1989,taylor,368
NJ,,1915,Patricia,50
NJ,F,1959,Alex,887
NJ,F,2001,Jordan,188
NJ,M,2004,Alex,772
NJ,F,1977,Linda,254
NJ,F,1996,Casey,495
NJ,M,,James,43
,M,1994,Alex,945
NJ,F,1997,Patricia,732
NJ,M,1940,Michael,29
NJ,F,,Jennifer,580
NJ,M,1961,Michael,
NJ,F,1964,Mary,19
NJ,M,1957,James,233
NJ,M,2001,alex,524
NJ,M,2017,Taylor,235
NJ,M,1987,,302
,M,1998,Taylor,110
NJ,F,2020,,152
NJ,F,1956,Linda,71
NJ,F,2013,Robert,83
NJ,M,1932,James,28
NJ,M,1997,Alex,210
,M,1958,taylor,82
NJ,F,1956,Mary,250
NJ,M,1948,Michael,655
NJ,F,1951,,461
NJ,F,1962,Mary,621
NJ,F,1936,Mary,101
NJ,F,1995,Mary,60
NJ,M,1998,,166
NJ,M,1917,Jordan,94
NJ,M,1995,Alex,68
NJ,M,1969,Casey,201
,F,1959,Jordan,159
NJ,F,1979,Alex,347
NJ,F,2015,Patricia,40
NJ,F,1947,Mary,562
NJ,M,2014,Michael,71
NJ,F,2006,Casey,58
NJ,F,1992,Linda,150
NJ,M,1983,Taylor,74
NJ,F,1946,Patricia,304
NJ,M,1955,Robert,88
NJ,M,,Taylor,701
NJ,F,2021,Mary,6
NJ,F,1930,Casey,22
NJ,F,1971,Taylor,584
NJ,F,1991,Mary,170
NJ,F,1983,Alex,39
NJ,F,1942,Mary,39
NJ,F,2015,Jennifer,49
NJ,M,1936,,134
NJ,M,2013,Robert,93
NJ,F,1984,Mary,223
NJ,F,1977,Alex,
,M,1999,Taylor,526
NJ,M,1999,John,66
NJ,F,1975,Linda,364
NJ,F,1991,,118
NJ,M,1991,Taylor,38
NJ,M,1939,John,10
NJ,M,2022,Casey,394
NJ,F,2004,Casey,120
,M,1929,Alex,119
NJ,M,2012,Robert,198
NJ,M,1966,James,530
NJ,M,1996,Michael,1717
NJ,,2002,Taylor,322
NJ,M,1961,James,440
NJ,F,1985,Casey,116
NJ,M,1943,Michael,20
NJ,M,1980,Michael,125
NJ,M,1991,Alex,620
NJ,F,1989,Patricia,586
NJ,F,2011,Mary,92
NJ,F,1951,casey,12
NJ,F,1958,Mary,97
NJ,F,2008,Jennifer,254
NJ,F,1948,Jennifer,373
NJ,M,2011,Robert,442
NJ,M,,,
NJ,F,1962,Jordan,98
NJ,F,1939,Linda,82
NJ,M,1995,Michael,966
NJ,M,1984,Casey,134
NJ,,1925,Linda,499
NJ,M,,Michael,631
NJ,F,1985,,92
NJ,F,1996,alex,562
NJ,M,1916,Alex,27
NJ,M,2022,Alex,34
NJ,M,1923,Alex,12
NJ,F,1990,Casey,364
NJ,M,1992,Michael,399
NJ,F,1988,Linda,471
NJ,M,,Jordan,35
NJ,F,1981,Alex,458
NJ,F,1952,Linda,96
NJ,F,2018,Taylor,74
NJ,F,2007,Taylor,27
NJ,M,1967,Robert,1088
NJ,M,2010,Michael,10
NJ,M,2015,Patricia,234
NJ,F,2010,Patricia,271
NJ,M,1968,Taylor,170
NJ,M,1998,,108
NJ,F,1914,Taylor,97
NJ,M,1975,Alex,155
NJ,F,2003,,29
NJ,F,1940,,163
NJ,,1964,Alex,124
NJ,F,1962,Casey,179
NJ,F,2021,Linda,102
NJ,,1980,Jennifer,49
NJ,M,2021,Casey,216
NJ,F,1987,Patricia,269
NJ,M,1965,Taylor,252
NJ,,1957,Jennifer,1263
NJ,F,1915,Jennifer,20
NJ,M,1977,Alex,1026
NJ,M,2019,James,11
NJ,M,1994,Taylor,837
NJ,M,1970,John,136
NJ,M,1931,Jordan,8
NJ,F,1966,John,938
NJ,M,2001,John,145
,F,1965,Mary,144
NJ,M,1928,Robert,41
NJ,M,2011,Taylor,337
NJ,F,1986,Casey,414
NJ,M,1985,Robert,531
NJ,M,1941,Alex,153
NJ,M,1922,John,5
NJ,F,2014,Taylor,184
,,1930,Patricia,78
NJ,M,1989,Robert,793
NJ,F,1952,Alex,
NJ,F,1997,James,115
NJ,M,1987,Jordan,312
,F,2016,casey,319
NJ,F,2018,Alex,30
NJ,M,1971,Taylor,442
NJ,M,1919,Linda,7
NJ,M,1917,Michael,5
NJ,F,2000,Jordan,819
,M,1983,Casey,400
NJ,F,1915,Taylor,6
NJ,F,,Jennifer,143
NJ,M,1939,Casey,177
NJ,F,1948,,202
NJ,M,1924,Casey,21
NJ,M,1928,John,24
NJ,F,,Linda,278
NJ,M,1921,Robert,121
NJ,M,2017,Robert,228
NJ,M,1941,Michael,754
NJ,M,1949,Michael,78
