state,sex,year,name,count
NM,F,2010,John,124
NM,F,2021,Alex,5
,F,1970,,644
NM,M,1999,Casey,380
NM,M,1947,Alex,
NM,F,1983,Mary,565
NM,F,2022,Linda,61
NM,M,1945,Robert,31
NM,F,2000,Casey,771
NM,F,1969,Mary,506
NM,F,1939,Casey,347
NM,M,2004,,369
NM,F,2008,Alex,42
NM,F,1979,Casey,620
NM,M,2001,Mary,73
NM,M,1952,Alex,76
NM,F,,Jennifer,119
NM,F,1946,Alex,17
NM,M,1928,Jordan,5
,M,2004,Robert,
NM,F,1995,Jordan,515
NM,F,1921,Patricia,
NM,M,2020,Robert,80
NM,F,1956,Patricia,264
NM,F,1995,Casey,57
NM,F,1962,Casey,295
NM,M,1958,Michael,194
NM,M,1998,Alex,413
NM,M,1937,robert,5
NM,M,1995,John,410
NM,F,2004,Taylor,20
NM,M,1920,John,17
NM,F,1953,Patricia,
NM,F,1983,Casey,421
NM,F,,Patricia,25
NM,F,1999,Alex,114
NM,M,1923,Casey,13
NM,M,1963,Alex,
NM,F,1951,Patricia,7
NM,M,1955,Patricia,131
NM,F,1976,Casey,663
NM,M,1943,James,282
NM,F,1953,Linda,40
NM,M,1947,Robert,673
NM,M,1969,Michael,328
NM,F,1977,Mary,170
NM,F,1946,Jordan,38
NM,M,1953,Robert,83
NM,M,1947,Michael,320
NM,M,1926,Michael,5
NM,F,2008,Mary,38
NM,M,1994,Alex,173
NM,F,2004,Patricia,334
NM,F,2013,Mary,23
NM,M,1964,James,791
NM,M,2008,Robert,199
NM,M,2018,Casey,14
NM,M,1949,Robert,212
NM,F,1984,Linda,205
NM,M,1996,alex,34
NM,M,1989,Robert,979
NM,F,1986,Mary,168
NM,M,2008,Michael,235
NM,F,1952,,106
NM,M,1940,Alex,768
NM,M,1949,,8
NM,M,1957,Robert,394
NM,F,1997,Alex,867
,M,1951,Michael,
NM,F,2003,Linda,34
NM,M,2004,john,51
NM,F,2005,Mary,146
NM,,1943,Mary,49
NM,M,1989,Taylor,494
NM,,1978,Alex,578
,M,2000,Taylor,476
NM,,1982,Michael,226
NM,M,1953,Patricia,215
NM,,2017,Mary,24
NM,F,1925,Jordan,26
NM,M,1985,James,665
NM,M,,Jordan,249
NM,M,1952,James,207
NM,,1948,Jordan,32
NM,M,2003,Taylor,159
NM,F,1939,Patricia,6
NM,F,1924,John,110
NM,F,1946,Jennifer,54
NM,M,2016,John,20
NM,M,1980,John,309
NM,M,1991,Taylor,231
NM,M,1998,Jordan,798
NM,F,1996,Patricia,286
NM,M,2010,James,26
NM,M,1972,Robert,348
NM,,1990,Linda,84
NM,F,1986,John,917
NM,F,1987,Alex,549
NM,M,,Jordan,48
NM,F,2010,Casey,
NM,M,1990,,673
NM,M,2013,casey,428
NM,M,1999,John,609
NM,M,1993,Casey,211
NM,F,2003,Alex,94
NM,M,2012,James,41
NM,M,1971,Taylor,413
NM,F,1955,Mary,832
NM,F,,Mary,9
NM,F,1942,Casey,130
NM,M,1967,Robert,641
NM,F,1956,Mary,201
NM,M,2019,Michael,130
NM,M,1932,,7
NM,M,1936,Jordan,310
NM,M,1919,Casey,
NM,,1971,John,269
NM,F,1943,Alex,8
NM,F,1941,John,48
NM,F,,Alex,7
NM,F,2006,Linda,600
NM,M,2014,Taylor,137
NM,M,1940,Jordan,50
NM,F,1958,Casey,1009
NM,M,1992,Robert,573
NM,F,1957,Linda,457
NM,M,1922,John,158
NM,F,1968,Casey,168
,F,2014,jordan,312
NM,M,2009,Jordan,5
NM,M,1997,John,428
NM,M,1973,Casey,579
NM,,,James,347
NM,,1937,Mary,7
NM,M,2018,John,38
NM,F,1977,Patricia,243
NM,M,2010,Alex,241
NM,M,1956,Robert,187
NM,M,1969,Taylor,
