state,sex,year,name,count
NV,F,,Jordan,350
NV,F,,Taylor,113
NV,F,,Alex,27
NV,M,,james,76
NV,F,,Alex,74
NV,F,,Jennifer,34
NV,M,,Casey,7
NV,F,,,8
NV,F,,Jordan,16
NV,M,,casey,135
NV,,,Robert,650
NV,M,,John,543
NV,F,,Robert,377
NV,,,Taylor,14
NV,M,,jordan,101
NV,M,,Alex,449
NV,M,,Alex,696
NV,,,Casey,609
NV,,,Linda,24
NV,M,,Robert,762
NV,M,,Taylor,423
NV,M,,John,14
NV,M,,Robert,243
NV,M,,Alex,56
NV,F,,Linda,767
NV,M,,Robert,64
,,,Casey,303
NV,M,,Robert,
NV,M,,James,233
NV,M,,James,14
NV,M,,John,20
NV,M,,Mary,51
NV,M,,John,8
NV,M,,James,366
NV,F,,Casey,44
NV,M,,Taylor,163
NV,M,,Michael,9
NV,M,,Jordan,266
NV,M,,alex,353
NV,M,,Michael,463
NV,F,,Casey,23
NV,M,,Robert,189
NV,M,,John,52
NV,M,,John,113
NV,M,,Michael,301
NV,M,,Alex,83
NV,F,,Jordan,88
NV,M,,Taylor,105
NV,M,,Casey,256
NV,M,,James,564
NV,M,,James,158
NV,M,,,7
NV,F,,Jordan,608
NV,F,,Taylor,6
NV,M,,Robert,85
NV,M,,Jordan,
NV,F,,Jennifer,101
NV,M,,Robert,
NV,F,,Jennifer,25
NV,M,,Taylor,944
,F,,Taylor,
NV,F,,Linda,33
NV,M,,Alex,106
NV,F,,Robert,6
NV,M,,Alex,133
NV,M,,Alex,594
NV,M,,Linda,73
,M,,Jordan,61
NV,F,,Linda,659
NV,F,,Taylor,102
NV,M,,Michael,62
NV,M,,Jennifer,281
NV,F,,Taylor,98
NV,M,,James,415
NV,F,,Alex,466
NV,F,,Casey,343
NV,M,,Mary,251
NV,M,,Alex,240
NV,M,,Michael,31
NV,M,,robert,724
NV,F,,Casey,289
NV,M,,Taylor,96
NV,M,,Robert,153
NV,F,,Taylor,5
NV,F,,Linda,5
NV,F,,Linda,551
NV,F,,Mary,19
NV,M,,Michael,46
NV,M,,Jordan,233
NV,F,,Jennifer,18
NV,M,,James,702
