state,sex,year,name,count
NY,,1992,Jordan,361
NY,,1970,Michael,230
NY,,2008,Jordan,41
NY,,2006,Jordan,808
NY,,1939,Robert,60
NY,,2018,James,
NY,,1941,James,735
NY,,1980,Alex,172
NY,,1939,Alex,364
NY,,,Robert,11
NY,,1975,,555
NY,,1955,Robert,609
NY,,1968,Robert,189
NY,,,Michael,118
NY,,1922,Casey,
NY,,1929,John,5
NY,,1987,,709
NY,,2020,John,149
NY,,1986,James,128
NY,,1967,James,318
NY,,1987,Casey,72
NY,,1996,John,942
NY,,1993,John,311
NY,,1965,Casey,914
NY,,1954,Jordan,24
NY,,1960,Alex,
NY,,2007,Casey,11
NY,,2012,Mary,130
NY,,1968,Jordan,223
NY,,1951,John,431
NY,,1932,Alex,12
,,1917,Jordan,82
NY,,1981,,983
NY,,2019,Casey,287
NY,,,Linda,8
NY,,,Casey,69
NY,,1968,alex,56
NY,,1993,Alex,770
NY,,,John,332
NY,,,James,48
NY,,2008,John,871
NY,,,Alex,633
NY,,1952,Casey,762
NY,,2007,Michael,82
NY,,1933,Linda,156
NY,,1958,James,538
NY,,1924,Alex,255
NY,,1985,Jennifer,716
NY,,1952,Michael,153
,,1975,Patricia,9
NY,,,Michael,526
,,,Alex,7
NY,,1958,Casey,809
NY,,1935,Taylor,151
NY,,1997,Michael,77
NY,,1964,Casey,345
NY,,1957,Casey,34
NY,,1986,Casey,300
NY,,1976,Patricia,1253
NY,,1941,Casey,638
NY,,1966,Casey,26
NY,,1959,Jennifer,772
NY,,2011,Robert,32
NY,,1983,Mary,681
NY,,1983,Alex,494
NY,,1984,Robert,314
,,1944,Taylor,597
NY,,1950,Casey,39
,,1958,Linda,436
NY,,1966,Taylor,67
NY,,1966,Alex,325
NY,,1932,Jennifer,14
NY,,2011,,639
NY,,1953,James,133
NY,,1961,Michael,877
NY,,1961,Jordan,530
NY,,2022,Patricia,5
NY,,1987,James,292
NY,,1987,Linda,422
NY,,2009,Jordan,70
NY,,2016,Casey,28
NY,,,Jordan,232
NY,,2010,Alex,74
NY,,2011,James,
NY,,1929,Taylor,16
NY,,1960,Michael,148
NY,,,Linda,21
NY,,1971,,122
NY,,1988,Linda,67
NY,,1961,Patricia,112
NY,,1957,Michael,69
NY,,1954,Taylor,1143
NY,,1951,Robert,431
NY,,1988,Jordan,136
NY,,1964,Jennifer,631
NY,,1933,jennifer,29
NY,,1976,Michael,243
NY,,1940,,12
NY,,1986,Alex,
NY,,1958,Mary,65
NY,,2006,Taylor,247
,,1966,Alex,1090
NY,,1928,Mary,313
NY,,1983,Linda,145
NY,,1955,Taylor,35
NY,,1993,Mary,998
NY,,1948,James,905
NY,,1975,Mary,105
NY,,1978,Jennifer,177
NY,,1932,jordan,8
NY,,1981,,576
NY,,2010,Jordan,8
NY,,1968,Patricia,24
,,1937,John,32
NY,,2009,John,261
NY,,1980,Jordan,117
NY,,1973,Jordan,58
NY,,1995,Linda,452
,,1930,Jordan,332
NY,,1991,,128
NY,,1935,Alex,22
NY,,1996,Robert,148
NY,,2019,Alex,
NY,,1958,Jordan,397
NY,,2007,Taylor,26
NY,,1952,Casey,103
NY,,1913,Jennifer,63
NY,,,Robert,148
NY,,1910,Mary,12
NY,,1939,Jennifer,
NY,,2004,Robert,
NY,,1934,robert,38
NY,,1996,,87
NY,,1959,Michael,918
NY,,1991,Robert,83
NY,,1913,Alex,20
NY,,1927,John,33
NY,,1960,Taylor,342
NY,,,Mary,32
NY,,1946,Robert,90
NY,,1941,Alex,19
NY,,1970,Michael,78
NY,,2012,robert,476
NY,,,Jordan,
NY,,1955,Linda,261
NY,,1949,Taylor,123
NY,,1928,jordan,226
NY,,1993,Taylor,130
NY,,1936,James,145
NY,,1944,Mary,170
NY,,2005,Alex,480
NY,,1911,Jordan,82
NY,,1945,Casey,96
NY,,1934,Jordan,316
NY,,1956,Taylor,366
,,1980,John,152
NY,,1977,Casey,113
NY,,1967,Patricia,140
NY,,1999,taylor,370
NY,,2001,Robert,313
NY,,1944,Alex,70
NY,,1922,Jordan,6
NY,,1969,Alex,198
NY,,1954,,5
NY,,1923,,55
NY,,1931,Jennifer,60
NY,,1969,Robert,202
NY,,1971,Alex,235
NY,,1933,Casey,
NY,,1959,Taylor,880
NY,,2020,Jennifer,148
NY,,1956,Alex,
NY,,1975,Jennifer,273
NY,,1979,Michael,26
NY,,,Michael,75
NY,,2021,Taylor,43
NY,,1998,Michael,824
NY,,1978,taylor,48
NY,,1972,Casey,526
NY,,1947,Linda,13
NY,,1938,Jordan,47
NY,,1998,Casey,35
NY,,2005,James,303
NY,,1954,,1042
NY,,2019,Jordan,671
NY,,2015,John,23
,,1968,Casey,156
NY,,1946,Jennifer,28
NY,,2010,Patricia,18
NY,,,Mary,939
NY,,1911,Patricia,48
NY,,1967,Robert,189
NY,,2001,Casey,274
NY,,2011,John,6
NY,,1952,Alex,24
NY,,1948,Mary,103
NY,,1934,Michael,162
NY,,1950,Jordan,87
NY,,1968,Robert,
NY,,1979,Mary,104
NY,,2013,Mary,61
NY,,2000,Alex,
NY,,1989,Jennifer,6
NY,,1939,Casey,160
NY,,1991,Taylor,199
,,1994,John,58
NY,,1966,Michael,40
NY,,1946,Mary,390
NY,,1925,Linda,185
NY,,1937,James,57
NY,,1962,James,215
NY,,1972,Jordan,246
NY,,1911,Linda,31
NY,,1920,Casey,8
NY,,1921,Jennifer,
NY,,1934,Taylor,56
NY,,1984,Alex,174
NY,,1950,Jennifer,79
NY,,1917,James,37
NY,,1933,Taylor,41
NY,,2019,Casey,33
NY,,,,
NY,,1994,Robert,110
,,2013,Alex,376
NY,,1979,Jordan,663
NY,,,Linda,16
NY,,1946,John,45
NY,,1989,Taylor,50
NY,,1999,Jennifer,36
NY,,1942,Mary,423
NY,,1969,John,303
NY,,1956,Michael,320
NY,,1984,Patricia,348
NY,,1994,Taylor,20
NY,,1960,Patricia,941
NY,,1946,Taylor,38
NY,,1930,Alex,188
NY,,1990,John,869
,,2000,Robert,299
NY,,2022,Mary,11
NY,,1939,Jordan,742
NY,,1986,Taylor,108
NY,,1950,Taylor,5
NY,,1956,Casey,432
NY,,1958,Jordan,397
NY,,1996,Taylor,30
NY,,1927,Taylor,77
NY,,2009,Michael,22
NY,,1975,Alex,555
NY,,1988,Michael,
NY,,2017,casey,41
NY,,2000,Casey,39
NY,,2019,jordan,14
NY,,1991,Alex,24
NY,,1970,Jordan,584
NY,,1983,Casey,88
NY,,1926,Jennifer,83
,,2004,Jordan,232
NY,,1925,Mary,90
NY,,1957,,246
NY,,,Robert,278
NY,,1967,Casey,269
NY,,,,9
NY,,,Mary,43
NY,,2013,Taylor,12
NY,,1925,Casey,
NY,,1920,Taylor,18
,,1910,Jordan,6
NY,,2000,,488
NY,,1971,,428
NY,,1984,Mary,525
NY,,1986,Jordan,267
NY,,1998,Alex,35
NY,,2012,Casey,24
NY,,1986,Jennifer,41
NY,,1988,casey,645
NY,,1994,Jordan,691
NY,,2013,Patricia,212
NY,,1966,Jordan,90
NY,,1967,Robert,189
NY,,1918,Jennifer,5
NY,,1983,james,275
,,1988,Alex,112
NY,,1997,Jordan,66
NY,,1997,Patricia,64
NY,,1948,,88
NY,,1931,Jordan,453
NY,,1965,Taylor,266
,,1923,Jennifer,51
NY,,2022,James,5
NY,,1962,Linda,172
NY,,,Michael,151
NY,,1930,Jennifer,105
NY,,2020,Michael,294
NY,,1999,robert,45
NY,,2019,Taylor,37
NY,,1926,Patricia,6
NY,,1976,Taylor,531
NY,,,Alex,259
NY,,2004,Alex,40
NY,,1992,James,885
NY,,1931,Michael,581
NY,,2005,Taylor,109
NY,,1979,Robert,297
NY,,2002,,50
NY,,1993,Casey,54
NY,,1992,Casey,567
NY,,1992,James,885
NY,,1990,Jennifer,462
NY,,2008,Michael,71
NY,,2000,Jordan,597
NY,,1992,Robert,265
NY,,2011,Taylor,46
NY,,1918,Alex,34
NY,,1975,Jordan,636
NY,,1957,Mary,587
NY,,1935,Jordan,141
NY,,2012,Taylor,629
NY,,1947,Mary,
NY,,1984,James,39
NY,,,Taylor,326
