state,sex,year,name,count
OH,M,1978,Jordan,375
OH,M,1918,casey,114
OH,M,,Michael,105
,M,1932,James,539
OH,M,2022,Alex,42
OH,F,1973,Jennifer,78
OH,,1988,Patricia,78
OH,F,2002,,967
OH,M,1997,John,105
OH,F,1963,Alex,43
OH,F,2017,Linda,47
OH,M,1946,Casey,142
OH,F,1914,Alex,5
OH,M,1972,Jordan,525
OH,F,1954,Patricia,307
OH,M,1969,Jordan,344
OH,F,1958,Jennifer,633
OH,M,1966,Casey,190
OH,F,1982,alex,460
OH,M,1937,Michael,28
OH,F,1976,Linda,65
OH,M,1949,Jordan,56
OH,F,1967,Patricia,887
OH,F,1991,Jordan,531
OH,M,1980,Casey,596
OH,F,1995,Linda,625
OH,M,1951,Michael,14
OH,F,1934,Jennifer,102
OH,M,,John,564
OH,M,1917,John,21
OH,M,,Jordan,732
OH,M,1978,Alex,376
OH,M,1969,,585
OH,M,1975,Taylor,67
OH,F,1968,,674
OH,M,2021,Jordan,436
OH,F,2011,mary,245
OH,F,1973,Alex,26
OH,M,2014,Taylor,39
OH,M,2003,John,20
OH,M,1933,Taylor,43
OH,F,1988,Jordan,577
OH,F,1992,Casey,571
OH,M,1959,James,215
OH,F,1943,,260
OH,,1922,Jordan,129
OH,,1922,Taylor,29
OH,F,1917,Mary,20
OH,M,1968,James,133
OH,F,1981,Casey,177
OH,F,1957,Mary,71
OH,M,1988,Michael,772
OH,M,1927,Alex,33
,,1953,John,78
OH,M,1938,James,171
OH,M,2007,Michael,615
OH,M,1991,Robert,277
OH,M,1959,Casey,498
OH,F,1961,Jordan,939
OH,F,1954,Taylor,66
OH,,1982,Casey,618
OH,F,1942,John,23
OH,F,1948,Patricia,1341
OH,M,1921,John,20
OH,F,1939,Mary,138
OH,M,1952,Patricia,319
OH,M,1974,Alex,182
OH,M,2005,,143
OH,F,1945,Alex,130
OH,M,1996,John,12
OH,M,,Robert,651
OH,F,,,20
OH,M,2022,Jordan,29
OH,,2005,John,430
OH,F,1958,Casey,227
OH,F,1910,Mary,23
OH,M,2001,Alex,202
OH,F,1941,Taylor,134
OH,M,1914,James,65
OH,F,2004,Taylor,541
OH,M,2016,John,86
OH,F,1921,Jordan,39
OH,F,1921,Linda,99
OH,F,1926,Casey,
OH,F,1965,Taylor,662
OH,,1947,John,15
OH,M,1961,James,118
OH,F,1955,linda,45
OH,M,1947,Casey,34
OH,M,2019,Michael,39
OH,F,1933,Jennifer,178
OH,F,1957,Linda,212
OH,F,2002,Taylor,323
OH,F,1966,Taylor,478
OH,M,2020,Robert,101
OH,,1971,James,138
OH,,1973,Jordan,477
OH,M,2014,John,405
OH,M,1924,Taylor,19
OH,F,1987,Jennifer,480
OH,F,1957,Jennifer,50
,M,1916,Michael,197
OH,F,1983,Alex,14
OH,M,1993,Michael,74
OH,F,2008,Casey,78
OH,M,2013,Robert,28
OH,M,2009,Michael,31
OH,M,2011,Robert,
OH,,1949,Mary,6
OH,F,1998,Casey,278
OH,M,1938,Jordan,188
OH,M,1954,Alex,81
OH,M,1982,Robert,443
OH,M,1939,,23
OH,M,1964,John,65
OH,M,1947,Alex,402
OH,F,1920,Jordan,18
OH,M,1954,Casey,54
OH,M,1994,,154
OH,M,1945,Jordan,725
OH,F,2004,Jordan,7
OH,M,1930,Jordan,6
,,1947,Michael,91
OH,F,1988,Mary,45
OH,F,1994,patricia,889
OH,M,1987,Casey,781
OH,F,2012,Patricia,
OH,M,,Robert,127
OH,M,1925,Robert,91
OH,M,2003,Jordan,115
OH,F,1944,Linda,81
OH,F,1969,Taylor,154
OH,F,1972,,547
OH,F,1990,Jennifer,481
OH,F,1965,Jordan,85
OH,M,2010,Casey,514
OH,M,1920,Casey,71
OH,M,1911,Jennifer,14
,F,1986,Linda,311
OH,F,1985,Mary,544
OH,F,1971,Mary,261
OH,F,2021,Taylor,12
OH,M,1975,Casey,363
OH,M,1928,John,45
OH,F,1920,Jennifer,19
OH,F,1957,Taylor,108
OH,M,1924,Patricia,34
OH,F,1977,Linda,921
OH,F,1947,Taylor,
OH,M,2004,Alex,618
OH,M,1965,John,883
,M,1991,Taylor,55
OH,F,1921,Casey,64
OH,M,1971,Michael,436
OH,F,1947,Linda,144
OH,F,1957,Patricia,1309
OH,M,2005,Jordan,39
OH,M,1992,James,8
OH,M,1961,Casey,400
OH,F,1958,Jordan,514
OH,F,1976,taylor,506
OH,F,1979,Taylor,
OH,F,1982,Jordan,214
OH,F,2005,Linda,141
OH,F,1961,Alex,405
OH,,,James,314
OH,M,1928,Michael,210
OH,F,1970,Mary,274
OH,F,1944,Casey,19
OH,F,1975,Casey,94
OH,F,1976,Alex,606
OH,M,1952,Casey,847
,M,1942,Casey,83
OH,F,1995,Casey,91
OH,F,1913,Linda,94
OH,F,2008,Jordan,188
OH,F,,Mary,312
OH,M,1997,Taylor,80
OH,M,1964,Michael,687
OH,M,1965,jennifer,465
OH,F,1999,Patricia,499
OH,,1911,John,85
OH,F,1951,Mary,1138
OH,F,1989,Patricia,186
OH,F,,Patricia,62
OH,M,1932,John,120
OH,F,2005,Mary,391
OH,M,1916,,174
OH,M,1956,Patricia,483
OH,M,1982,Alex,162
OH,F,2018,Mary,346
OH,M,,Casey,351
OH,F,1952,Alex,1020
,M,2012,Alex,63
OH,F,1915,Jennifer,151
OH,F,1930,Alex,427
OH,M,,John,386
OH,F,2016,jordan,27
OH,F,1968,Jennifer,223
OH,M,2009,Robert,145
OH,F,1983,Linda,210
OH,F,1960,Linda,179
OH,F,1951,Linda,5
OH,F,1986,Robert,776
OH,F,1968,Linda,299
OH,F,2002,Jordan,29
OH,F,1973,Jordan,58
OH,M,1981,michael,512
OH,F,1953,Jordan,576
OH,F,1960,Taylor,38
OH,M,1943,Jordan,7
OH,F,1935,Jennifer,109
OH,M,1956,Jordan,121
OH,M,1998,James,150
OH,F,1937,Patricia,22
OH,M,1960,Taylor,166
OH,,1956,Patricia,13
OH,F,1962,Patricia,68
OH,M,2004,Robert,47
OH,M,1979,John,571
OH,,1959,Mary,46
OH,F,1964,Casey,225
OH,M,2010,Taylor,566
OH,F,1981,Patricia,11
OH,M,1974,jordan,130
OH,F,1939,Jennifer,120
,M,2006,Alex,88
OH,F,2020,Casey,23
OH,M,1939,Michael,26
OH,M,1982,Michael,46
OH,F,1943,Casey,111
OH,,1991,Michael,238
OH,M,1942,Taylor,273
OH,M,1996,Taylor,45
OH,M,2021,James,31
OH,M,1955,Jordan,1127
OH,M,1967,James,
OH,M,2018,Michael,535
OH,M,,James,22
OH,M,2021,Linda,78
OH,F,1956,Jordan,69
OH,F,2009,Jordan,50
OH,M,1976,Alex,783
OH,M,2018,James,97
OH,F,1971,Jennifer,374
OH,F,1917,Casey,19
,F,1959,Linda,59
OH,M,1989,John,194
OH,M,1944,Michael,161
OH,F,1967,John,152
OH,M,1922,Robert,120
OH,F,1911,Patricia,12
OH,M,2003,alex,328
OH,F,1987,Taylor,710
OH,M,2018,Robert,593
OH,F,2011,,116
OH,M,1920,Taylor,6
OH,,1918,Alex,29
,F,1922,Patricia,74
OH,F,2009,,10
,F,2007,Linda,11
OH,F,1999,Linda,707
OH,F,,,223
OH,M,1971,Robert,517
OH,M,1953,Alex,19
OH,F,1914,John,34
OH,M,1940,Robert,185
OH,F,1936,Mary,16
OH,,1965,Robert,445
