state,sex,year,name,count
OK,M,1946,Alex,216
OK,M,1999,Robert,376
OK,F,2021,Patricia,257
OK,M,1949,James,863
OK,F,2004,Mary,235
OK,F,2002,Patricia,574
OK,F,2001,Jennifer,6
OK,M,2009,John,185
OK,M,1968,James,375
OK,F,1934,Casey,297
OK,,1962,,1069
OK,F,2014,Taylor,6
OK,M,1948,Jordan,9
OK,F,1958,Jordan,57
OK,F,1937,Alex,39
OK,F,1971,Jordan,678
OK,M,2002,Michael,725
OK,M,2007,Robert,53
OK,F,2007,Linda,982
OK,M,1996,Taylor,418
OK,M,1932,robert,17
OK,F,1910,Jordan,37
OK,F,1944,Casey,8
OK,F,1952,Taylor,460
OK,F,1989,Jordan,822
OK,F,2007,Michael,234
OK,,1945,Michael,
OK,M,1970,James,439
,F,,Michael,36
OK,M,1934,Robert,45
OK,F,2009,Alex,393
OK,F,1954,Jordan,71
OK,F,1964,,38
OK,,,Alex,1031
OK,F,1945,Linda,54
OK,,1989,james,113
OK,M,2014,Robert,
OK,F,1925,Taylor,29
OK,M,2006,Robert,27
OK,M,2014,Linda,145
OK,F,1995,Alex,286
OK,M,1983,James,105
OK,M,1966,Jordan,179
OK,M,1980,Taylor,430
OK,M,1961,Taylor,403
OK,,1967,Michael,593
OK,F,1955,Alex,80
OK,F,1949,Jordan,28
OK,M,1998,alex,295
OK,F,2016,Mary,23
OK,F,2006,Patricia,17
OK,M,1958,Alex,26
OK,M,1997,John,476
OK,,1935,Linda,16
OK,F,2001,Jordan,63
OK,F,1931,Taylor,5
OK,F,1959,,55
OK,F,2007,Mary,30
,M,1951,James,157
OK,F,1932,Taylor,166
OK,F,1971,Jennifer,925
OK,M,1975,Taylor,223
OK,F,1957,Linda,21
OK,F,2022,Patricia,6
OK,F,1948,Taylor,15
OK,M,1982,John,455
OK,M,1995,Robert,343
OK,F,1999,Casey,222
OK,F,2022,Linda,150
OK,M,1947,James,
OK,F,,Patricia,20
OK,M,2005,Taylor,339
OK,F,2006,Mary,368
OK,F,2020,Mary,77
OK,M,1951,Alex,60
OK,F,1925,,176
OK,M,1944,,454
OK,M,1921,Jordan,24
OK,F,1968,Linda,361
OK,F,1956,Jordan,7
OK,M,2009,Taylor,23
OK,F,1985,Jennifer,1322
OK,M,1952,Mary,77
,M,1934,Michael,37
OK,M,1961,,244
OK,M,1921,Casey,14
OK,M,1963,Jordan,18
OK,F,2002,Casey,76
OK,F,2015,Taylor,229
OK,F,1949,Linda,47
OK,F,1930,Michael,44
OK,M,1972,Alex,33
OK,M,1970,Casey,40
OK,M,1937,James,202
OK,F,1954,,450
OK,F,1990,Alex,256
OK,F,1979,Alex,
OK,M,1946,Jennifer,724
OK,F,1967,Linda,771
,,2012,Taylor,80
OK,F,1971,Mary,
OK,M,1957,Jordan,996
OK,F,1964,Linda,253
OK,F,1981,Mary,195
OK,M,2017,John,37
