state,sex,year,name,count
,F,1910,Mary,27
OR,F,1994,Alex,95
OR,,1973,Jordan,295
OR,M,1997,Jordan,26
OR,F,2015,Alex,591
OR,F,2007,Linda,449
OR,F,,John,
,F,1967,linda,305
OR,M,1951,Casey,75
OR,M,1924,Robert,32
OR,M,1918,Alex,109
OR,F,1980,Casey,39
OR,F,1996,Taylor,389
OR,M,2011,Taylor,605
OR,M,1992,Casey,42
OR,F,1984,,
OR,F,1932,Alex,78
OR,M,1975,Michael,1267
OR,F,2004,John,231
OR,M,1989,Jordan,397
OR,M,1998,Jordan,241
OR,F,1988,Patricia,33
OR,F,2011,Michael,215
OR,M,1977,Alex,359
OR,M,1967,Taylor,344
OR,M,1980,,138
OR,F,1975,Casey,150
OR,M,2003,Michael,619
OR,F,2012,Patricia,41
,F,1927,Patricia,19
OR,M,1938,Alex,34
OR,M,1951,John,162
OR,M,2004,Michael,414
OR,M,1918,Casey,6
OR,M,1944,Alex,65
OR,F,1938,Linda,16
OR,F,1978,Taylor,135
OR,M,1940,Robert,156
OR,M,,Alex,42
OR,F,1972,Taylor,547
OR,M,1938,Alex,34
OR,F,1925,Jordan,13
OR,F,1964,Patricia,200
OR,F,,Robert,14
OR,F,1997,Linda,
OR,F,1968,Jennifer,97
OR,F,1937,John,151
OR,F,1967,Jennifer,16
OR,F,1993,Patricia,421
OR,F,1980,Jennifer,49
OR,F,1988,Linda,104
OR,F,1969,patricia,165
OR,M,1930,John,11
OR,F,1990,,429
OR,F,1953,Jordan,56
OR,M,1957,john,67
,M,,Alex,90
OR,F,1957,Jordan,697
OR,F,1996,casey,
OR,M,1943,Michael,201
OR,M,1959,John,613
OR,M,,Jordan,1011
OR,F,1979,Mary,1016
OR,M,1923,John,8
OR,M,1985,Robert,117
OR,F,1983,mary,556
OR,M,1946,John,5
OR,M,1912,Taylor,7
OR,M,2010,Alex,857
OR,M,1976,Taylor,247
OR,F,1958,Linda,57
OR,M,1945,James,223
OR,M,2002,jordan,155
OR,F,1981,Taylor,412
OR,M,1941,Michael,221
OR,M,1932,James,42
OR,F,2009,Jennifer,26
,M,2008,Jordan,8
,M,1941,Jordan,381
OR,F,1961,Taylor,881
OR,M,2004,Taylor,360
OR,M,2004,Alex,19
OR,M,1964,James,314
OR,M,1995,Jordan,136
OR,M,1933,John,51
OR,F,1992,mary,236
OR,M,2017,Casey,61
OR,M,1930,Casey,197
OR,M,2012,,649
OR,F,1925,Mary,363
OR,F,1955,Alex,186
OR,F,1972,Mary,156
OR,M,1941,John,140
OR,F,1960,Linda,51
,M,1931,Taylor,53
OR,F,1952,John,20
OR,M,1917,Jordan,110
OR,M,1947,Michael,
OR,F,1938,Jennifer,13
OR,F,1992,Taylor,206
OR,F,1998,Patricia,962
OR,,1952,Taylor,10
OR,M,2016,James,372
OR,F,1979,Linda,221
OR,M,1912,James,15
OR,M,1956,James,482
OR,,2020,Jordan,262
OR,M,1930,Robert,147
OR,M,1946,James,34
OR,F,1951,Jennifer,91
OR,M,1959,Robert,191
OR,F,1973,Jennifer,121
OR,M,1994,Casey,44
OR,M,1952,Linda,410
OR,M,1971,Casey,
OR,M,,Michael,
OR,M,1974,Robert,20
OR,M,1990,Robert,269
OR,F,1983,Jordan,476
OR,F,1927,Casey,151
OR,M,1939,James,47
OR,F,1911,Alex,5
OR,F,1999,Mary,19
OR,M,1964,John,213
,M,2021,Robert,64
OR,F,1920,John,7
OR,F,1960,Patricia,195
OR,M,2013,John,185
OR,M,1963,Alex,38
OR,F,1979,Jennifer,726
OR,F,1950,Patricia,799
OR,M,1976,Casey,328
OR,F,1923,Jordan,130
OR,F,,Jordan,661
OR,F,2008,Alex,68
OR,F,1928,,72
OR,M,1983,,1530
OR,M,1991,Jordan,409
OR,F,,Mary,266
OR,F,2005,Alex,599
OR,F,1991,Jennifer,569
OR,,2022,Jordan,169
OR,M,1950,John,9
OR,M,1989,Robert,54
OR,F,2002,Patricia,337
OR,M,,John,355
OR,F,2013,taylor,9
OR,M,1971,Michael,195
OR,M,1924,Michael,172
,M,1960,Casey,408
OR,M,1949,Michael,
OR,M,1930,Alex,5
OR,,1928,Taylor,88
OR,F,,Jennifer,219
OR,F,2009,Alex,55
OR,M,2005,Michael,1496
OR,,1975,,
OR,M,1961,Taylor,384
OR,F,,jennifer,54
OR,M,1916,,142
OR,F,1998,Jordan,129
OR,F,1941,Alex,211
OR,M,1971,james,218
OR,M,,Jordan,722
OR,F,2002,Linda,425
OR,F,1959,Jordan,447
OR,M,2013,James,30
OR,,1998,Linda,42
OR,F,2008,Mary,74
OR,F,1934,Jennifer,9
OR,F,1946,Mary,711
OR,F,1982,Mary,570
OR,M,1986,James,473
OR,M,1961,Jordan,256
OR,M,1940,Jordan,93
OR,M,1967,John,602
,M,2001,Taylor,637
OR,M,1962,Jordan,280
OR,M,2006,Robert,224
OR,M,1979,Taylor,211
OR,F,1934,Casey,8
OR,F,1954,Taylor,325
OR,M,2001,John,106
OR,F,1931,Jennifer,120
OR,M,1993,Taylor,24
OR,F,1942,,26
OR,M,1941,Michael,221
OR,F,1973,Taylor,
OR,F,,Jennifer,45
OR,M,1984,Robert,330
OR,M,1975,John,332
OR,M,1945,Patricia,10
OR,M,1982,John,345
OR,F,2012,Linda,24
OR,M,1974,Taylor,45
OR,M,1963,James,113
OR,F,1958,Patricia,
OR,M,2019,Casey,191
OR,M,1982,Michael,284
OR,F,,Linda,19
OR,,1954,James,32
OR,F,1918,Michael,5
OR,F,1954,Mary,60
OR,M,2008,Michael,6
OR,M,1933,Alex,9
OR,M,2009,Michael,158
OR,F,1937,Casey,301
OR,F,1971,Mary,462
OR,M,1961,Michael,937
OR,M,2011,Robert,656
OR,M,1978,Michael,649
OR,F,1990,Taylor,648
OR,M,1973,,164
OR,F,1941,Mary,65
OR,M,1992,Jordan,16
OR,M,1953,John,373
OR,F,1943,Jennifer,271
OR,F,1970,Mary,226
OR,M,2017,Robert,25
OR,F,1973,Mary,302
OR,M,2009,Robert,65
OR,M,1922,Alex,375
,,1920,Jordan,260
OR,M,1938,Casey,
,M,1940,Alex,58
OR,F,1936,Linda,147
OR,F,1996,Alex,63
OR,F,1980,John,664
OR,M,1918,James,104
OR,F,2022,Mary,
OR,F,1971,John,90
OR,F,1959,Jennifer,979
OR,F,1946,Casey,40
OR,F,1986,jennifer,1048
OR,M,2008,Alex,9
OR,M,1955,John,43
OR,M,1938,Taylor,189
OR,,1935,,40
OR,F,1954,Patricia,88
OR,F,1972,Patricia,1307
OR,M,1998,James,231
OR,F,1971,Jennifer,309
OR,F,1978,Linda,114
OR,M,,John,710
,F,1939,Alex,675
OR,M,1983,Robert,70
OR,M,1954,Taylor,182
OR,M,1974,John,162
OR,F,1968,jordan,156
OR,M,1970,Michael,471
OR,F,1988,Mary,35
OR,M,1919,Taylor,50
OR,F,1938,Mary,85
OR,F,1943,Taylor,454
OR,F,1958,Michael,98
OR,M,2014,Taylor,177
OR,F,1980,Jordan,
OR,F,,Jordan,272
OR,M,2007,Alex,723
,M,1965,James,242
OR,M,1924,Alex,8
OR,F,2010,Jordan,75
OR,M,,John,355
OR,M,1977,Casey,456
OR,F,2004,Mary,797
OR,F,,,409
OR,M,1940,Michael,
,F,1951,Casey,527
OR,F,1942,Mary,14
OR,M,2000,James,210
OR,M,1980,Michael,346
OR,F,1947,Linda,44
OR,F,1966,Mary,30
,M,1998,Taylor,308
OR,F,1971,Taylor,96
OR,M,1950,Casey,13
OR,M,1939,Michael,34
OR,F,1950,Mary,115
OR,M,1945,Jordan,290
OR,M,1960,,327
OR,F,1977,Jennifer,87
OR,F,1970,Jordan,
OR,M,1964,Jordan,314
OR,F,2013,Alex,23
OR,F,1993,Mary,440
OR,F,1941,,102
OR,F,1930,Jordan,186
OR,,1937,alex,25
OR,M,1994,Jordan,190
OR,M,1992,Taylor,80
OR,M,1979,Jordan,136
OR,F,1982,Alex,526
OR,M,2019,Alex,13
OR,F,1924,Mary,18
OR,F,1996,patricia,88
OR,M,1985,Jordan,574
OR,F,1966,,533
OR,F,1995,Jennifer,750
OR,M,1933,Robert,13
OR,M,2021,James,9
OR,M,1958,John,108
OR,F,1932,Jennifer,187
OR,M,1940,Linda,14
OR,M,1973,Alex,234
OR,M,1952,Taylor,96
OR,M,1936,Alex,114
OR,M,1977,John,377
OR,F,2002,Taylor,552
OR,M,1975,Alex,336
OR,M,2015,casey,7
OR,F,1986,Patricia,78
OR,F,1949,Taylor,
OR,F,2003,Linda,864
,,1970,Jordan,177
OR,F,1963,Mary,61
,F,,Jennifer,136
OR,F,1992,Alex,1012
OR,F,1910,Linda,16
OR,M,1948,Taylor,82
OR,M,1956,Taylor,101
OR,M,1944,James,108
OR,M,1993,James,1144
OR,,2016,Jennifer,113
OR,M,1934,James,122
OR,F,1936,Alex,242
OR,F,1967,Taylor,652
OR,F,1993,Linda,84
OR,F,1959,Mary,103
OR,F,2016,Jordan,8
OR,F,,Jennifer,418
OR,F,2001,Linda,47
OR,F,2017,Casey,351
OR,F,1971,jordan,473
OR,F,1959,Alex,195
OR,M,1949,James,767
OR,M,1995,michael,58
OR,F,2020,Casey,8
OR,,1947,,17
OR,M,1978,Robert,185
OR,F,1924,Patricia,383
OR,F,,Alex,110
OR,M,2012,michael,587
OR,M,1984,Michael,618
OR,F,2006,Taylor,11
OR,F,2001,Jordan,62
OR,M,1985,Alex,189
OR,,1928,Mary,101
