state,sex,year,name,count
PA,M,2019,John,70
PA,F,,Casey,895
PA,F,1922,Mary,8
PA,M,1966,Robert,116
,M,2012,James,39
PA,M,1992,robert,41
PA,F,1985,,147
PA,F,2003,Alex,138
PA,M,1997,Michael,203
PA,F,1924,Jordan,5
PA,M,1964,,30
PA,M,,Robert,372
PA,F,2021,Alex,89
PA,M,2014,michael,1312
PA,F,1974,Mary,442
PA,F,1977,Casey,621
PA,M,1939,Alex,249
PA,F,1975,Jordan,125
PA,F,2009,Jennifer,511
PA,M,1994,jordan,57
PA,F,1931,Jennifer,309
PA,M,1973,Taylor,401
PA,F,1960,Casey,492
PA,M,1979,John,345
PA,M,,Jordan,655
PA,F,1924,Casey,275
PA,M,1920,James,157
PA,M,1988,Taylor,580
PA,F,1992,Patricia,203
PA,F,1988,Linda,548
PA,M,1990,Casey,127
,M,1983,John,205
PA,F,2013,linda,192
PA,M,1985,Casey,42
PA,M,1982,Jordan,43
PA,F,1975,Patricia,101
PA,F,1970,Jordan,1128
PA,M,1934,Robert,100
PA,,1935,Alex,127
PA,M,2019,James,723
PA,M,2002,Robert,76
PA,M,1956,James,29
PA,M,1974,Taylor,264
PA,F,1921,Taylor,246
PA,F,1929,Jennifer,46
PA,F,1998,Alex,59
PA,F,1968,Jennifer,220
PA,F,1985,Casey,743
PA,F,1968,Taylor,831
PA,M,1990,Robert,257
PA,M,1969,John,65
PA,M,2003,james,690
PA,M,1968,Michael,519
PA,M,1985,Taylor,487
PA,M,1959,Casey,1134
PA,F,,Robert,1380
PA,M,1950,Alex,295
PA,M,2020,Robert,7
PA,M,2008,Taylor,45
PA,F,1947,Jennifer,426
PA,M,1986,John,92
PA,M,1983,Jennifer,258
PA,F,2008,Casey,461
PA,M,1945,alex,674
PA,M,1922,james,47
PA,F,1956,Jordan,82
PA,M,2000,robert,27
PA,F,1980,Jennifer,464
PA,M,2018,Taylor,138
PA,M,1942,James,180
PA,F,1924,Alex,9
PA,M,2002,Michael,
PA,M,1963,Casey,561
PA,F,2011,Jennifer,
PA,F,2005,Patricia,572
PA,F,1996,jennifer,258
PA,F,,Taylor,10
PA,F,1986,Casey,216
PA,F,,Alex,118
PA,M,1991,Casey,674
,F,1995,Mary,65
PA,F,2012,Linda,1171
PA,,1948,Linda,
,F,1964,Taylor,14
PA,F,1975,Mary,59
PA,M,,Robert,10
PA,F,1985,Mary,303
PA,F,1933,Alex,157
PA,M,1920,Taylor,12
PA,M,1975,Robert,157
PA,M,2019,Taylor,19
PA,M,2015,Taylor,399
PA,M,1950,Casey,186
PA,M,2011,james,96
PA,M,1953,John,190
PA,M,1916,,61
PA,M,1939,Robert,349
PA,F,1949,Alex,255
PA,M,2014,Taylor,13
PA,F,1999,Casey,489
PA,M,1945,Casey,1256
PA,F,1992,Jennifer,948
PA,F,2008,Patricia,706
PA,,1993,Robert,94
PA,F,1939,Taylor,342
PA,,1981,Taylor,19
PA,F,,jordan,8
PA,F,1944,Jordan,486
PA,M,2002,James,45
PA,F,1976,Alex,162
,M,1955,alex,294
PA,F,1991,Taylor,625
PA,M,1912,Jordan,22
PA,M,1976,Michael,784
PA,F,2022,Patricia,119
PA,F,2011,Alex,8
PA,F,1944,Mary,322
PA,M,1996,James,576
PA,F,1946,Mary,27
PA,F,1972,Michael,149
PA,M,2006,Michael,286
PA,F,2007,Linda,138
PA,M,2015,James,577
PA,M,1998,Taylor,318
PA,M,2005,Taylor,
PA,M,1948,James,
PA,M,1986,,247
PA,F,1983,Jordan,475
PA,F,1921,Jennifer,35
PA,F,1970,Taylor,116
PA,F,1998,Jordan,1017
PA,M,1980,James,1068
PA,F,1919,Casey,234
PA,M,1993,Alex,384
PA,M,1930,James,152
,F,1935,Mary,352
PA,M,1988,Jordan,752
PA,F,1951,Taylor,297
PA,F,1946,Linda,1178
PA,F,2001,Linda,566
PA,F,2000,Patricia,276
PA,M,1999,Alex,519
PA,F,1992,Casey,210
PA,M,1966,James,425
PA,F,1950,Mary,1181
PA,,1954,Taylor,28
PA,F,1978,Mary,62
PA,M,2020,,
PA,F,2021,Casey,14
PA,M,1969,Robert,627
PA,M,1957,Alex,675
PA,,1979,James,211
PA,M,,Casey,307
,F,1962,Linda,35
PA,F,2014,Mary,152
PA,M,1974,Michael,845
PA,M,1997,John,333
PA,F,2008,Jordan,15
PA,F,1974,Jennifer,651
PA,M,1943,Alex,420
PA,F,1930,Taylor,447
PA,F,1993,Jordan,360
,F,2002,Jordan,432
PA,F,1995,Jordan,364
PA,M,2021,Alex,102
PA,F,1940,Linda,61
PA,M,1958,Casey,617
PA,F,1935,Patricia,597
PA,M,,Alex,11
PA,F,1922,Linda,25
PA,M,2001,Jordan,1186
,F,1983,Patricia,673
PA,F,1944,Casey,36
PA,,1936,Robert,301
PA,M,1941,Jordan,7
PA,M,2002,Jordan,761
,F,2009,Casey,698
PA,F,1948,Casey,
PA,F,1993,Mary,383
PA,F,1974,Taylor,237
PA,F,2015,Alex,693
PA,F,,Linda,46
PA,F,2010,Mary,111
PA,M,1936,Michael,6
PA,M,1982,Robert,105
PA,M,2022,Casey,10
,F,2017,jennifer,17
PA,F,1957,Linda,55
PA,F,2001,Casey,428
PA,M,2001,Alex,71
PA,F,2007,Alex,6
PA,M,2005,Michael,54
PA,M,1943,jordan,47
PA,M,1999,Michael,382
PA,F,1965,Taylor,140
,M,1964,Michael,226
PA,F,2015,Casey,199
PA,M,1962,Michael,260
PA,F,1966,Robert,33
PA,M,2003,John,805
PA,F,1981,michael,265
,F,1935,Mary,352
PA,,1958,Jordan,
PA,F,,Linda,723
PA,M,1960,James,151
PA,F,1954,Jennifer,316
PA,M,1982,Michael,95
PA,F,1941,Alex,8
PA,F,1985,Linda,444
PA,F,1968,Casey,
PA,M,2001,Taylor,315
PA,F,1957,Alex,319
,M,2004,jordan,313
PA,M,2022,John,190
PA,M,1932,Michael,92
PA,F,2018,Taylor,766
PA,M,2011,Michael,635
PA,F,1946,Alex,15
PA,,1977,Alex,117
PA,F,,Jordan,155
PA,M,1936,John,7
PA,F,1980,Linda,
PA,M,1974,Casey,890
PA,M,1927,John,65
PA,M,1962,Robert,114
PA,F,1967,Linda,422
PA,F,2000,Casey,147
PA,F,1987,Alex,300
PA,M,1965,Casey,705
PA,M,2020,John,5
PA,F,,Taylor,656
PA,M,2019,jordan,26
PA,F,1976,Linda,990
PA,F,1999,Jennifer,25
PA,M,1912,Michael,11
PA,F,2016,,27
PA,F,1926,Taylor,528
PA,F,1987,Taylor,332
PA,M,2007,Taylor,79
PA,F,1947,jordan,191
PA,F,2007,Jordan,317
PA,F,1976,Jordan,428
PA,F,2017,Taylor,20
PA,F,1970,John,797
,M,2005,John,47
PA,M,1987,Alex,648
PA,F,1934,Mary,139
PA,F,1994,Casey,876
PA,M,1998,Jordan,1073
PA,F,1993,Linda,836
PA,F,1984,Jordan,574
,M,1989,Robert,120
PA,F,1970,Linda,238
PA,F,1965,Patricia,765
PA,M,1954,robert,112
PA,F,1952,Jordan,343
PA,F,1929,Patricia,248
PA,F,2011,Mary,668
PA,F,1919,Patricia,64
PA,M,1972,Taylor,189
PA,F,1919,Alex,37
PA,F,1929,Casey,9
PA,M,1949,Alex,54
PA,M,1929,Casey,51
PA,M,1977,,1002
PA,,1970,Mary,518
PA,F,1949,Patricia,5
PA,F,1952,Patricia,38
PA,M,,John,52
PA,M,1996,robert,661
PA,F,2002,Alex,109
PA,F,1996,Jordan,852
,F,1936,Patricia,223
PA,F,1937,Taylor,579
PA,M,1919,Casey,169
PA,F,1974,Alex,
PA,F,1988,Alex,1106
PA,M,2003,Alex,78
PA,,2020,Jennifer,194
PA,F,1954,Jordan,268
PA,F,2010,Casey,58
PA,F,2013,Casey,495
PA,M,1959,Alex,557
PA,M,1950,Jordan,1288
PA,M,,Casey,40
PA,F,1960,Jennifer,282
PA,F,2012,Casey,6
PA,F,,James,
PA,F,2021,Jennifer,176
PA,,1937,Mary,301
PA,M,1971,john,256
PA,M,1996,Jordan,99
PA,F,1959,Mary,
PA,F,1958,Mary,39
PA,F,1982,Alex,514
PA,M,1954,Casey,44
PA,F,1993,Patricia,56
PA,F,1931,Michael,427
PA,F,1992,Linda,141
PA,M,1936,Casey,162
PA,M,2002,Alex,44
PA,F,1921,,18
PA,F,1949,Jordan,981
PA,F,1913,Linda,17
PA,M,1970,Casey,679
PA,M,1944,Michael,305
PA,F,2007,Patricia,240
PA,F,1942,Jennifer,51
PA,F,1964,,38
PA,F,1991,Alex,708
PA,M,1917,Casey,16
PA,M,,Michael,940
PA,M,1914,Jordan,6
PA,M,1935,Michael,58
PA,M,2012,Casey,7
PA,F,1989,Jordan,139
PA,M,1972,John,429
PA,F,2008,Jennifer,80
PA,F,1931,Jordan,
,M,1959,Jennifer,305
PA,F,1923,Casey,247
PA,F,2014,Linda,154
PA,M,1990,,136
PA,M,1930,Taylor,42
PA,M,1984,alex,
PA,F,1954,Mary,
PA,F,1975,jennifer,407
PA,M,1921,,13
PA,M,1940,Michael,423
PA,F,1984,Taylor,466
PA,F,1958,Taylor,246
PA,F,2003,Jennifer,62
PA,M,2019,James,723
PA,F,1980,Jordan,236
PA,F,1982,Casey,88
PA,M,1919,Taylor,23
PA,F,1997,Casey,
PA,,2018,Jennifer,
PA,M,2007,John,
PA,F,1991,Jordan,199
PA,M,1938,James,32
PA,,1932,Robert,45
PA,F,1984,Casey,769
PA,M,1959,,95
PA,F,1947,Casey,23
PA,F,1938,Mary,299
PA,M,1957,Jordan,5
PA,M,1954,Alex,112
PA,F,1952,Jordan,343
PA,M,1970,alex,
PA,F,,Patricia,548
PA,F,1972,Jordan,61
PA,M,1955,Casey,36
PA,F,1971,Jordan,541
PA,M,1940,Jordan,42
PA,M,1982,Alex,549
PA,M,1946,John,38
PA,M,1993,Jordan,11
,M,1946,Alex,262
PA,F,2011,Taylor,682
PA,M,,Robert,945
PA,F,1961,Jordan,157
PA,F,1928,,139
,M,1990,Alex,918
PA,F,1948,Jennifer,668
PA,M,1942,Jordan,25
PA,F,1928,Casey,92
PA,F,1927,Jordan,87
PA,M,1923,Robert,119
PA,,2009,Taylor,197
,M,2015,Robert,548
PA,M,2006,Mary,44
PA,F,1919,Jennifer,14
PA,F,,Mary,582
PA,M,2014,Casey,22
PA,M,2006,Mary,44
PA,,1913,James,12
PA,M,1998,Casey,
PA,F,2005,Linda,1038
PA,F,2019,Casey,189
PA,M,1936,Jordan,627
PA,F,1952,Linda,12
PA,M,1997,,1018
PA,F,1918,Alex,84
PA,F,1988,Jordan,186
PA,M,1959,Jordan,117
,M,,Jordan,107
PA,M,1987,Jordan,873
PA,F,1927,Jennifer,50
PA,M,2007,Michael,446
PA,M,2008,Alex,94
PA,M,1969,Jordan,16
