state,sex,year,name,count
RI,F,,Casey,347
RI,F,,Mary,73
RI,F,,Jennifer,250
 RI ,F,,Mary,121
RI,M,,Casey,399
RI, F ,,Casey,580
RI,M,,James,104
RI,F,, Jordan ,
RI,M,,Jordan,124
RI,F,,casey,66
RI,M,,Taylor,106
RI,M,,Casey,31
RI,M,,Casey,248
RI,F,,Patricia,24
RI,M,,James,10
RI,M,,Alex,151
RI,M,,,150
RI,F,,Jennifer,101
RI, F ,,Jennifer,537
,,,Alex,266
,,,Alex,285
RI, M ,,Robert,26
RI,F,,Jordan,56
RI,F,,Alex,604
 RI ,M,, Patricia ,913
RI,M,,James,1013
RI,M,,John,418
RI,M,,John,13
RI,F,,Jordan,54
RI,M,,John,56
 RI ,M,,casey,270
RI,M,,James,10
RI,F,,Linda,67
RI,M,,James,84
,M,,Robert,
RI,F,,Patricia,38
RI,M,,James,232
RI,M,,Jordan,25
RI,F,,Taylor,
RI,F,,Mary,87
RI,F,,Taylor,45
RI,F,,Taylor,341
RI,F,,jordan,6
RI, F ,,Patricia,197
 RI ,M,, Casey ,114
RI,M,,James,99
RI,M,,Robert,92
 RI ,M,,Casey,348
RI,F,,Mary,47
RI, F ,,Jordan,178
 RI ,M,,Michael,52
RI,M,,Robert,82
RI,F,,Linda,21
RI,F,,,142
RI,F,,Mary,496
RI,,,Mary,130
RI,M,,Alex,167
RI,M,,Casey,269
RI,F,,robert,757
,F,,Patricia,709
RI,M,,John,975
RI,M,,Jordan,13
RI,M,,Taylor,605
 RI ,F,,Mary,68
RI,M,,Jordan,972
RI, F ,,Jordan,6
RI, M ,,Robert,501
RI,M,,Robert,600
RI,M,,Taylor,524
RI,M,,James,46
 RI ,M,,Michael,117
RI,F,,Linda,33
RI,F,,Alex,188
 RI ,M,,James,282
RI,F,,Alex,35
RI,F,,Linda,434
RI,M,,Casey,645
RI,F,,Casey,135
RI,F,,Jordan,59
RI, M ,,James,50
RI, M ,,James,342
RI, M ,,Jordan,123
RI,M,,James,320
RI,M,,James,86
RI,F,,Linda,394
RI,,,Casey,155
RI,M,,Michael,58
RI,F,,Alex,510
RI, F ,,,315
RI,M,,Michael,46
RI,F,,Jordan,254
RI,F,,Linda,246
RI, F ,,Linda,425
 RI ,F,,Robert,
RI,,,Taylor,114
RI,F,,Patricia,44
RI,M,,,440
RI,F,,Mary,85
RI,F,,Jennifer,583
RI,F,,,114
 RI ,F,,Casey,131
RI,M,,Alex,109
RI,M,,Michael,118
,M,,Michael,462
RI,F,,Jordan,322
 RI ,F,,Alex,
 RI ,M,,Michael,6
RI, F ,,Jennifer,127
RI,M,,Jordan,690
RI,M,,John,1196
RI,F,,Casey,180
 RI ,,,Jordan,870
, F ,,Casey,340
 RI ,F,,Casey,80
 RI ,M,,James,6
 RI ,F,,Alex,204
RI,F,,Patricia,165
,F,,Mary,55
RI,M,,John,358
RI,M,,John,442
RI,F,,Jennifer,491
RI,,,Casey,67
RI,M,,Jordan,729
RI,M,,Alex,16
RI,M,,Jordan,428
RI,F,,alex,160
 RI , M ,,Casey,226
RI,F,, Casey ,
,F,,Jordan,
RI,,,Jordan,
 RI ,F,,Linda,61
RI,M,,Robert,18
RI,F,,Taylor,900
RI, F ,,Jordan,29
RI,M,,Jordan,140
RI,F,,Linda,1062
RI,F,,Jennifer,672
RI,,,Taylor,361
RI,M,,Michael,745
RI, M ,,James,112
RI,M,,taylor,48
RI, F ,,Taylor,292
RI,M,,John,238
RI,F,,Casey,489
RI,F,,Mary,246
RI,F,,Taylor,
RI,F,,,
RI,M,,Jordan,190
RI,F,,Jennifer,22
RI,F,,Casey,49
RI,M,,Michael,337
RI,M,,James,140
RI,,,Michael,35
RI,F,,Casey,550
RI,M,,Michael,195
RI,M,,Michael,443
RI,M,,Jordan,315
RI,M,,Taylor,648
RI,F,,Jennifer,423
RI,F,,Jordan,587
RI,F,,Patricia,619
RI,M,,taylor,21
RI,M,,Robert,199
RI,,,,260
RI, M ,,john,18
RI,M,,Jordan,681
RI, M ,,Jordan,332
RI,F,,linda,315
RI,M,,James,127
RI,M,,John,168
 RI , F ,,Linda,632
,M,,Taylor,129
RI,F,,Casey,
RI,M,,,213
RI,M,,Jordan,186
 RI ,F,,Jordan,90
RI,F,,Linda,192
RI,M,,James,530
RI,F,,Jennifer,55
RI,M,,John,51
RI,F,,taylor,313
RI,M,,robert,165
RI,M,,Taylor,71
RI,F,,Linda,670
RI,M,,Casey,549
RI,F,,Alex,123
RI,M,, Alex ,90
RI,F,,Taylor,366
,M,, Alex ,138
RI,M,,jordan,238
RI,F,,Linda,159
RI,M,,,41
RI,M,,James,462
RI,F,,Jordan,451
 RI ,M,,Jennifer,
RI,F,,Patricia,852
RI,F,,Jennifer,144
 RI ,M,,James,66
RI,M,,Casey,111
 RI ,F,,Patricia,23
RI,M,,Alex,356
,M,,James,162
RI,F,,Linda,131
RI,M,,Michael,938
RI,F,,Jordan,25
RI,F,,Jennifer,30
 RI ,F,,Taylor,8
RI,F,,Patricia,121
RI,M,,Robert,937
 RI ,F,,,
 RI ,F,,Jordan,7
 RI ,F,,Taylor,26
 RI ,F,,Alex,5
RI,M,,james,95
RI,F,, Taylor ,56
RI,F,,jennifer,713
RI,F,,Jordan,28
RI,M,,Taylor,241
RI,M,,,23
RI,M,,Robert,5
RI,M,,Michael,317
RI,F,,Jennifer,607
RI,M,,John,32
RI,F,,Jennifer,80
 RI ,F,,Casey,343
RI,M,,Alex,43
RI,M,,Alex,15
,F,,Jordan,109
RI,M,,John,44
RI, M ,,Taylor,108
RI, F ,, Jennifer ,525
RI, F ,,Mary,79
RI,M,,Alex,31
RI,M,,Robert,652
 RI ,F,,Mary,32
RI,F,,Alex,626
RI,F,,,35
RI,M,,John,308
 RI ,F,,Casey,677
RI,F,,Jordan,37
RI,M,,Casey,114
RI,F,,Patricia,24
RI,M,,Patricia,302
RI,M,, Taylor ,432
RI,M,,Taylor,211
RI,M,, James ,21
RI, M ,,Robert,497
RI,F,,Casey,8
 RI ,F,,Alex,12
RI,,,Alex,50
RI,F,,Patricia,42
,M,,Robert,22
 RI ,M,,Alex,225
RI,M,,john,496
RI,F,,alex,104
RI,M,,Taylor,
RI,F,,Jordan,
RI, F ,,Taylor,12
RI,F,,Jordan,799
RI,F,,Jordan,254
RI,F,,Jordan,77
RI,M,,taylor,819
RI,M,,Michael,423
RI,F,,Patricia,278
RI,F,,james,68
RI,F,,patricia,215
RI,M,,Taylor,138
RI,F,,Jordan,5
RI,M,,James,526
RI,F,,Linda,124
RI,M,,,186
RI, M ,,Jordan,9
 RI ,F,,Jennifer,108
RI,F,,Patricia,163
RI,M,,Robert,326
RI,M,,Casey,56
RI,F,,Alex,78
RI,F,,Patricia,309
RI,F,,Taylor,87
RI,M,,,969
RI,F,,Patricia,
RI,F,,Mary,17
 RI ,M,,,1279
RI,F,,Casey,60
RI,,, Taylor ,195
RI,M,, Taylor ,59
RI,F,,Jennifer,8
 RI ,M,,Jordan,121
RI,,,Jordan,172
RI, F ,,Casey,65
RI,F,,,354
RI, F ,,Mary,104
RI,F,,Mary,22
RI,F,,Robert,550
RI,M,,Patricia,123
RI,M,,Taylor,627
RI,M,,James,571
RI,,,Jordan,278
RI,F,,Mary,66
RI,F,,Casey,39
RI,F,,jordan,125
RI, M ,,Taylor,989
RI,F,,,328
RI,M,,John,46
RI,F,,Alex,11
RI,F,,Linda,19
RI, M ,,Alex,297
RI,M,,Casey,64
RI,M,,Michael,287
RI,M,,James,112
RI,F,,Patricia,5
RI,F,,Jordan,249
RI,F,,Taylor,23
RI,F,,Jennifer,472
RI,M,,Robert,36
RI,M,,Jordan,
RI,F,,Linda,365
RI, F ,,Alex,397
RI,F,,,
RI,F,,Alex,20
RI,F,,Taylor,123
RI,M,,,505
RI,F,,Casey,98
RI,M,,John,80
RI,M,,,15
RI,M,, Taylor ,573
RI,F,,Linda,1014
RI,M,,Taylor,20
RI, M ,,James,975
RI,F,,Mary,
 RI ,M,,Casey,42
RI,F,,Casey,543
RI,M,,Alex,680
,,,Linda,699
 RI ,M,,taylor,352
RI,F,,,435
RI,F,,Patricia,52
RI,F,,Jennifer,63
RI,M,,Casey,98
RI,F,,Mary,
RI,,,Linda,766
RI,F,,Jennifer,426
RI,M,,Taylor,732
RI,F,,Mary,172
RI,F,,mary,140
RI,F,,,136
RI,M,,Robert,450
RI,F,,Jennifer,463
RI,F,,jennifer,258
RI, F ,,James,258
RI,M,,Robert,268
RI,M,,Alex,926
RI,F,,Linda,5
RI,F,,Patricia,137
RI,M,,John,566
RI,M,,Robert,
RI,M,,Alex,194
 RI , F ,,Linda,437
RI,F,,Alex,10
RI, F ,,Taylor,37
RI, M ,,Michael,37
 RI ,F,,Casey,22
RI, F ,,Casey,
RI,M,,Jordan,683
RI,F,,Taylor,614
RI,M,,Jordan,60
RI,F,,Jordan,65
 RI ,F,, Jordan ,100
 RI ,F,,Taylor,17
RI,M,,Casey,485
RI,M,,John,104
RI, F ,,Taylor,186
RI,M,,John,60
 RI ,F,,Taylor,209
RI,F,,Mary,24
RI,M,,John,
RI,F,,Alex,281
RI,F,,Linda,19
RI,F,,taylor,6
RI,F,,Jordan,101
RI,M,,,108
RI,F,,Jordan,29
RI,F,,,31
RI,M,,john,144
RI, F ,,Linda,5
RI,F,,,171
RI,M,,Taylor,230
RI,M,,Michael,43
RI,M,,Jordan,65
RI,F,,Jordan,656
RI,M,,Taylor,191
RI, F ,,Jordan,298
RI,,,Mary,130
RI,M,,Jordan,360
RI,M,,Robert,66
RI,M,,Casey,51
RI,F,,Jordan,265
RI,M,,Robert,284
RI,M,,Jordan,380
RI,F,,Linda,67
RI,F,,Jennifer,266
RI, M ,,Alex,52
 RI ,M,,James,31
RI,F,,Jordan,704
RI,F,,Casey,575
RI,M,, Jordan ,184
RI,M,,Casey,256
RI,M,,Jordan,148
RI,F,,Jordan,969
RI,F,,John,135
RI,F,,Jennifer,286
RI,F,,Linda,446
RI,M,,Casey,
RI,F,,Taylor,115
RI,F,, Jennifer ,163
RI,M,,Jordan,544
RI,M,,casey,236
RI,M,,Jordan,266
RI,M,,John,62
RI,M,,Michael,64
RI,M,,John,881
RI,M,,Jordan,758
RI,M,,john,332
RI,F,,Linda,46
RI,M,,robert,82
,F,,,248
 RI ,F,,Mary,11
RI,M,, John ,277
RI,F,,Jordan,158
RI,M,,John,
,F,,Casey,385
RI,F,,casey,216
RI,M,,Robert,43
RI,F,,Linda,476
RI,F,,Jennifer,709
RI,M,, Robert ,508
RI,F,,patricia,671
RI,M,,John,110
RI,M,,Alex,45
RI,M,,,121
RI, M ,,Linda,380
RI,M,,Taylor,539
RI,M,,Alex,30
RI,M,,John,152
RI,F,,patricia,
 RI ,F,,Taylor,427
RI,,,Michael,12
RI,F,,Mary,732
RI,F,,James,30
RI,F,,Patricia,79
 RI ,F,,Jordan,90
RI,F,,Michael,436
 RI ,F,,Alex,280
RI,F,,jennifer,113
,F,,Jordan,268
RI,M,,James,465
RI,F,,Linda,20
 RI ,F,,Patricia,295
RI,M,,casey,310
 RI ,F,,Taylor,25
RI,M,,Michael,493
RI,M,,Michael,469
RI,M,,Linda,17
,F,,Taylor,114
RI,M,,Alex,174
RI, F ,,Alex,66
RI,M,,Jordan,152
,M,,John,
RI,F,,Casey,493
RI, F ,,jordan,199
RI,F,,Patricia,414
RI,M,,Alex,714
RI,M,,Alex,851
RI,M,,Robert,18
RI,F,,Mary,97
RI,F,,Linda,54
RI,,,,1486
RI,F,,Jennifer,566
RI,M,,Robert,209
RI,,, Alex ,
 RI ,F,,Linda,834
RI,,,Casey,294
RI,M,,James,120
 RI ,M,,Mary,9
RI,F,,Jennifer,7
RI,F,,Jennifer,22
 RI ,M,,Jennifer,155
 RI ,M,,James,182
RI,F,,Taylor,119
 RI ,F,,Jordan,191
RI,F,,Mary,47
RI,M,,taylor,139
RI,M,,Michael,374
RI, M ,,Casey,
RI,F,,Casey,
RI,,,patricia,11
RI,M,,,497
RI,M,,,115
RI,M,,Taylor,140
RI,M,,John,7
RI,M,,Robert,67
RI, M ,,Casey,190
RI,M,,Robert,835
RI,M,,James,80
 RI ,,,Casey,614
RI,F,,Jordan,110
RI,M,,Robert,342
RI,M,,Jordan,969
RI, F ,,Casey,491
RI,M,,Casey,177
RI,M,,Taylor,867
RI,M,,Michael,26
