state,sex,year,name,count
SC,,1953,Michael,284
SC,F,1946,Mary,5
SC,M,1964,Casey,
SC,F,1947,Jordan,6
SC,,1955,Jennifer,182
SC,M,2014,James,20
SC,M,1994,Jordan,464
SC,F,1996,,78
SC,M,2007,John,241
SC,F,2022,Jennifer,97
SC,F,1991,,43
,F,2015,Jordan,207
SC,M,1946,Casey,319
SC,F,2002,Mary,39
SC,F,1994,Robert,78
SC,,1991,Jordan,43
,F,1927,Patricia,42
SC,M,1925,Robert,11
SC,M,1970,Robert,45
,F,1940,Jordan,359
SC,F,1985,Taylor,
SC,M,2011,,44
SC,F,1996,Alex,355
SC,M,1949,Michael,23
SC,F,,Casey,65
SC,,1925,Linda,5
SC,F,1974,Jennifer,88
SC,M,2015,jennifer,34
SC,M,1956,Michael,10
SC,F,1967,alex,370
SC,M,1911,John,43
SC,F,1980,Taylor,289
SC,F,1934,Casey,285
SC,M,1954,Jordan,1223
SC,F,1966,Jordan,303
SC,M,1983,Jordan,702
SC,M,1957,Taylor,49
SC,M,1967,Taylor,182
SC,M,2008,James,20
SC,M,1933,Taylor,693
SC,F,1953,Taylor,130
SC,F,1980,Alex,233
SC,M,1961,Casey,43
SC,M,1962,Michael,183
SC,M,1963,John,10
SC,M,1995,Michael,17
SC,F,1974,Taylor,839
,F,2006,Mary,434
SC,F,1940,Patricia,85
SC,F,1959,Alex,99
SC,M,2012,Jordan,21
SC,F,1981,Jordan,592
SC,M,1972,,110
SC,M,1934,John,350
SC,F,,Taylor,83
SC,M,1946,Alex,14
SC,M,1982,,761
SC,M,1973,James,162
SC,F,2001,Patricia,83
SC,F,1966,Linda,760
SC,M,2003,Robert,23
SC,F,2010,Alex,53
SC,F,1958,Taylor,500
SC,M,,Jordan,22
SC,M,1966,Michael,573
SC,M,1941,Jordan,255
,M,1981,Jordan,170
SC,F,1997,Jordan,5
SC,M,1973,Casey,359
SC,M,1927,Alex,50
SC,F,1992,Patricia,118
SC,M,1979,Michael,503
SC,M,1944,John,181
SC,M,1933,James,5
SC,M,2008,,435
SC,M,1986,Michael,502
SC,M,2022,James,81
SC,F,1978,,8
SC,M,1961,Alex,1241
SC,F,1982,Taylor,295
SC,F,1960,Jennifer,158
,M,1992,James,300
SC,M,2017,Jordan,116
SC,F,1961,Patricia,938
SC,F,1942,Jordan,251
SC,F,1979,Jennifer,451
SC,F,1980,Patricia,829
SC,M,1983,Taylor,845
SC,M,2006,Jordan,195
SC,F,1952,Jordan,41
SC,M,1932,John,21
