state,sex,year,name,count
SD,M,1997,Casey,658
SD,F,1985,Jennifer,195
SD,F,1910,Linda,44
SD,M,1973,Casey,378
SD,M,1978,Taylor,53
SD,F,1930,Jennifer,145
SD,F,1928,Jordan,155
SD,M,1940,John,146
SD,F,2007,Casey,104
SD,M,1962,Michael,36
SD,F,1979,Alex,68
SD,,1978,John,39
SD,M,1943,Alex,22
SD,F,1945,Taylor,89
SD,M,1959,Taylor,434
SD,F,1944,Patricia,101
SD,M,1961,Jordan,656
SD,M,1963,James,593
SD,F,2011,Mary,37
SD,F,1914,James,71
SD,F,,Alex,113
SD,M,,Alex,15
SD,F,1935,Jennifer,334
SD,F,1987,Alex,336
SD,M,1976,Jordan,120
,F,1949,Casey,12
,F,1955,Linda,655
SD,M,1946,Casey,354
,,1997,Taylor,72
SD,F,1945,Linda,125
SD,M,,,252
SD,F,1965,Casey,599
SD,F,1974,Michael,95
SD,M,1998,,457
SD,F,2009,Jennifer,794
,F,1965,mary,103
SD,F,1938,Taylor,5
SD,M,2002,Casey,140
SD,M,1994,Alex,347
SD,F,2012,Jordan,12
SD,F,1941,Alex,13
SD,M,1921,John,40
SD,M,1992,Alex,174
SD,M,1996,Taylor,771
SD,M,2005,Taylor,1245
SD,F,1968,Mary,404
SD,M,1926,Casey,106
SD,F,1991,Alex,758
SD,F,1941,Patricia,
SD,M,1946,Alex,643
SD,M,2003,john,516
,M,,John,550
SD,F,2021,Patricia,647
SD,,1985,Alex,49
SD,M,1991,taylor,471
,M,1962,Taylor,104
SD,M,1962,Michael,36
SD,F,1984,Alex,17
SD,M,1993,Michael,513
SD,M,1986,Taylor,1077
SD,F,1912,,8
SD,F,2021,Linda,137
SD,F,1977,Jordan,
SD,F,2015,Alex,13
SD,,1960,jordan,91
SD,M,2017,Casey,12
SD,M,1986,Taylor,1077
SD,M,1975,Jordan,242
SD,M,1982,Robert,93
SD,F,1994,Jordan,
,F,1961,mary,1626
SD,M,1992,Michael,1186
SD,M,1992,Casey,397
SD,F,1928,Patricia,72
SD,M,1978,James,393
SD,M,1972,James,99
SD,M,1960,,750
SD,M,2004,Jordan,590
SD,M,1952,John,891
SD,M,1996,Patricia,37
SD,F,1971,Patricia,528
SD,M,1961,Michael,263
SD,M,1965,Taylor,21
SD,F,1946,Jordan,170
SD,F,1988,Casey,
SD,F,2009,Alex,196
SD,F,1995,Taylor,155
SD,F,1940,Taylor,57
SD,F,2009,Patricia,24
SD,F,1934,Linda,17
SD,M,1998,casey,21
SD,M,1983,Robert,460
SD,F,1959,Jennifer,227
SD,M,1955,John,453
SD,F,1994,Jennifer,445
SD,F,1989,Mary,94
SD,F,2002,Linda,661
SD,,1983,John,129
SD,M,1955,Mary,60
SD,F,2001,mary,91
SD,F,1919,Mary,8
SD,F,1979,Jordan,218
SD,F,1942,Alex,
SD,M,1968,,174
SD,M,1921,Jordan,100
SD,M,1948,Taylor,111
SD,F,1988,Taylor,90
SD,M,1918,Michael,13
SD,M,1935,Robert,19
SD,,2009,Linda,61
SD,M,1968,Michael,288
SD,F,1952,Alex,163
SD,M,1978,Alex,230
SD,F,2009,Taylor,174
