state,sex,year,name,count
TN,F,2015,Taylor,34
TN,M,,Jordan,624
TN,M,1990,John,837
TN,M,1967,john,115
TN,F,,jordan,667
TN,M,1954,jennifer,98
TN,F,2008,Linda,153
TN,F,2017,Jennifer,217
TN,M,1916,Jennifer,134
TN,M,1991,Jordan,158
TN,M,1944,Jordan,113
TN,M,1965,John,226
TN,M,2017,Jordan,14
TN,M,1990,alex,439
TN,M,1943,Casey,33
TN,F,1920,Jordan,110
TN,M,1962,Jordan,7
TN,M,,Michael,168
TN,F,1994,Mary,765
,F,2005,Casey,366
TN,M,1929,Casey,126
TN,F,1968,Linda,156
TN,F,1996,John,131
TN,M,1945,Patricia,252
TN,M,2022,Jennifer,774
TN,F,1975,Casey,859
TN,F,1961,,29
TN,M,1982,John,378
TN,M,1945,Robert,49
TN,F,1937,John,71
TN,F,1926,,203
TN,F,2001,Jordan,66
TN,M,1953,Michael,23
TN,F,1917,Jennifer,48
TN,M,1943,Jordan,22
TN,F,1957,Jennifer,743
TN,F,1938,Mary,418
TN,F,1945,Casey,71
TN,M,1933,Robert,11
TN,M,2007,James,22
TN,M,1982,Casey,296
TN,M,1968,Robert,99
TN,F,1972,Mary,618
,F,1914,Jordan,5
TN,M,1940,John,243
TN,F,,James,114
TN,M,1978,Alex,481
TN,M,2017,Taylor,352
TN,F,1993,Jennifer,589
TN,M,2016,James,7
TN,F,1955,Mary,67
TN,F,1986,Linda,478
TN,M,1933,James,41
TN,,1959,john,1063
TN,F,1933,Linda,176
TN,M,2018,Casey,41
TN,F,1934,Jennifer,46
TN,,1929,Jordan,81
TN,F,1969,,368
TN,F,1975,Patricia,116
TN,M,1975,Casey,315
TN,F,,Alex,430
TN,M,1985,Casey,306
TN,M,1970,Casey,221
,F,1989,Jennifer,369
TN,M,1988,John,463
TN,F,1949,jordan,40
TN,F,1950,Jordan,76
TN,M,2006,James,657
TN,,1939,Alex,953
TN,F,1993,,105
TN,,1967,Casey,69
TN,M,1930,alex,151
TN,M,1935,Jennifer,184
TN,F,1945,Mary,
TN,F,1997,Mary,67
TN,M,1960,Casey,
TN,M,2004,Taylor,95
TN,F,1972,Linda,78
TN,F,1927,Taylor,
TN,F,1917,Casey,14
TN,M,2007,Jordan,174
TN,M,1915,Alex,138
TN,F,1961,Linda,164
TN,M,1973,Michael,30
TN,F,1947,Mary,28
TN,F,1974,Linda,1166
TN,F,1998,Mary,21
TN,F,1949,Casey,314
TN,F,1960,Jennifer,538
TN,M,1994,John,708
TN,F,1973,Linda,124
TN,F,1913,Jennifer,11
