state,sex,year,name,count
TX,F,1932.0,Mary,5
TX,M,1957.0,Alex,724
 TX ,F,2006.0,Mary,239
TX,M,1958.0,Jordan,50
 TX ,F,1963.0,Casey,1013
TX,F,2008.0,Patricia,344
TX, F ,2014.0,,23
TX,F,1970.0,John,
TX,,1935.0,Robert,305
TX,M,2017.0,Michael,62
TX,M,1997.0,Jordan,12
TX,F,2001.0,Linda,382
TX,F,1950.0,Jordan,10
TX,F,1932.0,Patricia,9
TX,M,2001.0,John,325
 TX ,F,2004.0, Patricia ,563
TX,,1960.0,Alex,512
TX,M,1987.0,michael,465
TX,M,1945.0,Robert,649
TX,,1983.0,Taylor,
TX, M ,1946.0,Alex,664
 TX , M ,1978.0,mary,803
TX,M,1952.0,Alex,111
TX,M,1978.0,Robert,21
TX,M,2012.0,John,23
TX,M,1935.0,John,23
TX,M,1980.0,Alex,748
TX,F,1990.0,Mary,326
TX,F,1923.0,Jordan,156
TX,M,1968.0,Alex,39
TX,M,1991.0,James,965
TX,M,1946.0,John,24
,F,1968.0,Casey,613
TX,M,1984.0,Michael,209
TX,M,2016.0,Casey,90
TX,M,1936.0,John,213
TX,F,1927.0,Mary,
TX,F,, Jennifer ,729
TX, F ,,Jordan,425
TX,M,2014.0,james,109
TX,F,1985.0,Jordan,76
TX,,1938.0,jordan,48
TX,F,1967.0,Taylor,93
TX,M,2018.0,Taylor,120
 TX ,M,2013.0,John,28
TX,M,1986.0,Taylor,
,F,1945.0,Taylor,225
TX,M,2013.0,,123
TX,F,1998.0,Jennifer,604
 TX ,F,1979.0,Mary,30
TX,F,1980.0,Jordan,1088
TX,,1973.0, Mary ,88
TX,,2021.0,,162
, M ,1915.0,Jordan,5
TX, F ,1939.0,Jordan,697
 TX ,M,1942.0,Michael,168
TX,M,1962.0,Alex,69
TX,F,1962.0,Alex,45
TX, M ,,Jordan,71
TX,M,1995.0,James,598
TX,F,1962.0,Patricia,190
TX,M,1949.0,James,20
 TX ,M,,Taylor,190
 TX ,F,1985.0,Linda,781
TX,M,2008.0,Michael,175
TX,F,2021.0, Alex ,47
 TX ,F,1926.0,Taylor,
TX,M,1911.0,Jennifer,
 TX ,M,1973.0,Michael,268
 TX ,M,1912.0,Michael,60
,M,1944.0,Casey,158
 TX , F ,1947.0,Taylor,293
TX,M,1953.0,Michael,387
TX,F,,Mary,631
TX,F,2008.0,Mary,125
TX,M,1992.0,Jordan,122
 TX ,M,1969.0,John,112
TX,F,2012.0,Casey,402
 TX ,M,1995.0,Patricia,163
TX,M,1950.0,Alex,1279
TX,,2000.0,Alex,27
TX,M,,Taylor,59
TX,M,1949.0,Taylor,537
TX,M,1997.0,Casey,50
TX,M,1935.0,Alex,13
TX, M ,1918.0, James ,11
TX,M,1970.0,Casey,102
TX,M,2013.0,Jordan,317
,F,1996.0,alex,30
 TX ,,1986.0,Taylor,666
TX,F,1946.0, Casey ,65
TX,F,1999.0, Linda ,921
TX,F,1975.0,Linda,234
TX,F,1933.0,Taylor,42
TX, M ,2017.0,Robert,445
TX,F,2000.0,Linda,
 TX ,M,1955.0, Robert ,82
 TX ,F,1983.0,Casey,23
TX,,,John,137
 TX ,M,2009.0,Jordan,77
 TX ,F,1992.0,Jordan,106
,,1961.0,Casey,760
TX,F,2019.0,Jennifer,113
TX,F,1972.0,Taylor,274
TX,,1960.0,Casey,1107
 TX , M ,1923.0,Jordan,70
TX,M,1937.0,,21
TX,F,1925.0,Jordan,15
,M,1975.0,Alex,
TX,F,1939.0,Taylor,80
TX,,2001.0,Patricia,27
TX,F,2003.0,Jennifer,856
TX,F,1933.0,Patricia,140
TX,F,1986.0,Jennifer,335
TX,F,1959.0,Mary,281
TX, F ,2012.0,Jennifer,108
TX,M,1980.0,Jordan,92
TX,M,1993.0,Linda,238
TX,M,1970.0, Taylor ,315
TX,,1932.0,Taylor,6
TX,F,1976.0,Jordan,29
TX,M,1975.0,Casey,232
TX,F,1956.0,,20
TX,M,2006.0,Michael,420
TX,F,1967.0,Mary,626
TX,M,1916.0,Linda,39
TX,M,1986.0,,562
TX,,1949.0,Mary,13
TX,F,1949.0,Casey,753
TX,M,2010.0,Jordan,305
TX,M,1954.0,Robert,32
TX,F,1967.0,John,39
TX,,1946.0,James,827
TX,M,1996.0,Jordan,854
TX,M,1994.0,Casey,29
TX,M,1922.0,casey,317
TX,F,1988.0,Taylor,513
TX,M,1963.0,Robert,334
TX,M,1985.0,Robert,424
TX,F,1976.0,Linda,84
 TX , M ,1952.0,James,174
TX,M,,Alex,640
TX,M,1926.0,Jordan,68
TX,F,1983.0,Jordan,556
TX,M,1992.0, John ,241
TX,M,1987.0,jordan,242
TX,F,1940.0, Patricia ,547
TX, F ,1954.0,Patricia,6
TX,M,,alex,386
,M,1967.0,Jordan,203
