state,sex,year,name,count
UT,F,1997,John,65
UT,M,1992,Jordan,355
UT,F,1930,Taylor,11
UT,M,1996,Casey,12
UT,M,1914,Taylor,5
UT,F,,Jennifer,172
UT,M,1993,Michael,629
UT,F,1973,Mary,410
UT,F,1984,Taylor,191
UT,M,1954,Jordan,151
UT,F,,mary,322
UT,M,1965,Michael,42
UT,M,,James,213
UT,M,2001,Michael,59
UT,M,1952,Mary,370
UT,F,1999,Patricia,31
UT,M,2009,Robert,227
UT,,1971,Jordan,68
UT,M,1929,James,18
UT,M,2004,jordan,
UT,M,1915,James,54
UT,M,2007,Alex,778
UT,M,1996,Jordan,95
UT,M,2019,John,646
UT,M,2002,Robert,50
UT,F,1985,Taylor,125
UT,F,1931,Jordan,618
UT,M,1979,Alex,399
UT,,2011,Michael,180
UT,F,1977,Jordan,687
UT,F,1993,Jennifer,87
UT,M,1964,Taylor,151
UT,M,1978,alex,244
UT,M,1939,Taylor,183
UT,M,2003,James,136
UT,M,1972,Alex,466
UT,F,1964,,366
UT,F,1961,Alex,175
UT,M,1980,James,295
UT,M,1940,John,147
UT,F,1978,Casey,468
UT,M,1964,Jordan,121
UT,F,1947,Jennifer,463
UT,M,1928,Jordan,154
UT,F,1931,Linda,33
UT,F,1969,Jennifer,838
UT,M,1963,Patricia,178
UT,M,1953,Robert,16
UT,F,1967,Michael,20
UT,M,1911,Robert,15
UT,F,,Alex,28
UT,M,1991,John,10
UT,M,,John,773
UT,F,1973,Michael,35
UT,F,1987,Jordan,821
UT,F,1979,jordan,309
UT,F,1992,Linda,151
UT,M,2010,Taylor,77
UT,F,1945,Patricia,450
UT,M,1972,Casey,26
UT,F,1976,Mary,164
UT,F,1950,Jennifer,109
,M,1979,John,106
,M,1967,John,234
UT,M,1965,Alex,159
UT,F,1915,Linda,24
UT,F,1947,Casey,140
UT,M,1982,James,87
UT,M,1989,Casey,224
UT,F,1958,Linda,979
UT,F,1988,Casey,40
UT,F,2020,Jennifer,32
UT,F,1996,Patricia,400
UT,F,,Jordan,76
UT,F,1980,Jennifer,67
UT,F,2018,Mary,7
UT,M,1983,Alex,189
UT,F,2010,Taylor,
UT,F,1953,Taylor,475
UT,F,1942,Jordan,28
UT,F,1968,Mary,701
UT,F,1932,Patricia,
,M,1952,Taylor,
UT,F,1963,Robert,134
UT,M,1953,John,159
UT,M,,James,49
UT,F,1926,Alex,
UT,M,1997,John,234
UT,F,1950,Jordan,345
UT,F,1947,Mary,52
,M,1974,Patricia,
UT,M,1952,James,35
UT,M,1991,James,699
UT,F,1924,Patricia,26
UT,F,1958,Mary,131
,M,1960,John,250
UT,M,1968,John,315
UT,,1913,Patricia,8
