state,sex,year,name,count
VA,F,1969,Mary,39
VA,M,2013,Taylor,271
VA,F,,Jordan,86
VA,F,2019,Mary,10
VA,M,1969,James,186
VA,F,2000,Linda,290
,F,2007,Patricia,87
VA,F,2022,Taylor,17
,M,1963,Robert,
VA,F,1980,Taylor,515
VA,F,1955,Alex,661
,F,2017,Mary,24
,M,2011,Jordan,447
VA,M,1945,John,909
VA,F,2002,Linda,50
VA,F,,Taylor,974
VA,M,1916,Michael,30
VA,,2011,James,641
VA,F,1918,Patricia,248
VA,M,1993,Patricia,54
VA,M,2008,Jordan,27
VA,M,1946,James,100
VA,F,1951,Patricia,462
VA,M,1918,Robert,64
VA,F,1949,Jennifer,316
VA,M,1968,Casey,238
VA,F,1976,Jennifer,458
VA,M,1992,john,
VA,F,1920,Patricia,88
VA,F,1980,Mary,27
VA,F,1954,Casey,27
VA,M,1966,Casey,
VA,F,1945,,88
VA,F,1948,Linda,115
VA,F,2020,Casey,41
VA,F,1911,Mary,41
VA,M,2002,Michael,48
VA,M,1979,Jordan,140
VA,M,1984,John,122
VA,F,1970,Alex,65
VA,M,2018,John,94
VA,M,1947,Jordan,
,M,1991,Jordan,420
VA,F,2012,Mary,381
VA,F,1930,Mary,209
VA,M,1914,Alex,218
VA,F,1946,Casey,292
VA,F,2002,Patricia,19
VA,F,1940,Patricia,21
VA,F,1934,Jordan,37
VA,F,1958,Patricia,37
VA,M,2000,Casey,34
VA,M,,Robert,1292
VA,F,1935,,546
VA,F,1949,John,11
VA,F,1984,Casey,331
VA,M,1954,James,290
,,1971,Jordan,38
VA,M,2002,Taylor,27
VA,M,1931,Robert,30
VA,M,2004,John,91
VA,F,1988,Casey,376
VA,F,2015,Taylor,10
VA,F,1952,Jennifer,124
VA,M,1980,taylor,452
VA,F,2006,,259
VA,F,1988,Jordan,121
,M,1965,Michael,6
VA,M,1988,John,104
VA,M,1997,Michael,669
VA,M,1965,Alex,31
VA,F,2014,Alex,
VA,M,1936,Casey,151
VA,F,1960,Linda,
VA,M,1930,Jordan,11
VA,F,1994,Linda,373
VA,M,1964,John,76
VA,F,1989,Mary,732
VA,F,1978,Jordan,908
VA,F,1999,Casey,657
VA,M,1967,Casey,252
VA,M,1935,,14
VA,M,1933,James,66
VA,M,1928,Taylor,79
,,2007,Casey,156
VA,M,1960,John,35
VA,F,1958,Linda,102
VA,M,1960,michael,52
VA,M,1978,Taylor,315
VA,M,2003,Casey,165
VA,M,1971,Taylor,185
VA,M,2018,Michael,16
VA,M,1975,Taylor,69
VA,F,1944,Taylor,56
VA,M,2008,Taylor,352
VA,M,2003,Robert,574
VA,M,2020,Michael,44
VA,M,1957,John,
VA,M,2000,Linda,688
VA,M,2013,Robert,64
VA,M,1969,Robert,33
VA,F,1930,Taylor,24
VA,M,1954,michael,45
VA,M,2005,John,97
VA,M,2013,john,5
VA,F,1943,Casey,63
,F,1998,Alex,125
VA,F,1989,Alex,155
VA,M,1993,Robert,254
VA,F,1958,casey,53
VA,F,2014,John,111
VA,F,2022,Jennifer,229
VA,F,1935,Alex,7
VA,F,2014,jordan,431
VA,F,1993,Jennifer,793
VA,F,,Taylor,398
VA,M,1984,Taylor,702
VA,M,2003,Jordan,546
VA,F,2017,Linda,9
,M,1994,Michael,231
VA,M,,Robert,
VA,F,1931,Mary,72
VA,F,1990,Alex,247
VA,F,1972,Alex,225
VA,F,1913,Jennifer,38
VA,F,1966,John,96
VA,M,1914,john,24
VA,M,2018,Casey,7
VA,,2011,John,97
VA,F,1946,Alex,8
VA,F,,Taylor,151
VA,M,1951,Casey,25
VA,F,2011,Linda,243
VA,F,1996,Jordan,12
VA,M,1951,Jordan,292
VA,F,1965,Jennifer,136
VA,M,2012,Alex,26
,F,,Linda,243
VA,M,1964,Michael,279
VA,F,1945,jordan,71
VA,F,2020,Taylor,97
VA,F,1975,Taylor,221
VA,M,,Alex,5
VA,F,2008,Linda,342
VA,M,1954,michael,45
VA,M,1997,Taylor,138
VA,F,1913,Jordan,74
VA,F,1979,Patricia,320
VA,F,1950,Alex,25
VA,,1953,Mary,817
VA,,1989,patricia,213
VA,M,,Taylor,56
VA,M,1987,Jordan,203
VA,M,2000,John,19
VA,M,1955,Alex,5
VA,M,1934,Jordan,77
VA,F,1977,James,251
VA,M,2015,Jordan,312
VA,M,1985,Casey,381
,F,,Jennifer,225
VA,M,1978,Alex,735
VA,F,1979,,79
VA,F,1950,Jennifer,541
VA,F,1990,Jennifer,86
,M,2014,linda,523
VA,F,2008,Patricia,74
VA,F,1932,Alex,399
VA,M,,Taylor,439
VA,F,1979,Alex,126
VA,F,1962,Patricia,384
VA,F,1991,Casey,135
VA,M,1937,Casey,113
,M,1954,John,87
,M,1986,Linda,9
VA,F,1952,Patricia,278
VA,M,1913,Jordan,139
VA,M,1970,Taylor,340
VA,M,1929,John,237
VA,,1933,Jennifer,17
VA,M,1929,Michael,100
VA,M,1939,Taylor,131
VA,F,1996,,182
VA,F,1990,Linda,81
VA,M,1988,James,184
VA,M,1983,James,541
VA,M,1986,,254
VA,M,1912,Casey,8
VA,F,1982,Taylor,522
VA,F,1944,,14
VA,F,1975,Jennifer,1063
VA,M,1960,Casey,232
VA,M,1976,,815
VA,F,2011,patricia,346
VA,F,1989,Jordan,271
VA,M,,,8
VA,M,1936,Taylor,20
VA,M,1997,Jordan,86
VA,F,1946,Jennifer,
VA,M,2018,robert,377
VA,F,1964,casey,187
VA,F,1959,Jennifer,
VA,F,1985,Taylor,131
VA,F,2005,Jordan,36
VA,F,1951,Casey,514
,M,1944,John,24
VA,M,1941,Michael,628
,M,1998,michael,267
VA,M,1993,Michael,16
,M,1977,Casey,127
VA,M,1921,John,
VA,F,1949,Patricia,131
VA,F,1927,Casey,
VA,F,1970,Patricia,101
VA,M,1961,Jordan,379
VA,M,1982,Casey,356
VA,M,1952,Jordan,284
VA,M,1990,John,
VA,F,1953,Linda,91
VA,F,1963,Alex,145
VA,F,1983,Patricia,441
VA,F,1929,Mary,365
VA,M,1998,James,606
VA,M,1953,Jordan,121
VA,M,2014,Casey,260
,M,2010,Jordan,1006
VA,M,1981,John,203
VA,M,1944,James,11
VA,M,2008,Casey,27
VA,F,1935,Jordan,180
VA,M,1911,John,22
VA,M,1945,Taylor,14
VA,F,1987,Casey,108
VA,M,1949,John,62
VA,F,1971,Jennifer,403
VA,F,2010,Alex,34
VA,M,1999,John,127
VA,F,2017,Casey,128
VA,M,2009,Casey,16
VA,,2000,Alex,63
VA,M,1972,Casey,79
VA,F,1984,jennifer,529
VA,M,2002,John,123
VA,F,2011,Jordan,448
VA,F,1943,Alex,420
VA,F,1942,Taylor,91
,M,2011,John,253
VA,F,1997,Taylor,
VA,M,1962,Alex,224
VA,M,1931,John,81
VA,M,1914,Casey,61
VA,F,1998,Casey,22
VA,F,2019,Linda,20
VA,F,1970,Mary,397
VA,M,1916,Casey,18
VA,F,1977,Alex,253
VA,M,2016,Alex,7
VA,M,1961,Taylor,287
VA,M,1943,Michael,122
VA,M,1942,Robert,10
VA,F,1962,Alex,999
VA,F,2004,Mary,103
VA,F,1949,Taylor,50
VA,M,1915,Alex,8
VA,F,1991,James,722
VA,M,2014,James,231
VA,F,2001,Casey,96
VA,M,1932,Michael,143
VA,F,,Alex,239
VA,M,1931,Alex,14
VA,M,2008,Jordan,27
VA,F,1984,Taylor,95
VA,F,2021,Alex,410
VA,M,1981,Jordan,211
VA,F,2008,Jordan,57
VA,M,2005,Alex,254
VA,F,2022,Alex,21
VA,M,1943,Alex,23
VA,F,1972,,125
VA,M,1994,Taylor,518
VA,F,1951,linda,381
VA,M,1997,Alex,70
VA,F,1998,Taylor,170
VA,M,1968,,112
VA,F,,Patricia,356
VA,F,1956,Jennifer,118
VA,F,1999,,41
VA,F,2008,,50
VA,F,1954,Linda,645
VA,F,1931,,6
VA,M,1977,Robert,292
,M,1956,Casey,19
VA,M,1989,Linda,465
VA,F,1944,Patricia,571
VA,F,,Taylor,250
VA,M,1964,James,10
VA,F,1921,Patricia,8
VA,M,1956,Taylor,93
VA,M,1962,James,104
VA,M,1995,John,24
VA,M,1966,Alex,598
VA,F,2001,Jordan,155
VA,F,2012,Jennifer,45
VA,F,1995,Michael,632
VA,M,2008,Robert,
VA,F,1989,Linda,144
VA,M,1955,Michael,572
