state,sex,year,name,count
VT,M,1978,Jennifer,300
VT,F,1954,Jordan,14
VT,M,1983,robert,599
VT,M,,Michael,118
VT,M,1954,Taylor,52
VT,M,2001,,120
VT,F,1936,Patricia,143
VT,F,1914,Jennifer,19
VT,M,,Alex,1011
VT,M,1961,James,189
VT,F,1993,Jennifer,59
VT,M,1967,Casey,326
VT,M,2001,Alex,
VT,M,1970,Casey,300
VT,F,1984,Mary,265
VT,F,1960,Linda,58
,M,1965,Patricia,
VT,F,2003,Patricia,222
VT,F,2021,Linda,19
VT,F,1963,Mary,425
VT,M,2009,Taylor,43
VT,F,1944,Alex,113
VT,M,1957,Alex,21
VT,F,1995,Jordan,127
VT,F,1999,Mary,136
VT,M,,Michael,22
VT,M,1977,James,669
VT,M,1968,Taylor,243
,F,1963,Jennifer,110
VT,M,1979,Casey,64
VT,F,1932,Linda,60
VT,M,1955,John,1644
,M,1911,John,18
VT,F,1935,Casey,6
,F,1988,Patricia,187
VT,F,1964,Patricia,421
VT,M,1946,Taylor,191
VT,F,1992,Linda,232
,F,1947,Alex,33
VT,F,1913,Jordan,167
VT,M,1939,,236
VT,F,1994,Alex,22
VT,M,1970,,141
VT,F,1959,Jordan,60
VT,F,1981,Jennifer,
VT,F,1914,Linda,55
VT,F,1971,Alex,81
VT,F,1959,Casey,492
VT,M,1910,Patricia,5
VT,F,1978,Linda,942
VT,M,1951,John,573
VT,F,1959,Mary,925
VT,M,2014,Jordan,85
VT,F,1970,john,103
VT,M,1955,Michael,304
VT,M,1945,,41
VT,F,1967,Taylor,93
,M,2020,John,6
VT,M,1975,John,190
VT,F,1936,Casey,22
VT,M,1919,Taylor,34
VT,F,2009,Jordan,59
VT,M,2005,Michael,271
VT,M,1942,Alex,15
VT,F,2011,Jennifer,367
VT,M,1937,Michael,
VT,M,1921,Patricia,
VT,M,1979,John,29
VT,M,2008,,63
VT,M,1934,Casey,14
VT,M,1949,Taylor,47
VT,M,2009,Jordan,958
VT,M,1998,Michael,875
VT,F,1977,Mary,341
VT,F,1916,Taylor,47
VT,F,1944,Taylor,91
VT,M,1948,Robert,40
VT,F,2005,Robert,148
VT,F,1952,Jennifer,619
VT,M,1926,Robert,39
VT,M,1978,,976
VT,F,1955,Jordan,301
VT,F,2018,Taylor,12
VT,M,1967,Michael,447
VT,F,1949,jennifer,110
VT,F,1985,Alex,136
VT,F,1967,Jordan,695
VT,M,1992,,541
VT,F,1934,Casey,44
VT,F,1935,Patricia,21
VT,F,1960,Jennifer,763
VT,M,,James,48
VT,F,1980,Patricia,348
VT,F,1990,Mary,849
VT,F,,Taylor,392
VT,F,2007,Casey,49
VT,M,1976,Michael,14
VT,F,2012,Mary,18
VT,F,1995,Linda,439
VT,M,1969,Taylor,75
VT,F,2011,Alex,165
VT,M,2000,John,91
VT,F,1985,Mary,225
VT,M,1949,Jordan,10
VT,M,1947,Jordan,9
VT,F,1945,Alex,362
VT,M,1984,Casey,
VT,M,1958,Casey,34
VT,M,2003,Jordan,1288
VT,M,2022,Alex,38
VT,F,1982,Jordan,513
VT,F,1950,Linda,355
VT,F,1927,Jennifer,387
VT,,1926,Casey,164
VT,F,1920,Patricia,122
VT,M,2010,John,53
,F,1972,Mary,412
VT,M,1942,James,241
VT,F,1984,Jennifer,251
VT,F,1930,Taylor,9
VT,F,2021,James,8
VT,M,1997,Michael,63
VT,,1996,,453
VT,F,2001,Jordan,794
VT,F,1968,Taylor,44
VT,M,2016,Michael,113
VT,M,1978,Robert,96
VT,M,1917,,21
VT,M,1951,Jordan,91
VT,M,1997,Casey,657
VT,M,2022,James,225
VT,M,1956,jordan,382
VT,M,1991,Alex,173
VT,F,2011,Taylor,112
VT,F,1949,Alex,52
VT,M,1929,John,12
VT,,2002,Linda,166
VT,M,2018,Alex,42
,,1953,Casey,209
VT,M,1956,Alex,32
VT,M,1945,Michael,737
VT,M,2016,James,488
VT,M,1932,Michael,
VT,F,2017,Alex,
VT,M,1951,James,43
VT,,1940,Mary,19
VT,,2016,Casey,309
,F,1956,Jennifer,85
VT,M,1987,Taylor,443
VT,M,2004,Jordan,22
VT,M,2009,Alex,404
,F,2008,Alex,117
VT,F,1941,Michael,179
VT,F,1949,Casey,451
VT,M,1990,Alex,756
VT,F,1996,Taylor,863
VT,M,1964,,162
VT,M,1972,Jordan,75
VT,M,1957,Taylor,50
VT,F,1987,Taylor,42
VT,M,1921,Robert,154
VT,M,1918,John,41
VT,M,,Patricia,216
VT,M,1973,Alex,576
VT,F,2000,patricia,120
VT,F,1955,Casey,
VT,M,1936,Jordan,530
VT,M,1972,Robert,140
VT,F,2017,Jennifer,161
VT,F,,Jennifer,678
VT,M,1946,John,5
VT,M,1931,Casey,178
VT,F,1999,Patricia,228
VT,F,1919,Linda,23
VT,M,1969,Casey,85
VT,F,1932,Alex,56
VT,F,1951,Alex,
VT,M,2015,Casey,26
VT,M,1989,Robert,176
VT,F,2001,Jennifer,
VT,F,1981,Patricia,386
VT,F,1938,Jennifer,31
VT,M,1991,Taylor,169
VT,M,1921,,25
VT,M,1939,Jordan,22
VT,F,1922,,244
VT,M,2011,Taylor,192
VT,F,1929,Jennifer,20
VT,F,1957,Taylor,567
VT,F,1937,Michael,152
VT,F,1958,alex,303
VT,M,1985,John,663
VT,F,1941,Jennifer,237
,,2003,Taylor,953
VT,F,1982,Casey,559
VT,M,1923,John,21
VT,M,2021,Jordan,268
VT,M,2010,Jordan,55
VT,M,1959,James,282
,M,1958,Jordan,326
VT,F,1940,Alex,174
VT,F,1954,Jennifer,88
VT,F,1960,Patricia,470
VT,M,1979,Taylor,124
VT,M,1987,james,164
VT,F,1921,jennifer,97
VT,M,1990,Casey,103
VT,M,1914,John,13
VT,F,2018,Casey,257
VT,F,1921,Linda,7
VT,F,1993,Taylor,719
VT,M,1924,Alex,188
VT,M,1996,Robert,270
VT,F,1975,Alex,237
VT,M,1996,Jordan,
VT,F,1937,Alex,153
,M,1910,Michael,14
VT,,1931,Casey,470
VT,F,1962,Jennifer,1155
VT,,1948,Patricia,423
VT,M,1942,Taylor,408
VT,M,1980,,746
VT,F,1991,Jordan,15
VT,F,2011,Mary,132
VT,F,1933,Patricia,12
VT,M,1987,james,164
VT,F,1950,Casey,357
VT,F,1950,Mary,12
VT,F,1998,Taylor,141
VT,,2004,Casey,202
VT,F,1980,Jordan,970
VT,M,2021,James,53
VT,M,1966,John,16
VT,F,1944,Jordan,104
VT,F,1989,Alex,374
VT,F,1936,Jennifer,114
VT,F,2019,Taylor,57
VT,F,,Jennifer,333
VT,M,1971,Jordan,466
,M,2002,casey,409
VT,F,1951,Linda,94
VT,,1947,Casey,207
VT,,2015,Casey,18
VT,M,1960,James,313
VT,F,2008,,333
VT,M,2000,Michael,66
VT,M,1940,Linda,16
VT,F,2009,Linda,103
VT,F,1976,Mary,352
VT,M,1976,casey,243
VT,M,2005,Jennifer,151
VT,M,1987,Jordan,283
VT,M,1968,,612
VT,M,1996,James,65
VT,M,1924,,8
VT,F,1997,Taylor,17
VT,M,2019,Alex,41
VT,M,1962,Mary,21
VT,F,,Casey,622
,,,Jordan,52
VT,,1993,Michael,91
VT,M,1921,John,64
VT,M,1955,Casey,548
VT,F,2005,Jordan,109
VT,M,1972,Casey,637
VT,M,1998,Casey,896
VT,F,1949,Mary,540
VT,F,1946,Casey,40
VT,M,1967,jordan,
VT,M,1932,Robert,
VT,F,1994,Taylor,858
VT,M,1987,Casey,
VT,M,1953,Michael,752
VT,M,1911,,37
VT,F,1924,Alex,180
VT,,1928,Michael,47
VT,M,1935,Jordan,199
VT,M,1979,Jordan,1010
VT,F,1995,Mary,116
VT,,1958,Taylor,115
VT,M,1939,patricia,84
VT,M,1942,Michael,40
VT,M,2002,Taylor,90
VT,M,2000,Alex,52
VT,M,1971,John,164
VT,M,1996,Casey,139
VT,M,2007,,44
VT,M,1998,Alex,89
VT,F,1926,Patricia,25
VT,F,1978,Mary,187
VT,M,2001,Casey,21
VT,M,2021,Robert,77
VT,M,2018,,31
VT,F,1981,Taylor,36
VT,F,1938,Patricia,300
VT,F,1966,Patricia,
VT,F,1976,Casey,280
VT,M,1967,James,184
VT,F,1953,Mary,62
VT,F,,Patricia,99
VT,M,1953,Jordan,9
VT,M,1910,John,13
VT,M,1962,,303
VT,M,1983,James,501
VT,M,1964,Casey,165
VT,M,,Michael,694
VT,F,1989,Taylor,766
VT,M,1950,alex,9
VT,F,1975,Patricia,285
VT,M,1944,Michael,264
VT,M,1971,Taylor,514
VT,F,1986,Casey,223
VT,M,1975,,31
VT,M,2022,Michael,
VT,F,1970,Jordan,742
VT,M,2015,Jennifer,347
VT,M,,John,1164
VT,M,1980,,746
VT,M,1990,John,541
VT,M,1977,Casey,462
VT,F,1918,,6
,F,1980,Mary,408
VT,F,1979,Alex,82
VT,M,2011,Michael,38
VT,M,1937,Casey,955
VT,M,1966,Alex,59
VT,F,2008,Jennifer,83
VT,F,1990,Linda,
VT,M,1918,Casey,9
VT,F,1939,Patricia,186
VT,F,1935,Jordan,
VT,M,1938,Michael,78
VT,,1991,Jennifer,11
VT,M,1947,John,505
VT,F,2007,Jordan,56
VT,M,1937,John,182
VT,F,,Casey,157
VT,M,1962,Michael,135
VT,F,,Alex,441
VT,M,1984,Michael,189
VT,F,2006,patricia,13
VT,M,1942,John,22
VT,F,1976,Alex,323
VT,F,1968,Patricia,483
VT,M,1956,Taylor,52
VT,M,1950,robert,761
VT,M,1990,jordan,910
VT,F,1948,Robert,583
VT,M,,Casey,66
VT,M,1978,Taylor,580
VT,F,1970,Taylor,35
VT,F,1940,Jennifer,767
VT,M,1994,John,21
VT,M,1954,Alex,134
VT,M,1991,Michael,128
VT,F,2013,Alex,402
VT,F,2002,Jordan,39
VT,M,1967,Taylor,863
VT,,1969,Michael,1014
VT,M,1991,Michael,128
VT,F,2006,Alex,470
VT,F,1945,Michael,5
VT,M,1994,,78
VT,F,2002,,60
VT,F,1939,Mary,244
VT,F,1933,Alex,53
VT,,1959,Jennifer,69
VT,,1962,Mary,328
VT,F,1988,Mary,225
VT,F,1934,Taylor,10
VT,F,1950,Jennifer,36
VT,M,1989,James,601
VT,F,1969,,191
VT,F,1996,Alex,792
VT,F,1988,Casey,623
VT,M,1971,Casey,136
VT,M,1994,Robert,23
VT,,1991,Jennifer,11
VT,F,1972,Linda,10
VT,M,1993,James,519
VT,M,1923,Taylor,8
VT,,1969,Jennifer,239
VT,F,1922,Patricia,27
VT,M,1991,Robert,179
,F,1991,Patricia,114
VT,F,1931,Jordan,24
VT,F,1975,Jennifer,77
VT,M,1945,Casey,20
VT,F,1960,Alex,705
VT,M,1941,Taylor,126
VT,,1988,James,316
VT,M,1995,Jordan,77
VT,F,1980,Linda,614
VT,F,1972,Patricia,783
VT,M,1979,Alex,10
VT,F,1957,Jordan,23
VT,M,1924,Michael,38
VT,M,1966,James,42
VT,M,1950,Taylor,333
VT,F,1985,Linda,215
VT,,1961,John,200
VT,M,1973,Casey,67
VT,M,1927,Mary,61
VT,M,1989,John,173
VT,M,1973,Robert,327
VT,,1960,Alex,726
VT,M,1943,Taylor,239
VT,M,1974,Robert,204
VT,,1920,Alex,
VT,,1982,Casey,306
VT,,1967,Patricia,674
VT,,1955,Alex,117
VT,M,2002,Robert,30
VT,M,1978,John,92
VT,F,1965,Jordan,136
VT,M,1936,Linda,493
VT,F,1975,Mary,637
VT,F,1955,Alex,34
VT,,1948,James,713
VT,F,1994,Jordan,144
VT,F,2013,Taylor,74
,F,1986,Jennifer,104
VT,M,2003,Michael,111
VT,M,1994,Taylor,49
VT,F,2000,Linda,377
VT,M,1970,Taylor,
VT,F,2001,Alex,52
VT,M,1918,Jordan,53
VT,F,,Taylor,91
VT,M,1927,Jordan,125
VT,M,1973,Taylor,86
VT,F,2005,Alex,28
,M,1954,Robert,267
VT,F,2022,Robert,89
VT,,2015,Jordan,142
VT,M,1923,Robert,43
VT,M,1926,Michael,37
VT,M,,Alex,78
VT,M,1922,Taylor,258
VT,F,1981,Linda,100
VT,M,1992,Taylor,40
VT,F,1957,Casey,59
VT,F,1939,Jordan,33
VT,M,2002,James,621
VT,M,1969,Robert,165
VT,M,1978,jordan,393
VT,F,,Alex,17
VT,F,2016,Taylor,7
VT,M,1934,Patricia,22
VT,F,,Jordan,176
VT,F,2016,Linda,617
VT,F,2004,Taylor,
VT,M,1961,alex,675
VT,M,1964,James,
VT,M,1959,Alex,36
VT,M,1952,Taylor,45
VT,M,1976,Taylor,232
VT,M,,,340
VT,M,1969,,
VT,F,1959,Patricia,44
VT,F,2007,Alex,53
VT,F,,Casey,27
VT,M,1922,John,108
VT,M,1928,Robert,7
VT,F,1994,Jennifer,276
VT,M,1988,Alex,961
VT,F,2007,Patricia,36
VT,F,1978,James,323
VT,F,,Jennifer,60
VT,F,2014,Taylor,7
VT,F,,Taylor,343
VT,F,2000,Mary,
VT,M,2011,,314
VT,,1992,James,807
VT,M,1946,James,80
VT,F,1971,,518
VT,,1965,Jordan,1014
VT,F,1952,Patricia,110
VT,F,1961,Taylor,295
VT,,2010,Casey,50
VT,F,2014,Jennifer,1039
VT,F,2021,Patricia,83
VT,,,Taylor,6
VT,M,2006,James,603
VT,F,2014,Linda,94
VT,M,1958,Alex,924
VT,M,,Jordan,136
VT,M,1961,Jordan,72
VT,F,1962,Patricia,
,F,1911,Jennifer,10
VT,M,1988,Taylor,146
VT,F,2018,,38
VT,M,1968,James,21
VT,F,,Jennifer,531
VT,,1954,Casey,69
,M,1955,Jordan,244
,F,,Linda,280
VT,F,1978,Jennifer,53
VT,F,1999,Casey,958
VT,M,1927,Mary,61
VT,F,1942,Patricia,278
VT,M,1988,Casey,390
VT,M,1974,,484
VT,F,1977,,49
VT,,1974,Taylor,1102
VT,M,1982,James,307
VT,F,1927,Taylor,176
VT,M,2008,Alex,
VT,M,1987,Alex,42
VT,,1935,Taylor,465
VT,F,1952,Jordan,
VT,,1918,Jordan,113
VT,M,2000,Casey,133
VT,F,1937,James,423
VT,M,1984,John,251
VT,F,2011,Casey,86
VT,F,1969,Patricia,302
VT,M,2012,Alex,8
VT,M,2008,Casey,12
VT,M,1944,Robert,753
VT,M,1946,Alex,19
VT,F,1942,Jordan,5
VT,M,2017,John,158
VT,F,1969,Alex,7
VT,M,1993,Jordan,95
VT,F,2000,,16
VT,F,1926,John,208
VT,M,2007,Taylor,70
VT,F,1948,Casey,338
,M,1978,alex,215
VT,M,1975,Robert,227
,,2003,Taylor,953
VT,M,1963,Casey,259
VT,,1989,Michael,414
VT,F,,linda,151
VT,F,1994,Patricia,22
VT,F,2012,Casey,20
VT,M,2017,Alex,255
VT,F,1974,Patricia,54
VT,M,1940,John,89
VT,M,1967,John,53
VT,F,1953,Mary,62
VT,F,1978,Taylor,172
VT,,2010,Jordan,129
VT,M,,Jordan,1242
VT,F,1961,Casey,383
VT,F,2004,linda,32
VT,F,1950,Taylor,235
VT,F,1952,Alex,62
VT,M,2022,John,27
VT,F,1972,Alex,442
VT,F,1974,Taylor,72
VT,M,1933,John,13
VT,F,1979,Taylor,544
VT,M,2020,James,82
VT,F,1952,Mary,321
VT,F,2016,John,260
VT,F,1945,Linda,51
VT,F,1989,Patricia,92
,M,2005,James,257
VT,M,2018,James,52
,M,2013,Taylor,84
VT,M,1985,,430
