state,sex,year,name,count
WA,M,1941,Taylor,20
WA,M,1999,Alex,483
WA,F,2018,Patricia,104
WA,M,2021,James,156
WA,,1950,Casey,412
WA,M,1990,James,49
WA,,1915,Mary,21
WA,F,1967,,597
WA,F,1966,Jennifer,426
,M,1962,James,171
WA,F,1953,,149
WA,F,1986,Taylor,703
WA,M,1999,Taylor,148
WA,M,1994,Taylor,56
WA,F,1980,Patricia,206
WA,M,1918,Robert,166
WA,M,1991,Michael,105
WA,M,1982,Alex,523
WA,F,1980,Casey,745
WA,M,2001,John,32
WA,M,1926,,69
WA,F,,Linda,15
,M,1959,,512
WA,F,2001,Jennifer,538
WA,M,1990,Casey,16
WA,M,1973,John,57
WA,M,1965,Michael,
WA,M,1973,Michael,774
WA,M,1940,John,9
WA,M,1978,Michael,547
WA,M,1916,Mary,13
WA,M,2013,James,94
,F,1992,Alex,5
WA,F,1988,Taylor,202
WA,M,1962,Casey,32
WA,M,1981,James,459
WA,F,1982,Jordan,355
,M,1931,John,15
WA,F,1955,james,44
WA,F,1988,Jennifer,1637
WA,F,1970,Mary,34
WA,,1989,Linda,95
WA,M,1998,Casey,13
WA,M,1971,linda,263
WA,F,1986,Linda,624
WA,M,1941,Casey,7
WA,F,1919,Alex,64
WA,F,,John,105
WA,M,1960,Taylor,14
WA,,2012,Linda,673
WA,F,1914,John,77
WA,M,1981,Jordan,659
WA,M,1975,Alex,22
WA,M,2002,Alex,778
WA,M,1971,John,
WA,M,1952,Casey,143
,,1977,John,596
WA,M,,Patricia,232
WA,M,2018,Alex,361
WA,F,1942,Taylor,119
WA,M,1916,,62
WA,M,1943,Alex,88
WA,F,1984,Jennifer,144
WA,F,1991,Jordan,89
WA,M,1962,Alex,63
WA,M,1975,Jordan,289
WA,F,1958,jordan,255
WA,,1919,Patricia,17
WA,M,,Taylor,164
WA,F,1974,,252
WA,F,1957,Linda,175
WA,F,1959,Casey,104
WA,M,1952,Robert,164
WA,F,1969,Linda,77
WA,M,1995,James,302
WA,M,1992,Alex,74
WA,M,1992,Casey,311
,F,2006,Linda,28
WA,F,2003,Alex,139
WA,M,1958,James,1213
WA,F,1988,Linda,455
WA,M,1982,Robert,549
WA,M,1998,,16
WA,F,1938,Taylor,137
WA,F,1927,Michael,118
,M,1950,Jordan,17
,F,2019,Jennifer,87
WA,F,,Casey,483
WA,F,2014,Alex,158
WA,M,1999,Michael,654
WA,M,2008,James,8
WA,F,1992,Patricia,485
WA,M,1968,Robert,
WA,M,1975,Taylor,414
WA,M,1925,Robert,29
WA,M,1916,Michael,5
WA,M,1990,John,168
WA,,2004,Alex,249
WA,F,1931,Casey,31
WA,F,1969,Mary,419
WA,M,1917,Jordan,24
WA,M,1940,Taylor,198
,F,1911,Alex,25
WA,F,2012,Jordan,17
WA,M,1929,James,
WA,M,1943,James,14
WA,M,2019,Robert,8
WA,M,1942,Casey,804
WA,F,1974,Taylor,6
WA,M,1980,Taylor,88
WA,M,2015,James,568
WA,F,1936,Taylor,13
,M,1974,Taylor,
WA,M,1965,Jordan,528
WA,M,,Taylor,
WA,M,1996,,188
WA,M,1988,Robert,587
WA,M,1982,Michael,
WA,M,2006,Linda,1041
WA,,,James,97
WA,M,1962,Jordan,56
WA,M,1972,james,375
WA,M,,John,583
WA,M,2018,James,309
WA,F,1966,Jordan,261
WA,M,2006,James,11
WA,M,1957,John,256
,,1916,Taylor,173
WA,M,1989,Alex,276
WA,M,1946,Michael,244
WA,F,1996,Michael,445
WA,F,1979,Casey,111
WA,M,,Jordan,965
WA,F,1994,Mary,84
,F,1919,Casey,104
WA,M,1980,John,111
WA,M,1965,James,431
WA,M,1966,Jordan,463
WA,F,1968,Alex,311
WA,F,1910,Taylor,41
WA,M,2010,Linda,14
WA,M,2000,Robert,14
WA,F,1986,Alex,81
WA,F,,,19
WA,F,1941,Jordan,266
WA,M,1980,Casey,9
WA,F,1944,jennifer,276
WA,M,,,19
WA,M,1931,Patricia,8
WA,M,1913,michael,53
WA,M,1984,Michael,79
WA,F,1959,Jordan,481
WA,F,1999,Jordan,40
WA,F,1997,Alex,163
WA,F,1926,Mary,91
WA,F,1957,Casey,144
WA,M,1988,Michael,447
WA,F,2011,Michael,314
WA,M,1923,Michael,9
,M,1987,James,1153
WA,,1990,Taylor,167
WA,F,1922,Jordan,347
WA,M,1966,Alex,347
WA,M,1991,Casey,1217
WA,M,1940,Casey,38
WA,F,,Patricia,759
WA,F,1962,Taylor,83
WA,F,1991,Casey,55
WA,F,2011,Linda,20
WA,F,2022,Mary,
WA,M,1956,Michael,911
WA,M,1967,Patricia,53
WA,M,1971,Patricia,161
WA,M,,Casey,974
WA,M,2022,Casey,83
WA,,1944,Taylor,111
WA,F,2020,Casey,416
WA,F,1971,Mary,222
WA,M,1944,Jordan,94
WA,F,2004,Michael,28
WA,M,1917,John,23
WA,M,1934,Jordan,337
WA,F,,Alex,89
WA,M,,Casey,101
WA,F,1972,Jennifer,12
WA,F,1969,Alex,873
WA,F,1980,Taylor,394
WA,M,1965,robert,747
WA,M,1964,James,935
WA,F,2004,Casey,34
WA,M,2005,James,35
WA,M,1932,Robert,16
WA,F,1949,Taylor,60
WA,F,2020,Mary,55
WA,F,1998,Linda,84
WA,,1934,Taylor,13
WA,F,2003,Mary,29
WA,M,2013,Robert,99
WA,F,2012,Casey,172
WA,F,1974,Alex,480
WA,,1954,James,
WA,F,2000,Mary,415
WA,M,1927,Alex,211
WA,,1938,Jordan,111
WA,F,2020,Jennifer,63
WA,,1957,Alex,59
,F,1939,Casey,9
WA,F,1947,Jordan,834
WA,M,1948,Jordan,6
WA,F,1961,Casey,75
WA,F,2001,Mary,257
WA,M,1963,Michael,251
WA,F,1966,Alex,316
,F,1978,Linda,704
WA,F,1977,Linda,189
WA,M,1946,John,5
WA,F,1967,Taylor,69
WA,F,1950,Casey,26
WA,M,2005,Patricia,229
WA,F,1948,Jordan,92
WA,M,1968,Casey,69
WA,F,1955,Mary,442
WA,F,2021,Patricia,20
,M,2000,Taylor,40
WA,,1912,John,8
WA,M,2017,Taylor,650
WA,M,,John,66
WA,F,1913,Jennifer,6
WA,F,1969,taylor,
,M,2022,Jordan,114
WA,,2010,Alex,172
WA,M,1917,Alex,14
WA,F,1995,Jordan,114
WA,F,1973,Casey,57
WA,F,2005,Linda,232
WA,F,1962,Jennifer,440
WA,F,1980,Taylor,394
,M,1947,Casey,67
WA,F,1996,Taylor,300
WA,F,2000,,458
WA,F,1931,Alex,24
WA,M,1930,James,55
WA,F,,Jordan,
WA,F,1924,Linda,28
WA,F,1965,Jordan,617
WA,F,1953,Mary,112
WA,M,1928,Michael,154
WA,M,2012,Casey,29
WA,M,1987,Robert,561
WA,M,1955,John,
WA,M,1991,john,
WA,M,1992,michael,444
WA,F,2011,Taylor,408
WA,F,1928,Casey,44
WA,M,1969,James,583
WA,F,1987,Taylor,651
,F,1977,Patricia,248
