state,sex,year,name,count
WI,F,1922,Jordan,81
WI,F,2006,Jordan,229
WI,,1945,Taylor,310
WI,M,1926,Taylor,23
WI,M,1954,john,55
WI,,1947,John,257
WI,M,1973,Michael,100
WI,F,1969,Patricia,717
WI,F,1985,Alex,154
WI,F,1967,Jennifer,113
WI,F,2015,Alex,245
WI,F,1936,Alex,75
WI,F,1934,,129
WI,M,2003,Taylor,357
WI,F,,Casey,831
WI,F,2005,Mary,655
WI,,1930,Patricia,73
WI,M,1980,Alex,1104
WI,F,1932,Jordan,18
WI,F,1974,Mary,665
WI,F,1970,Alex,
WI,F,2006,Jennifer,1076
WI,F,1957,Linda,270
WI,M,1913,Robert,34
WI,F,1972,Alex,334
WI,F,1948,Jordan,132
WI,F,2017,Alex,10
WI,F,2016,Jennifer,31
WI,F,1983,Linda,241
WI,F,2004,Taylor,69
WI,F,1973,Patricia,129
WI,,1960,Alex,167
,F,,Jordan,607
WI,M,1975,Casey,647
WI,F,1986,Mary,896
WI,M,1925,Taylor,7
WI,M,1956,Alex,66
WI,M,2019,James,35
WI,M,,John,12
WI,F,1989,Linda,38
WI,M,1993,Patricia,129
WI,F,1947,jordan,49
WI,F,2011,Patricia,102
WI,F,1994,Jennifer,399
,,1927,Robert,294
WI,F,1995,Jennifer,286
WI,M,,Taylor,161
WI,M,,Michael,123
WI,M,2005,Jordan,325
WI,F,1989,Taylor,39
WI,F,1953,Patricia,377
WI,M,1953,Jordan,604
WI,F,2022,Jordan,563
WI,M,1995,,145
WI,F,,Linda,6
WI,M,2020,John,89
WI,M,2006,Linda,17
WI,M,2019,,27
WI,M,2015,Robert,22
WI,F,2019,Mary,12
WI,,1992,Linda,50
WI,M,2016,,82
WI,M,,Michael,127
WI,M,2000,Jordan,951
WI,M,1970,Jordan,554
WI,M,2000,Alex,71
WI,F,1956,Alex,1148
WI,M,2007,Jordan,93
WI,F,1944,Jennifer,55
,M,1962,Michael,157
WI,M,2000,Taylor,51
WI,M,1998,Michael,664
WI,M,1950,Alex,5
WI,,1970,,59
WI,M,2005,Jordan,325
WI,M,1926,Alex,18
WI,M,1975,Alex,347
WI,F,1999,mary,650
WI,,1929,Taylor,9
WI,M,1925,Jordan,135
WI,F,1979,Taylor,186
WI,F,,Mary,73
WI,F,1979,alex,369
WI,M,1979,Alex,659
WI,F,2004,Alex,114
WI,M,1936,Taylor,27
WI,M,1913,Jordan,
WI,F,1978,Taylor,22
WI,,2011,Casey,111
WI,M,1948,Alex,75
WI,M,1917,Jordan,
WI,M,1920,,41
