state,sex,year,name,count
WV,M,1970,Alex,207
,M,1928,Robert,49
WV,F,2012,Robert,189
WV,F,1955,,77
WV,M,1982,Taylor,822
WV,F,2021,Alex,
WV,M,1930,Casey,5
WV,F,1929,Casey,63
WV,M,1976,Alex,312
WV,F,1980,Patricia,519
WV,F,1913,Mary,58
WV,F,1966,Jordan,660
WV,F,1972,Mary,432
WV,M,2021,Taylor,69
WV,M,,John,466
WV,M,2013,John,15
WV,M,1973,James,947
WV,M,1974,John,785
WV,M,1958,Linda,32
WV,M,1993,Casey,1032
WV,F,2022,Jennifer,15
WV,F,1932,Jordan,10
WV,M,1993,Jordan,67
WV,M,1915,Michael,18
WV,F,1970,Linda,630
WV,M,1950,Michael,61
WV,M,1991,James,449
WV,,1948,Alex,192
WV,M,1966,Patricia,155
WV,F,1977,Mary,100
WV,M,1920,James,8
WV,M,1995,Taylor,132
WV,F,1951,Taylor,34
WV,M,1931,Casey,43
WV,,1943,Mary,67
WV,M,1944,Alex,9
WV,M,2017,Robert,27
WV,F,2000,Jordan,259
WV,F,1980,Taylor,567
,F,1922,Casey,
WV,M,1984,robert,574
WV,F,1961,Casey,96
WV,M,2014,Jordan,19
WV,F,2014,Linda,287
WV,F,2013,Jennifer,54
WV,M,2009,Taylor,92
WV,M,1959,taylor,786
WV,F,1992,Casey,213
WV,M,1937,Alex,184
WV,M,1931,robert,39
WV,M,1948,,446
WV,,2020,Taylor,159
WV,M,1952,John,54
WV,F,1925,Jennifer,6
WV,,,Patricia,158
WV,F,1967,John,573
WV,F,1986,Mary,130
WV,,2017,Michael,210
WV,M,2019,Robert,756
WV,M,1940,Jennifer,147
WV,,1977,Alex,437
WV,M,1987,Taylor,352
WV,,1923,Robert,62
WV,F,1948,Mary,28
WV,F,1953,,43
WV,F,1931,Jordan,5
WV,F,1980,Mary,51
WV,F,1927,Linda,69
WV,F,1989,Jennifer,333
WV,F,1989,john,85
WV,F,1961,Taylor,667
WV,F,1973,Jordan,247
WV,F,1913,Alex,6
WV,M,1947,Alex,442
WV,M,1986,James,304
WV,F,1994,jennifer,148
WV,F,1966,Mary,236
WV,M,1994,Jordan,7
WV,M,1993,Alex,77
WV,F,1975,Jordan,242
WV,F,,Casey,65
WV,F,2007,,396
WV,M,1983,Casey,304
WV,M,2010,John,17
,F,2012,Casey,152
,F,2018,Jordan,442
,M,1928,James,63
,M,1994,Michael,274
WV,F,1982,Patricia,88
WV,F,1992,Patricia,
WV,F,1917,Linda,24
WV,M,1997,Casey,733
WV,F,1998,Robert,259
,F,2008,Casey,6
WV,M,1930,Robert,24
WV,,1964,Robert,166
WV,F,1950,Linda,32
WV,F,1999,Jordan,30
WV,F,1973,Linda,217
