state,sex,year,name,count
WY,F,1970,Patricia,496
WY,F,1990,Casey,223
WY,F,1959,Jennifer,843
WY,M,1950,Casey,523
WY,M,1985,John,362
WY,M,1926,Taylor,128
WY,F,1969,Taylor,167
WY,M,1979,Robert,126
,M,2012,,696
WY,F,1946,Casey,744
WY,M,1940,Jordan,30
WY,F,1996,,153
WY,M,1983,John,823
WY,M,2007,Jordan,
WY,F,1947,Jordan,58
WY,M,1981,Taylor,51
WY,F,,Patricia,8
WY,F,1951,Casey,151
WY,M,2008,Casey,147
WY,,1955,James,36
WY,M,2004,Alex,148
WY,M,1947,Michael,105
WY,F,1969,Alex,262
WY,M,1992,Michael,
WY,M,,Casey,535
WY,M,1994,Casey,153
,F,1987,Linda,172
WY,F,,Jennifer,31
WY,F,2017,Linda,385
WY,M,1943,Alex,286
WY,F,1985,Patricia,92
WY,M,1932,alex,27
WY,M,1986,Robert,123
WY,M,1973,robert,584
WY,M,1975,Alex,49
WY,M,1946,Robert,55
WY,M,1922,Casey,35
WY,M,1958,Alex,9
WY,M,1954,Jordan,402
WY,M,1957,Robert,844
WY,F,1933,Patricia,9
WY,M,1939,Linda,76
WY,F,1957,Jennifer,126
WY,,2007,Alex,10
WY,,1941,Jordan,92
WY,F,1925,Mary,299
WY,F,,Jordan,385
WY,F,2008,Mary,101
WY,M,1977,Taylor,653
WY,M,1968,Taylor,651
WY,,1957,Jordan,771
WY,M,1950,John,69
WY,M,1930,Alex,154
WY,F,1974,Michael,816
,F,1982,Jennifer,403
WY,M,,James,976
WY,M,1985,Jordan,627
WY,M,1981,Robert,338
WY,M,1974,John,22
WY,M,1986,Jordan,287
WY,F,1934,Taylor,93
WY,M,2017,Taylor,127
WY,F,2000,Jordan,383
WY,M,1944,Jordan,100
WY,M,2016,John,312
WY,F,1997,Casey,
WY,F,1973,Jennifer,486
WY,M,1981,Taylor,51
WY,M,,James,745
WY,F,1968,Taylor,365
WY,,1937,Casey,7
WY,F,1986,Mary,291
WY,M,2002,Casey,280
WY,M,1919,Michael,131
WY,,1962,Michael,389
WY,F,1919,Jennifer,24
WY,F,2001,Taylor,414
WY,M,2009,Casey,747
WY,M,1964,Michael,231
WY,F,1961,Mary,37
WY,M,1919,Casey,37
WY,F,1984,Casey,161
WY,M,1948,Michael,239
WY,F,,Patricia,38
WY,F,1981,Jennifer,
WY,M,1982,,166
WY,,1937,Jennifer,206
WY,F,,Alex,89
WY,M,1975,Casey,292
WY,F,1974,Jennifer,469
WY,M,1995,Alex,687
