state,sex,year,name,count
CO,F,1935.0,Jennifer,191
CO,F,2018.0,Casey,41
CO,M,1949.0,Taylor,978
,M,1943.0,Casey,
CO,F,1999.0,Taylor,514
CO,F,2015.0,,91
,,1961.0,michael,
CO,F,2007.0,Mary,439
CO,F,1962.0,Patricia,448
CO,F,1939.0,Casey,5
CO, F ,2003.0,Jordan,64
CO,F,2008.0,Jennifer,300
CO,F,,taylor,108
CO,M,2011.0,Alex,29
CO, F ,1972.0,Mary,188
CO,M,1960.0,James,479
CO,F,,Jordan,106
CO,M,1962.0,Michael,745
CO,M,1991.0,James,119
CO,M,1934.0,James,58
CO,M,,Alex,628
CO,M,1965.0,Taylor,549
,F,1967.0,Patricia,536
CO,M,1921.0,Alex,34
 CO ,F,1985.0, Jennifer ,173
CO,F,1964.0,Linda,229
CO,F,2006.0,Alex,306
CO,F,1957.0,Robert,21
CO,F,1995.0,Alex,473
CO,F,1923.0,Casey,7
CO, M ,1948.0,Taylor,820
CO,M,1990.0,Robert,84
CO,F,1918.0,Linda,
CO,M,1967.0,John,694
CO,F,2017.0,Patricia,404
CO,F,1951.0,Jordan,11
CO,F,1998.0,Casey,173
CO,M,1944.0,Alex,20
 CO ,F,1953.0,,206
CO,F,1981.0,Patricia,380
CO,M,,john,128
,M,1941.0,James,33
CO,M,1951.0,Jordan,511
CO,M,1976.0,Casey,92
 CO ,F,1940.0,Mary,6
 CO ,F,1916.0,Michael,33
CO,M,1967.0,Alex,86
CO, F ,1930.0,Jennifer,20
CO,,1999.0,Patricia,345
CO,F,1932.0,Casey,
CO,M,1979.0,Michael,369
CO,M,2000.0,Michael,1041
CO,F,2016.0,Jennifer,271
CO,F,1994.0,Alex,413
 CO ,,1989.0,Michael,421
CO,F,1942.0,Casey,82
CO,M,1946.0,Michael,168
CO,F,,Patricia,125
CO,F,1962.0,Alex,299
,F,1977.0,Jennifer,303
CO,F,1989.0,Linda,257
CO,M,1943.0,Robert,515
CO, M ,,Casey,513
CO,F,1996.0, Casey ,185
CO,M,2002.0,John,298
CO,,1990.0,James,264
CO,F,1969.0,,
CO,M,1993.0,James,100
 CO ,M,1977.0,Taylor,1076
CO,F,2001.0,Taylor,208
CO,M,2002.0, Jordan ,105
,M,1945.0,Jordan,153
CO,F,2002.0,Jordan,11
 CO ,M,1951.0,Alex,265
CO,M,1959.0,Michael,10
CO,F,1931.0,Mary,555
CO,M,1949.0,Casey,29
CO,F,1990.0,James,183
CO,M,1943.0,John,292
CO,M,1980.0,John,106
,F,1991.0,Taylor,610
CO,M,1935.0,John,31
 CO ,M,1973.0,Alex,554
CO,F,1973.0,Jennifer,83
CO,M,2010.0,Taylor,495
CO,F,1918.0,Patricia,14
CO,M,1937.0,,9
CO,M,1999.0,Casey,111
CO,M,2003.0,Casey,
CO,F,1979.0,Jordan,287
 CO ,M,2003.0,John,
CO,F,1947.0, Casey ,29
CO,M,1963.0,Michael,93
CO,M,1931.0,Michael,7
CO,F,1979.0,Alex,203
CO,F,1974.0,Taylor,246
,M,2006.0,Mary,114
CO,M,1925.0, Michael ,19
CO, M ,1985.0,,601
CO,F,1952.0,Taylor,
CO,F,1983.0,Casey,578
CO,M,1974.0,Michael,323
CO,F,1983.0,mary,940
 CO ,M,1918.0,Taylor,13
CO,M,1942.0,Casey,134
CO,F,1994.0,Michael,1007
CO,,2006.0,Taylor,124
CO,F,1993.0,Taylor,441
CO,F,,,58
CO,F,1992.0,Casey,172
CO,,,Robert,76
CO,M,2015.0,Robert,407
CO,M,1968.0,Robert,271
CO,M,1997.0,James,466
CO,M,2001.0,John,318
,M,,Michael,139
