state,sex,year,name,count
CT,M,1999.0,Jordan,542
,F,2019.0,Taylor,444
CT,M,1920.0,Jordan,6
CT, M ,1989.0,Patricia,389
CT,F,1971.0,Linda,80
CT,M,1952.0,Taylor,99
CT,M,,Robert,38
CT, F ,1962.0,Taylor,227
CT,F,1967.0,Linda,279
CT,M,2012.0,alex,637
CT,M,1921.0,Jordan,11
,F,1982.0,Casey,13
CT,M,1984.0,Jennifer,432
CT,M,2010.0,Robert,491
CT,M,1937.0,John,70
CT,F,1929.0,jordan,60
CT,M,1957.0,James,111
CT,F,2001.0,Casey,416
CT,M,2022.0,Casey,214
CT,M,1990.0,James,111
 CT ,F,1986.0,Jordan,57
CT, M ,1964.0,linda,34
CT,F,1974.0,jordan,156
CT,F,1979.0,Jordan,146
CT,M,,John,123
 CT ,F,1923.0,Patricia,327
CT,M,2004.0,James,130
CT,M,1992.0,Michael,624
CT,F,1957.0,Robert,314
 CT , F ,1991.0,Casey,238
 CT ,M,2015.0,Robert,578
CT,F,1946.0,Patricia,28
CT,,2009.0,Robert,5
,M,1998.0,John,25
CT,F,1970.0,Jordan,119
CT,F,1995.0,Alex,146
CT,M,1962.0, Casey ,737
,F,1991.0,Jordan,243
CT,F,1966.0,Jordan,
CT,M,1953.0,James,30
 CT ,M,1943.0,Casey,69
CT,M,,Jennifer,56
CT,M,1925.0,taylor,14
CT,F,1967.0,Mary,220
CT,M,1954.0,John,33
CT,F,1967.0,Jordan,416
CT,F,1983.0,Alex,599
CT,M,1958.0,Michael,178
,M,1972.0,James,74
CT, M ,1971.0,Alex,1060
CT,M,1914.0,Michael,23
CT,,1952.0,James,282
CT,,2005.0,John,104
CT, F ,1957.0,Alex,847
CT,F,,Jordan,221
CT,F,1979.0,Jennifer,368
CT,M,1913.0,James,12
 CT ,F,2021.0,Jennifer,142
CT, M ,2021.0,Jordan,122
 CT , F ,2010.0,,205
CT,F,1917.0,Jennifer,66
 CT ,F,1995.0,Jordan,385
CT,M,1991.0,Taylor,
CT,M,1929.0,James,14
CT,M,1976.0,James,311
 CT ,M,2002.0,Alex,1204
CT,M,1937.0,Jordan,26
CT,F,1994.0,Jordan,501
CT,M,1949.0,Robert,179
CT,F,,Mary,
CT,M,2004.0,Robert,176
CT,F,1998.0,Taylor,246
 CT ,M,2017.0,Taylor,6
CT, F ,1994.0,Jennifer,53
CT,F,2017.0,Mary,82
CT, F ,2013.0,Alex,85
CT,F,1915.0,Alex,79
 CT ,M,,john,37
CT,M,2011.0,James,40
CT, M ,1927.0,Mary,7
CT,F,1945.0,Mary,8
CT,M,1978.0,Alex,67
CT,M,1934.0,Jordan,11
CT,F,,Jordan,
CT,F,1940.0,Linda,270
CT, F ,1964.0,Patricia,424
 CT ,F,1989.0,Jennifer,233
CT,F,2018.0,Casey,41
CT,F,1979.0, Casey ,203
 CT ,F,1967.0,Alex,135
CT,M,1995.0,Alex,351
 CT ,F,1919.0,Michael,8
 CT ,M,1941.0,Robert,645
CT,M,1949.0,John,70
CT,M,2013.0,Taylor,26
CT,F,2006.0,Patricia,5
CT,M,2017.0,Casey,489
CT,M,1976.0,Casey,446
CT, M ,1947.0,Alex,771
CT,F,2014.0, Jennifer ,149
CT, M ,2019.0,patricia,10
,F,1926.0,linda,101
 CT ,F,1975.0,Patricia,157
CT, M ,1914.0,Robert,
CT,F,1957.0,Mary,448
CT,F,2005.0, Jennifer ,633
 CT ,M,1949.0,taylor,497
 CT ,F,1988.0,Alex,368
CT,M,1950.0,alex,33
CT,M,1959.0,Robert,
,M,1954.0,Michael,144
CT, M ,1985.0,Casey,219
,M,2019.0, John ,365
 CT ,F,1981.0,Taylor,284
CT,M,2001.0,James,768
CT,F,2012.0,Casey,26
CT,M,1976.0,John,156
CT,M,,Taylor,616
CT,F,1961.0,Casey,530
CT,M,2016.0,Mary,864
,,1958.0,Alex,661
 CT ,M,1994.0,Alex,426
CT,F,1937.0,Jordan,15
CT,M,1991.0,Casey,523
CT,F,1936.0,Jordan,45
CT,F,1949.0,Alex,800
,,1931.0,Alex,29
CT,F,2001.0,jordan,561
CT,F,1996.0,Linda,434
CT, M ,1915.0,Robert,150
CT,F,2017.0,Linda,48
CT, F ,1953.0,Jordan,967
CT,M,1973.0,Robert,99
CT,F,1927.0,Jennifer,91
CT,M,1955.0,Robert,51
