state,sex,year,name,count
LA,M,1970.0,,254
,M,2010.0,,17
,,2013.0,Patricia,24
LA,M,,Jordan,36
LA,F,1996.0,Jordan,167
LA,M,,Jordan,416
LA,F,2012.0,John,16
LA,M,1990.0,Robert,199
LA,F,1970.0,jordan,388
LA,F,,Patricia,312
LA,F,1931.0,,74
LA,F,1997.0, Patricia ,165
LA,F,1998.0,Taylor,15
LA,F,1988.0,Linda,107
LA,F,1957.0,Jordan,39
,F,1942.0,Jordan,314
LA,M,1955.0,Jordan,106
,F,2015.0,Jordan,665
LA,M,1994.0,Alex,123
 LA , M ,1949.0,John,71
LA,,2006.0,,178
LA,F,1950.0,Patricia,10
LA,M,1987.0,Mary,303
LA, M ,2006.0,Jordan,11
LA,F,1958.0,Jordan,86
LA,M,1945.0, Michael ,143
LA,M,1956.0,Alex,5
LA,M,1946.0,Michael,204
LA,M,1999.0,Casey,440
LA,M,1981.0,James,626
LA,M,2019.0,Taylor,38
LA,F,1996.0,Mary,43
LA,M,1962.0,Alex,40
LA,,2012.0,Robert,695
 LA ,,2001.0,Taylor,191
LA,F,1919.0,linda,6
,F,1923.0,Mary,
LA,F,1959.0,patricia,292
LA,,1943.0, Jordan ,30
 LA ,M,,Casey,957
LA,M,1937.0,linda,157
LA,M,1926.0,Michael,19
LA,M,1947.0, Michael ,245
LA,F,2018.0,Jennifer,338
LA, F ,1988.0,Jennifer,302
LA,F,2005.0,Taylor,281
LA,F,1934.0,Casey,24
LA,M,2008.0,Linda,47
LA, F ,1924.0,Jordan,66
 LA , F ,2016.0, Jennifer ,52
LA,F,1952.0,Patricia,246
LA,M,1940.0,Taylor,143
LA,M,,John,39
LA,M,1927.0,Alex,83
LA,F,1993.0,Alex,635
LA,M,,Casey,660
LA,F,1963.0, Alex ,61
LA,M,1948.0,Casey,63
,M,1971.0,Michael,334
LA,F,2001.0,Mary,592
LA,F,1985.0,Jordan,183
,M,1923.0,Michael,25
 LA , M ,,Jordan,365
LA,M,1956.0,john,212
,F,1943.0,,21
LA,M,1927.0,Casey,97
LA,,2004.0,Taylor,520
LA,,1997.0,Patricia,29
LA,M,,Taylor,327
 LA ,M,1965.0,Michael,164
LA,F,1969.0,Linda,
LA,M,2015.0,Taylor,74
LA,F,1937.0,Jordan,104
LA,,1917.0, Casey ,27
 LA ,F,1951.0, Jordan ,28
LA,F,2017.0,Patricia,128
,F,1970.0,Alex,687
 LA ,F,1920.0, Patricia ,216
LA,M,1947.0,Jordan,69
LA,F,1925.0,Michael,66
LA,F,2013.0,Taylor,14
LA,,1947.0,Taylor,53
,M,1962.0,James,26
LA,M,2006.0, James ,263
LA,F,2006.0,Patricia,90
LA,M,1994.0,John,684
LA, M ,1985.0,Casey,80
LA,F,1985.0,Linda,379
LA,F,2014.0,Casey,263
LA, F ,1941.0,Mary,146
LA,F,1923.0,Alex,33
LA,F,2014.0,Jennifer,10
LA,F,2016.0,Patricia,320
LA,F,1952.0,,294
LA,F,1935.0, Patricia ,139
LA,M,1953.0,Robert,33
,F,1955.0,James,215
LA,M,1983.0,taylor,1017
LA,M,1970.0,Robert,77
LA,F,1999.0,Mary,867
LA,F,1977.0,Patricia,438
LA,F,1990.0,Linda,303
,F,1944.0,Mary,14
LA,M,2016.0,,858
LA,M,,Alex,98
LA,M,2005.0,Jordan,14
LA,M,1978.0,Michael,77
,M,2017.0,James,69
LA,F,1984.0,Jordan,58
LA,F,1982.0,Alex,12
LA,F,2002.0,Alex,342
, F ,1925.0,Linda,61
LA,M,1951.0,robert,8
LA,F,1983.0,Casey,43
LA,M,1957.0,Jordan,383
LA,M,1959.0,Michael,85
 LA ,F,2015.0,Taylor,5
LA,M,1990.0,Linda,368
LA,M,1947.0,James,158
LA,M,1999.0,jordan,236
LA,M,2013.0,Casey,55
LA,F,1932.0,Jordan,428
LA, M ,2005.0,Michael,140
LA,F,1993.0,Jennifer,267
LA,M,1999.0,James,663
LA,F,2017.0,Casey,41
LA,M,, Michael ,12
LA,F,2010.0,Casey,197
,F,1968.0,Linda,88
 LA ,M,2012.0,Jordan,218
LA,,1961.0,Jennifer,234
LA,,1962.0, Patricia ,572
LA,F,2011.0,Jordan,429
LA,F,1973.0,Taylor,250
LA,M,2007.0,Michael,842
LA, F ,1981.0,Linda,425
,M,1935.0,Jordan,101
LA,M,1961.0,Taylor,351
LA,M,1924.0,John,9
LA,F,1956.0,Casey,22
LA,M,1984.0, James ,119
LA,F,1961.0,Alex,77
LA,M,1969.0,Casey,179
LA,F,1932.0,Taylor,100
 LA ,M,1967.0,Michael,819
LA,M,1932.0,Alex,12
LA,M,1953.0,James,623
 LA ,F,1972.0,Casey,509
LA,F,1926.0, Jennifer ,
LA,F,1979.0,,218
LA,M,,Casey,254
 LA ,M,1998.0,Jordan,73
LA,M,1944.0, Taylor ,106
LA,F,1951.0,Patricia,952
 LA ,F,1934.0,,147
 LA ,F,1971.0,Patricia,343
LA,M,1939.0,Taylor,61
LA,,1967.0,jennifer,36
LA,F,1945.0,Casey,20
LA,F,1914.0,Taylor,32
LA,M,1986.0,Jordan,294
LA,M,2018.0,Robert,19
LA,F,1918.0,Jordan,10
LA,M,1967.0,Jordan,7
LA,,1976.0,John,631
 LA ,M,2011.0,Jordan,57
LA,F,1975.0,Taylor,285
LA,F,1935.0,Mary,519
LA,F,,Taylor,93
LA,M,2011.0,Alex,20
LA,M,1922.0, James ,398
 LA ,,1926.0,,123
LA,F,1997.0,Casey,556
LA,F,1913.0,Mary,78
LA, F ,1950.0,Jennifer,936
LA,,1931.0,John,9
LA,M,1977.0,robert,177
LA,M,1915.0,Jennifer,33
LA,M,1975.0,michael,54
LA,F,1953.0,Linda,35
LA,F,1932.0,Linda,340
LA,F,1957.0,Linda,963
LA,M,1977.0,Jordan,122
LA,M,1930.0,,314
LA,,1952.0,Mary,537
 LA ,F,1932.0,Mary,18
