state,sex,year,name,count
MA,F,1996.0,Linda,
MA, M ,1932.0,Casey,63
MA,M,1917.0,Michael,6
,F,1964.0,Linda,245
MA,M,1939.0,Taylor,43
MA,M,1910.0,John,184
MA,F,2011.0,Taylor,163
MA,F,1948.0,Casey,5
MA,M,2019.0,Jordan,454
MA,M,1949.0,John,178
MA,M,1970.0,James,76
MA,F,1985.0,Mary,348
MA,M,1966.0,Robert,486
, M ,1996.0,Michael,593
MA,F,1952.0,Linda,683
MA,M,2001.0, Robert ,717
MA,F,1943.0, Casey ,525
MA,M,2018.0,John,7
MA,M,1958.0,Michael,171
MA,M,1962.0,michael,431
MA,M,1999.0,michael,207
 MA ,M,1968.0,jordan,80
MA,F,1972.0,Mary,346
MA,M,1991.0,John,375
MA,F,1972.0,Jordan,49
MA,F,1960.0,Jennifer,274
 MA ,M,,John,559
MA,M,2010.0,Jordan,7
MA,M,1965.0,John,869
MA,F,1995.0,,363
MA, M ,2011.0,Casey,
MA, M ,1974.0,Casey,359
MA,M,1921.0,Alex,120
MA,,,Patricia,54
MA,F,1991.0, Patricia ,187
MA,M,1962.0,Casey,792
 MA , F ,2001.0,Michael,418
MA,F,1923.0,Mary,107
 MA ,F,1940.0,Mary,359
,F,1959.0,Jordan,381
MA, F ,1981.0,Alex,20
MA,F,1939.0,Linda,451
MA,F,2003.0,Taylor,70
MA,,2004.0,Jordan,30
MA,M,,James,314
MA,M,1995.0,Michael,155
 MA ,F,1981.0,Linda,84
 MA ,F,1989.0,Taylor,321
MA,F,1961.0,Jennifer,585
MA,M,1959.0,Robert,859
MA,M,1991.0, Jordan ,592
MA,,,Robert,
MA,,1960.0,John,823
MA, M ,1976.0,James,178
MA,,1939.0,Jennifer,203
MA,M,1954.0,Michael,
MA,M,1987.0,Michael,125
MA,F,1967.0,Alex,462
MA,M,1956.0,Casey,572
MA,M,1933.0,James,12
MA,M,1937.0,,90
MA,,2017.0,John,125
MA,,2017.0,Casey,7
MA,F,1929.0,Linda,246
 MA ,M,1987.0,Alex,95
MA,F,1984.0,Taylor,466
MA, F ,1992.0,Casey,766
MA,F,1985.0,Alex,35
MA,M,1981.0,Michael,589
MA,M,1986.0,,243
MA,F,2003.0,Patricia,185
MA, F ,2017.0,Linda,10
MA,,1925.0,James,10
MA,M,1944.0,Robert,62
MA,F,1973.0,Patricia,719
MA,F,,,5
MA,M,1995.0,Robert,148
MA,,2007.0,James,845
MA, F ,1928.0,Casey,38
MA,M,1982.0,Taylor,
 MA ,M,2004.0,John,174
,M,,James,411
 MA ,F,1977.0,mary,138
MA,M,2012.0,,
MA,,,Casey,135
MA,F,1978.0,Taylor,69
MA,F,1960.0,Jordan,432
 MA , F ,1959.0,Linda,61
MA,F,1952.0,Alex,394
MA,F,2000.0,alex,72
,M,2012.0,John,6
MA,F,1979.0, Alex ,526
MA,F,1996.0,Patricia,350
 MA ,F,2021.0,Taylor,18
MA, M ,1978.0,Alex,224
MA,M,1998.0,Casey,720
MA,M,1949.0,John,178
MA,M,1967.0,Jordan,113
MA, M ,2012.0,Alex,84
MA,M,1936.0,Michael,264
MA,F,1996.0,mary,58
MA,M,1951.0,Alex,706
MA,M,1926.0,robert,25
MA,M,1952.0,Alex,1383
MA,F,1964.0,Casey,175
MA, F ,1998.0,Taylor,81
MA,M,1945.0,Casey,266
MA,M,1980.0,Casey,409
MA,M,1973.0, Casey ,137
 MA ,M,1989.0, Alex ,94
MA,F,1999.0,Patricia,483
MA,,2019.0,John,306
MA,M,,Casey,635
MA,F,2004.0,Patricia,505
MA,F,1957.0,Patricia,100
MA,M,1931.0,Alex,45
MA, F ,1962.0,Mary,377
MA,M,,James,192
