state,sex,year,name,count
ME,M,1981.0, Casey ,124
ME,F,1948.0,Jordan,35
ME,F,2021.0,Mary,257
ME, F ,2006.0, Jordan ,88
ME,M,1974.0,Robert,276
ME,,1980.0,Alex,308
ME,M,1920.0,John,193
ME,F,1960.0,Taylor,477
ME,,1953.0, Alex ,1147
ME,F,1958.0,Patricia,84
ME,F,1939.0,Patricia,82
ME, F ,1934.0,Jennifer,38
 ME ,,1980.0,James,75
 ME , F ,1972.0,Alex,1068
ME,F,1973.0,John,11
ME,F,1961.0,Taylor,
 ME ,M,1988.0,Alex,678
ME,F,2007.0,Linda,58
ME,M,1981.0,Jordan,111
 ME ,M,1930.0,James,
ME,M,2000.0,Alex,240
ME,F,2011.0,Linda,8
ME,M,1943.0,Robert,150
ME,M,1969.0,Casey,122
ME,M,1961.0,James,8
ME,M,1931.0,Jordan,212
ME,M,,Robert,423
ME,M,1946.0,John,589
ME,F,,Patricia,344
ME,,1969.0,Jennifer,36
 ME ,F,1992.0,Mary,466
,M,1962.0,Taylor,25
ME,M,1972.0,Taylor,259
ME, M ,1949.0,Michael,18
 ME ,M,1979.0,Robert,340
ME,M,1948.0,Taylor,94
 ME ,M,2021.0,Alex,182
ME,M,1983.0,Jordan,94
ME,M,1993.0,Michael,1112
ME,F,1989.0,Casey,41
ME, F ,1988.0,Casey,435
ME,M,1921.0,Casey,8
ME,F,2002.0,Jordan,578
ME,M,1942.0,Taylor,
,M,1935.0,Michael,93
,M,1952.0,Taylor,59
ME,M,1922.0,Mary,77
ME,M,1929.0,Casey,5
ME, F ,1965.0,Alex,244
ME, F ,2003.0,Casey,230
ME,F,,Mary,
ME,F,1924.0,Taylor,121
ME,M,2014.0,james,50
ME,F,1938.0,,
ME,M,1978.0,Casey,906
 ME ,M,1950.0,John,303
ME,F,1994.0,Mary,84
 ME ,F,1996.0,Mary,235
,F,1973.0,Jennifer,333
ME,M,1986.0,John,94
ME,F,1960.0,casey,
ME,M,2003.0,Jordan,124
ME,M,1966.0,Jordan,242
ME,F,1980.0,Jordan,482
ME,M,1992.0,Michael,
,M,1944.0,Jordan,153
ME,M,1914.0,Casey,9
ME,F,1978.0,Patricia,881
 ME ,F,2009.0,Mary,
ME,M,1957.0,Casey,74
ME,M,2001.0,Robert,364
ME,F,1955.0,Patricia,33
ME,F,2005.0,Linda,1041
ME,F,1987.0,Linda,116
ME,F,1982.0,Patricia,509
ME,M,2004.0,Casey,15
 ME ,F,1958.0,John,51
ME,F,1917.0, Taylor ,23
ME,M,1971.0,,429
ME,,1996.0,Alex,46
ME,F,1964.0,Patricia,44
ME,M,1985.0, Taylor ,415
 ME , F ,1980.0,Mary,133
 ME ,F,2008.0,Alex,95
ME,M,1997.0,Jordan,363
ME, M ,1943.0,Alex,5
ME,M,1943.0,John,182
ME,F,1984.0,patricia,452
 ME ,M,1983.0,John,606
ME,F,1974.0,Jordan,628
ME,M,2011.0,Patricia,20
ME,M,1964.0,Robert,397
 ME ,F,1931.0,Patricia,20
,F,1960.0,Patricia,237
ME,M,1952.0,casey,31
ME, F ,1978.0,Casey,457
ME,M,1952.0,Michael,134
ME,M,1993.0,Jordan,420
,F,1911.0,Jordan,34
ME,F,1947.0,Alex,9
ME,F,1962.0,Patricia,
ME,M,2002.0,John,248
ME,F,1934.0,patricia,5
ME,,1964.0,michael,213
ME,M,1948.0,Alex,406
ME,M,2001.0,Jordan,51
ME,F,,Linda,23
ME,F,1985.0,alex,653
ME, M ,1973.0,Jordan,124
ME,F,1973.0,Jordan,65
ME,M,1989.0,Robert,258
ME,F,1965.0,Jordan,529
ME,M,2020.0,John,73
ME,F,1954.0,Jennifer,64
ME,F,1984.0,John,293
ME,M,2011.0,Casey,526
ME,F,1958.0,Casey,448
,F,1942.0,Taylor,109
ME,,1970.0,Casey,312
ME,F,1996.0,Jennifer,97
ME,F,1993.0,Linda,228
ME,,1993.0, Alex ,136
ME,F,1981.0,Alex,286
ME,M,1992.0,Alex,294
,F,1973.0,Alex,34
,M,1960.0,Robert,198
ME,M,1980.0,John,145
ME,M,1979.0,Michael,189
ME,M,1950.0,Casey,165
ME,M,1920.0,Alex,29
ME,F,1957.0,Patricia,203
ME,M,1921.0,John,222
ME,F,1951.0,Jordan,109
ME,F,,Alex,110
 ME , M ,2005.0,Taylor,16
ME,M,2020.0,Jordan,428
ME,F,1932.0,Linda,79
 ME ,M,1996.0,Jennifer,551
ME,M,1971.0,Robert,61
ME,M,1926.0,Casey,26
 ME ,M,1955.0,John,1027
ME, M ,1970.0,james,217
 ME , M ,1982.0,James,177
ME,F,2018.0,Casey,66
ME,F,1995.0,,469
,M,1998.0,Jordan,102
ME,F,1950.0,Patricia,42
ME,M,1953.0, Michael ,304
ME,F,1955.0,,8
ME,M,1966.0,John,96
ME,F,2003.0,Jordan,207
 ME ,F,1943.0,,45
ME,M,2006.0,Jordan,376
ME,F,,Taylor,281
ME,M,1951.0,Michael,135
ME,M,1989.0,Taylor,
ME,M,1971.0, Casey ,
ME,F,1929.0,Taylor,104
ME,M,1932.0,Taylor,383
ME,M,1966.0,Taylor,436
,M,2010.0,Jordan,509
,M,1956.0,Taylor,472
ME,F,1978.0,Alex,269
ME,M,1967.0,,20
ME,M,1960.0,John,36
ME,M,1945.0,Jordan,524
 ME ,F,2007.0,Patricia,255
 ME ,F,1964.0,Alex,113
ME,F,1957.0,alex,125
ME,M,1930.0, Alex ,23
ME,M,1913.0,Jennifer,30
ME,M,1985.0,John,670
ME,M,1915.0,Jordan,91
 ME ,F,1970.0, Jennifer ,48
ME,F,1949.0,Jennifer,23
ME,M,,Michael,32
 ME ,F,,Alex,55
ME,F,,Mary,18
ME,F,1914.0,Patricia,58
ME,,1971.0,Jennifer,7
ME,F,1963.0,Mary,153
,,1951.0,Casey,
,M,1935.0,Alex,236
ME,M,,Michael,261
 ME , F ,,taylor,171
ME,,1944.0,John,41
ME,M,,Taylor,49
 ME ,M,1930.0,Jordan,24
ME,F,1967.0,Patricia,781
,F,1970.0,Alex,163
ME, M ,1929.0,Linda,197
ME,F,1959.0,Taylor,153
ME,F,1983.0,Jordan,1122
ME,M,2012.0,Robert,165
ME,,1961.0,Alex,30
ME, F ,1946.0,Linda,348
ME,F,1977.0,Jennifer,7
 ME ,M,1959.0,James,423
ME,M,2002.0,Alex,24
ME,F,2002.0,Casey,34
ME,M,2014.0,Jordan,79
ME,M,1992.0,Jordan,277
ME,F,1924.0,Alex,12
ME,M,1998.0,Michael,212
ME,F,1998.0,Jennifer,369
ME,F,1958.0,Robert,
ME,M,1956.0,Robert,
ME,,1964.0,michael,213
 ME ,F,1953.0,Linda,404
ME,M,1960.0,James,6
ME,F,1921.0,Taylor,64
ME,M,1931.0,Casey,80
ME,F,1992.0,Jennifer,169
ME,F,1927.0,Casey,105
ME,F,2005.0,Jennifer,230
ME,F,1952.0,jordan,394
ME,M,1985.0,Alex,132
ME,M,1947.0,Taylor,17
ME,F,1984.0,Casey,42
ME,F,1951.0,Linda,22
ME,F,1921.0,Alex,11
ME,,1984.0,James,201
ME,M,1993.0,Alex,
ME,M,1995.0,Casey,105
ME,M,1963.0,Casey,385
,F,1960.0,Alex,109
ME,M,2011.0,Jordan,
ME,M,2010.0,Alex,9
ME,F,1999.0,Linda,46
ME,,2018.0,Patricia,10
ME,F,,Jordan,20
ME,F,1940.0, Alex ,175
ME,F,1911.0,Taylor,10
ME,F,1972.0,Jordan,119
ME,F,2004.0, Casey ,378
ME,F,1913.0,Patricia,38
ME,F,1987.0,Patricia,203
ME,F,2007.0, Jennifer ,40
ME,M,1998.0,Robert,20
ME,F,2011.0,Jennifer,9
ME,F,1954.0,linda,42
ME,M,1986.0,James,1305
ME,F,2013.0,Linda,122
ME,F,2017.0,Alex,482
ME,M,,Taylor,157
 ME ,M,1965.0,,888
ME,M,1989.0,Alex,29
ME,M,2008.0,Jordan,262
ME,F,1971.0,Mary,855
 ME ,F,1941.0,Jennifer,388
ME,M,,taylor,706
 ME ,M,1978.0,Michael,793
ME,F,1970.0,,708
ME,M,1929.0,Michael,115
 ME ,M,1947.0,John,15
ME,M,1924.0,John,14
ME,M,1916.0,Robert,5
ME,F,1989.0,Jennifer,753
ME,M,1962.0,James,113
ME,M,1963.0,Michael,163
ME, F ,1981.0,Patricia,515
ME,F,1965.0,Mary,986
 ME ,F,1975.0,Alex,120
ME,M,1976.0,James,387
ME,F,1978.0,Mary,330
ME, F ,2012.0,,436
ME,F,1993.0,Mary,11
ME,M,1985.0,Casey,389
,M,1933.0,Jordan,24
ME,M,1926.0,James,13
ME, M ,1967.0, Robert ,30
ME,M,1972.0,Michael,614
ME,M,1945.0,John,24
ME,,1987.0,John,406
ME,F,1967.0,Casey,177
ME,M,1975.0,Taylor,64
ME,M,2010.0,Mary,57
ME,M,1958.0, John ,151
ME, F ,2020.0,james,10
ME,M,1936.0,Mary,563
ME,,1952.0,,270
,M,1976.0,John,330
ME,F,2022.0,Casey,6
ME,F,1997.0,Linda,32
ME,M,1939.0,James,242
ME,F,2005.0,,254
ME,F,2000.0,Taylor,
ME,F,1956.0,Patricia,115
ME,F,1946.0,Jordan,14
ME, M ,2012.0,Casey,450
ME,M,1998.0,Alex,113
ME,F,1960.0,Mary,331
ME,F,1944.0,jennifer,459
ME,,1931.0,Linda,168
ME,F,1996.0,Patricia,794
 ME ,M,1945.0,Robert,144
ME,F,1968.0,,281
ME,F,1968.0, Patricia ,355
ME,F,1987.0,Alex,57
ME,M,1950.0,,148
ME,M,2018.0,Taylor,300
 ME , M ,, Alex ,416
ME,M,1945.0,Michael,354
ME,F,2008.0,Mary,67
 ME ,M,1985.0,,480
ME, F ,2020.0,Linda,43
ME,M,1940.0,Michael,10
ME,,,,128
ME,M,1932.0,Michael,60
 ME ,F,1923.0,Jordan,15
ME,M,1976.0, Robert ,784
ME,M,1949.0, Casey ,56
ME,F,2007.0,,83
ME,M,1927.0,Michael,90
ME,F,1964.0,Taylor,51
ME,F,1914.0,Jordan,117
ME,F,1999.0,Alex,86
ME,F,1925.0,Mary,74
,F,1970.0,Taylor,623
ME,M,1991.0,Casey,122
ME, M ,2008.0,John,15
 ME ,M,1997.0,James,250
ME,F,2007.0,Alex,353
ME,M,1990.0,Jordan,192
ME, M ,1911.0,Jordan,20
ME,F,1992.0,Jordan,344
ME,F,2014.0,,235
,M,1941.0,John,280
ME,,1925.0,Casey,438
ME,M,1960.0,Jordan,978
ME,F,2021.0,James,96
ME,F,1944.0,Linda,24
ME,F,1990.0,Patricia,9
 ME ,,1929.0,Casey,9
ME,F,2010.0,Linda,277
ME, F ,1947.0,Jennifer,
ME,M,1924.0,James,
ME,F,1963.0,Casey,404
ME,F,1927.0,Taylor,32
 ME ,F,1916.0,Patricia,6
ME,F,1925.0,Jennifer,137
 ME ,F,2000.0,Jennifer,686
ME,M,1925.0,Robert,113
ME,,1947.0,Taylor,22
ME,F,1956.0,Alex,510
ME,M,1965.0,Robert,156
 ME ,F,1948.0,Patricia,339
ME,F,1942.0,Mary,15
ME,M,1962.0,Alex,38
ME,,1951.0,Alex,17
ME,M,1954.0,Mary,62
 ME ,F,1952.0,James,468
ME,F,1956.0,Robert,
ME,F,1946.0,Casey,526
 ME ,F,1946.0, Patricia ,75
ME,F,1977.0,Taylor,724
ME,F,1961.0,Jordan,21
ME,F,2003.0,Jennifer,17
 ME ,M,2001.0,Michael,394
ME,F,2010.0,Patricia,15
ME,M,2013.0,Robert,15
ME, F ,2011.0,Taylor,209
ME, F ,1948.0, Taylor ,95
,F,1979.0,Patricia,424
ME,F,2003.0,Linda,899
ME,M,1953.0,Robert,27
ME,M,1923.0,John,13
,F,1997.0,Jordan,10
,M,1956.0,Jordan,464
ME,M,1936.0,Casey,76
ME,M,1952.0,John,41
ME,,1992.0,alex,417
ME,M,1963.0,Robert,
ME, M ,2009.0,Alex,511
 ME ,F,2003.0,Mary,501
ME,M,1967.0,jordan,45
ME,F,1922.0,Patricia,11
,M,1977.0,John,671
ME,M,1973.0,John,209
ME, M ,1974.0,,62
ME,F,2006.0,Jennifer,74
ME,F,1986.0,Jennifer,523
 ME ,F,1999.0,Jennifer,440
ME,M,1995.0,james,256
ME, F ,,Casey,1012
ME,M,1937.0,Casey,30
 ME ,F,,Patricia,53
ME, M ,2000.0,John,78
ME,M,1962.0,Michael,182
ME,F,1972.0,Jennifer,69
ME,M,1926.0,Alex,46
ME,M,2013.0,Michael,5
ME,M,2015.0,Jordan,121
 ME ,M,1932.0,James,238
ME,F,1930.0,Alex,
ME, F ,1991.0,Taylor,114
ME,M,2008.0,Casey,9
ME,M,1966.0,Casey,82
ME, M ,1954.0,Casey,5
 ME ,F,2001.0,Linda,5
ME,M,1948.0,Robert,108
ME,F,2011.0,Casey,175
ME,F,1938.0,Jordan,150
ME,,1947.0,Robert,91
ME,F,1935.0,John,39
ME,M,1957.0,James,389
,M,,Michael,6
ME,F,, Mary ,232
ME,F,2002.0,Linda,
