state,sex,year,name,count
MS,F,1985.0,Alex,160
 MS , M ,1950.0,Robert,729
 MS ,M,1975.0,Alex,78
MS,M,2014.0,michael,35
MS,M,2007.0,Jordan,119
MS,M,1971.0,Alex,1292
MS,M,2016.0,Taylor,9
MS,M,1980.0,Michael,921
MS,F,2013.0, Casey ,25
MS,M,1933.0,Robert,11
MS,F,,Jennifer,243
MS,M,1981.0,Mary,111
MS,M,1953.0,James,558
MS,F,1968.0,Taylor,1020
MS,F,2011.0,Alex,48
MS,F,1994.0,Linda,180
MS,M,2002.0,,344
MS,M,1999.0,James,328
MS,F,1980.0,Mary,894
MS,F,1951.0,Casey,132
MS,F,1945.0,Taylor,15
MS,M,2014.0,Casey,22
MS,F,1979.0,Taylor,310
MS,F,1970.0,Patricia,617
MS,F,2016.0,Casey,126
MS,F,1944.0,Mary,639
MS,M,1959.0,Michael,319
MS,F,1954.0,Alex,161
 MS ,M,1996.0,James,698
MS,F,1949.0,Mary,512
MS,F,1986.0,Alex,97
MS,F,1954.0,Alex,161
 MS , M ,1960.0,Jennifer,119
MS,F,2013.0,Taylor,158
MS,F,1959.0,Taylor,
MS, M ,2004.0,Casey,64
MS,M,1919.0,Patricia,6
MS,,2021.0,James,46
MS,M,2005.0,Casey,148
MS,F,1960.0,Alex,650
MS, M ,1948.0,John,25
MS,F,1956.0,Jordan,420
MS,M,2002.0,James,1029
MS,M,1987.0,Taylor,353
MS,M,1977.0,Taylor,495
MS,M,2017.0,Alex,825
MS,F,1978.0,jennifer,326
MS,,1983.0,,128
 MS ,F,2011.0,Jennifer,357
MS,M,2003.0,Jordan,17
 MS ,,1987.0,Jordan,157
MS,F,2019.0,Casey,431
MS,F,1977.0,Linda,183
MS, M ,1973.0,Alex,362
MS,M,1996.0,Robert,575
MS,,1957.0,robert,1105
 MS ,M,1988.0,Taylor,667
MS,F,1944.0,Linda,591
MS, M ,2016.0,James,78
MS, F ,1990.0,Linda,37
 MS ,M,1949.0, Robert ,645
,M,1946.0,Jordan,38
MS,M,2005.0,John,57
MS,F,1955.0,Jordan,406
 MS , M ,1948.0,Michael,6
MS,F,1996.0,Patricia,1318
MS,F,2013.0,Jennifer,720
MS,M,1984.0,Jordan,237
MS,M,1989.0,Jordan,45
MS,,1954.0,Jordan,14
,F,1950.0,Patricia,747
MS, F ,1956.0,Michael,110
MS,M,1990.0,Taylor,510
MS,,1918.0,Taylor,127
MS,F,1950.0,Jordan,550
MS,F,1991.0,Jennifer,260
 MS ,F,1932.0, Mary ,
MS,M,2011.0, Mary ,297
MS,M,1985.0,James,196
MS,M,1930.0,Casey,7
MS,F,1939.0,Linda,115
MS,M,2006.0,Alex,430
MS, M ,,Michael,444
MS,M,1939.0,James,5
MS,M,1953.0,Taylor,10
MS,M,2015.0,Taylor,83
 MS , M ,1967.0,,102
MS, F ,1957.0,Alex,420
MS,F,1978.0,Taylor,275
MS,F,,Alex,332
MS,M,1952.0,Michael,63
MS,,2014.0,Taylor,25
MS,M,2010.0,Jordan,12
MS,M,1992.0,John,1059
MS,M,1948.0,Robert,
MS,M,1991.0, James ,411
MS, F ,1968.0,Casey,
MS,F,1947.0,,122
MS,M,2019.0,Alex,177
MS,M,2010.0,James,39
MS,,2004.0,John,47
