state,sex,year,name,count
NC,F,,Casey,6
NC,M,2012.0,Taylor,122
NC,F,2008.0,Casey,709
NC,M,,James,625
NC,,2004.0, Taylor ,238
 NC ,M,1963.0,John,568
 NC , F ,1998.0,Alex,18
NC,F,2009.0,Mary,16
 NC ,F,2003.0,Casey,237
NC,F,1968.0,Taylor,
 NC ,F,1923.0, Jennifer ,16
NC, F ,1942.0,jennifer,58
NC,M,2004.0,Patricia,847
NC,,1964.0,Linda,39
NC,,1944.0,Taylor,
NC,,1959.0,John,924
NC,M,1989.0,Robert,257
NC,F,1942.0,James,366
NC,F,1930.0,jordan,
NC,F,1956.0,Mary,288
NC,M,1956.0,Alex,862
,F,2012.0,Jordan,232
NC,M,1959.0,Taylor,71
NC,F,1991.0,Taylor,325
NC,F,2016.0,Mary,645
NC,M,1982.0,James,
NC, F ,1950.0,Jennifer,17
NC,M,2022.0,robert,103
 NC ,M,2019.0,Robert,8
NC,F,2001.0,Alex,44
NC,M,2013.0,Michael,10
NC,F,1961.0,Alex,142
NC,F,1974.0,Jennifer,558
NC,F,1976.0,Taylor,117
NC,M,1959.0, Michael ,288
NC,M,2016.0,jordan,
 NC ,F,2020.0,Linda,61
NC,F,1951.0,Taylor,156
NC,F,2006.0, Alex ,21
NC,M,2000.0,John,16
NC,M,1980.0,casey,615
NC,M,1912.0,Michael,26
NC,F,1942.0,Jordan,44
NC,M,1929.0,james,7
,M,1984.0,,471
NC,M,1938.0,Jennifer,67
NC,M,1981.0,Jennifer,818
NC,M,1962.0,James,327
NC, M ,1947.0, Jordan ,
NC,M,1978.0,Casey,744
NC,F,1971.0,Mary,
 NC ,M,1933.0,Robert,115
NC,F,1975.0,Alex,97
NC,F,2014.0,Taylor,24
,F,2008.0,Patricia,160
NC,M,1971.0,Jordan,562
NC,,1996.0,John,369
NC,,1951.0,Taylor,41
NC,F,1954.0,alex,14
 NC ,M,1942.0,Alex,176
NC,M,1962.0,Casey,965
NC, M ,2005.0, Casey ,15
 NC ,M,1914.0,,53
NC,M,1999.0,Casey,33
NC,M,2010.0,Robert,7
NC,M,1952.0,Jordan,166
 NC ,M,1955.0,Robert,
NC,,2007.0,Casey,
,F,1921.0,linda,24
NC,M,1970.0,Robert,226
NC,M,1940.0,John,49
NC,F,1972.0,,496
NC,F,1927.0,Jennifer,38
NC,F,1942.0,Alex,8
NC,M,1998.0,Alex,453
NC,M,1919.0,Alex,21
NC,M,1972.0,Taylor,175
NC,F,1983.0,Jordan,
NC,M,1974.0,Taylor,197
NC,M,,Michael,157
NC, M ,1980.0,John,180
NC,M,1935.0,Taylor,143
NC,F,2010.0,Mary,68
NC,F,1929.0,Patricia,16
NC,F,1984.0,Linda,271
NC, F ,1995.0,Taylor,23
NC,F,1946.0,Mary,19
NC,F,1986.0,Linda,205
NC,M,1989.0,Taylor,313
NC,M,1953.0,James,326
NC,M,1965.0,James,916
NC,M,1976.0,John,14
 NC ,M,1985.0,John,131
,M,,James,23
 NC ,M,1992.0,James,598
,F,2005.0,Mary,314
NC,,2007.0,Alex,329
NC,M,1950.0,Michael,233
NC,F,1926.0,Jennifer,237
,F,1963.0,Mary,
NC,F,1982.0,,759
NC,M,1975.0,casey,149
NC,F,1978.0,Linda,618
NC,F,1959.0,Patricia,20
NC,F,1915.0,Patricia,66
NC,M,2010.0,alex,552
NC,F,1998.0, Linda ,71
 NC ,M,1992.0,Michael,502
NC,F,2009.0,Casey,58
NC,F,1969.0,Alex,67
NC,M,1997.0,Taylor,220
 NC ,M,,John,10
NC, F ,1966.0,Jordan,180
NC, F ,1938.0,Jordan,13
NC,M,2016.0,Casey,80
 NC , M ,1966.0,Mary,679
NC,F,1949.0,Patricia,444
NC,F,1944.0,,156
NC,M,1984.0,Taylor,894
NC,F,1981.0,Casey,433
NC,F,1997.0,John,922
 NC ,F,1989.0,Jennifer,400
NC,M,1915.0,John,23
NC,M,1970.0,Taylor,93
NC,F,1950.0,Mary,28
NC, M ,2013.0,alex,77
NC,M,1963.0,Alex,155
NC,M,1952.0,Casey,10
 NC ,F,1925.0,Linda,10
NC,M,1927.0,Casey,89
NC,F,2008.0,Jennifer,7
NC,F,1922.0,Alex,12
NC,M,1929.0,,79
,F,1961.0,Jordan,711
NC, M ,1978.0,Taylor,230
NC,M,1989.0,Linda,694
NC,F,1954.0,Taylor,48
 NC ,F,2000.0,Jordan,287
NC,F,,Linda,41
 NC ,F,1945.0,Alex,590
NC,M,1966.0,Taylor,92
NC,F,1961.0,Taylor,292
NC,M,1962.0,John,146
