state,sex,year,name,count
,,1914.0,Alex,5
ND,F,1937.0, Jordan ,147
ND,M,1992.0,John,954
ND,M,1925.0,Taylor,35
ND,F,2018.0,Jennifer,142
ND,F,2011.0,Taylor,411
ND,F,1981.0,Linda,1003
ND,F,2003.0,Jordan,14
ND,F,1953.0,jennifer,254
ND, F ,1967.0,Casey,490
ND,M,1966.0,James,55
ND,F,1997.0,John,199
ND,F,1973.0,patricia,487
ND,,1955.0,Casey,414
ND,F,1986.0,Taylor,396
ND,M,1927.0,John,279
ND,M,1927.0,James,
ND, M ,1993.0,taylor,404
ND,F,1961.0,Linda,21
ND,F,1982.0,Jennifer,386
ND, F ,2008.0,Linda,34
ND,M,1938.0,Taylor,161
ND,F,1947.0,Linda,16
ND, M ,1950.0,Robert,
 ND ,F,1941.0,,303
ND,F,2006.0,Mary,616
ND,F,1932.0,Patricia,154
ND,M,1997.0, Jordan ,268
ND,M,1936.0,Taylor,17
ND, F ,1940.0,Alex,315
 ND ,,1990.0,Jordan,148
ND, M ,1933.0,Michael,217
ND,F,1960.0,Alex,43
 ND ,M,1955.0,Jordan,490
ND,M,1949.0,Taylor,57
ND,F,2004.0,Casey,473
ND,M,1962.0,Michael,734
ND,F,1920.0, Linda ,25
ND,M,1914.0,Michael,13
ND,M,1921.0,John,31
ND,F,2014.0,Casey,639
ND,F,1931.0,,32
ND,F,1951.0,Casey,146
ND,F,1989.0, Casey ,319
ND,M,1996.0,Taylor,802
ND,F,1963.0,Casey,291
ND,,1938.0,Jordan,376
ND,F,2022.0,Alex,104
ND,F,1990.0,Casey,784
ND,,1979.0,Alex,930
ND,M,1928.0,Linda,144
ND,F,1973.0,Taylor,506
 ND ,F,1986.0,Patricia,448
ND,M,1942.0,Casey,11
ND,F,2004.0,Patricia,230
ND,M,1967.0,,38
ND,M,1958.0,Jordan,10
ND,F,1928.0, Taylor ,74
 ND ,M,1923.0,Taylor,13
ND,F,1981.0,casey,763
ND,F,2011.0,Jennifer,687
ND, M ,1955.0,Taylor,179
ND,M,1950.0,James,40
 ND ,F,2013.0,Linda,11
ND,F,1948.0,Jordan,5
ND,M,2020.0,James,236
ND,F,2011.0,Casey,165
ND,F,1980.0,Casey,188
ND,M,1990.0,Jordan,336
 ND ,M,1943.0,Jordan,302
ND,M,1940.0,Casey,327
,F,1977.0,Robert,57
ND,M,1965.0, Casey ,196
ND, F ,,Taylor,829
ND,,1934.0,Mary,482
ND,M,1981.0,Alex,282
ND,M,1963.0,Alex,29
ND,F,1990.0,Patricia,277
ND,M,1975.0,James,94
ND,M,1977.0,Jennifer,133
ND,M,1971.0,,265
ND,M,2020.0,Alex,525
ND,M,1977.0,James,58
ND,M,2007.0,Michael,508
ND,M,1965.0,Jordan,50
ND,M,1976.0,Alex,622
ND,M,1969.0,Alex,79
ND,F,1948.0,Casey,613
ND,F,1931.0,,157
ND,F,1992.0,Taylor,114
ND,F,1954.0,James,71
,F,1941.0, Taylor ,6
 ND ,F,1936.0,Patricia,27
 ND ,F,1965.0,Linda,269
ND, M ,1962.0,James,107
ND,F,1978.0,Jennifer,127
 ND ,F,,jordan,292
ND,M,1991.0,James,552
ND, M ,2009.0,James,14
,F,2000.0, Jordan ,580
ND,F,1937.0,Patricia,19
ND,F,1941.0,Jennifer,16
ND,F,2009.0,linda,272
ND,M,1955.0,Robert,255
ND,F,1995.0,Patricia,12
ND,M,1997.0,Casey,566
ND,F,1956.0,Alex,725
ND,F,1963.0,Taylor,91
ND,F,2012.0,Casey,6
ND,M,1990.0,John,863
ND,F,1956.0,Linda,1141
ND,M,1964.0,John,551
ND,F,1977.0,Taylor,456
ND,F,1955.0,Jordan,14
ND,F,1940.0,Jennifer,16
ND,M,1959.0,Taylor,397
ND, M ,1962.0,Jordan,399
ND,F,,Taylor,89
ND, M ,1998.0,John,222
 ND ,M,1999.0,Taylor,191
ND,M,2000.0,Michael,453
ND,M,1960.0,Robert,41
ND,F,1939.0,Taylor,75
ND,M,1991.0,Michael,817
ND,M,1953.0,Jordan,441
ND,M,1981.0,Jordan,12
ND,M,1981.0,Robert,318
ND,F,1983.0, Casey ,590
ND,M,1953.0,Alex,489
ND,M,1964.0,Jordan,207
ND, F ,2010.0,,8
ND,F,2008.0,Alex,451
ND,F,1946.0,Casey,
ND,M,1987.0,John,184
ND,M,1954.0,Casey,557
ND,F,2001.0,Jennifer,891
ND,M,1916.0,Michael,9
ND,M,1978.0,Taylor,284
ND,F,2018.0,Linda,7
ND,M,,Taylor,6
ND,M,1931.0,Robert,118
 ND ,M,1962.0,John,151
ND,F,1926.0,Patricia,7
ND, M ,2016.0,Patricia,64
ND,M,,Alex,25
ND,M,2018.0,James,48
ND,M,1932.0,Michael,52
ND,M,1911.0,,50
ND,M,2001.0,John,121
ND,F,1982.0,Patricia,69
 ND ,M,1989.0,Casey,167
ND,F,1964.0,Jennifer,60
 ND ,M,2021.0,Taylor,
ND,M,1953.0,Robert,138
ND,F,1972.0,Taylor,1070
ND,M,1975.0,Alex,412
ND,F,1978.0,Alex,464
ND,F,2019.0,jordan,917
ND,M,1965.0,Robert,
ND,F,1968.0,Patricia,9
ND,M,1953.0, Casey ,571
ND, F ,,Casey,90
ND,M,1953.0,james,81
 ND ,M,1965.0,Taylor,355
ND,M,1916.0,Jordan,23
ND,M,,John,345
ND,M,1968.0,Jordan,356
ND,F,2015.0,Alex,26
ND,F,1981.0,,290
ND,M,1993.0,Michael,371
ND,F,1994.0,Patricia,860
ND, F ,2018.0,Mary,378
ND,F,1965.0,Jennifer,939
ND,M,1941.0,Robert,100
ND,F,2014.0,Linda,237
 ND , M ,1965.0,James,287
ND,F,1993.0,Linda,1597
ND,F,1970.0,Casey,15
ND,M,1988.0,James,10
 ND ,M,1922.0,James,106
ND, F ,1978.0,Mary,209
ND,F,1983.0,Patricia,377
ND,F,1961.0,Mary,242
ND,M,1952.0,James,44
ND,F,1966.0,,136
ND,F,1934.0,Linda,146
ND,M,1999.0,Robert,824
ND,M,1968.0,Taylor,279
ND,M,1960.0,Jennifer,14
ND, F ,1988.0,Taylor,132
ND,M,2004.0,John,258
ND,F,2001.0,Jordan,1150
ND,F,1930.0,Mary,288
ND,M,1940.0,linda,60
ND,M,2014.0,Alex,348
ND,F,1976.0,Patricia,423
ND,M,1969.0,Michael,720
ND,F,1991.0,Linda,758
ND,M,1923.0, Jordan ,194
 ND ,M,2004.0,Michael,232
ND, M ,1947.0,Taylor,65
