state,sex,year,name,count
NJ,M,1999.0,Casey,281
NJ,M,1930.0,Casey,35
NJ,F,2001.0,Casey,7
NJ,F,2011.0,Alex,39
NJ,M,1937.0,James,53
NJ,M,1955.0,Michael,286
NJ,M,1913.0,Robert,9
NJ,M,2017.0,Robert,228
NJ,M,2002.0,Alex,
 NJ ,F,1955.0,Taylor,115
NJ,,1973.0,Jordan,114
NJ,M,1987.0, Taylor ,372
NJ,F,2003.0,Patricia,282
NJ,M,2014.0,Jordan,12
NJ,M,,Robert,643
NJ,M,1989.0,taylor,368
NJ,,1915.0,Patricia,50
NJ,F,1959.0,Alex,887
NJ,F,2001.0,Jordan,188
NJ,M,2004.0,Alex,772
NJ,F,1977.0,Linda,254
NJ,F,1996.0,Casey,495
NJ, M ,,James,43
,M,1994.0,Alex,945
 NJ ,F,1997.0,Patricia,732
NJ,M,1940.0,Michael,29
NJ,F,,Jennifer,580
NJ, M ,1961.0, Michael ,
NJ,F,1964.0,Mary,19
NJ,M,1957.0,James,233
NJ,M,2001.0,alex,524
NJ, M ,2017.0,Taylor,235
NJ,M,1987.0,,302
,M,1998.0,Taylor,110
NJ,F,2020.0,,152
NJ,F,1956.0,Linda,71
NJ,F,2013.0,Robert,83
NJ,M,1932.0,James,28
NJ,M,1997.0,Alex,210
,M,1958.0,taylor,82
NJ,F,1956.0,Mary,250
NJ,M,1948.0,Michael,655
NJ,F,1951.0,,461
NJ,F,1962.0,Mary,621
NJ, F ,1936.0,Mary,101
NJ,F,1995.0,Mary,60
NJ, M ,1998.0,,166
NJ,M,1917.0,Jordan,94
NJ,M,1995.0,Alex,68
NJ,M,1969.0,Casey,201
,F,1959.0,Jordan,159
NJ,F,1979.0,Alex,347
NJ,F,2015.0,Patricia,40
NJ,F,1947.0,Mary,562
NJ,M,2014.0,Michael,71
NJ,F,2006.0,Casey,58
NJ,F,1992.0,Linda,150
 NJ ,M,1983.0,Taylor,74
NJ,F,1946.0,Patricia,304
NJ,M,1955.0,Robert,88
NJ,M,,Taylor,701
NJ,F,2021.0,Mary,6
NJ,F,1930.0,Casey,22
NJ,F,1971.0,Taylor,584
NJ,F,1991.0,Mary,170
NJ,F,1983.0,Alex,39
NJ,F,1942.0,Mary,39
NJ,F,2015.0,Jennifer,49
NJ, M ,1936.0,,134
 NJ ,M,2013.0,Robert,93
NJ,F,1984.0,Mary,223
NJ,F,1977.0,Alex,
,M,1999.0,Taylor,526
NJ,M,1999.0, John ,66
NJ,F,1975.0,Linda,364
NJ, F ,1991.0,,118
NJ,M,1991.0,Taylor,38
NJ,M,1939.0,John,10
NJ,M,2022.0,Casey,394
 NJ ,F,2004.0,Casey,120
,M,1929.0,Alex,119
NJ,M,2012.0,Robert,198
NJ,M,1966.0,James,530
NJ,M,1996.0,Michael,1717
NJ,,2002.0,Taylor,322
NJ,M,1961.0,James,440
NJ,F,1985.0,Casey,116
NJ, M ,1943.0,Michael,20
NJ,M,1980.0,Michael,125
NJ,M,1991.0,Alex,620
NJ,F,1989.0,Patricia,586
NJ,F,2011.0,Mary,92
NJ,F,1951.0,casey,12
NJ,F,1958.0,Mary,97
NJ,F,2008.0,Jennifer,254
NJ, F ,1948.0,Jennifer,373
NJ,M,2011.0,Robert,442
NJ,M,,,
NJ,F,1962.0,Jordan,98
NJ,F,1939.0,Linda,82
NJ,M,1995.0,Michael,966
 NJ ,M,1984.0,Casey,134
NJ,,1925.0, Linda ,499
NJ,M,,Michael,631
NJ,F,1985.0,,92
 NJ , F ,1996.0,alex,562
 NJ ,M,1916.0,Alex,27
NJ,M,2022.0,Alex,34
NJ,M,1923.0,Alex,12
NJ,F,1990.0,Casey,364
NJ,M,1992.0,Michael,399
NJ,F,1988.0,Linda,471
 NJ ,M,, Jordan ,35
NJ,F,1981.0,Alex,458
NJ,F,1952.0,Linda,96
NJ,F,2018.0,Taylor,74
NJ,F,2007.0,Taylor,27
NJ,M,1967.0,Robert,1088
 NJ , M ,2010.0,Michael,10
NJ,M,2015.0,Patricia,234
NJ,F,2010.0,Patricia,271
NJ,M,1968.0,Taylor,170
NJ,M,1998.0,,108
NJ,F,1914.0,Taylor,97
NJ,M,1975.0,Alex,155
NJ,F,2003.0,,29
NJ,F,1940.0,,163
NJ,,1964.0,Alex,124
NJ,F,1962.0,Casey,179
NJ,F,2021.0,Linda,102
NJ,,1980.0,Jennifer,49
NJ,M,2021.0,Casey,216
NJ,F,1987.0,Patricia,269
NJ,M,1965.0,Taylor,252
NJ,,1957.0,Jennifer,1263
NJ,F,1915.0,Jennifer,20
NJ,M,1977.0,Alex,1026
NJ,M,2019.0,James,11
NJ, M ,1994.0,Taylor,837
NJ,M,1970.0, John ,136
NJ,M,1931.0,Jordan,8
NJ,F,1966.0,John,938
NJ,M,2001.0,John,145
,F,1965.0,Mary,144
NJ,M,1928.0,Robert,41
NJ,M,2011.0,Taylor,337
NJ,F,1986.0,Casey,414
NJ,M,1985.0,Robert,531
NJ,M,1941.0,Alex,153
NJ,M,1922.0,John,5
NJ,F,2014.0,Taylor,184
,,1930.0, Patricia ,78
NJ,M,1989.0,Robert,793
NJ,F,1952.0,Alex,
NJ,F,1997.0,James,115
NJ,M,1987.0,Jordan,312
,F,2016.0,casey,319
NJ,F,2018.0,Alex,30
NJ,M,1971.0,Taylor,442
NJ,M,1919.0,Linda,7
NJ,M,1917.0,Michael,5
NJ,F,2000.0,Jordan,819
,M,1983.0, Casey ,400
 NJ ,F,1915.0, Taylor ,6
NJ, F ,,Jennifer,143
NJ,M,1939.0,Casey,177
NJ,F,1948.0,,202
NJ,M,1924.0,Casey,21
NJ,M,1928.0,John,24
 NJ ,F,, Linda ,278
NJ,M,1921.0,Robert,121
NJ,M,2017.0,Robert,228
NJ,M,1941.0,Michael,754
NJ,M,1949.0,Michael,78
 NJ ,F,2007.0,Mary,769
,F,2006.0,,92
NJ, M ,1975.0,Michael,577
NJ,F,1957.0,Taylor,896
NJ,M,2021.0,John,160
NJ,M,1949.0, Casey ,438
 NJ ,F,2005.0,Mary,172
NJ,M,1916.0,Robert,11
NJ,M,1975.0,James,646
NJ,F,1980.0,Mary,259
NJ,M,1947.0,Taylor,93
NJ,F,2004.0,Alex,24
NJ,F,1998.0,Casey,211
NJ,M,,Michael,1050
,M,2012.0,Michael,1047
NJ,F,1916.0,Jordan,14
NJ,M,1954.0,Michael,107
NJ,F,1974.0,,615
NJ,F,2001.0,,376
NJ,M,1975.0,Casey,48
NJ,M,2011.0,John,33
NJ,M,1924.0,James,103
NJ,F,1946.0,Taylor,15
NJ,F,1985.0,Jennifer,116
NJ,F,1981.0,Mary,300
NJ,F,2006.0,,117
NJ, M ,1953.0,Casey,837
,,1959.0,Michael,160
NJ,F,1981.0,Casey,
NJ, M ,1976.0,John,49
NJ,M,1984.0,John,26
NJ,F,1934.0,Linda,298
NJ,,1942.0,Jordan,41
NJ,F,1934.0,Alex,459
 NJ ,,1939.0,Mary,
NJ,M,1974.0, Casey ,449
NJ,F,1935.0,Michael,
NJ,M,1983.0,Michael,121
NJ,M,2003.0,Jordan,354
NJ,M,1977.0, Casey ,620
NJ,M,2007.0,Taylor,178
NJ,F,1925.0,Jennifer,50
 NJ ,M,2005.0,John,455
 NJ ,M,1997.0,Michael,419
NJ,F,1944.0,Mary,24
NJ,,1944.0,Jordan,65
 NJ ,F,1992.0,Jennifer,80
NJ,M,2015.0,Jordan,27
NJ,M,1977.0,Robert,679
NJ,F,2003.0,Jordan,1141
NJ,F,1936.0,Taylor,6
NJ,M,2006.0,Casey,192
NJ,M,1970.0,Taylor,852
NJ,,1988.0,James,29
NJ,M,1980.0,Casey,645
NJ,M,1985.0,John,516
NJ,M,2020.0,Michael,30
NJ,F,1987.0,Mary,410
 NJ ,F,1915.0,Alex,92
NJ,F,1964.0, Linda ,228
,F,,,430
NJ,F,1976.0,,469
NJ,M,1921.0,taylor,16
NJ,M,1971.0,Alex,509
NJ,M,1922.0,Alex,8
NJ, M ,2014.0,James,740
 NJ , F ,,Mary,
 NJ ,M,2009.0,Linda,114
NJ,F,1980.0,casey,552
NJ,M,1925.0,Taylor,321
NJ, F ,1957.0,Casey,184
NJ, M ,,Jordan,509
NJ,,1928.0,Alex,6
 NJ ,F,1957.0,Jordan,
NJ,F,2001.0,Patricia,466
NJ,F,1996.0,Linda,305
NJ,F,1982.0,Linda,13
NJ,M,1962.0,Jordan,27
NJ,F,1965.0,Alex,960
,M,2008.0,jordan,30
NJ, M ,1977.0,James,551
 NJ ,M,1974.0,Michael,659
NJ,M,1990.0,Jennifer,90
NJ,M,1934.0,michael,5
NJ,M,1997.0,Robert,188
NJ,F,,Jennifer,76
NJ,F,1984.0,John,748
NJ,,1968.0,Patricia,88
NJ,M,2008.0,Casey,23
NJ,M,2018.0,John,58
NJ,M,1949.0,James,216
NJ,F,1986.0,John,288
 NJ ,F,2003.0,Taylor,123
NJ,F,1920.0,Taylor,13
NJ,F,2005.0,alex,545
NJ,,2001.0,casey,35
NJ,M,1971.0,Robert,269
NJ,F,1941.0,Taylor,60
NJ,M,2003.0,Michael,44
NJ, F ,1982.0,Patricia,603
NJ,F,1971.0,Jennifer,146
NJ,F,1922.0, Alex ,22
NJ,,2010.0,Jordan,9
NJ,M,1920.0,Alex,6
NJ,F,1997.0,Jordan,17
 NJ ,M,1921.0,John,79
NJ,M,1965.0,,444
NJ,F,1982.0,Casey,145
NJ,M,1984.0,Alex,78
NJ,F,1953.0,Linda,39
NJ,,2011.0, Alex ,36
NJ,F,1917.0,Jordan,6
NJ,F,1950.0,,604
NJ,F,2001.0,Jennifer,104
NJ,F,1981.0, Jennifer ,349
NJ,F,2015.0,Alex,26
NJ,M,1932.0,Casey,34
NJ,F,1945.0,Alex,128
 NJ ,F,,casey,53
NJ,F,2020.0,Jennifer,156
NJ,F,1956.0,Alex,496
NJ,F,1995.0,Jennifer,30
NJ,M,1991.0,Casey,606
NJ,F,1964.0,Jennifer,622
NJ,M,1943.0,Jordan,6
 NJ ,F,1969.0,Jennifer,837
NJ,F,1996.0,Jordan,233
NJ,M,2015.0,Taylor,387
 NJ ,,1963.0,Michael,77
NJ,F,1996.0,Jennifer,926
 NJ ,M,2008.0,Taylor,728
NJ,F,,Mary,147
,F,1923.0,Mary,10
NJ, F ,1949.0,Jordan,60
NJ,M,1958.0,Robert,25
 NJ ,M,1965.0,Alex,109
NJ,M,1940.0,Casey,124
NJ,F,1968.0,alex,214
NJ,F,,Taylor,344
NJ, F ,1990.0,Patricia,963
NJ,F,1978.0,Mary,22
NJ,M,1970.0,Michael,
NJ,F,1990.0,Taylor,825
NJ,F,1966.0,Taylor,13
NJ,,1959.0,Alex,36
