state,sex,year,name,count
 OK ,M,1946.0,Alex,216
OK,M,1999.0,Robert,376
OK,F,2021.0,Patricia,257
OK,M,1949.0,James,863
 OK ,F,2004.0, Mary ,235
OK,F,2002.0,Patricia,574
OK,F,2001.0,Jennifer,6
 OK ,M,2009.0,John,185
OK, M ,1968.0,James,375
OK, F ,1934.0,Casey,297
OK,,1962.0,,1069
OK,F,2014.0,Taylor,6
OK,M,1948.0,Jordan,9
OK,F,1958.0,Jordan,57
OK, F ,1937.0,Alex,39
OK,F,1971.0,Jordan,678
OK,M,2002.0,Michael,725
 OK ,M,2007.0,Robert,53
OK,F,2007.0,Linda,982
OK,M,1996.0,Taylor,418
OK, M ,1932.0,robert,17
OK,F,1910.0,Jordan,37
OK, F ,1944.0, Casey ,8
OK,F,1952.0,Taylor,460
OK,F,1989.0,Jordan,822
OK,F,2007.0,Michael,234
OK,,1945.0, Michael ,
OK,M,1970.0,James,439
,F,,Michael,36
OK,M,1934.0,Robert,45
OK,F,2009.0,Alex,393
OK,F,1954.0,Jordan,71
OK,F,1964.0,,38
OK,,,Alex,1031
OK,F,1945.0,Linda,54
OK,,1989.0,james,113
OK, M ,2014.0, Robert ,
OK,F,1925.0,Taylor,29
OK,M,2006.0,Robert,27
OK,M,2014.0,Linda,145
OK,F,1995.0,Alex,286
OK,M,1983.0,James,105
OK,M,1966.0,Jordan,179
OK,M,1980.0,Taylor,430
OK,M,1961.0,Taylor,403
OK,,1967.0,Michael,593
OK, F ,1955.0,Alex,80
 OK ,F,1949.0,Jordan,28
OK,M,1998.0,alex,295
OK,F,2016.0,Mary,23
OK,F,2006.0,Patricia,17
OK,M,1958.0, Alex ,26
OK,M,1997.0,John,476
OK,,1935.0, Linda ,16
 OK ,F,2001.0,Jordan,63
OK,F,1931.0,Taylor,5
OK, F ,1959.0,,55
OK,F,2007.0,Mary,30
,M,1951.0,James,157
OK,F,1932.0,Taylor,166
OK,F,1971.0,Jennifer,925
OK,M,1975.0,Taylor,223
OK,F,1957.0,Linda,21
OK,F,2022.0,Patricia,6
OK,F,1948.0,Taylor,15
OK,M,1982.0,John,455
OK,M,1995.0,Robert,343
OK,F,1999.0,Casey,222
OK,F,2022.0,Linda,150
OK,M,1947.0,James,
OK,F,, Patricia ,20
OK,M,2005.0,Taylor,339
OK,F,2006.0,Mary,368
OK,F,2020.0,Mary,77
OK,M,1951.0,Alex,60
OK,F,1925.0,,176
OK, M ,1944.0,,454
OK,M,1921.0,Jordan,24
OK,F,1968.0,Linda,361
OK,F,1956.0,Jordan,7
OK,M,2009.0,Taylor,23
OK,F,1985.0, Jennifer ,1322
OK,M,1952.0,Mary,77
,M,1934.0,Michael,37
OK,M,1961.0,,244
OK,M,1921.0,Casey,14
OK, M ,1963.0,Jordan,18
OK, F ,2002.0,Casey,76
OK,F,2015.0,Taylor,229
OK,F,1949.0,Linda,47
OK,F,1930.0, Michael ,44
