state,sex,year,name,count
,F,1910.0,Mary,27
 OR ,F,1994.0,Alex,95
OR,,1973.0,Jordan,295
OR,M,1997.0,Jordan,26
OR,F,2015.0,Alex,591
OR,F,2007.0, Linda ,449
OR,F,,John,
,F,1967.0,linda,305
OR,M,1951.0,Casey,75
OR, M ,1924.0,Robert,32
OR,M,1918.0,Alex,109
OR,F,1980.0,Casey,39
OR,F,1996.0,Taylor,389
OR,M,2011.0,Taylor,605
OR,M,1992.0,Casey,42
OR,F,1984.0,,
OR, F ,1932.0,Alex,78
OR,M,1975.0,Michael,1267
OR,F,2004.0,John,231
 OR ,M,1989.0,Jordan,397
OR,M,1998.0,Jordan,241
OR,F,1988.0,Patricia,33
OR,F,2011.0,Michael,215
OR, M ,1977.0,Alex,359
 OR ,M,1967.0,Taylor,344
OR,M,1980.0,,138
OR,F,1975.0,Casey,150
OR, M ,2003.0,Michael,619
OR,F,2012.0,Patricia,41
,F,1927.0,Patricia,19
OR,M,1938.0,Alex,34
OR,M,1951.0,John,162
 OR ,M,2004.0,Michael,414
OR,M,1918.0,Casey,6
OR,M,1944.0,Alex,65
OR,F,1938.0,Linda,16
OR,F,1978.0,Taylor,135
OR,M,1940.0,Robert,156
OR,M,,Alex,42
OR,F,1972.0,Taylor,547
OR,M,1938.0,Alex,34
OR, F ,1925.0,Jordan,13
OR,F,1964.0,Patricia,200
OR,F,,Robert,14
OR,F,1997.0,Linda,
OR,F,1968.0,Jennifer,97
OR,F,1937.0,John,151
OR,F,1967.0,Jennifer,16
OR,F,1993.0,Patricia,421
OR,F,1980.0,Jennifer,49
OR, F ,1988.0,Linda,104
OR,F,1969.0,patricia,165
OR,M,1930.0,John,11
OR,F,1990.0,,429
OR,F,1953.0,Jordan,56
OR,M,1957.0,john,67
,M,,Alex,90
OR,F,1957.0,Jordan,697
 OR ,F,1996.0,casey,
OR,M,1943.0,Michael,201
OR,M,1959.0,John,613
OR,M,,Jordan,1011
OR,F,1979.0,Mary,1016
OR,M,1923.0,John,8
OR,M,1985.0,Robert,117
OR, F ,1983.0,mary,556
OR,M,1946.0,John,5
OR,M,1912.0,Taylor,7
OR,M,2010.0,Alex,857
OR,M,1976.0,Taylor,247
 OR ,F,1958.0,Linda,57
OR, M ,1945.0,James,223
OR,M,2002.0,jordan,155
OR,F,1981.0,Taylor,412
OR,M,1941.0,Michael,221
OR,M,1932.0,James,42
OR,F,2009.0,Jennifer,26
, M ,2008.0,Jordan,8
,M,1941.0,Jordan,381
OR,F,1961.0,Taylor,881
OR,M,2004.0,Taylor,360
OR,M,2004.0,Alex,19
 OR , M ,1964.0,James,314
OR,M,1995.0, Jordan ,136
OR,M,1933.0,John,51
OR,F,1992.0,mary,236
OR,M,2017.0,Casey,61
OR,M,1930.0,Casey,197
 OR ,M,2012.0,,649
OR,F,1925.0,Mary,363
OR,F,1955.0,Alex,186
 OR ,F,1972.0,Mary,156
OR,M,1941.0,John,140
OR,F,1960.0,Linda,51
,M,1931.0,Taylor,53
OR,F,1952.0,John,20
OR,M,1917.0,Jordan,110
OR,M,1947.0,Michael,
OR,F,1938.0,Jennifer,13
OR,F,1992.0,Taylor,206
OR,F,1998.0,Patricia,962
OR,,1952.0,Taylor,10
OR,M,2016.0,James,372
OR, F ,1979.0,Linda,221
OR, M ,1912.0,James,15
OR,M,1956.0,James,482
OR,,2020.0,Jordan,262
OR,M,1930.0,Robert,147
OR,M,1946.0, James ,34
OR,F,1951.0,Jennifer,91
OR,M,1959.0,Robert,191
OR,F,1973.0,Jennifer,121
OR,M,1994.0,Casey,44
OR,M,1952.0,Linda,410
OR,M,1971.0,Casey,
OR,M,, Michael ,
OR,M,1974.0,Robert,20
OR,M,1990.0,Robert,269
OR,F,1983.0,Jordan,476
OR,F,1927.0,Casey,151
OR,M,1939.0,James,47
OR,F,1911.0, Alex ,5
OR,F,1999.0,Mary,19
OR,M,1964.0,John,213
,M,2021.0,Robert,64
OR,F,1920.0,John,7
 OR ,F,1960.0,Patricia,195
OR,M,2013.0,John,185
OR,M,1963.0,Alex,38
OR,F,1979.0,Jennifer,726
OR,F,1950.0,Patricia,799
 OR ,M,1976.0, Casey ,328
OR,F,1923.0,Jordan,130
 OR ,F,,Jordan,661
OR,F,2008.0,Alex,68
OR,F,1928.0,,72
OR,M,1983.0,,1530
OR,M,1991.0,Jordan,409
OR, F ,, Mary ,266
OR,F,2005.0,Alex,599
OR,F,1991.0,Jennifer,569
OR,,2022.0,Jordan,169
OR,M,1950.0,John,9
 OR , M ,1989.0,Robert,54
OR,F,2002.0,Patricia,337
OR,M,,John,355
OR,F,2013.0,taylor,9
OR,M,1971.0,Michael,195
OR, M ,1924.0,Michael,172
,M,1960.0,Casey,408
OR,M,1949.0,Michael,
OR, M ,1930.0, Alex ,5
OR,,1928.0, Taylor ,88
OR,F,, Jennifer ,219
OR,F,2009.0,Alex,55
OR,M,2005.0,Michael,1496
OR,,1975.0,,
OR,M,1961.0,Taylor,384
OR,F,,jennifer,54
OR,M,1916.0,,142
 OR ,F,1998.0,Jordan,129
OR,F,1941.0, Alex ,211
OR,M,1971.0,james,218
OR,M,,Jordan,722
OR, F ,2002.0,Linda,425
OR,F,1959.0,Jordan,447
OR,M,2013.0,James,30
OR,,1998.0,Linda,42
OR,F,2008.0,Mary,74
OR,F,1934.0,Jennifer,9
OR,F,1946.0,Mary,711
OR, F ,1982.0,Mary,570
OR,M,1986.0,James,473
OR,M,1961.0,Jordan,256
OR,M,1940.0, Jordan ,93
OR,M,1967.0,John,602
,M,2001.0,Taylor,637
OR,M,1962.0,Jordan,280
OR,M,2006.0, Robert ,224
OR,M,1979.0,Taylor,211
OR,F,1934.0,Casey,8
OR, F ,1954.0,Taylor,325
 OR ,M,2001.0,John,106
OR,F,1931.0,Jennifer,120
 OR ,M,1993.0,Taylor,24
OR,F,1942.0,,26
OR,M,1941.0,Michael,221
OR,F,1973.0,Taylor,
OR,F,,Jennifer,45
OR,M,1984.0,Robert,330
 OR ,M,1975.0,John,332
OR,M,1945.0,Patricia,10
 OR ,M,1982.0,John,345
OR,F,2012.0,Linda,24
OR,M,1974.0,Taylor,45
OR,M,1963.0,James,113
OR,F,1958.0,Patricia,
OR,M,2019.0,Casey,191
OR,M,1982.0,Michael,284
OR,F,,Linda,19
OR,,1954.0,James,32
OR,F,1918.0,Michael,5
OR,F,1954.0,Mary,60
 OR ,M,2008.0,Michael,6
OR,M,1933.0, Alex ,9
OR,M,2009.0,Michael,158
OR,F,1937.0,Casey,301
OR,F,1971.0,Mary,462
OR,M,1961.0,Michael,937
OR,M,2011.0,Robert,656
OR,M,1978.0,Michael,649
OR, F ,1990.0,Taylor,648
OR,M,1973.0,,164
OR,F,1941.0,Mary,65
OR,M,1992.0,Jordan,16
OR,M,1953.0,John,373
OR,F,1943.0,Jennifer,271
OR, F ,1970.0, Mary ,226
OR,M,2017.0,Robert,25
OR,F,1973.0, Mary ,302
OR,M,2009.0,Robert,65
OR, M ,1922.0,Alex,375
,,1920.0,Jordan,260
OR,M,1938.0,Casey,
,M,1940.0,Alex,58
OR,F,1936.0,Linda,147
OR,F,1996.0, Alex ,63
OR,F,1980.0,John,664
OR,M,1918.0, James ,104
OR, F ,2022.0,Mary,
OR,F,1971.0,John,90
OR,F,1959.0,Jennifer,979
OR, F ,1946.0,Casey,40
OR,F,1986.0,jennifer,1048
OR,M,2008.0, Alex ,9
 OR ,M,1955.0,John,43
OR,M,1938.0,Taylor,189
OR,,1935.0,,40
OR,F,1954.0,Patricia,88
OR,F,1972.0,Patricia,1307
OR,M,1998.0,James,231
OR,F,1971.0,Jennifer,309
OR,F,1978.0,Linda,114
OR,M,,John,710
, F ,1939.0,Alex,675
OR,M,1983.0,Robert,70
OR,M,1954.0,Taylor,182
 OR ,M,1974.0,John,162
OR,F,1968.0,jordan,156
OR,M,1970.0,Michael,471
OR,F,1988.0,Mary,35
OR, M ,1919.0,Taylor,50
OR,F,1938.0,Mary,85
OR,F,1943.0, Taylor ,454
OR, F ,1958.0,Michael,98
OR,M,2014.0,Taylor,177
OR,F,1980.0,Jordan,
OR, F ,, Jordan ,272
OR,M,2007.0,Alex,723
,M,1965.0,James,242
OR,M,1924.0,Alex,8
 OR ,F,2010.0,Jordan,75
OR,M,,John,355
OR,M,1977.0,Casey,456
OR,F,2004.0,Mary,797
OR,F,,,409
OR,M,1940.0,Michael,
,F,1951.0,Casey,527
OR,F,1942.0,Mary,14
OR,M,2000.0,James,210
OR,M,1980.0,Michael,346
OR,F,1947.0,Linda,44
OR,F,1966.0,Mary,30
,M,1998.0,Taylor,308
OR,F,1971.0,Taylor,96
OR,M,1950.0,Casey,13
 OR ,M,1939.0,Michael,34
OR,F,1950.0,Mary,115
OR,M,1945.0,Jordan,290
OR,M,1960.0,,327
OR,F,1977.0,Jennifer,87
 OR ,F,1970.0,Jordan,
OR,M,1964.0,Jordan,314
OR,F,2013.0,Alex,23
OR,F,1993.0, Mary ,440
OR,F,1941.0,,102
OR, F ,1930.0,Jordan,186
OR,,1937.0,alex,25
OR,M,1994.0,Jordan,190
OR, M ,1992.0,Taylor,80
OR,M,1979.0,Jordan,136
OR,F,1982.0,Alex,526
OR,M,2019.0,Alex,13
OR,F,1924.0,Mary,18
OR,F,1996.0,patricia,88
OR,M,1985.0,Jordan,574
OR,F,1966.0,,533
OR,F,1995.0,Jennifer,750
OR,M,1933.0,Robert,13
OR,M,2021.0,James,9
OR,M,1958.0,John,108
 OR ,F,1932.0,Jennifer,187
OR,M,1940.0, Linda ,14
 OR ,M,1973.0,Alex,234
 OR ,M,1952.0,Taylor,96
OR, M ,1936.0,Alex,114
OR,M,1977.0,John,377
OR,F,2002.0,Taylor,552
OR,M,1975.0,Alex,336
 OR ,M,2015.0,casey,7
OR,F,1986.0,Patricia,78
OR,F,1949.0,Taylor,
OR,F,2003.0, Linda ,864
,,1970.0,Jordan,177
OR, F ,1963.0,Mary,61
,F,, Jennifer ,136
OR,F,1992.0,Alex,1012
OR,F,1910.0,Linda,16
OR,M,1948.0,Taylor,82
OR,M,1956.0,Taylor,101
OR,M,1944.0,James,108
OR,M,1993.0, James ,1144
OR,,2016.0,Jennifer,113
OR,M,1934.0,James,122
OR,F,1936.0, Alex ,242
OR,F,1967.0,Taylor,652
OR,F,1993.0,Linda,84
OR,F,1959.0,Mary,103
OR,F,2016.0,Jordan,8
OR,F,,Jennifer,418
OR,F,2001.0,Linda,47
OR, F ,2017.0,Casey,351
OR,F,1971.0,jordan,473
OR,F,1959.0,Alex,195
OR,M,1949.0,James,767
OR,M,1995.0,michael,58
OR,F,2020.0,Casey,8
OR,,1947.0,,17
OR,M,1978.0,Robert,185
OR,F,1924.0,Patricia,383
OR, F ,,Alex,110
OR,M,2012.0,michael,587
OR, M ,1984.0,Michael,618
OR,F,2006.0,Taylor,11
OR,F,2001.0,Jordan,62
OR, M ,1985.0,Alex,189
OR,,1928.0,Mary,101
OR, M ,1936.0,Taylor,34
OR,M,1916.0,Jordan,91
OR,M,1984.0,Casey,146
OR,F,1957.0, Taylor ,352
OR, F ,1960.0,Alex,
OR,M,1951.0,michael,562
,M,2019.0,Taylor,45
OR,M,1921.0,Taylor,15
OR,M,1951.0,Robert,50
OR,F,1981.0,Patricia,502
OR,,1936.0,Jennifer,55
OR,F,2002.0,Michael,
OR, M ,2008.0,James,223
OR,F,1994.0,Taylor,224
OR,M,2010.0,Michael,75
 OR ,M,1997.0,Patricia,276
OR,F,1915.0,Linda,22
OR,M,1958.0,James,84
OR,M,2012.0,James,746
 OR ,M,2010.0,Casey,21
OR,F,1914.0,Jordan,73
OR, F ,1970.0,Alex,506
OR, M ,1980.0,Casey,69
OR,M,2018.0,Taylor,23
OR,F,1934.0,Mary,15
 OR ,M,1935.0,Michael,338
OR,F,1974.0,Casey,818
OR,,1977.0,Mary,936
OR,F,1981.0, Mary ,61
OR,F,1969.0,Jennifer,190
OR,M,1956.0,Alex,10
OR,M,2018.0,Michael,194
OR,F,1982.0,Jennifer,289
OR,F,,Linda,707
 OR ,M,1990.0,James,900
 OR ,M,1939.0,John,71
OR,M,2007.0,Michael,9
OR,F,2013.0,Jordan,331
OR,F,1910.0,Alex,72
OR,,1979.0,Alex,224
 OR ,M,1986.0,Jordan,390
OR,M,1958.0,Jordan,302
 OR ,F,1981.0,Jennifer,331
OR,M,1952.0,John,5
OR,F,1930.0,,28
OR,F,1975.0,Patricia,16
OR,F,1949.0,jordan,37
OR,M,1923.0,Taylor,71
OR,F,1931.0,patricia,53
OR, M ,2004.0,Jordan,66
OR,F,1916.0,Jennifer,28
OR,F,1972.0,Casey,194
 OR , F ,1942.0,Casey,70
 OR ,F,1991.0,Linda,927
OR,F,1944.0,Casey,444
OR,M,1995.0,John,886
OR,F,1993.0,Taylor,397
OR,M,1937.0,John,19
OR,F,1961.0,Linda,482
OR,M,2001.0,Jordan,674
OR,M,1926.0, Michael ,107
OR,F,,Casey,28
OR,M,2000.0,Michael,193
OR,M,2005.0, Taylor ,28
OR, F ,1935.0,Patricia,48
OR,F,1937.0,Taylor,10
OR, F ,1925.0,Casey,8
 OR , F ,1953.0,Casey,10
 OR ,M,2012.0,Robert,214
OR,F,1966.0,Jordan,183
OR,M,1945.0, John ,364
OR,M,1935.0,Casey,80
OR,,1966.0,,145
