state,sex,year,name,count
PA,M,2019.0,John,70
PA,F,,Casey,895
PA,F,1922.0,Mary,8
PA,M,1966.0,Robert,116
,M,2012.0,James,39
PA,M,1992.0,robert,41
PA,F,1985.0,,147
PA,F,2003.0,Alex,138
PA,M,1997.0,Michael,203
PA,F,1924.0,Jordan,5
PA,M,1964.0,,30
PA,M,,Robert,372
PA,F,2021.0,Alex,89
PA,M,2014.0,michael,1312
PA,F,1974.0,Mary,442
 PA ,F,1977.0,Casey,621
PA,M,1939.0,Alex,249
PA,F,1975.0,Jordan,125
PA,F,2009.0,Jennifer,511
PA,M,1994.0,jordan,57
PA, F ,1931.0,Jennifer,309
PA,M,1973.0,Taylor,401
PA, F ,1960.0,Casey,492
 PA ,M,1979.0,John,345
PA,M,,Jordan,655
 PA , F ,1924.0,Casey,275
PA,M,1920.0,James,157
PA,M,1988.0,Taylor,580
PA, F ,1992.0,Patricia,203
PA,F,1988.0,Linda,548
 PA ,M,1990.0,Casey,127
,M,1983.0,John,205
PA,F,2013.0,linda,192
PA,M,1985.0,Casey,42
 PA ,M,1982.0,Jordan,43
 PA ,F,1975.0,Patricia,101
PA,F,1970.0,Jordan,1128
 PA ,M,1934.0,Robert,100
 PA ,,1935.0,Alex,127
PA,M,2019.0,James,723
PA,M,2002.0,Robert,76
PA,M,1956.0,James,29
PA,M,1974.0,Taylor,264
PA, F ,1921.0,Taylor,246
PA,F,1929.0,Jennifer,46
PA, F ,1998.0,Alex,59
PA,F,1968.0,Jennifer,220
PA,F,1985.0,Casey,743
PA,F,1968.0,Taylor,831
PA,M,1990.0,Robert,257
PA,M,1969.0,John,65
PA,M,2003.0,james,690
PA,M,1968.0, Michael ,519
PA,M,1985.0,Taylor,487
PA,M,1959.0,Casey,1134
PA,F,,Robert,1380
 PA ,M,1950.0,Alex,295
PA,M,2020.0,Robert,7
PA,M,2008.0,Taylor,45
PA, F ,1947.0,Jennifer,426
PA,M,1986.0,John,92
PA,M,1983.0, Jennifer ,258
PA,F,2008.0,Casey,461
PA,M,1945.0,alex,674
PA,M,1922.0,james,47
PA,F,1956.0,Jordan,82
PA, M ,2000.0,robert,27
PA,F,1980.0,Jennifer,464
 PA ,M,2018.0,Taylor,138
PA,M,1942.0, James ,180
PA,F,1924.0, Alex ,9
PA,M,2002.0,Michael,
PA,M,1963.0,Casey,561
PA,F,2011.0,Jennifer,
 PA ,F,2005.0,Patricia,572
PA,F,1996.0,jennifer,258
PA,F,,Taylor,10
PA,F,1986.0,Casey,216
PA,F,,Alex,118
PA,M,1991.0,Casey,674
,F,1995.0,Mary,65
PA,F,2012.0,Linda,1171
PA,,1948.0,Linda,
,F,1964.0, Taylor ,14
PA, F ,1975.0,Mary,59
PA,M,,Robert,10
PA,F,1985.0,Mary,303
PA,F,1933.0,Alex,157
PA,M,1920.0,Taylor,12
PA,M,1975.0,Robert,157
PA, M ,2019.0,Taylor,19
PA,M,2015.0,Taylor,399
PA,M,1950.0,Casey,186
PA, M ,2011.0,james,96
PA,M,1953.0,John,190
 PA , M ,1916.0,,61
PA,M,1939.0, Robert ,349
PA,F,1949.0,Alex,255
PA,M,2014.0,Taylor,13
PA,F,1999.0,Casey,489
PA,M,1945.0,Casey,1256
 PA ,F,1992.0,Jennifer,948
PA,F,2008.0,Patricia,706
PA,,1993.0,Robert,94
PA,F,1939.0,Taylor,342
PA,,1981.0,Taylor,19
PA,F,,jordan,8
PA, F ,1944.0,Jordan,486
 PA ,M,2002.0,James,45
PA,F,1976.0,Alex,162
,M,1955.0,alex,294
PA,F,1991.0,Taylor,625
PA,M,1912.0,Jordan,22
PA, M ,1976.0,Michael,784
PA,F,2022.0,Patricia,119
PA,F,2011.0,Alex,8
PA,F,1944.0,Mary,322
PA,M,1996.0,James,576
PA, F ,1946.0,Mary,27
PA,F,1972.0,Michael,149
PA,M,2006.0,Michael,286
PA,F,2007.0,Linda,138
PA,M,2015.0,James,577
PA, M ,1998.0,Taylor,318
 PA ,M,2005.0, Taylor ,
PA, M ,1948.0, James ,
PA,M,1986.0,,247
 PA ,F,1983.0,Jordan,475
PA,F,1921.0,Jennifer,35
PA, F ,1970.0,Taylor,116
PA,F,1998.0,Jordan,1017
PA,M,1980.0,James,1068
PA,F,1919.0,Casey,234
PA,M,1993.0,Alex,384
PA,M,1930.0,James,152
,F,1935.0,Mary,352
 PA ,M,1988.0,Jordan,752
PA,F,1951.0,Taylor,297
PA,F,1946.0, Linda ,1178
 PA ,F,2001.0,Linda,566
PA,F,2000.0,Patricia,276
PA,M,1999.0,Alex,519
PA,F,1992.0,Casey,210
PA,M,1966.0,James,425
PA,F,1950.0,Mary,1181
PA,,1954.0,Taylor,28
PA,F,1978.0,Mary,62
PA,M,2020.0,,
PA, F ,2021.0,Casey,14
PA,M,1969.0,Robert,627
PA,M,1957.0,Alex,675
PA,,1979.0,James,211
PA,M,,Casey,307
,F,1962.0,Linda,35
PA,F,2014.0, Mary ,152
PA,M,1974.0,Michael,845
PA,M,1997.0,John,333
PA,F,2008.0,Jordan,15
PA,F,1974.0,Jennifer,651
PA,M,1943.0,Alex,420
PA,F,1930.0,Taylor,447
 PA ,F,1993.0,Jordan,360
,F,2002.0,Jordan,432
PA,F,1995.0,Jordan,364
PA, M ,2021.0,Alex,102
PA,F,1940.0,Linda,61
PA,M,1958.0,Casey,617
PA,F,1935.0,Patricia,597
PA,M,,Alex,11
PA,F,1922.0,Linda,25
PA,M,2001.0, Jordan ,1186
,F,1983.0,Patricia,673
PA, F ,1944.0,Casey,36
PA,,1936.0,Robert,301
PA,M,1941.0,Jordan,7
PA,M,2002.0,Jordan,761
,F,2009.0,Casey,698
PA,F,1948.0,Casey,
PA,F,1993.0,Mary,383
PA,F,1974.0,Taylor,237
PA,F,2015.0,Alex,693
PA,F,,Linda,46
PA,F,2010.0,Mary,111
PA,M,1936.0,Michael,6
PA,M,1982.0,Robert,105
 PA ,M,2022.0,Casey,10
,F,2017.0,jennifer,17
PA,F,1957.0,Linda,55
PA, F ,2001.0,Casey,428
 PA ,M,2001.0,Alex,71
PA,F,2007.0,Alex,6
PA,M,2005.0,Michael,54
PA,M,1943.0,jordan,47
PA,M,1999.0,Michael,382
 PA , F ,1965.0,Taylor,140
,M,1964.0,Michael,226
PA,F,2015.0,Casey,199
PA, M ,1962.0,Michael,260
PA,F,1966.0,Robert,33
PA,M,2003.0,John,805
PA,F,1981.0,michael,265
,F,1935.0,Mary,352
PA,,1958.0,Jordan,
 PA ,F,,Linda,723
PA,M,1960.0,James,151
PA,F,1954.0,Jennifer,316
PA,M,1982.0,Michael,95
 PA ,F,1941.0,Alex,8
PA,F,1985.0,Linda,444
PA,F,1968.0,Casey,
PA,M,2001.0,Taylor,315
PA, F ,1957.0,Alex,319
,M,2004.0,jordan,313
PA,M,2022.0,John,190
PA,M,1932.0,Michael,92
 PA , F ,2018.0,Taylor,766
PA,M,2011.0,Michael,635
PA,F,1946.0,Alex,15
PA,,1977.0,Alex,117
PA,F,,Jordan,155
 PA ,M,1936.0,John,7
PA,F,1980.0,Linda,
PA,M,1974.0,Casey,890
PA,M,1927.0, John ,65
PA,M,1962.0,Robert,114
PA,F,1967.0,Linda,422
PA,F,2000.0,Casey,147
PA,F,1987.0,Alex,300
PA,M,1965.0,Casey,705
 PA ,M,2020.0,John,5
PA,F,,Taylor,656
PA, M ,2019.0,jordan,26
PA,F,1976.0,Linda,990
PA,F,1999.0,Jennifer,25
PA,M,1912.0,Michael,11
PA,F,2016.0,,27
PA,F,1926.0,Taylor,528
PA, F ,1987.0,Taylor,332
PA,M,2007.0,Taylor,79
PA,F,1947.0,jordan,191
PA,F,2007.0,Jordan,317
PA,F,1976.0,Jordan,428
PA,F,2017.0,Taylor,20
PA, F ,1970.0,John,797
,M,2005.0,John,47
PA,M,1987.0,Alex,648
PA,F,1934.0,Mary,139
