state,sex,year,name,count
TN,F,2015.0,Taylor,34
 TN ,M,,Jordan,624
TN,M,1990.0,John,837
TN,M,1967.0,john,115
TN,F,,jordan,667
TN,M,1954.0,jennifer,98
TN,F,2008.0,Linda,153
TN, F ,2017.0,Jennifer,217
TN, M ,1916.0,Jennifer,134
TN,M,1991.0,Jordan,158
TN,M,1944.0,Jordan,113
TN,M,1965.0,John,226
TN, M ,2017.0,Jordan,14
TN,M,1990.0,alex,439
TN,M,1943.0,Casey,33
TN,F,1920.0,Jordan,110
TN, M ,1962.0,Jordan,7
TN,M,,Michael,168
TN,F,1994.0,Mary,765
,F,2005.0,Casey,366
TN, M ,1929.0, Casey ,126
TN,F,1968.0,Linda,156
TN,F,1996.0,John,131
TN,M,1945.0,Patricia,252
TN,M,2022.0,Jennifer,774
 TN ,F,1975.0,Casey,859
TN,F,1961.0,,29
TN,M,1982.0,John,378
TN,M,1945.0,Robert,49
TN, F ,1937.0,John,71
TN,F,1926.0,,203
TN,F,2001.0,Jordan,66
TN,M,1953.0, Michael ,23
 TN , F ,1917.0,Jennifer,48
TN,M,1943.0,Jordan,22
 TN , F ,1957.0,Jennifer,743
TN,F,1938.0,Mary,418
TN,F,1945.0,Casey,71
TN, M ,1933.0,Robert,11
TN,M,2007.0,James,22
TN,M,1982.0,Casey,296
TN,M,1968.0,Robert,99
TN,F,1972.0,Mary,618
,F,1914.0,Jordan,5
TN,M,1940.0,John,243
TN,F,,James,114
TN,M,1978.0,Alex,481
TN,M,2017.0,Taylor,352
TN,F,1993.0,Jennifer,589
TN,M,2016.0,James,7
TN,F,1955.0,Mary,67
TN,F,1986.0,Linda,478
TN,M,1933.0,James,41
TN,,1959.0,john,1063
TN,F,1933.0,Linda,176
TN, M ,2018.0,Casey,41
TN,F,1934.0,Jennifer,46
TN,,1929.0,Jordan,81
TN,F,1969.0,,368
TN,F,1975.0,Patricia,116
TN,M,1975.0,Casey,315
TN,F,,Alex,430
TN,M,1985.0,Casey,306
TN,M,1970.0,Casey,221
,F,1989.0,Jennifer,369
TN,M,1988.0,John,463
TN,F,1949.0,jordan,40
 TN ,F,1950.0,Jordan,76
TN,M,2006.0,James,657
TN,,1939.0,Alex,953
TN,F,1993.0,,105
TN,,1967.0,Casey,69
TN,M,1930.0,alex,151
TN,M,1935.0,Jennifer,184
TN,F,1945.0,Mary,
TN,F,1997.0,Mary,67
TN,M,1960.0,Casey,
TN,M,2004.0,Taylor,95
TN,F,1972.0,Linda,78
 TN ,F,1927.0,Taylor,
TN,F,1917.0,Casey,14
TN,M,2007.0,Jordan,174
TN,M,1915.0,Alex,138
TN,F,1961.0,Linda,164
TN,M,1973.0,Michael,30
TN,F,1947.0,Mary,28
TN,F,1974.0,Linda,1166
TN,F,1998.0,Mary,21
TN,F,1949.0,Casey,314
TN,F,1960.0,Jennifer,538
TN,M,1994.0,John,708
TN,F,1973.0,Linda,124
TN, F ,1913.0,Jennifer,11
TN,M,1943.0,John,
TN,M,2011.0,James,185
TN, M ,1924.0,Taylor,37
TN,M,2003.0,john,39
TN,M,1986.0,Taylor,270
TN, M ,1951.0,Taylor,9
TN,M,1985.0, Robert ,359
TN,M,1924.0, Michael ,20
TN,M,2009.0,Casey,7
TN,M,1959.0,James,367
TN,M,1977.0,James,666
TN, M ,2011.0,Jordan,685
TN,M,2001.0,James,143
 TN ,F,1994.0,Taylor,86
TN,M,1931.0,Michael,12
TN,F,1941.0,Mary,175
TN,M,,Jordan,129
TN,M,,James,263
,F,2013.0,Jordan,107
TN, M ,1992.0,Taylor,245
TN,M,2006.0,Robert,230
TN,F,2018.0,Casey,58
TN,F,1945.0,Mary,
TN,M,1977.0,Alex,115
TN,F,1965.0,Linda,717
TN,M,2010.0,michael,782
TN,F,2009.0,Taylor,281
TN,F,2019.0,Michael,19
TN,F,1931.0,Mary,55
TN,F,1995.0,Alex,174
TN,M,, James ,13
TN,F,2017.0,Linda,283
,M,1977.0,john,357
TN,F,1937.0,Jennifer,
TN,M,1973.0,Casey,183
TN,M,1952.0,Michael,17
TN, F ,1999.0,Casey,486
TN,F,1952.0,Linda,190
TN,M,1941.0,Casey,510
TN,M,1986.0,John,660
TN,M,2019.0,Robert,470
TN,M,1946.0,Robert,15
TN, F ,1974.0,Casey,406
,F,1981.0,Taylor,60
TN,F,1969.0,Taylor,924
 TN ,F,1960.0, Alex ,219
TN,M,1995.0,Jordan,
TN,M,1945.0,James,116
TN,F,1968.0,Mary,127
TN,M,1926.0,Patricia,194
TN,M,1995.0,James,186
TN,M,1977.0,Mary,467
TN,M,1938.0,jordan,89
TN,M,1958.0,James,143
TN,F,1973.0,Patricia,303
TN,F,1966.0,Taylor,158
 TN ,F,2001.0,casey,
TN,F,1982.0,Jennifer,180
TN,F,2007.0,Mary,
TN,M,1942.0,Robert,8
TN,F,2008.0,Jennifer,311
TN,M,1974.0,Robert,339
TN, M ,1937.0,Alex,155
TN,F,1975.0,Jordan,210
 TN ,M,1947.0,Robert,84
TN,M,1931.0,Alex,482
TN,M,1981.0,Robert,258
TN,F,1991.0,,89
 TN ,F,1960.0,Casey,
TN,F,2014.0,taylor,214
TN,M,1980.0,Michael,96
 TN ,M,2012.0, James ,
 TN ,F,1973.0,Jordan,363
TN,F,1922.0,alex,22
TN,M,2018.0,,141
TN,M,1971.0,jordan,457
TN,M,1961.0,John,155
TN,F,1963.0,Linda,176
 TN ,M,1969.0,John,716
TN,F,1991.0,,240
TN,F,1980.0,Michael,156
TN,M,1941.0,Michael,43
 TN ,M,1946.0,James,96
TN,M,1964.0, Casey ,34
TN,F,1968.0,Jennifer,
,F,1951.0,Mary,14
TN,F,2020.0,Linda,24
TN,F,1950.0,alex,83
TN,F,1994.0,Patricia,76
TN,M,2021.0,James,5
TN,M,1989.0,John,115
 TN ,M,2012.0,Alex,482
TN,M,,Taylor,27
TN,F,1963.0,Jennifer,81
TN,M,1967.0,Taylor,305
 TN ,M,1963.0,Alex,657
TN,F,1965.0,Alex,53
TN,F,1950.0,Casey,738
TN,M,1952.0,James,45
TN,M,1997.0,Michael,426
TN, M ,2010.0,Taylor,78
,M,2013.0,James,10
,M,1951.0,Robert,37
TN,M,1972.0,John,601
TN,F,1979.0,Casey,26
TN, M ,1957.0,Jordan,429
TN, M ,1940.0,Casey,33
 TN ,M,1980.0, Alex ,204
TN,M,2015.0,Casey,816
TN,M,1997.0,james,224
TN,M,1965.0,Michael,362
TN,,1996.0,Alex,183
TN,M,1982.0,Jordan,
TN,M,1983.0,Casey,
TN,M,1989.0,Taylor,792
TN,M,1944.0,Michael,486
TN,F,1983.0,Patricia,320
TN,F,,Jennifer,642
,M,1957.0,,16
TN,F,1928.0,Casey,74
TN,M,2000.0,Jordan,109
,F,,Casey,
TN, M ,1996.0,Michael,
TN,M,1961.0,taylor,396
TN,M,1928.0,James,15
TN,M,2005.0,James,17
TN,F,1996.0,linda,103
TN,M,1966.0,Jordan,122
TN,,2022.0, Alex ,36
TN,F,1989.0,Patricia,419
TN,M,2002.0,Casey,98
 TN ,F,1939.0,Linda,8
TN,F,1942.0,Patricia,64
TN, M ,1934.0,Taylor,
TN,F,1993.0,Taylor,206
TN,F,1919.0,jordan,5
TN,F,1934.0,Jordan,24
TN,M,1974.0,Linda,53
TN,F,1940.0,Casey,488
,F,1957.0,Patricia,245
TN,M,1954.0,Jordan,65
TN,F,1973.0,Casey,564
TN,F,1976.0,Jordan,1150
TN,M,1970.0,James,535
TN, M ,2008.0,Robert,31
,M,1942.0,Patricia,345
TN,,,Alex,37
,F,1993.0,Mary,372
 TN ,,1996.0,,239
TN,F,1998.0,Jennifer,85
TN,M,1951.0,Michael,152
 TN ,F,1965.0,Taylor,237
TN,M,,Michael,291
TN,,1977.0,jennifer,172
TN,M,1984.0,Jordan,603
TN,F,1961.0,Jordan,144
TN,F,2003.0,Casey,777
TN,M,1979.0,Casey,365
TN,M,1952.0,Robert,734
TN,F,1924.0,Taylor,202
TN,M,1971.0,Mary,261
TN,F,2000.0,Casey,531
TN,F,1923.0,Mary,67
TN,F,2008.0,Taylor,452
TN,F,1932.0,Patricia,361
TN,F,1985.0,Casey,82
TN,F,1930.0,Alex,25
TN, F ,1951.0,Taylor,600
TN,M,1949.0,James,26
TN,,1993.0,Casey,64
TN,,2012.0,Linda,22
TN,F,, Taylor ,92
TN,M,2010.0,John,
TN,F,1962.0,Casey,295
TN,M,1951.0,Casey,339
TN,F,1919.0,Patricia,11
TN, M ,1913.0,Casey,28
 TN ,M,1935.0,James,295
TN,M,1985.0,Alex,513
TN,F,2017.0,Mary,765
TN,F,1931.0,Mary,55
TN,M,2018.0,James,36
 TN ,M,1970.0,Taylor,49
, F ,2013.0,Taylor,11
TN,M,,Robert,636
TN, M ,1983.0,Robert,353
TN,M,1996.0,Jordan,60
TN,M,1934.0,James,70
 TN ,F,1980.0,Alex,322
 TN ,M,2017.0,Michael,57
TN,M,1979.0,Alex,301
 TN , F ,1910.0,Mary,9
TN,M,2002.0,John,122
TN, F ,1991.0,Jordan,62
TN,M,1972.0,Jordan,1151
TN,F,1923.0,James,184
TN,F,1970.0,Patricia,635
TN,M,1951.0,John,80
TN,,1942.0,John,53
TN,F,1963.0,Alex,566
TN,F,1925.0,Alex,134
TN,M,1944.0,Alex,25
TN,M,1976.0,Taylor,522
TN,F,1917.0,Jordan,75
 TN , F ,,Robert,158
TN,M,1932.0,Casey,23
TN,F,1936.0,Jordan,487
TN,F,1932.0, Alex ,167
TN,M,1976.0,Robert,370
TN,F,2016.0,Linda,
TN,F,1987.0,Linda,1006
TN,,1978.0, Robert ,465
 TN ,F,1989.0,Mary,105
TN,M,1996.0,James,1442
TN,M,1942.0,Taylor,223
TN,M,, James ,99
TN,F,,Taylor,214
TN,M,2020.0,Robert,92
TN,M,1963.0,Casey,71
,F,2018.0,Michael,134
TN,M,1920.0,Robert,132
TN,F,1950.0,Patricia,193
TN,M,1935.0,John,94
TN,M,2022.0,Robert,205
TN, F ,1946.0,Mary,27
TN,M,1925.0,Casey,12
TN,F,1992.0,alex,92
TN,M,1949.0,Mary,404
TN, M ,,Robert,134
TN,F,1927.0,Casey,63
TN,F,1983.0,Casey,112
TN,F,1967.0,Michael,214
,M,1942.0,Casey,928
TN,M,2018.0,Robert,177
,M,1962.0,Casey,23
TN, F ,1992.0,Casey,531
TN,F,2016.0,Jordan,10
TN,M,2009.0,,97
TN,F,1946.0,Patricia,104
 TN ,F,1972.0,Robert,265
TN,F,1915.0, Jennifer ,103
TN,F,1944.0,Alex,
TN,M,1928.0,Robert,62
TN,,2013.0,Robert,21
TN,M,1993.0,Taylor,
TN,F,1965.0,Patricia,109
TN,F,1982.0,Patricia,38
,M,1944.0,James,497
,M,1979.0,Jordan,897
TN,M,2005.0,Jordan,909
 TN ,M,2006.0,John,23
TN,F,1942.0,Linda,
TN,F,1955.0,Linda,682
, F ,2013.0,Alex,172
,M,2011.0,John,373
,M,1993.0,alex,523
TN,M,1953.0,John,397
TN,,1997.0,,220
TN,F,1973.0,Mary,131
TN,F,1966.0,Patricia,352
TN,M,1948.0,James,6
TN, F ,1980.0,Mary,779
